Addresses ,Allocation % ,Type,Sum
0xFE75070472fC00E2449aBCFD0D53f7Bd7C27F3C0,10.000000000000000%,Development Team,100.00%
0xd60dfe8c5fc55e8a992cee960f4c31b8af700803,0.191082802547771%,OFT Bridge Users,
0x7389ec65aaea60730627d87f97d5ac8cb8fe75a8,0.191082802547771%,OFT Bridge Users,
0x6ff592cc3965e645d15e9bd77507d51ad2cc376a,0.191082802547771%,OFT Bridge Users,
0xa8bc19424baa85cf9d137296de65acc3bf2609d3,0.191082802547771%,OFT Bridge Users,
0x18eea90e76a57c04b5e97035f1857d67fb04d0da,0.191082802547771%,OFT Bridge Users,
0x51a28341c2117b54ff80301f7432e3f361b10007,0.191082802547771%,OFT Bridge Users,
0x4f2d2ef9d4155321d3a89614742094a1454ade4d,0.191082802547771%,OFT Bridge Users,
0x9e69a6c8e5fcfe303efd0f8e96db6159a066cb88,0.191082802547771%,OFT Bridge Users,
0x992274e4df7eadc6a6d5df2efffbc960fcb081a2,0.191082802547771%,OFT Bridge Users,
0xca8ced62c82c33072851e94199550f8411e13e70,0.191082802547771%,OFT Bridge Users,
0xab1962d7a0031a1887d2e003e40f391db91fb8df,0.191082802547771%,OFT Bridge Users,
0x02c567f36b70b2e66215bdef8d243fcf0468f374,0.191082802547771%,OFT Bridge Users,
0xaf5743b1c7427562b8d56df696d5a61c8fe60d9d,0.191082802547771%,OFT Bridge Users,
0xaff7ede012fac41b8b6a1cb0fad96941498a176d,0.191082802547771%,OFT Bridge Users,
0x6a99fec57fbd1064b67d8efa50169e8be57633e9,0.191082802547771%,OFT Bridge Users,
0xd988b56fb442dfdc73c393a30b7edf0478ace8df,0.191082802547771%,OFT Bridge Users,
0x981767f9ca204f9257649b201c40375a050f3048,0.191082802547771%,OFT Bridge Users,
0xfb16d393f6b7f2988316fd2373c5e40e52907a94,0.191082802547771%,OFT Bridge Users,
0xef72ebfcb5dde540dc8cb819a4d112d6caff19be,0.191082802547771%,OFT Bridge Users,
0x3428a8a23e59e72df689105cba294357a467752f,0.191082802547771%,OFT Bridge Users,
0xb7de078d7dcc45581f5bd2a7d6dffbc5137467a8,0.191082802547771%,OFT Bridge Users,
0x30bacdcd57521d2d72a52794c973d4d93cbdfab3,0.191082802547771%,OFT Bridge Users,
0xed37a8637aa8c995e248f4867e60bb6ed96a62cf,0.191082802547771%,OFT Bridge Users,
0xe25bb9cda8c10b6f4feefb4b152cebe17d75992a,0.191082802547771%,OFT Bridge Users,
0x29695349e69ab78d2298860c17bf3af89415e3cd,0.191082802547771%,OFT Bridge Users,
0x836a20def8537cc6f2f777e5f2777d6d5ebe9eec,0.191082802547771%,OFT Bridge Users,
0x14eef436291dc77884d11617fe83919d13a12a67,0.191082802547771%,OFT Bridge Users,
0x33428a488db109ed8163e4942b904ce2c4713d21,0.191082802547771%,OFT Bridge Users,
0x8ea706f38aacabb6f2e287f76b6b9bcfba2081f0,0.191082802547771%,OFT Bridge Users,
0x17a72b92f39aebe14d932f92d7b0846593681354,0.191082802547771%,OFT Bridge Users,
0x9e3d3d007ceafc46ae6f046eb91911f207d68bed,0.191082802547771%,OFT Bridge Users,
0x899bc88c94c669f06bc5a6e0c3a29049e658b2af,0.191082802547771%,OFT Bridge Users,
0x2d837ca1b584af7ae4e0c88b7270e5d1eb28bde2,0.191082802547771%,OFT Bridge Users,
0x9b7523b5eb0e8be45bc809a3495bb7012dd5ebc4,0.191082802547771%,OFT Bridge Users,
0xa536b6e5dcca392e8a48ad309fa64be615df7f9f,0.191082802547771%,OFT Bridge Users,
0xcde357c682f637ee57328b2aa4511b1fdc09c97b,0.191082802547771%,OFT Bridge Users,
0x55b012330696501f749db76e1403c071496a91e0,0.191082802547771%,OFT Bridge Users,
0xb566abab96af4a2d968852df9e9a193f35e45a24,0.191082802547771%,OFT Bridge Users,
0xcd07c30463b7f0aa53d3fd3d4dd5119d93dbf694,0.191082802547771%,OFT Bridge Users,
0x2aea6c6c7a500ab10f6433a65f8de41a734686e2,0.191082802547771%,OFT Bridge Users,
0x0ab0c8227511c1280bf531157cc98820f3e00b97,0.191082802547771%,OFT Bridge Users,
0x2a3aed329e595db42e4210f9f01fb8b6046172e9,0.191082802547771%,OFT Bridge Users,
0x72f5a5a748ca02a86ac852a38f764d771c11f5f6,0.191082802547771%,OFT Bridge Users,
0x796d32bce6f5ce4b16ca25da8337310a8775f958,0.191082802547771%,OFT Bridge Users,
0x88344eac4a38d8ca1309651aa5d3a43f4d010646,0.191082802547771%,OFT Bridge Users,
0x2e0d90a39ec2ed373a7b4150bb761c77d6943a6c,0.191082802547771%,OFT Bridge Users,
0x7b64ca3f3f6e448c973556f4bea923edc2a8a970,0.191082802547771%,OFT Bridge Users,
0x4154c94d57d60a687fd925e3302203848b4a9f5f,0.191082802547771%,OFT Bridge Users,
0xf0c389135f8b6afcd1e2ffbe14dc272ef36f395a,0.191082802547771%,OFT Bridge Users,
0x69863db4514fe351c076cb2a381a56e00e7ff11e,0.191082802547771%,OFT Bridge Users,
0x5bc4451d8482526ba948e5a5f9bc4671be9e82a9,0.191082802547771%,OFT Bridge Users,
0x24128479b5e07332d57d24bac5c150d438cdeb9d,0.191082802547771%,OFT Bridge Users,
0x8e8f564749403680259b69978b7d87db8ec584bd,0.191082802547771%,OFT Bridge Users,
0x49632c211c6ba9ca97741da2be69976bb8dde249,0.191082802547771%,OFT Bridge Users,
0x3f74eca33d052f87afa87364aa4a7fae35d4883e,0.191082802547771%,OFT Bridge Users,
0xc9cc7ef4aa7e093efc7d01b64b6b995fbc8a1b17,0.191082802547771%,OFT Bridge Users,
0x5bb67c895513be52774b1d0ae6971780b8c655c3,0.191082802547771%,OFT Bridge Users,
0x54e4ba8e3d90027b765c007c8344acbff0b44559,0.191082802547771%,OFT Bridge Users,
0x2adfbf1ad12337ce9e96411f9818be6665fe79af,0.191082802547771%,OFT Bridge Users,
0x9f5c860ee753ccae7caf355901ee81322d78e9d7,0.191082802547771%,OFT Bridge Users,
