Address,Allocation %,Type(s),Sum
0x045263fd58e91323daca58eb735a25b5649bcb12,10.000000000000%,Developer,99.999999999631%
0x93652ae25d0ba757c3c92a4deb0b05dd1d4efe35,5.363919707637%,Staker,
0x6ebd2f5ac5715440094e56ce2295afadcc192f02,4.448169272042%,Staker,
0x350d87f94dc92ee81f896271500195e5b8e3680b,3.937021343481%,Staker,
0x1c0b104a9eeff2f7001348a49fa28b8a0d23d637,2.821160015724%,Staker,
0x111bea957a68b4fa458aafee2b75d28524e72a69,2.238757916053%,Staker,
0x58c0a5f11469ea49ad1bf0ad0d25a5cae582dd0a,2.061889022572%,Staker,
0x3b088dbaeebe2453ec67f44c53fbed31092c4a27,1.881481424820%,LPer,
0x7822159ee394d14745cde63a706f965fb73c7ac8,1.735626432289%,"Beamer, LPer",
0xdbe692e262bd186cab4e7e1bc0ecd4c3d4252da1,1.684474197484%,LPer,
0x545ec9b1718f61ecd00ac8f2c2e797e454c50cff,1.608471091779%,Staker,
0x421f9fb5fed9f64ae17199839a2acf254dd30cf0,1.476521208200%,"Staker, Beamer",
0x48d93dabf29aa5d86424a90ee60f419f1837649f,1.430053181664%,Staker,
0xe5ebcde141e98c23c150bc350b72c23fdcb747c1,1.396527516657%,LPer,
0x0480b924a6f1018863e318af33c15f01619b7f2f,1.320606813706%,LPer,
0xd0b8dfcf9da999db981a60a8da6584e8e52b757c,1.312077244512%,"Staker, LPer",
0x954e3d51fb776f45b98c7c3b099c03d4dbbae395,1.286275759603%,LPer,
0x346f1d297c98c28574742b067b67a80cda2dc0d9,1.191710984720%,Staker,
0xb18fbfe3d34fdc227eb4508cde437412b6233121,1.095289703304%,Staker,
0x4ee98b27eef58844e460922ec9da7c05d32f284a,1.094221594988%,"Beamer, LPer",
0x5f50961afd56d80f54acfbed00b563385be583ed,0.948237046597%,LPer,
0xa28cfaede656f9e25ed2d12bc9d0e702d73d2d6d,0.946660513966%,LPer,
0xc11169f4881dbd0fb0be6c09c4652cd22305f10c,0.784879878321%,Staker,
0x38614dfe8b9b2f7977786b799367177450825c20,0.707609977785%,Staker,
0xac18bca318291672b8b1eef53ffb1cec1051839c,0.671419361815%,"Beamer, LPer",
0xb1d72dd9cd988c727b160886b864ee0004965c8a,0.647643420847%,Beamer,
0x6cea03069a82943d7e20e256a2892b95b15bd6ef,0.638453291092%,LPer,
0xdac0cfd9f6cad44bcbff4793b4ef2a0de273a729,0.620959042765%,Staker,
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,0.610840108052%,Beamer,
0x2edbbc8f66cfc46eb15121989e6a2d5c391150b9,0.600623873742%,LPer,
0x3ca75245b6b5027de05adb5ec8c96f14b8ce219d,0.587444789767%,Beamer,
0x717b6e99ec7ad471623c4774538d8470a42ced14,0.567521151913%,Staker,
0x08d49c032f268d3ac4265d1909c28dfaab440040,0.549055264079%,LPer,
0x93d2f4f3a0445aa808c99cbd6ba05236a895379f,0.535180895856%,LPer,
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,0.496125690943%,Staker,
0x539a8999509e3244e78a1b0f14fc1311a441f367,0.477932323208%,LPer,
0x1f61c2a8e2d007e1c52e318ad0504649efb78e36,0.474343098282%,"Beamer, LPer",
0xcd18eaa163733da39c232722cbc4e8940b1d8888,0.462180803458%,Staker,
