Address,Allocation,Type,Sum
0x11810c4F39f35eF93ACd60617BE660A11f27AE85,10.00000000%,Developer,100.00%
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.65998080%,Bridge User,
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0.53062965%,Bridge User,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.49180320%,Bridge User,
0x10f0e44a133253bc9554369ac76d997e368513bb,0.43356330%,Bridge User,
0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc,0.39473685%,Bridge User,
0x1454ba023bc2ca00bcb6288a051bda335f3762c7,0.35591040%,Bridge User,
0x3c655be9f52309929822ac0f2d1270bf346b7226,0.34943895%,Bridge User,
0x0950f7b1d09caeafd0ab460e7883b04c40dc429d,0.34296795%,Bridge User,
0x0319cd0ac071abcb479c0bee32ad6b28d8a79083,0.33002595%,Bridge User,
0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,0.30414150%,Bridge User,
0x3099ce94b9ddb6715b1169f61aa0e16ad818ce89,0.30414150%,Bridge User,
0x35c93067887e369a252f540be8130c971f97bfea,0.30414150%,Bridge User,
0xd0ba5a8848ed8d5002d01556f4f9895bad8afe46,0.30414150%,Bridge User,
0x79c2ef5c2b74a73c9972bb840a3fa965577e9efd,0.29767050%,Bridge User,
0x7dc6272db0523ce8d0270920e94f7c37d3bbea1b,0.29767050%,Bridge User,
0x835f394f3d770b6ff818303f045e39f541b3d781,0.24590160%,Bridge User,
0x1e8d9f46f1526d8f5640000c83a81b92578bb380,0.23295960%,Bridge User,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.20060415%,Bridge User,
0xf62dc65781986f755d14dc6eece98e3099835df2,0.18766170%,Bridge User,
0xd3660ee5743108ddbbc6eb9dd07a0c325f6921fe,0.17471970%,Bridge User,
0x7d0a940d81ce63ce716a1e3cd7372f78f79d2414,0.17471970%,Bridge User,
0x739666e0d566b08bb616a5a8fac3d16378883396,0.16824870%,Bridge User,
0x84fa7bf6bec68d460067d98cad37d68028c160d9,0.16824870%,Bridge User,
0xdf839bbbe062ae73493a6961fc34849b53f1c154,0.15530625%,Bridge User,
0xc6f5affa134c740a6312018fe2c7987c5ec4167c,0.15530625%,Bridge User,
0x0a38a5639b7ae09d0ef6587784d55d7c8280d5a4,0.15530625%,Bridge User,
0xf17668ff22c63e63475d5f7dbdf7585d51e52c76,0.14883525%,Bridge User,
0xe7ab68392b3ae1733313ccc379e244de4aebad49,0.13589280%,Bridge User,
0x0dd1f3a1c5e47ce5cf9283dbd25e199cbdd2b64f,0.12942180%,Bridge User,
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0.12942180%,Bridge User,
0xf1ac56a6a75bcbd915d48bd23605f24e472398a2,0.12295080%,Bridge User,
0xa30e48c7826eed00223224dfde038347b983f0f1,0.12295080%,Bridge User,
0x552203094755e95b747ef36996225c128c5bcd0f,0.12295080%,Bridge User,
0x6ae098a5035a885a1e564fc859093fd67fa5e603,0.11647980%,Bridge User,
0xb9914547cf66e9607cc7607e10ed38c20e95270e,0.11647980%,Bridge User,
0xce1a75b8964ef5ec7893f98df1c379557a0c97b7,0.11647980%,Bridge User,
0xc1e54db7d6562e683f45981954ba1bfefd85a5b2,0.11000880%,Bridge User,
0x939fbd2c0e92625ac070da8d159de77991b53036,0.10353735%,Bridge User,
0x4db7131f0307fbac8725f4c4f2d2ac20e4813c24,0.10353735%,Bridge User,
0x83ed0969db692d47e801ed9dd93afb0755be2641,0.10353735%,Bridge User,
0x250f03c30de1f25ce8431179c223ee357018914e,0.09706635%,Bridge User,
0x922f73d248bfa1ce206b65c0da19f37b0fcabf7e,0.09706635%,Bridge User,
0xa3f646f08c7e00f45f648f2e742264f119dfca0b,0.09059535%,Bridge User,
0xc0a61b303c08f020f5f0ff5edeac877bd6adcd6a,0.09059535%,Bridge User,
0x84549c01173483b0820bb8e84fbfb583d35625ad,0.09059535%,Bridge User,
0x8cb4c2b7d60a7a3a18e3c202825d501ee4200ca1,0.09059535%,Bridge User,
0x1578f034078d5b5dc9d017af75779ae436048415,0.08412435%,Bridge User,
0xbd37c089e994c8f5533611381107c06e3b629057,0.08412435%,Bridge User,
0xd5a68fc31c648c6cfb4099189fde21ca2913a3d0,0.08412435%,Bridge User,
0x25cc275cfe3cce1700e816e00d4cd1f60872038a,0.08412435%,Bridge User,
0xb182dec6ffd19d7bd7c016a5361297263afecacc,0.08412435%,Bridge User,
0x118e80b5331afc26b232d33d1ba3e992cdf52598,0.08412435%,Bridge User,
0xf9726ec833b7a4faf0965824bfe38f986005c3c0,0.08412435%,Bridge User,
0x7e03b41a3bd79de20e2b38075af02f2dcf174754,0.08412435%,Bridge User,
0xd0fe1538031f5647b1846d35b36f22e7317a1e35,0.08412435%,Bridge User,
0x9bc7f7aa4b4395391089da8588ffb0842b5483a6,0.08412435%,Bridge User,
0x484890cd4078931a46b52740d7b481b3ce562bb3,0.07765335%,Bridge User,
0x069163954f83ee2b6867d44a8dbaf707ffd321e3,0.07765335%,Bridge User,
0x78293b34a64fe437f8da25bede5a802e7021a56e,0.07765335%,Bridge User,
0x1f9c6d84f6be2eff0b0a3174559e02eec124ec93,0.07765335%,Bridge User,
0x0d8c9068fdb707da13c308f3e8dce2228b6d3f18,0.07765335%,Bridge User,
0xd7385b0e6db877731913e0568dfc2f5e7b1202f8,0.07765335%,Bridge User,
0xadff777dbb4e56c798e58adb891a47d295cfaef1,0.07765335%,Bridge User,
0x10b2a08de4099bf1648832ca513f2fdf0c180b05,0.07765335%,Bridge User,
0x7538ef8f94d403e49c8fdb4d159479298478f6da,0.07765335%,Bridge User,
0x5eede1c45e4401d7d95e55446dad71b511328534,0.07765335%,Bridge User,
0x887d57ca2deb98704325898a574ca2d2cf70cee5,0.07765335%,Bridge User,
0x5da8b49a870833190e52aefda36cc436378a1aec,0.07118190%,Bridge User,
0x29c55d33bafc0376d2b25f005ec61c620ccc760f,0.07118190%,Bridge User,
0xb3467880204d2a2d5dbff08ee67584cde9035253,0.07118190%,Bridge User,
0x2f061aa574882c84649230b475a44d35795cc018,0.07118190%,Bridge User,
0xd5ab6af7f9b91080331669ba9e7a5b1b72aa5ffe,0.07118190%,Bridge User,
0xcc78d2f004c9de9694ff6a9bbdee4793d30f3842,0.06471090%,Bridge User,
0x915c3c0df22e0432a4c379e906759dab736d1d5b,0.06471090%,Bridge User,
0xb2c466b176492eca88b68f4f8923361c398abf49,0.06471090%,Bridge User,
0x5046fae20edcfac46e2d1f930092783f3a207982,0.06471090%,Bridge User,
0x14b7758cc3e3f3ab0bc436ec8b91b2a65809b8c0,0.06471090%,Bridge User,
0x952ea8ac9a65fcacf9ce57cc0797726962c7b614,0.06471090%,Bridge User,
0x79f45fee8abf4c4985c8c6784ebb8a3f7edaf4d7,0.06471090%,Bridge User,
0xa5afcc3fe3e70c6c84b5a761e334103b066b87df,0.06471090%,Bridge User,
0xbe818a0e49ba27c8980bcc44e714fe63383d3653,0.06471090%,Bridge User,
0xfebbed7cf1c4fcb136433d075f35f2513a7a609f,0.06471090%,Bridge User,
0x873d9a9c501630675286a658f640f0549223992e,0.06471090%,Bridge User,
0x1c4b8e5301ac67816fe692fb9947208c99d21d7a,0.06471090%,Bridge User,
0x3c2fb96466221a208ded6cea42c557f7b28b530a,0.06471090%,Bridge User,
0x5c6439d437f588900e445d797903124e3d8cb379,0.06471090%,Bridge User,
0x04e92ef8415004bde718edb5a6a4fed42568b163,0.06471090%,Bridge User,
0xf969e21b1682b042246fdb5bb3af5f44006f5040,0.06471090%,Bridge User,
0xbb93c05475801333c1f667871cb6161a76bd62ac,0.06471090%,Bridge User,
0x982b4bf66eb8f75c25e966ed42a3ea02c0c9cc5e,0.06471090%,Bridge User,
0x768bce87f9f7895e6629c0837da26086f5a2b2aa,0.06471090%,Bridge User,
0xe10b91ff5b30ed7df1f727ce7e7987682811f199,0.06471090%,Bridge User,
0x32ddf9cedcf0d54039c646051f5eac90239aaa03,0.06471090%,Bridge User,
0xa62f6cb3edfbde48ac344df146d9fbdb99513704,0.06471090%,Bridge User,
0x9b139f8d81c34667764e9db1d21f5472d9be1d4e,0.06471090%,Bridge User,
0x1a2d4ef247b9ec0dda684e3c8e724e4ae6956357,0.06471090%,Bridge User,
0xcc75f4afefb64fec5aaecb86e571cabc7f9fd745,0.06471090%,Bridge User,
0x05501b4b1093891cf9e4bf31d8df4a5725da4c87,0.06471090%,Bridge User,
0x4957c5c9f4c38c7030d56f198889e04e60e19e55,0.06471090%,Bridge User,
0x53276b4d4e6bcaff74909d469c09ccfcc826025c,0.06471090%,Bridge User,
0x97cebcea3b2c9c9b54982345cda69390c4d05e80,0.06471090%,Bridge User,
0x9dc280ab055e0d16d72f9b095f4a98d07f520326,0.06471090%,Bridge User,
0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102,0.05823990%,Bridge User,
0x3f6e473d9457452952026c6a77ea79a469d8bdd3,0.05823990%,Bridge User,
0xdb93440afab57da665126084eddf9ac9f91c9a82,0.05823990%,Bridge User,
0x42742954f391a2fdac26340f32ec18b1bd019c68,0.05823990%,Bridge User,
0x43a996fa50d2f378d707aca9ddcde1c30cb68f63,0.05823990%,Bridge User,
0x42ae01552f4fc48edb2c7e9529494ee4dee25f1b,0.05823990%,Bridge User,
0xd89498a627ebfb7065eedeedd0b79d0e87472efa,0.05823990%,Bridge User,
0x06e3325fc3afb2eecb8ea8f27a2c4a2770686a6e,0.05823990%,Bridge User,
0x1f87f9d828c792e349160cfa3da4538a4e6830c1,0.05823990%,Bridge User,
0xc35eb46fa4895c9eedadbc6ba1b0047b6eb7d77a,0.05823990%,Bridge User,
0xd27ac8abb3ae20e4acca64187459603e47f986ba,0.05823990%,Bridge User,
0xecacf5fef2e6c1f662101fc784d6fec26dca5ac9,0.05823990%,Bridge User,
0xcb1141e9ddb6858cdb4b2e622cb4ac762af66013,0.05823990%,Bridge User,
0xe84033eca597ae54b5d83862198fa0fc028874e6,0.05823990%,Bridge User,
0x77c353a66f8a7ceba4819c6d042722e0ace6105d,0.05823990%,Bridge User,
0xbf678288ad6619e4c64a858b66a7fabcaf77ad78,0.05823990%,Bridge User,
0xe67513fee1aa719ccdf11edc10c932b64b4fba98,0.05823990%,Bridge User,
0xef69f677a2bba38b65725ad247cc4edc45519edb,0.05823990%,Bridge User,
0xebc5e1739616031bb9f7307a5301a36e1f0a7e73,0.05823990%,Bridge User,
0xc9a43964b791e5abd13b98fac710132abfca873e,0.05823990%,Bridge User,
0x53951881d5601e5986b9dd36860aa84b9f91d137,0.05176890%,Bridge User,
0xeec8ee9d58718b4373dc8f2470d95a5a828eddad,0.05176890%,Bridge User,
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.05176890%,Bridge User,
0x6a1ff2aaaab0837f940ed7471e16d84e8953a035,0.05176890%,Bridge User,
0xf3bfa8e6cac2f3532c2121b5c0ac14d56fb634e6,0.05176890%,Bridge User,
0x1c1aca4484405dcf2b8b193f6d9c0c5c7cff8fa2,0.05176890%,Bridge User,
0xf9dd39d8593dbcaeb5a30469163c2fc49777ed11,0.05176890%,Bridge User,
0x35c10116bf2221bf3c1814cb6c69d819f79dd2d2,0.05176890%,Bridge User,
0x996230bb4beb05ea4744334686de51151750e6d8,0.05176890%,Bridge User,
0x4d2cf27a6eac9626986329730dcce8d9f927dbd7,0.05176890%,Bridge User,
0x9d5d07f665a21d3ccd728c8878f2f5f5aedd41db,0.05176890%,Bridge User,
0xda0a4d4ee62c57339ea2340ae671d6a01850abf4,0.05176890%,Bridge User,
0x72104b7ed9c0b9056832d7588fbbf15b68cd3a5b,0.05176890%,Bridge User,
0xf1303e393243e4cceb1975330a7193e67c949e75,0.05176890%,Bridge User,
0xd3ad72af19df2633e25f1370036a501b21232ed7,0.05176890%,Bridge User,
0x7b6de544e3194f4656baa8ddb094f8d9d138d9e3,0.05176890%,Bridge User,
0x47d0c1073fec468cc458bacf8cddddaae0ba5381,0.05176890%,Bridge User,
0x799c04752dc44a9bb189be597b99952c88809cf8,0.05176890%,Bridge User,
0xe208007eaee0b36598cddbf4bed8c0f147f269ad,0.05176890%,Bridge User,
0xbeebc0c769a24f94681d05751fcda51fb780931f,0.05176890%,Bridge User,
0xa83b93f9c6549e9c1944690cc8e2f93446014cdc,0.05176890%,Bridge User,
0x722e895a12d2a11be99ed69dbc1fedbb9f3cd8fe,0.04529745%,Bridge User,
0x5da1b6279406ebbf59134a97999c331bcb6d5feb,0.04529745%,Bridge User,
0xe3921277177e0b9acd49f90d6d02a155d6b3a894,0.04529745%,Bridge User,
0x7cb322f338ac61494f920f616c08f51a5e3dd860,0.04529745%,Bridge User,
0xf52f89b93b8a10e864786d7ea3697b8fda913861,0.04529745%,Bridge User,
0xf48b3e1d4a4a39b2c9c37728bc7ea69506b0585d,0.04529745%,Bridge User,
0xc375f84824574f3f63ddba0ce2b2fc0ef6f51865,0.04529745%,Bridge User,
0xaa8fc0cc0f3b49746f49b0bbd6590462a2a31f68,0.04529745%,Bridge User,
0xe1a9229006d237b23a833c00b056fea8c0a342ca,0.04529745%,Bridge User,
0x3ea23c21408ad362418692cee2f8e8482d9607e2,0.04529745%,Bridge User,
0x19299c1a557a363b31a886f12891546b7dc70424,0.04529745%,Bridge User,
0x1a97147c1f287230565cdf021fd2831de2c21be6,0.04529745%,Bridge User,
0xb75c7db0893ba890e6ac023b6a59d9634d0434af,0.04529745%,Bridge User,
0xbc075a71b608326d6a88b077d353b9f415c4d063,0.04529745%,Bridge User,
0x71476802031203b4074c42fb982bee97f7ec3c0b,0.04529745%,Bridge User,
0x040012c9ce3bf5611441a3b8fcf12ac3920cba7d,0.04529745%,Bridge User,
0xfeec763e83195305e3d6b5b8ff55ae2faed0a487,0.04529745%,Bridge User,
0xee6b5baa4e0ea45983907dcfd2eb99487807ccb1,0.04529745%,Bridge User,
0x0d2cbc3c67e44e3984231739e9aed0c33a559e01,0.04529745%,Bridge User,
0xf74aabd147d36d1795fa8fcd155c9d4c0af8e8c7,0.04529745%,Bridge User,
0x8164bcd381c18403e069c06fe39ff9f63bc9f8cc,0.04529745%,Bridge User,
0x866f98e4d2b0742110cd674214767140477bb342,0.04529745%,Bridge User,
0x719028736f10164c838ef129936779ed739312f2,0.04529745%,Bridge User,
0x2892f9f13224e737a5e143d5c6aec0999e297b46,0.04529745%,Bridge User,
0xbfcf6e9faaa861871acc80542f8f12e43251d98c,0.04529745%,Bridge User,
0x972f93a5fcbc7762b39788207ad134350d32991a,0.04529745%,Bridge User,
0x984474516ef1a9d02cfe59bd37629b51b489c4e5,0.04529745%,Bridge User,
0xf5b3712637445f3b6c48355a6a0d442d426fae05,0.04529745%,Bridge User,
0x4fc7b5ba6d3c40a7ccfc286ae2432d957eb5f0b4,0.04529745%,Bridge User,
0x4aefbf237cdadc550468422d62d8a65e93fff13a,0.04529745%,Bridge User,
0xee456668a6476e5263b18f4f98a38126df2561ba,0.04529745%,Bridge User,
0x5eef2051e209dab17433e97518deeb1d90e85fd0,0.04529745%,Bridge User,
0xee74356635a216a1fc89d4921495124c1533b0c8,0.04529745%,Bridge User,
0xaaf4b914b35b00c00dff569a6f504db650be854e,0.04529745%,Bridge User,
0x5b55b230f13a90a72984175d27d5783f29f124f2,0.04529745%,Bridge User,
0x02caaa46b77ae1fd7246cd6bda0e41c67398fecd,0.04529745%,Bridge User,
0x49d64ad862cec182576998bbc379b2e2a1ac7b3e,0.04529745%,Bridge User,
0x82f090bac915d15b3f361626b58ef2e9751e4324,0.04529745%,Bridge User,
0xaed471b028867e6fbfb9f34a2833507429bb73e3,0.04529745%,Bridge User,
0x8ab6647070bf140bb261ae834debd9f1a8cc53ca,0.04529745%,Bridge User,
0x885b73c3586576541e18a8b84f6f0b641a6c1eba,0.04529745%,Bridge User,
0x6640ed41b5bf1c1b9372078241d38f9f67fe9542,0.04529745%,Bridge User,
0xa5bb89408d67deff1907b8282c8afc9f297a70b9,0.04529745%,Bridge User,
0xaa76ad27a77b52a0a48af664051894db00c9bbee,0.04529745%,Bridge User,
0x4f4d4e86e7766cf041d4617be057affc156331f1,0.04529745%,Bridge User,
0xb00db9c0992024d1fc41f152bc5e4d5ffb8bfb25,0.04529745%,Bridge User,
0x2b716a0bbec8e3283fe1f4239127975a7d8ac3b0,0.04529745%,Bridge User,
0xec099da9ea96c4ccfefc9f2438ca750991d44188,0.04529745%,Bridge User,
0x9e118e62523c2781b0b80ae8f02c23bdf8ad6d5a,0.04529745%,Bridge User,
0xe3813cf52f2cfae073bcd83728cd48469baeed08,0.04529745%,Bridge User,
0x483932909e1806deb9ea542b3cbd77858959d696,0.04529745%,Bridge User,
0x9709196ada9626a92bd983034b5df8f4ef914011,0.04529745%,Bridge User,
0xf359e6e98e5dd0870b0e6fe4d755871186f4fa4c,0.04529745%,Bridge User,
0xe762cb24b2ce2b3366d3f4c4d5e9783366cfc34b,0.03882645%,Bridge User,
0xc3253e06fa7a2e4a3cd26cb561af4af83466902d,0.03882645%,Bridge User,
0x4831ddb6502ca45dbeedf58b47292061cdb6050b,0.03882645%,Bridge User,
0x2702a9118cffeb33d926069a91aabd4815db2259,0.03882645%,Bridge User,
0x4fa1ff0a3985e84a97bdbf96d2f48c69840a034d,0.03882645%,Bridge User,
0xa7f64e0788c2d1ae01138ec9c3db3684161aabae,0.03882645%,Bridge User,
0x9f6d7835b925038bf8e30e488d1971e60d9f3397,0.03882645%,Bridge User,
0x615b274fd1a404fe5f6c59f0b8310cc7f889a9cf,0.03882645%,Bridge User,
0x1b74c9443216f6b5e4fd5c7c2906031fa4a01ef3,0.03882645%,Bridge User,
0x7ab0f85e2de9c89629adb874a5cf0ad33b3a6912,0.03882645%,Bridge User,
0xe129a2019e212e6ab6786c0dfc484e0cc3e59b5d,0.03882645%,Bridge User,
0x30ed3c3df92f2f3c6a7ae9094a614a5e487aa14f,0.03882645%,Bridge User,
0xa3cd74ba0eaa9fd7246b334fe8157987919744e8,0.03882645%,Bridge User,
0x0a494fa664ff6a983d726a092bfff0251bc7a509,0.03882645%,Bridge User,
0xe32a23ee600179ae14b0a9b3545ce337308545e2,0.03882645%,Bridge User,
0x973efe97a5fb054af9b71307bd9fd504b04d18a4,0.03882645%,Bridge User,
0xe113065410224b89cdcda3495438b68c4c6465c4,0.03882645%,Bridge User,
0x768e04c8e53c1de41b5c68380d7b332b48e9c72a,0.03882645%,Bridge User,
0x4af39a873cfd7e8ec7ade2264c18a0f0bfec665e,0.03882645%,Bridge User,
0x76619eb9f77126da088e112ed5a933a10d1ecea0,0.03882645%,Bridge User,
0x10d337e1103078ffbecbeddfb275bf5eda6a5c92,0.03882645%,Bridge User,
0xd0eb9ceaf3fd3b8b7260558614536a38893a4a92,0.03882645%,Bridge User,
0xa38720671d9158026eaa2cc448891177365626fb,0.03882645%,Bridge User,
0x4b9caf66442bdb677e18cef293a2ef9cc2a0d38b,0.03882645%,Bridge User,
0x4ca1451219dc174c089264fbf0eeeaf3e3da8f33,0.03882645%,Bridge User,
0x82a214b23c0119f0c37be360889927d68c2caab6,0.03882645%,Bridge User,
0x7df586da8bdacb7aebd98009bc57d6433141ab93,0.03882645%,Bridge User,
0x94587a95917188b338c822de2d1e77074131589f,0.03882645%,Bridge User,
