Address,Allocation %,Type,Sum
0x12d3D411d010891a88BFf2401bD73FA41fb1316e,11.3926322915411%,sdANGLE & veANGLE,100.0000000000000%
0x529619a10129396a2F642cae32099C1eA7FA2834,9.9925556919065%,Labs - Rounding,
0x41Bc7d0687e6Cea57Fa26da78379DfDC5627C56d,8.5930510452228%,veANGLE,
0x617c34A9B6F080a0f25988DB6C903a8348D41081,7.3436802589736%,sdANGLE & veANGLE,
0x425712a974D4f2802309e0E68d001756363c1C55,6.9288400245673%,veANGLE,
0x9843C8a8263308A309BfC3C2d1c308126D8E754D,5.0867690730799%,sdANGLE,
0xEa51Ccb352Aea7641fF4D88536F0F06Fd052EF8f,4.6717782513079%,sdANGLE & veANGLE,
0xdC7Aa225964267c7E0EfB35f4931426209E90312,3.9634500917384%,sdANGLE,
0xCF263cEe139763114fAaFC5F52865135412F50Ec,3.4725573832523%,veANGLE,
0xDdB50FfDbA4D89354E1088e4EA402de895562173,3.3312046121575%,sdANGLE,
0x5Be876Ed0a9655133226BE302ca6f5503E3DA569,2.8012141105188%,sdANGLE & veANGLE,
0xF930EBBd05eF8b25B1797b9b2109DDC9B0d43063,2.5550408156724%,sdANGLE & StakeDAO Boost,
0x1A162A5FdaEbb0113f7B83Ed87A43BCF0B6a4D1E,2.3055463327072%,sdANGLE & veANGLE,
0x813eaf28F5ec872F053504F51047c231E99d09dc,2.1795035453170%,sdANGLE,
0xAC95712Ccf7fd178f198C7B6fd2d5f6f7a202929,1.8172006842707%,veANGLE,
0xaE58656D27c561f93dE0e23042B67eDDea69A8fc,1.8053856138029%,sdANGLE,
0x4b003868bBD5ADd0D1251553b829E58Ba3CdCd3c,1.6021112494871%,sdANGLE,
0xD34f3e85bB7C8020C7959B80a4B87a369D639dc0,1.5001031844431%,sdANGLE,
0x21777106355Ba506A31FF7984c0aE5C924deB77f,1.4569489336978%,sdANGLE,
0x02FBADF4F6587885c7Db75c65d13cF5FeD2d246E,1.1177352763608%,veANGLE,
0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,0.9418403000930%,veANGLE,
0xa8cbF4200595eFcd94b7526D04dEafe0f284aF2d,0.7584203042889%,veANGLE,
0x98D3783a813D50d2efd1CC2BdeB0383dd2Ecc55e,0.6969044656933%,sdANGLE,
