Address,Allocation,Type,Sum
0x0c5D52630c982aE81b78AB2954Ddc9EC2797bB9c,10.000000000%,developer,99.999999770%
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.242644391%,user,
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.054220621%,user,
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.020425664%,user,
0xfA68d09CA598274791Bb6f0Bc76352D9f2b4244e,0.000002430%,user,
0xc4BAA07Ab29F1bcE55F8aB91Ab4f08327e2F1bc0,0.000029600%,user,
0x0872443E228Cc2D536A50E146F69903aa96cC1e3,0.000004400%,user,
0x34366C0b8765392F325c12dbc6fCca2c9feD03df,0.000030400%,user,
0xFda2969676dee1eD0BFb1EB99B581a886ACfCd53,0.000029600%,user,
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.011857982%,user,
0x3255f62BbD1317ed1590228f287be8D602d78443,0.011857982%,user,
0xfdf3B3B1cfE5f4967DabA1719693d589Ba790c1c,0.000004130%,user,
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.048123470%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.019580482%,user,
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.019678365%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.178263124%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.174445006%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.177061262%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.176978876%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.178113442%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.133019075%,user,
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,0.017352251%,user,
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.024772115%,user,
0x040aCBe127F76D747BeD760E0Da95B340A28eE9D,0.000011700%,user,
0xFa12Ee9D688ECcD86073F23Bf78ba034FD2b0A7F,0.000063500%,user,
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.000008550%,user,
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.003466830%,user,
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.181183445%,user,
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.030590189%,user,
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.015673935%,user,
