Address,Allocation,Type,Sum
0x9300294B5AA4Fd6942C6B92a96E44a5A2B6a031F,10.00%,Deverloper,100.00%
0xa70e030494A89E9118943A9C6264A36ca09Bff2C,43.0287417380326000%,ASTR OFT Holders,
0x5a3319058425ee24a2842a24c6f0339d999b9f46,18.7330137258945000%,ASTR OFT Holders,
0x5a20cbccfd256100546ca70e368d102ad7bdcdd1,6.6605704852064000%,ASTR OFT Holders,
0xdc014394c439e152394e92ab013ece1f91c718d7,6.4659952751889700%,ASTR OFT Holders,
0x8bcbd2b0240c3e54d803e33ba944fa98267312ff,5.5395390793799700%,ASTR OFT Holders,
0xa99747DC5e34C9B1431f39fE3F107B30CC95d66c,4.8619938495815500%,ASTR OFT Holders,
0xa092ca12ff1770f0fe3f3e30132daf82a8e13d7a,0.6778997569968620%,ASTR OFT Holders,
0xccb8afa6e35f5422d96486d44a351a6558f21ff5,0.5162588330477380%,ASTR OFT Holders,
0x1abf3a81aeb18a0ef9f5e319d7ec7483b45456fa,0.4904785251131020%,ASTR OFT Holders,
0xed0b6ad16c4ac938fb8109fd6263bf7860f4e0e5,0.3109068866264950%,ASTR OFT Holders,
0x1562c1b2b3e81b293b54072c2f743c1ceb34ce06,0.2884635599872210%,ASTR OFT Holders,
0x6fc915b7228d757c9a3c8feb099e0909fb00855d,0.2108416908743610%,ASTR OFT Holders,
0xfe44e864e0815f31788df4504c9c088f1be2c4be,0.1988177590061290%,ASTR OFT Holders,
0xc55f1c0fe3f7e0fda7b896a688e33cf2afdefa80,0.1376919708078650%,ASTR OFT Holders,
0x975e7201e007219ad6386443ade9c7af4d4f86e5,0.1322149025350010%,ASTR OFT Holders,
0x65eae456cf46acb0dfa8176f487bb4c73b10c36e,0.1245598969022260%,ASTR OFT Holders,
0xb9cf202777ab3bab294fce941f235a05cd7f2e3e,0.0961536078224314%,ASTR OFT Holders,
0xded8f669eda0d27f5935d8e3240b10d2cc57513c,0.0879009405169589%,ASTR OFT Holders,
0x439fa0ee8962720ca97b88e6413baa14ecb5aa1f,0.0847235907877143%,ASTR OFT Holders,
0x8b29e12f9a7e3256f5b3b2e975d437c47fa17922,0.0731574652398537%,ASTR OFT Holders,
0xc7969ddd9728ea141d39ca8f4f0dcda9715f9b85,0.0675551231776087%,ASTR OFT Holders,
0x94d6adfb6491b43f33ebe4151307ed7c9908ed7c,0.0645431113166413%,ASTR OFT Holders,
0x42433d97da8e5d8011ec358838071c269c9050a7,0.0533556386880476%,ASTR OFT Holders,
0xa8312489a1c5c254d248f8cfdddd56893d2a9745,0.0524559077163000%,ASTR OFT Holders,
0xe996572b5726092d16a7ed899277191e2dfc5dc7,0.0430313226019104%,ASTR OFT Holders,
0xd2816cbd395c9003341b77e686d65a3ba6375d4b,0.0391740410721054%,ASTR OFT Holders,
0xb2763c0c06fdab3db6739b8a25d8362f411ddc85,0.0311579619993831%,ASTR OFT Holders,
0x2432bb8320b5d8c15d7985dd70824a76ed45bcb0,0.0287819798617679%,ASTR OFT Holders,
0xd18f98914406abbb066bf02f88650df92ecfc430,0.0280833895609682%,ASTR OFT Holders,
0x2a3dd3eb832af982ec71669e178424b10dca2ede,0.0266958914151924%,ASTR OFT Holders,
0x9902597acd34af2fbbcf1603cfc7131bd468ed81,0.0258291568819129%,ASTR OFT Holders,
0x5a03277b30a28b614f227e1f6c50aa5385bb6c50,0.0227191751832977%,ASTR OFT Holders,
0x831c3473c6842a2e96e30f2341330d96377c2054,0.0212827970168222%,ASTR OFT Holders,
0xe6c5a898d1ea4771f5e822afb364d059bf511dd9,0.0202151554367601%,ASTR OFT Holders,
0x0ddaf2d9ef473a903d69975798233b923a1bc357,0.0198405524185958%,ASTR OFT Holders,
0x4350daf37779a862fbf571ad39968a1a55924d0b,0.0183336990454992%,ASTR OFT Holders,
0xd7464f6283d4be6d86e75f7ee9ae3240bbd18be0,0.0167812089422085%,ASTR OFT Holders,
0xaf50942a6552333a69f736a00aaf7d5f57e764e1,0.0156475062017607%,ASTR OFT Holders,
0xa3380cbe670a1c5874d3fbf726e1104a6a019a71,0.0152415815332239%,ASTR OFT Holders,
0x8ad6082d0b72b9bcb71155c18c410e6bea3c1130,0.0141501735748076%,ASTR OFT Holders,
0xd35d2d8a81ea6a82fca9cba58c0b9afc0ac6ed86,0.0132856046272347%,ASTR OFT Holders,
0xe7ef179c4d3555abac0203fe9cadb53845b56199,0.0130301400910368%,ASTR OFT Holders,
0x850ffe453d4c6689b7932b405bf6cd435456ce77,0.0129765732099941%,ASTR OFT Holders,
0x4f43c9f389ff44ebf7f3363c76250aa2ff43feb3,0.0126538921172428%,ASTR OFT Holders,
0x06ce1f5d0ee2de871d962ed40df5e9ae81fae604,0.0112735301098939%,ASTR OFT Holders,
0x0588fb83c14187ef6be53541fbad88f435a93527,0.0111874726281390%,ASTR OFT Holders,
0x1e5e4b0e49ab05541a7f2b1f9fa7645beac96814,0.0109045083286960%,ASTR OFT Holders,
0xd51d49a1a67ab4ed75825d1f8a99b1c794e4a164,0.0108328918489701%,ASTR OFT Holders,
0x77c9f9584c41657fa4e62e30d90bfb465e363bca,0.0107657909675399%,ASTR OFT Holders,
0x572113454672d4175d6feaca6b9d791c41df3966,0.0105648156204166%,ASTR OFT Holders,
0x69ee872b8bfac931da5a43a4b005cc0a90554844,0.0100297933444896%,ASTR OFT Holders,
0xd76bb40d855dece19de5d84a6a42a07f2b82fe72,0.0095327051927643%,ASTR OFT Holders,
0xba646364ce8cc667195af04875b7b8b39bc047e7,0.0094554012362117%,ASTR OFT Holders,
0xb32b41625e14e55757a5d0cfcdd9768a1695c5f3,0.0086778228198855%,ASTR OFT Holders,
0xb5d9c1691363503483d7ef5ccac811cafb989272,0.0080372131084569%,ASTR OFT Holders,
0x1064f58bbd7ed0a6ddc638d5f26ba772f56716e6,0.0079109456433791%,ASTR OFT Holders,
0xc779ceb0853fa7ab6a38c587c1cfc702e4603d9b,0.0078890466697126%,ASTR OFT Holders,
0xda4b36fb611fce81765d16eebb6b420462196c0f,0.0078828653287503%,ASTR OFT Holders,
0x6c7e7fbfa69f4b5a5ade1c27bc74fa4290a3b8a3,0.0076289957575733%,ASTR OFT Holders,
0xdfcc81b35fa31a27ed4bcfda88c318c336ef1733,0.0074069039651760%,ASTR OFT Holders,
0x8400336c59342daec4a96d9e5f8905b3a791fae5,0.0068579201576250%,ASTR OFT Holders,
0x92f92f556acd505697a5180d9fbef4a221930a61,0.0067163575703840%,ASTR OFT Holders,
0xd4ec964bca56fbbd99e10ee9e3e0bdbbd198ef39,0.0064554328217928%,ASTR OFT Holders,
0x48bbdecb623cd061674dd9b7780c9958d1042df1,0.0064348989354209%,ASTR OFT Holders,
0xc2fc3dad728c1a4ee0a307aa12c53b43ea028bec,0.0063351438347138%,ASTR OFT Holders,
0xe29159eadad790223b127e33c4b55e3cddadc5a6,0.0062486337502244%,ASTR OFT Holders,
0x6b336e0a5266cc4778a86e6a8e0ac3d4c0e760e5,0.0062166004126444%,ASTR OFT Holders,
0x833f3e290acb0a9697b4ff53be3d5875916f4628,0.0061479581384867%,ASTR OFT Holders,
0x083296c75775aef16aa3c49dd45446d88db68918,0.0055239145611693%,ASTR OFT Holders,
0x8f4c28d40ee88a8dcd747e7916bb350b4fbb648f,0.0051634489052949%,ASTR OFT Holders,
0xeb5887734e12dce3f0ff264ae50ce2d4cceecc67,0.0050773914235400%,ASTR OFT Holders,
0x51d7ad5db9f3a67c4ac97fac2d6b91b8f95781b7,0.0046303759238025%,ASTR OFT Holders,
0xbbeaa529264a43ea4cdee9e5b68b6eb5f986caab,0.0044709624936991%,ASTR OFT Holders,
0x442c5676e31df8e0018c949b09141fd333980bcc,0.0044310997355606%,ASTR OFT Holders,
0xd7c9fa90edb7b40c34d6de1d09c750146ba2e8eb,0.0043896559824495%,ASTR OFT Holders,
0x7d4ad04afc1f0446b4589cb744a8f16f53f12cab,0.0043286913322723%,ASTR OFT Holders,
0xd3ae3c8e2700eec76a9823d6a4bc4e11b22adb28,0.0041413281291229%,ASTR OFT Holders,
0xbe02560c6a175cf1b73008835906c9cafdc6ad3f,0.0039549456106557%,ASTR OFT Holders,
