Address,Allocation,Type,Sum
0x3BC0Cb287f74504347D50fe3aDA6d90214E6F512,10.0000000000%,Developer,100.0000%
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,6.5876897061%,User,
0xFa82f1bA00b0697227E2Ad6c668abb4C50CA0b1F,5.9378628660%,User,
0xd14f076044414c255d2e82cceb1cb00fb1bba64c,5.4877296382%,User,
0x849d52316331967b6ff1198e5e32a0eb168d039d,4.8082155484%,User,
0xb1f881f47bab744e7283851bc090baa626df931d,4.2467072696%,User,
0x10a19e7ee7d7f8a52822f6817de8ea18204f2e4f,2.4855967857%,User,
0x205e795336610f5131be52f09218af19f0f3ec60,2.3689310084%,User,
0x28ba242755de3034ac4bd63261e3579bdb37d599,1.8389840765%,User,
0xca86d57519dbfe34a25eef0923b259ab07986b71,1.7773286924%,User,
0x92f5d472bb5018e858e23453641850bfeac30e7d,1.0741436327%,User,
0xc07ec9fa7410c97145d01d10e616162c976abaef,1.0717276549%,User,
0x1e7267fa2628d66538822fc44f0edb62b07272a4,1.0299910071%,User,
0x4a266739e40664e80470cc335120a2a1fa0b3f3f,0.9760363524%,User,
0xb587526953ad321c1ab2ea26f7311d2aa1a98a4a,0.8293158814%,User,
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,0.8003270937%,User,
0x4aab9e6eb125cdd378671188255f19325e3a804f,0.7866816039%,User,
0xa5af3d4135a260f800b6eaef2be5865407a5699d,0.7254499480%,User,
0xe5350e927b904fdb4d2af55c566e269bb3df1941,0.6138698019%,User,
0x922339aacfa3eb3e7d9f990f8aa25f8518902bba,0.5834784572%,User,
0x023320e0c9ac45644c3305ce574360e901c7f582,0.5479580215%,User,
0xc69adca4485c0c494f34e9aa6b0a31f343f76411,0.5273848344%,User,
0xb3685088c40ad473560c5d37a311d0780996d3b7,0.5162620477%,User,
0x285b7eea81a5b66b62e7276a24c1e0f83f7409c1,0.5034249076%,User,
0x3452045ed4f521c8d4638c1bb82b7cd666cb6593,0.5021930997%,User,
0x355f4d611eeb3770933c26f0213f7843350c90f8,0.4982827494%,User,
0x44E133b1f4a1C521c9E360e9f2eCEa6518564deD,0.4968697296%,User,
0x345d047de6fef34d6217ded8de15bb3300e536f1,0.4740019101%,User,
0x0d9a5678e73e5bbc0ee09faf8e550b196c76fdad,0.4479119105%,User,
0x334f12afb7d8740868be04719639616533075234,0.4369829096%,User,
0x35827ce7ba928d517a9e4025600f60e1238163d7,0.4242073694%,User,
0x0ae1be13bd64f8cf22680bd378893e8fc1bc56ef,0.4193976381%,User,
0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc,0.4175706142%,User,
0x2466f62d52005aab7a8f637cc3152361d4cc210c,0.4121041995%,User,
0x4334703b0b74e2045926f82f4158a103fce1df4f,0.3968017749%,User,
0x5c8260f4eb66ec847018bbc5f68694864ef094fe,0.3841004280%,User,
0xf95805355e68006a3fecac338706d9c19e81890d,0.3722014310%,User,
0x2b03b15e4a26d858dd594649988255eceb832787,0.3549469130%,User,
0xb3d8ffd804b75c4949907edc334e1ea95de6a7f9,0.3353581352%,User,
0x067f715e70225d0adeb92db6b705a071a2246a7e,0.3306341104%,User,
0x3000d9b2c0e6b9f97f30abe379eaaa8a85a04afc,0.3004251190%,User,
0x81de849adb5883d089cdfd66bb399b4af74a16bb,0.2939059412%,User,
0xaf3824e8401299b25c4d59a8a035cf9312a3b454,0.2809871105%,User,
0xce49aefddddba966cd69e6a4670f4f795f577264,0.2809177270%,User,
0xc7c10871096b36b036e41d45d15b32b0cc74b806,0.2586575506%,User,
0xdbddb659db12e4a04043136b30df0d1d77623a99,0.2574074728%,User,
0xb1e5bbff066b96efb382361d60435645c727241a,0.2541793635%,User,
0x2304488f0eddf15227c21b021739448b51e791c0,0.2479193579%,User,
0x99d39f545ab74bd686859b9608b6fe8719bc7349,0.2440762965%,User,
0xc581481e5c1958855b5c5facc103cff8d110585a,0.2425645844%,User,
0xd411b886e96291b089273a5835d2be4406700352,0.2382885783%,User,
0x424d5011484dd4abf2e52a5406bf225b1f50023b,0.2320619111%,User,
0xd97beffdf558b269257feba5df111ab718b71e24,0.2313255609%,User,
0xccc8530c0f21f8a3eeb247d183a2f6c23cd96218,0.2248983950%,User,
0x6e403a0f29a324c79ec25828388fe3b8aca8cbbd,0.2241507350%,User,
0x7734c638ce876eaa3aed06153b940501f2024d43,0.2234303523%,User,
0x37de2f99bf85ebc078cfcfe6bbc6b58f5d8c0b65,0.2225468584%,User,
0xb209a59a9f3cc7fa5a25df152a01f9df8b969a3a,0.2224202135%,User,
0x5891b90ce909d4c3540d640d2bdaaf3fd5157ead,0.2143224107%,User,
0xe4b32828b558f17bcaf5efd52f0c067dba38833c,0.2113081701%,User,
0x1c802b1f27acd3a3def732899fd1f4c61fe30dd8,0.2076513799%,User,
0x7063724ef974689e2962662e6fc4f9ca17d83344,0.1965709001%,User,
0xb1e81d0107c5efe867ad850f73db3b21b442835a,0.1961019971%,User,
0x4281e53938c3b1c1d3e8afd21c02ce8512cdbc93,0.1940304902%,User,
0xbb19053e031d9b2b364351b21a8ed3568b21399b,0.1907854752%,User,
0x99c84a29040146f13a0f061d7a98c3122da3e29e,0.1886523432%,User,
0x8ccbf4a7be2c6d6c167998cdad6593a2a06c1995,0.1869859696%,User,
0x9d5df30f475cea915b1ed4c0cca59255c897b61b,0.1855465798%,User,
0x3e7ec248fd5be044c0efce9faa778ac374350efc,0.1824283557%,User,
0xe357b511804f52e5ad27e8a8e09f4884e893bf99,0.1817079919%,User,
0x432dcbda06e8b296ca29705572d7cb6315ed8bed,0.1783590676%,User,
0x80e6c4918ce508c08f7e4298f64464044cf79db7,0.1781493836%,User,
0x968f06d986718a27f89c4bce51d06d6472913394,0.1686742889%,User,
0x20907a020a4a85669f2940d645e94c5b6490d1ad,0.1685337123%,User,
0x78e787da990c86ec7ff37598f30d5431a8772576,0.1628039295%,User,
0x359b0ceb2dabcbb6588645de3b480c8203aa5b76,0.1614473101%,User,
0xfa8e3886920548dfa541709597083e30af7e1045,0.1598191767%,User,
0x68a9857b0e540e5a800151d3e4a33037191a5dc4,0.1591800728%,User,
0x0f9a2448c47d7c06f53015fdd7d9d34d7f151738,0.1568334615%,User,
0xa42d32b50275415d3d02c9f28bd5d1310f2b55c3,0.1512834673%,User,
0x098cf33e0bb24f53a99e31d7837244839008eb99,0.1499307382%,User,
0x7c55a970a50d58f2b0efa03aa1f6f582a7c6cf0f,0.1486135589%,User,
0xea06e1b4259730724885a39ce3ca670efb020e26,0.1441348366%,User,
0x71e47a4429d35827e0312aa13162197c23287546,0.1429529311%,User,
