Addresses,Allocation %,Type,Sum
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4,10.00000000000%,Developer,100.00%
0xe58585b22cc2ac4270a2b92c2d2d8c5db5a3330e,0.41474654379%,Ecosystem User,
0x612845cd7cd3b57d97e84428eb4ba267bb0591ee,0.41474654379%,Ecosystem User,
0xc8728ae130381eb77fc9a8b715564b00e83e19df,0.41474654379%,Ecosystem User,
0xbf7271798ae210ebdd6d26a7d2e944592e7c7e1b,0.41474654379%,Ecosystem User,
0x896c20da40c2a4df9b7c98b16a8d5a95129161a5,0.41474654379%,Ecosystem User,
0x36d21887650f56dbbb76aa7513101ff9b23d0cf2,0.41474654379%,Ecosystem User,
0xa8691fdb7196a42dff9cbea41869e9c0d74c22a0,0.41474654379%,Ecosystem User,
0x9521e9493b6740f89adbfba790ab5d346a34aaa1,0.41474654379%,Ecosystem User,
0xe159640ac0f887eedb72b322774e4bcedc6daaad,0.41474654379%,Ecosystem User,
0xc3d479675ab2dac0bcebe1809cbb0fba5629c517,0.41474654379%,Ecosystem User,
0x345d047de6fef34d6217ded8de15bb3300e536f1,0.41474654379%,Ecosystem User,
0x7e774194daa45a18292d8d5d1ed14ef33e05f7ca,0.41474654379%,Ecosystem User,
0x5e4568c4d8343052a06ec8aab1e124af08b73248,0.41474654379%,Ecosystem User,
0x7030d5ae6c8bebd850e2efb8382ad7dde4b88174,0.41474654379%,Ecosystem User,
0x277675aa7498d32cda1b19643f6a1efa0b494e1c,0.41474654379%,Ecosystem User,
0x38467d933117c0fc96c7f0b74c52dc6f4e5cd98b,0.41474654379%,Ecosystem User,
0xc35bd8e35d5c866f90bd8db563680712560a9765,0.41474654379%,Ecosystem User,
0xaacb5245bc1a36df875f76f6cb13369e60f60885,0.41474654379%,Ecosystem User,
0xa7c3144118d02d2bf76b3d3e1db3f7f421473ff5,0.41474654379%,Ecosystem User,
0x46fcb04b7cafef59d2ce09d79d32ad4a0afa9e61,0.41474654379%,Ecosystem User,
0x62d75fde870bd14baba4ccbfc706a92c6528e944,0.41474654379%,Ecosystem User,
0x8669c0bcc5e95214ddac747e069d004d6bf99ea7,0.41474654379%,Ecosystem User,
0x9e9f535da358bf4f9cdc10a3d690dcf981956f68,0.41474654379%,Ecosystem User,
0x891ca7e61d3868b9edbf20ddd045fc7d579e77d5,0.41474654379%,Ecosystem User,
0xfa2d501dea12306281b9fbccc93bcbbe38ef0a4e,0.41474654379%,Ecosystem User,
0x3d8e5f39ba09e1dd10002ec7ec1b48dd20e23e15,0.41474654379%,Ecosystem User,
0x93fc1f35f53a9553534979233caf273214c51fd7,0.41474654379%,Ecosystem User,
0xbc1939b8b22d47aff7119917c2e8ea241d1c367d,0.41474654379%,Ecosystem User,
0x424d5011484dd4abf2e52a5406bf225b1f50023b,0.41474654379%,Ecosystem User,
0xc407e861f5a16256534b0c92fdd8220a35831840,0.41474654379%,Ecosystem User,
0x985c3e74201d8c4907e7d8db06bb1f83639bef0c,0.41474654379%,Ecosystem User,
0x3b41e701aa1d946a58909ff5fb7cd4bcfc10d808,0.41474654379%,Ecosystem User,
0x37098e83c678721d2909e10f49f7a5bfb81f9e28,0.41474654379%,Ecosystem User,
0x11eef043a0908f209ce53ac289a0fec2e82ce45d,0.41474654379%,Ecosystem User,
0xdf9e356e3ff2862147cdded2aabd0d6eef06895e,0.41474654379%,Ecosystem User,
0x99afd53f807766a8b98400b0c785e500c041f32b,0.41474654379%,Ecosystem User,
0x359b0ceb2dabcbb6588645de3b480c8203aa5b76,0.41474654379%,Ecosystem User,
0x101d88a0f5ffee6879070a11eb20a2ffa3e1074e,0.41474654379%,Ecosystem User,
0xec220edb5b28c091981a113462dc801adfc58095,0.41474654379%,Ecosystem User,
0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,0.41474654379%,Ecosystem User,
0x981e4bc044632244b286184789cdf5bd8a83224d,0.41474654379%,Ecosystem User,
0x53143d37caa2cf41177b8d66e0125731a1247af7,0.41474654379%,Ecosystem User,
0x98e08545c8d4acd7089b7512281c5d64873d71b4,0.41474654379%,Ecosystem User,
0x01e198818a895f01562e0a087595e5b1c7bb8d5c,0.41474654379%,Ecosystem User,
0xcfc392cdf8b440bf13f4a774071659667a9733da,0.41474654379%,Ecosystem User,
0x75e42d184b2f4b1fea2673a9f3116d1f66c90b44,0.41474654379%,Ecosystem User,
0x2f1e5295e5764a3931061d62df2c45e4316f11eb,0.41474654379%,Ecosystem User,
0x6c8f61d3043f639f3404910a632ce0ea154b51d2,0.41474654379%,Ecosystem User,
0xcc16d636dD05b52FF1D8B9CE09B09BC62b11412B,0.41474654379%,Ecosystem User,
0x7e8416ad4de6e12a807bc3a987ae53b0299c96fb,0.41474654379%,Ecosystem User,
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.41474654379%,Ecosystem User,
0x1d3d543ff89b6e7431ecdd1c456e3e446356105e,0.41474654379%,Ecosystem User,
0x7eb9d67f9daea510399a1ee978b36e66626058d3,0.41474654379%,Ecosystem User,
0xdbf4198f3fbd1af5fd4adc67053dcf9111b8ca5c,0.41474654379%,Ecosystem User,
0x1c0d402259e4bbe47bc40ca0063fa986637f9d4a,0.41474654379%,Ecosystem User,
0xe5350e927b904fdb4d2af55c566e269bb3df1941,0.41474654379%,Ecosystem User,
0xf15bdff7a1f2f5d7c4f7cfdabfb669cb2630f86b,0.41474654379%,Ecosystem User,
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.41474654379%,Ecosystem User,
0x0b20a6140118be0235db1bcb0dfa96d5d656ca51,0.41474654379%,Ecosystem User,
0x050b1e5417880bf941f8315999628bb668d2ea2b,0.41474654379%,Ecosystem User,
0xdc4c63be742ef2a923ce1532e1e300b1fc1a00fa,0.41474654379%,Ecosystem User,
0x0494f503912c101bfd76b88e4f5d8a33de284d1a,0.41474654379%,Ecosystem User,
0xa101f0538f7faa9646c46a5ef565255ae74e8574,0.41474654379%,Ecosystem User,
0x0e41c9b548cf0545377aeeb693a6006172f1af81,0.41474654379%,Ecosystem User,
0x45ec6a657ad37845dc1d2c3ac653721d3037bf41,0.41474654379%,Ecosystem User,
0xf64e39c87aebe48802f76659c864d449ccd784dd,0.41474654379%,Ecosystem User,
0x98cf9dba0b2c147fb2477a001e87b565073bae1a,0.41474654379%,Ecosystem User,
0x14656be3f4225d7554f7a6017044c77bbec9d0c0,0.41474654379%,Ecosystem User,
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,0.41474654379%,Ecosystem User,
0xa01876dfa59ebc1442d146ba42c08ba92dc96436,0.41474654379%,Ecosystem User,
0x53a806789bbfd366d9deb9cbe5d622089e845fdb,0.41474654379%,Ecosystem User,
0x25b70c8050b7e327ce62cfd80a0c60cccf057fa6,0.41474654379%,Ecosystem User,
0xae0baf66e8f5bb87a6fd54066e469cdfe93212ec,0.41474654379%,Ecosystem User,
0x139776871ee95f55d20b10d9ba5a0385451066cd,0.41474654379%,Ecosystem User,
0x40325d6186d1dcc2ba1c7ae0de8cb55fb2a8945f,0.41474654379%,Ecosystem User,
0x5f3faa343ceef46aa5051bea2c181965b5bea7c5,0.41474654379%,Ecosystem User,
0x5f10269c8e08b70b9aca31c12e7f12d8150d97b9,0.41474654379%,Ecosystem User,
0x1d9df861d0dc37c60fc21b71452aa39738b7ae06,0.41474654379%,Ecosystem User,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.41474654379%,Ecosystem User,
0x8d95730bab8499e1169d2b7208005b11721cee6a,0.41474654379%,Ecosystem User,
0x5f10269c8e08b70b9aca31c12e7f12d8150d97b9,0.41474654379%,Ecosystem User,
0x4ed4a978b67e1a8710c9f00c0e1224151ae26b5f,0.41474654379%,Ecosystem User,
0x5ce0595582e42f88ce7c0062c5ec80dd5e76d193,0.41474654379%,Ecosystem User,
0xecbf0aa9ead17d2bf7bd8aa83a0cdc8510a75a7b,0.41474654379%,Ecosystem User,
0x23450f179fac5974d0215f7e321caebea9f854f2,0.41474654379%,Ecosystem User,
0xf814a8e1607aa1d1a33f42a4c9b3b67eadce45bd,0.41474654379%,Ecosystem User,
0x61bdfe77ccede9a4cc900644b9e3e908b52345ad,0.41474654379%,Ecosystem User,
0xe40e17d79c51da492e2f521edbb6e37ce2c8b86c,0.41474654379%,Ecosystem User,
0xb0eb5a31ca1f3f6213468c753f8efd7ec95b80cd,0.41474654379%,Ecosystem User,
0x76c5480ed39e1494755aa49945b202caa553d7b9,0.41474654379%,Ecosystem User,
0x7865a9f3ad5654a2c8c8ab94459b976b69b19e11,0.41474654379%,Ecosystem User,
0x58f2f865160ca86b8a66d84200a25fd95daceb78,0.41474654379%,Ecosystem User,
0xb27c97ff379cf77f1d190e67dfc62eb2f9ed8556,0.41474654379%,Ecosystem User,
