Address,Allocation % ,Type,Sum
0xa85cc24d370E79a5b7eD2dbC209A49355d6d1Df2,10.000000%,Team,101.971834%
0xa98e624bc2272c2582ba9ff8817a642c5e8abff8,1.408451%,Bridge ONFT,
0x48b5bbe0441b10188453138a28f792236991b668,0.563380%,Bridge ONFT,
0xaa6a3d66f1cdf840a7deefe84a243bef6f19c114,0.563380%,Bridge ONFT,
0x11bb3e79569f02d6c53c47e8cd8631d9b42e89e8,0.563380%,Bridge ONFT,
0x1076c2cfb8d1f3aa5bf050d8c0d6d128175bfeee,0.281690%,Bridge ONFT,
0x482dcbe87210a3055c866ab9c1bd76ad244c0f4c,0.281690%,Bridge ONFT,
0xfee491c0b468ec431e51eeddd1006b8bba3fa40e,0.563380%,Bridge ONFT,
0x62810f139d083bc02de422cc9c9f5e84eb94c8cb,0.281690%,Bridge ONFT,
0xa85cc24d370e79a5b7ed2dbc209a49355d6d1df2,1.126761%,Bridge ONFT,
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.563380%,Bridge ONFT,
0x0f72317c3b60a065ba3dcf88adc7e58ca478abe1,1.690141%,Bridge ONFT,
0xd65f7682d4595c4fbff388d0133c666f693571a3,0.563380%,Bridge ONFT,
0x0257a817b8c2c2c63a8f04480e2dcb3d64e4e805,0.281690%,Bridge ONFT,
0xcf2f8b0a91ee5c45f3dfe91fa9426760f8434a9d,0.563380%,Bridge ONFT,
0xa2bccfd71b8adac044ac1ec9c9e9e30974d38212,0.281690%,Bridge ONFT,
0x0e258e683d0ff20d8b02e834ef8e3fe15e59573a,5.915493%,Bridge ONFT,
0x364f0a2e0549e798a26b2924146f73f25e211464,0.563380%,Bridge ONFT,
0xa09ee279487ff6820884165f941afe6f51d9e8c7,0.563380%,Bridge ONFT,
0xc279cce107a9272ffec07cb1b7471491c2fee5a2,0.281690%,Bridge ONFT,
0xdb03806d5c2019b89cbab227a36feae59f24c243,0.281690%,Bridge ONFT,
0x014cddbbcd716a0a4643daa89debff4e479f6f2f,0.563380%,Bridge ONFT,
0xd7464f6283d4be6d86e75f7ee9ae3240bbd18be0,0.281690%,Bridge ONFT,
0x79e08379a11518676e16415cf8b388cbd2ec86e5,0.281690%,Bridge ONFT,
0xf588e581b565c1af5f9d5f4f1baf298265fc2380,0.563380%,Bridge ONFT,
0x9ce75cfaaf43d0494be5b09a5ed16c2ad507309d,0.563380%,Bridge ONFT,
