Addresses ,Allocation % ,Type,Sum
treasury address (not provided),10.0000000000000000%,Treasury,100.00%
0xbfb53a2c470cdb4ff32ee4f18a93b98f9f55d0e1,0.0046003450258769%,Bridge User,
0x8cd6979bd3f49774995d8270b178e1bb69e77be2,0.0046003450258769%,Bridge User,
0x0425af61621e3125f4f47df35cb1c497f76ed05a,0.0046003450258769%,Bridge User,
0xccd95a8638306f7bf6840280fa82354278aa8b5f,0.0046003450258769%,Bridge User,
0x039b1bc301216795e439b623aad3dfb76cf693f7,0.0046003450258769%,Bridge User,
0xf2516e1c14e0d682f133156b95c9e1bf30ea2205,0.0046003450258769%,Bridge User,
0x07f5c339eed8d8dbb73a18c913e5c30ffbb503af,0.0046003450258769%,Bridge User,
0x952ea8ac9a65fcacf9ce57cc0797726962c7b614,0.0046003450258769%,Bridge User,
0xc1eb1ea210b10230f7f1f91e1be7405d67b4da6f,0.0046003450258769%,Bridge User,
0x57e3223d97195e7c5b3502cf4b36f35dbad70539,0.0046003450258769%,Bridge User,
0xc35e34d2cfb868b0c1f4dd1a890a0b96bcd03b9a,0.0046003450258769%,Bridge User,
0x5fed79a44b663d4a019e83e4df0b047870ec20da,0.0046003450258769%,Bridge User,
0xb8d305b8794d58dd54aab3b59b6a166697381827,0.0046003450258769%,Bridge User,
0xbe5f5682f5c459f9b0629c06a3dc80aae9f1aa3d,0.0046003450258769%,Bridge User,
0x866ce3d338627a96be12597b3baf040cfb577ba1,0.0046003450258769%,Bridge User,
0x19f431dfa97052d415f14db81b4ef4df36210180,0.0046003450258769%,Bridge User,
0x178aff63084dc068ed0e995f42948b9198cee886,0.0046003450258769%,Bridge User,
0x81a8dab212da4d11e3e8fb977f4c6c5c28f2c967,0.0046003450258769%,Bridge User,
0xd68e99ff6625db6986fceb3ab1f990d48d738b0f,0.0046003450258769%,Bridge User,
0x597a3983ca63c28ea8df76c1ed61fb56e9d06403,0.0046003450258769%,Bridge User,
0x646aee578c5346402c5a39ff41f15b57a5a6f4db,0.0046003450258769%,Bridge User,
0xc96c5f1bf0b14104db75d99d513f23aba8f448aa,0.0046003450258769%,Bridge User,
0x6cc6c069a8203c4f47c6500156a394d196dc70f1,0.0046003450258769%,Bridge User,
0xc300e8a281e1252e28f9b8ff8e4da54293dcb8fc,0.0046003450258769%,Bridge User,
0x1fee2ea93cffc76ec230b12f6eaac26a91fdf109,0.0046003450258769%,Bridge User,
0x3117a747fdefc095146ac4735d0a3e245022ee04,0.0046003450258769%,Bridge User,
0xec23f91d2a6997f39727fcdb5338167d79faa5a9,0.0046003450258769%,Bridge User,
