Addresses ,Allocation % ,Type,Sum
0x07DbaEb4B8ee9E272774138FC076c539AD402F5b,0.5000000000000000%,Dev,100.0000171477300000%
0x280A53cBf252F1B5F6Bde7471299c94Ec566a7C8,0.5000000000000000%,Dev,
0x2a76649a4573c1d5D01152Ea426F0916Fb016cAb,0.5000000000000000%,Dev,
0x2F0a2Bd6ce491Af379584eC13DF333A0C36cfF56,0.5000000000000000%,Dev,
0x42CF74eA16d27C8F02dAeBd33172CF908bD3EA80,0.5000000000000000%,Dev,
0x4cC72219fc8aEF162FC0c255D9B9C3Ff93B10882,0.5000000000000000%,Dev,
0x4d02fCcD9d719e7845B48A1d4CFB54BeC060E095,0.5000000000000000%,Dev,
0x4EEb4B6a8aFAA8d67Ac568Fa50B5Bc120f6F0D15,0.5000000000000000%,Dev,
0x8A337B697B495ddE1320B47AFd9b6054C7A84d5F,0.5000000000000000%,Dev,
0x8CF86692B8870676af1789E62E860e571598966d,0.5000000000000000%,Dev,
0x94B32BDb9Ff47F3239F04514bCe862c7d95600cA,0.5000000000000000%,Dev,
0x982F264ce97365864181df65dF4931C593A515ad,0.5000000000000000%,Dev,
0xA8ec681d6e0b394b149bf38dddF1B5a25D638ebc,0.5000000000000000%,Dev,
0xAAB8dd74095cc729b9C0Fa3235d47f363c06c687,0.5000000000000000%,Dev,
0xbfcb86D0b918d0Ba3cDb6fADE478e0AAa9D53c1b,0.5000000000000000%,Dev,
0xc8f566901B02Bf19154ce056977c814569693EE3,0.5000000000000000%,Dev,
0xd1d395cf4a14eb29b533c61cc612b5a659d92c73,0.5000000000000000%,Dev,
0xd376f87249f959555efd518129e29d4d792d4847,0.5000000000000000%,Dev,
0xF0c2941E1777F81C66623e965B392816F3E5cAA5,0.5000000000000000%,Dev,
0xf96A10dcB261Aa932a589146E87D80E4Cc8446F2,0.5000000000000000%,Dev,
0x000dacC92445Cd8a202a7D1FFf7169472463A5C3,0.0920952000000000%,Gov Participant,
0x001ac3F0972b620cD6bE82BA54D111614d7D48fB,0.0306984000000000%,Gov Participant,
0x0031AEB045837F8FAcCcc3E5ddFb22960efb38b9,0.0306984000000000%,Gov Participant,
0x00324D6FdBAA17b1a5256F396319d513AefbBAcf,0.0306984000000000%,Gov Participant,
0x007E6fDc023D91698BF15FD187364cF8058851B2,0.0306984000000000%,Gov Participant,
0x00ba280c55643f707e23376c948BE41b5468eF58,0.0613968000000000%,Gov Participant,
0x00C6d212501Fe3e3a8fc19871ff0ae46C342E5fd,0.0306984000000000%,Gov Participant,
0x01327ca699949CA90b9Dc330eA53Ce299BF71795,0.0613968000000000%,Gov Participant,
0x02023F3acb9A03cA8DDEA8D8A9EBd1F437deE099,0.0306984000000000%,Gov Participant,
0x024f2369E6c544e767ae33f72814167C7f535B17,0.0613968000000000%,Gov Participant,
0x031CE94A5A7307E9A541E1a86a13bB20E3946dc5,0.0613968000000000%,Gov Participant,
0x036631a163767EC4B518bA3C234185811f7D9827,0.0306984000000000%,Gov Participant,
0x0478E0597ba2B5094BE5C9F8769D533A685B0E83,0.0306984000000000%,Gov Participant,
0x04d5A865F6666fFEa00181cca4E84bF9052e875A,0.0306984000000000%,Gov Participant,
0x051a3190C9342211Eb311723B23B8c7cBD7b5a5D,0.0306984000000000%,Gov Participant,
0x05465b6a4986d589612abFC8cc93A11a9FaBC112,0.0613968000000000%,Gov Participant,
0x0582826B858EeCE18da39266bD72178e0757b378,0.0306984000000000%,Gov Participant,
0x06A8a6C6331D411AcA96f7bEE80675854f94F931,0.0920952000000000%,Gov Participant,
0x073aBA73177668Ba1c6661A4CCddbF77dfC8809a,0.0613968000000000%,Gov Participant,
0x074241B90c1178614Db78a8580C470257cD30a98,0.0920952000000000%,Gov Participant,
0x07DbaEb4B8ee9E272774138FC076c539AD402F5b,0.0613968000000000%,Gov Participant,
0x087D8973008297C4bCA3c70B51650517A96A838f,0.0306984000000000%,Gov Participant,
0x08aB6F022FD2bCfE9f4285e4E1C3D2a0df284fD8,0.0613968000000000%,Gov Participant,
0x0972ec8fe3C691dBDF2277612148C97a90111857,0.0920952000000000%,Gov Participant,
0x099473C43c936BEF919Bd0c3962Da21299e0d298,0.0306984000000000%,Gov Participant,
0x09a4E26d69821EDEffa5Eb29f134D0d8cad8EfC4,0.0306984000000000%,Gov Participant,
0x0A24b03fA2CB9b51AF900C68600B3f70211b3540,0.0613968000000000%,Gov Participant,
