Addresses ,Allocation % ,Type ,Sum 
0x89c7D6ABA9Cd18D8A93571E583EEAc58Da75acE6,10%,Developer,100%
0x9ef85267e9d0a1305c2b0daa44d7e4ee3815dfd3,4.14%,OFT Bridge Users,
0x697057895bee76eef0cbd9e29da191f1dcb8180d,2.28%,OFT Bridge Users,
0xfb7e2f3c47940af4dc4df67f716de542ce0a75cc,1.99%,OFT Bridge Users,
0x43c4ff14dae2fbb389dd94498c3d610a0c69a89d,1.51%,OFT Bridge Users,
0x52df86f31c0b8d8bb5a2f17fc79b2d6e6598a27d,1.20%,OFT Bridge Users,
0x69b348ccc8e526d1185e663a2cb357f0ab082c5b,1.05%,OFT Bridge Users,
0x8eb3700c8d02abdfa6c4ca5976c7ba86be34422b,0.89%,OFT Bridge Users,
0x6312929bd0465172df0ab3fc1a226856b872a79c,0.74%,OFT Bridge Users,
0xe2bfa9ed1c6142212d667a4e98f33510924ed0bc,0.47%,OFT Bridge Users,
0x7bfc71d0433d57c6c8a474a411fda0f692344d94,0.46%,OFT Bridge Users,
0xb44831a793d4be04c06ad22e3fed000b7406b382,0.45%,OFT Bridge Users,
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,0.41%,OFT Bridge Users,
0x70ceb22b65490b884d5b81df77fab834764c850c,0.34%,OFT Bridge Users,
0xf0cc4d0e65a60a1765bc2ecd93d09467be3596ed,0.30%,OFT Bridge Users,
0x6e06eb8c2e216b078b000cf44ab891a507087d53,0.30%,OFT Bridge Users,
0xb442e5d9bdb937001bbf34817e9317b49156d632,0.20%,OFT Bridge Users,
0xdad1f1932b0fd288146ba9c21cff203e446d2228,0.19%,OFT Bridge Users,
0x21e4933151385b97e2d4c9ad0794b5a5af9be0ff,0.17%,OFT Bridge Users,
0xf8f0bad0535df9ef59792536aa3787270690d2c8,0.15%,OFT Bridge Users,
0xb2086b21c9069fb0ab38d2a2cf79938531cf3e89,0.13%,OFT Bridge Users,
0x4d396974c5813159c704e96acdada21eb01005ed,0.13%,OFT Bridge Users,
0x7a511663fa4c7bfa168bc920a29dc96992ca774e,0.12%,OFT Bridge Users,
0x120add821f8d8dc1c5fafbc0c1265f9b719b86d6,0.12%,OFT Bridge Users,
0x8176d7b793a73626880bc43dfd9a9f97d338ca88,0.11%,OFT Bridge Users,
0x7a505df95aac78f142ca98cecd771d3c398b4b71,0.11%,OFT Bridge Users,
0xd519125f0e064489dd45992acc472ae9f9234c3a,0.11%,OFT Bridge Users,
0xc825dd260adc29b078eb4135679f22adb381488c,0.10%,OFT Bridge Users,
0xc64e2d99b19c3ac35a9ae4c9d29733bbf8b4e426,0.10%,OFT Bridge Users,
0x8829deb7f8400f1c8e19bca36978ba3277af0505,0.09%,OFT Bridge Users,
0xbbcd74e1ded9eecc57931531a9d3944451c29305,0.08%,OFT Bridge Users,
0x94f98fe46b3c96c77eacf297e86c8d47e5442ee7,0.08%,OFT Bridge Users,
0x7769e3f9d885492ff880a104b23283a1c2a95744,0.07%,OFT Bridge Users,
0x512f753e1bf0b846de1fcdebceecab1cea603e6d,0.07%,OFT Bridge Users,
0x0000005d3584925bfe774d112b623469533d1655,0.07%,OFT Bridge Users,
0x3b0f16957286c532b1b7af9de3e68383acbfbbe6,0.06%,OFT Bridge Users,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.06%,OFT Bridge Users,
0x824b61d425105bc76311ccdf9d1f323d8ad027d0,0.05%,OFT Bridge Users,
0x34dccfae06202d1167797870679fc1fb9ef7a523,0.04%,OFT Bridge Users,
0x8d681ec73090d8e638ed2e1048fcb62ed1e57b40,0.04%,OFT Bridge Users,
0x59cfa399fed7c80a9339b87611d1a94d13863efe,0.04%,OFT Bridge Users,
0xc536b9243a79d2d94d0a9d320bd268c6000ef507,0.04%,OFT Bridge Users,
0x96b2bba39c34666864902c5752eeae851393484d,0.04%,OFT Bridge Users,
0xda1d04b909a0d509f2800dd53f4ace260b2289a4,0.04%,OFT Bridge Users,
0x9ef371d9399d0f8a16219261d68fe5b8ab726ac8,0.04%,OFT Bridge Users,
0x4fca7ea8770ea56d3e5eb1ce0f35ffe44f198c7d,0.03%,OFT Bridge Users,
0x4b2a3264eb3d935fe13ae10a3d68c90b070cfbdf,0.03%,OFT Bridge Users,
0xb6af0e59e41f75552af00138a9f62acaef2b6254,0.03%,OFT Bridge Users,
0x51085e54f4752c1eafb87bb69a29ec3578b34720,0.03%,OFT Bridge Users,
0xa273ba67b4c8c1709247f0df9afb38f024ee0cf1,0.03%,OFT Bridge Users,
0xe6c6390eed34b62c0e364b540e3b31f139b7aaaa,0.03%,OFT Bridge Users,
0xa762e2e666e70da57fb27d48dcf16b64535cb170,0.03%,OFT Bridge Users,
0xdd53e1da04f2c3ae45b5d70ff7ea67c489fa8b93,0.03%,OFT Bridge Users,
0x048cb61e250182cbc24e66e26b2398b72b1fec41,0.03%,OFT Bridge Users,
0x368cb4212abd097f35efcd34e291b6ee1d60e622,0.03%,OFT Bridge Users,
0x4a4ea9e5e13d33db6c214cd85eb205fe0600ca85,0.02%,OFT Bridge Users,
0x69f33e5cc41a24ec335831d52e0bf4446b394ffa,0.02%,OFT Bridge Users,
0xe0c695ff0fd55dd287f91faef5e4e3b1f1e97aef,0.02%,OFT Bridge Users,
0x72104b7ed9c0b9056832d7588fbbf15b68cd3a5b,0.02%,OFT Bridge Users,
0x331f7ff3eec080b518567c7752fc20b780abea7e,0.02%,OFT Bridge Users,
0xb857be227e96bad869c479af9b626a88a75cec62,0.02%,OFT Bridge Users,
0xb0f7551a4a2ac324668ba0ef9944fef543d1c140,0.02%,OFT Bridge Users,
0x734942b9a06ec85c72b0a4945e95b86ef71656e3,0.02%,OFT Bridge Users,
0x73b410f7a11e578c8c67e46f0204012b4d27e529,0.01%,OFT Bridge Users,
0x4baaad5f5ca7681ffa3d322f23a617cc223e5f17,0.01%,OFT Bridge Users,
0x8adea5a258f0e4e0bd02fd3a833ec25f2a4672f4,0.01%,OFT Bridge Users,
0x703dfcd90b7003549dd89e97d541137ecb03c4d2,0.01%,OFT Bridge Users,
0x59eae5ee9f92685a595ecf92e4c0587305be1529,0.01%,OFT Bridge Users,
0xeca5e3ce0774372e71ce9b3675cb07c6677c2d52,0.01%,OFT Bridge Users,
0x77e798779865d30b1a80f5a5bf27ec74e7636718,0.01%,OFT Bridge Users,
0x78d4c94b1284d46d238c6afbbbd115385b1b36ec,0.01%,OFT Bridge Users,
0x4599d037dd41643532701b8685d7d094ea9375b8,0.01%,OFT Bridge Users,
0x134e339b5dee3e265dab8abcda23c571859e2862,0.01%,OFT Bridge Users,
0x25b7b913639ed311797805712d99cf844e5ab67b,0.01%,OFT Bridge Users,
0x8292459d8005d349307872e66dd987dee662141c,0.01%,OFT Bridge Users,
0xa61c4d958c5a5c913df1d79603252cda2de1c5a3,0.01%,OFT Bridge Users,
0xb27c82f3bd8d7016eef3e5875a6e12da7c1cfdae,0.01%,OFT Bridge Users,
0xb56238d0225c7e6155591916167c138a4be2babc,0.01%,OFT Bridge Users,
0x0315e72804c8d53fc15f41c603773e28ad8a4395,0.01%,OFT Bridge Users,
0x1dc3fe11169d32c71b377bc14fb464370f028b5c,0.01%,OFT Bridge Users,
