Address,Allocation %,Type,Sum
0xca59fa7A862118398D3cb5E69BFA7aa6A3f0d2bb,10.000000%,Dev,99.998905%
0x3ed8a98ff14f7b4f02c1328b6f779109121735f4,0.621000%,PLUG holder,
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,0.621000%,PLUG holder,
0x8bac8529806196ee3381540307325509f73da42c,0.621000%,PLUG holder,
0x60559b4cc92292b589ded75295f5331adcc69e04,0.621000%,PLUG holder,
0xb60b0ada4c9ac97cffc84c46d49a0f423c7d181a,0.621000%,PLUG holder,
0x4f1d257f866db120ad985d92298e677a5c7dd771,0.621000%,PLUG holder,
0x20d3731362f3fa892c0d5a0585385b2e0b304a1e,0.621000%,PLUG holder,
0x3e8250305f0a5bc968d2150a0b7254246c5bb169,0.621000%,PLUG holder,
0x1c4e90fc8bdade442aed58f8011db5a17a2e7199,0.621000%,PLUG holder,
0x717e61157ce63c7cd901dcb2f169f019d16c5ac9,0.621000%,PLUG holder,
0x871ae2e1ef121d7c43d57d6318e227dd558d2e39,0.621000%,PLUG holder,
0x7b994a76dc5225c7f2b221607fc6c29c24c577e9,0.621000%,PLUG holder,
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,0.621000%,PLUG holder,
0x6c86b9442246ff449eb67b969c4fa51f43253858,0.621000%,PLUG holder,
0x2c87fd92da54ab1af3683b5e70e6dc065f5df490,0.621000%,PLUG holder,
0x1146f36cf74fbb2971dcda652d0a3f4289a39d53,0.621000%,PLUG holder,
0x11e7296c3c4a3fbce8bfa56443f38447633220a1,0.621000%,PLUG holder,
0xd51a2f6434cb702e0b0a6cd9e70e33b720d403f3,0.621000%,PLUG holder,
0x3ad353e2845b96fb1b58c1ca6cda46b870de8d6f,0.621000%,PLUG holder,
0x6f0d7d31f8124621a91c7d27803f60dbf54e42bc,0.621000%,PLUG holder,
0x7066c68f07072e1dbfd2bacf609be764741fc915,0.621000%,PLUG holder,
0x38f8879d6ac75ac15b5d1d6172730c596837c28a,0.621000%,PLUG holder,
0xcfa8f3b7c27e0547bda1afe4c0e42c0a9c086906,0.621000%,PLUG holder,
0x4d72d4269ab46962713ca19cab8161a87684a163,0.621000%,PLUG holder,
0xcd37a10adf09f3c7e26fc73ff5cf38ee78e4412a,0.621000%,PLUG holder,
0xc1e8a62e3c7cbc093fe83298989dfa41f7a915bc,0.621000%,PLUG holder,
0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b,0.604473%,PLUG holder,
0x90f15e09b8fb5bc080b968170c638920db3a3446,0.594723%,PLUG holder,
0x067f4be5f4b1162d936cf9fbca3d2db2caeaaa98,0.497227%,PLUG holder,
0x995d1899cbbc2bc92cca6f264334a15b1d75d928,0.497227%,PLUG holder,
0xae74d4af5310170f8b2c0227b0c8ca70c8e2c78f,0.477728%,PLUG holder,
0xb2c4705acc0f46057492db309b3535850bd033c5,0.477728%,PLUG holder,
0x570a995e230e6c4a48e3f9793762800be10aefbe,0.448480%,PLUG holder,
0xe11bf8c9d4fd0dec48f0c8e54c7083f3fed8ee5c,0.438730%,PLUG holder,
0x1f13a5dc44911ebd98ea1b55ab5b7b2a99acca14,0.438730%,PLUG holder,
0xcddc0759d8fe66dada09708d3afc36929e07402b,0.428981%,PLUG holder,
0x484c85be1cdb3263448c9a2080f8edef07a93a8b,0.428981%,PLUG holder,
0xc7b2e6c16e0a34f15a2a6d66c8e9a37fc5a397fc,0.419231%,PLUG holder,
0x8383b9a512f1c0e57cd015b076372b2844859e57,0.409481%,PLUG holder,
0x0304add5d2a06f61107cf92efa8b88ea06ad969a,0.399732%,PLUG holder,
0x49ed7c5226f61c7e27ad94e5cdaec00d3fa0b403,0.389982%,PLUG holder,
0x05b7812824a48cb10ef5a3b701a8b55b7807de25,0.389982%,PLUG holder,
0xf54b9f632d7ea8ce03c4a8af3b0d1d5c0858dd9a,0.389982%,PLUG holder,
0xcf444c7efbff36f78ee34a29e24714db294f6ca4,0.380233%,PLUG holder,
0x857f58b6afde4bcbe9b86409242c146f0d0de31c,0.370483%,PLUG holder,
0xdd1e6fee5428f89391963adc501d6a5fb9d9997e,0.360734%,PLUG holder,
0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c,0.341235%,PLUG holder,
0x0979667dba025217d24187b959a186f05d4acc37,0.341235%,PLUG holder,
0x18a428ce0c31584a21cf8cefdb8849d8013e1994,0.341235%,PLUG holder,
0xc1fa63bd4189a9c49a30010b6a3ab11194a95842,0.311986%,PLUG holder,
0x24aa59b9967d01ab1021920f7ea92384671d13cf,0.311986%,PLUG holder,
0x5cac7b9236dbb25e040442f5c7839cc4346015af,0.311986%,PLUG holder,
0x94ea4bd36c04aef8720e08891d9ec13fcfc6e1f1,0.311986%,PLUG holder,
0xc33e3272d29d0cd5a7371a3114080ffdc333e892,0.302236%,PLUG holder,
0x8a9f40ec4d56af145e33d59137e2594fce493699,0.292487%,PLUG holder,
0x01c1a466eaa8ead40b4b7246a23254c363238b92,0.282737%,PLUG holder,
0xce312e4d297fed6c41630dffb6f0463710190a9e,0.282737%,PLUG holder,
