Address,Allocation %,Type,Sum
0x3754Fd5eC997c07Ca528bb0bdCB0b4F5b93605dF,10.0000%,Developer,100.0000%
0xCCB8Afa6E35f5422d96486d44a351a6558F21ff5,51.46197033%,User,
0x60edaCED9D7a45c793B1f280aC6D189aaCB66991,21.05495358%,User,
0xe223c05FA8C4c010d97649aD24009c722F0B3ee3,8.54097888%,User,
0x394bbB5f3020bab3F786c51821508F683A20f72A,1.54355040%,User,
0x5a3319058425EE24A2842a24c6f0339d999B9f46,1.02903360%,User,
0xb2763C0c06FdaB3db6739b8a25d8362f411DDc85,1.02903360%,User,
0xbDA3a54d3b07E189497c068bca35269E82d699cd,0.83351722%,User,
0xB33714276680d9162Ab75fb1399b4300A0Ec5FD5,0.75119453%,User,
0xa11CBa2199d349c35F4c4EF6A4760406c69F9f79,0.68235321%,User,
0x265443ea38E51683aE7c6ba8d6d5196820Fa61bf,0.63285566%,User,
0x1174A86AEf9F09A96876c4486daD05Bee6729961,0.43219411%,User,
0x9674008AfF5C785baAed9e795E6417dCF0268229,0.43219411%,User,
0xbdB5c0B84996DE6EBc5fF0C232Db4381d40ed3a3,0.41161344%,User,
0x4D26f0e78C154f8FDA7AcF6646246Fa135507017,0.37045210%,User,
0x31f0f72db2515C6663805973e113d3A064cE1Bf9,0.20580672%,User,
0x457F48a0bBa2D1aB06AD6f9b5F6d8Ee9c457BbA1,0.15435504%,User,
0xeb258Ee4d01Bc2D519FBc43ff1681D0c85e36B42,0.10290336%,User,
0x7454D3d29bF4f0b9879D54B932635cC805385A08,0.08335172%,User,
0x850FFe453d4C6689b7932b405Bf6Cd435456CE77,0.05659685%,User,
0xF3f3B9173B87C1687Fc91842dd85D42FA47fFa34,0.05556781%,User,
0x411302f9007EfB73027bA5E560dcFA2bfBeC94Bd,0.05145168%,User,
0xab95e42096Ef6C18eD278f4FcA25754c96E60aae,0.02058067%,User,
0x7a7B486Ff3e062F6D8a5568CF39B8c281f25C798,0.01029034%,User,
0x96Fb567ef48bFFDD95167821aC442bB95eD72006,0.01029034%,User,
0xA970fA27e02A61D9Ee6Eb311cce7B8D2bDc6AB50,0.01029034%,User,
0xb680c8F33f058163185AB6121F7582BAb57Ef8a7,0.01029034%,User,
0x03665AA7Ea9035A13D6569C6093e21Fd16c11c7D,0.00668872%,User,
0x335b6E5b54b1C9536E00bbe751Fc8904a9424C4B,0.00514517%,User,
0x4597C97a43dFBb4a398E2b16AA9cE61f90d801DD,0.00411613%,User,
0xb29eaEA575bd4bae7d9a301446e6204C3A23AdF1,0.00267549%,User,
0x89909da33Ffb9D87E33cC63d027Bc9c175db50C3,0.00123484%,User,
0xA39144B3764BaF901bf1BF5a186504f2B48FAB96,0.00123484%,User,
0xC2fc3dad728c1a4ee0a307aA12C53b43Ea028bec,0.00123484%,User,
