Addresses ,Allocation % ,Type ,Sum
0x163a1FCF136081A3A2DcF3C18976C1e03c561Ee6,10%,Developer,100%
0xf139d72025bcde807b2ed618a065c2550e0c7c90,0.104398,OFT Bridger,
0x05682a10a7ff570e61ffc585042f3730f726c456,0.092218,OFT Bridger,
0xab44c5e7392f78426491a9540b237a5b6cc2f9b7,0.048265,OFT Bridger,
0x67cdf93994815131a04f0e9d35738710d0c3a152,0.033656,OFT Bridger,
0x65a002456c6485d86c2d4e91f9cd4b3b2d48b74e,0.033285,OFT Bridger,
0x902cabc83daf98bdc457c09a150fe62e2261063b,0.027853,OFT Bridger,
0x38472b3af744a8b866e77b94fc2adfff94c22a07,0.017024,OFT Bridger,
0xf090d5e720551d8f6bf75165492f277a12e0397c,0.012677,OFT Bridger,
0x336f6beca25aed6bc4b4f9e6ef5b3eb415aeca67,0.010227,OFT Bridger,
0xbaeb92889696217a3a6be2175e5a95dc4cffc9f7,0.010024,OFT Bridger,
0x1bad1270426b8059a783704308cec80753de0b38,0.009499,OFT Bridger,
0xc1e54db7d6562e683f45981954ba1bfefd85a5b2,0.009485,OFT Bridger,
0xdf5adb561a9bdbd72da7cb6d53d49277b31cb060,0.007112,OFT Bridger,
0xe3a943fe0f81699fa6b2cf7a102ecbeb97b9fd94,0.005971,OFT Bridger,
0x1a48ebca0f06cec2679642ebe5069bae0961532d,0.005110,OFT Bridger,
0x42725b8ba5a0c41e7d89f3f7e7bbac291db47cc9,0.004963,OFT Bridger,
0x80648c9ffee891e5619db12e432574b906e0ef4a,0.004137,OFT Bridger,
0x61a76cd1df67b1e543e5844895853dd017c27937,0.003332,OFT Bridger,
0xba0c7d2c4595b926a29e42effffb3908994dc5bd,0.003325,OFT Bridger,
0x4e8ffddb1403cf5306c6c7b31dc72ef5f44bc4f5,0.002800,OFT Bridger,
0x5530ffb805c035d0d130f1eada8e87996d3872cf,0.002758,OFT Bridger,
0xae8003c792cdeefd54f93e98481a8d58cadd30aa,0.002625,OFT Bridger,
0x8266a0a4bf12ba35b0fe072d253b2557d7655def,0.002548,OFT Bridger,
0x0ffad609d35c4bef104ee245a9c4c891d463aa2a,0.002450,OFT Bridger,
0x1b58d50afd08dce062fb14d4e1f9665eb1eabeaf,0.002408,OFT Bridger,
0x8cc1665ee965345e79b132adb124782bad8c78e0,0.002394,OFT Bridger,
0xb235769014bd63de9ef56995b291c26ba13bf561,0.002282,OFT Bridger,
0xb74de35abc09b07c523582d1d663fa08848013f3,0.002240,OFT Bridger,
0x58fdf838615b6667c7b3e7e9f24ea1947bef3e18,0.002072,OFT Bridger,
0x3fa8f185f495212c6e428c6591f06453f55c6e19,0.002058,OFT Bridger,
0xc31ead6799859e166565ba90ad615f77468cf459,0.001848,OFT Bridger,
0x5e46884a77e0ac5f3126e30720bd5218814dc5e2,0.001827,OFT Bridger,
0x31b3f22dda9e6357f38516420007fd43951a113e,0.001792,OFT Bridger,
0xfe78fa483daba058c02db8506636bf247773d605,0.001792,OFT Bridger,
0x1e480827489e3ea19f82ef213b67200a76c0df58,0.001764,OFT Bridger,
0xd56a7026aed1dddc935f8d7fbf3d5b86c9264b55,0.001708,OFT Bridger,
0x98cd0f2a101f3545c1702177fa77bc55fd0ac4a3,0.001687,OFT Bridger,
0x5fed99f1df87bb07376a1c89c8301579edeac109,0.001617,OFT Bridger,
0x3ab76ddb42bcba98dab9dec4d916e36ed2c017e7,0.001603,OFT Bridger,
0xf2bad28f8b76a311172863af8363a3f169987451,0.001554,OFT Bridger,
0x8c86f37e976abef31cb77c448870af57b1414cea,0.001400,OFT Bridger,
0x63296458ce77e0f0aa3246ab30c6151452c4c800,0.001351,OFT Bridger,
0x347115c3764a330466c141fa1eb937cfbf164255,0.001309,OFT Bridger,
0x8e07ab8fc9e5f2613b17a5e5069673d522d0207a,0.001302,OFT Bridger,
0xbdf09ea5540cff08dc0ddbbbf0ddd7586b4b4dd8,0.001288,OFT Bridger,
0x9568ef803d55005ad31ff6cd14924b5e0172dd9f,0.001260,OFT Bridger,
0x947c4efaf086821ed8f5d3980d466808f3fe4808,0.001239,OFT Bridger,
0xa7c22c77afa2ff393467cfd8f1d9fab5e3d7a043,0.001232,OFT Bridger,
0x6d13302a232a87079c11d74ef259f01b82915ac2,0.001204,OFT Bridger,
0x415306782e11e561727ea88ceb5aa13dc8283844,0.001162,OFT Bridger,
0x18c44da58f661420814e8ee1c684dfbb8be81ad4,0.001113,OFT Bridger,
0x20e69b772b3c55c548e02eb919e9b691d8390757,0.001099,OFT Bridger,
0x749b61995ae6cdc2e57b5e304c34d978c0494494,0.001092,OFT Bridger,
0xa1e21c7227bac025e7a0f819e26db42f271fbc4f,0.001071,OFT Bridger,
0x87c52d41d7bcef564574a0bfcc6bfb1b3b2e7e21,0.001064,OFT Bridger,
0x032d12e0058a7da898c86c3c203b96f3840a1569,0.001064,OFT Bridger,
0x1ca6d913392377b93da7765a8fb89c3410df34f0,0.001064,OFT Bridger,
0x186f623e5de05b11176b9070f563b57ff2680822,0.001043,OFT Bridger,
0x59ceb6ecb025da64ca682b58e308504a60184ad6,0.001015,OFT Bridger,
0x29f9f26281eb3103c59b463430ac00d99bb2135f,0.000987,OFT Bridger,
0xc198aac64ad0e61d371e05056e449866ab8837d4,0.000966,OFT Bridger,
0x6863e1091e73de0cd4546ef0d12183133cd252bd,0.000952,OFT Bridger,
0x06b16991b53632c2362267579ae7c4863c72fdb8,0.000952,OFT Bridger,
0x091cad5e1f4daa4d6cf396496229026fd4102a9a,0.000917,OFT Bridger,
0xb9e2ca276b418b8b45ad612bfdd1fa734ad805f2,0.000896,OFT Bridger,
0xb4c0af5ec641d7aa8904647d4c281ae54d1333c5,0.000847,OFT Bridger,
0xcf4f683e7d442ea81ff36df03f0458635d86861a,0.000833,OFT Bridger,
0xcecdced0a4ab386cbae2ecd9a993cdf1b947a001,0.000819,OFT Bridger,
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,0.000819,OFT Bridger,
