Address,Allocation %,Type,Sum
0x31e300598b82c801290cb34cc8ae6350fdd8a9fe,10.0000%,ONFT Holders,99.9922%
0x0b11f994ae23bd0a00fc7ae940bf18dc36d81f2a,5.2274%,ONFT Holders,
0x0dab6722a8ef23e99055e25b1aab2100337a8e28,2.9871%,ONFT Holders,
0xf3b14d19983d0537ad7f75bcbdcc90e355acb9e1,2.9871%,ONFT Holders,
0xeff0f56d53d4b30a75cb6fa653d15f68e3fb0a97,2.4900%,ONFT Holders,
0x218a4804c07a9fc1246a110148659b0db98233e2,2.1507%,ONFT Holders,
0xb481637b3525e026d7f47c64d22c490165013e72,2.0163%,ONFT Holders,
0x5875f93cf665afb7dff7bf5a2bd831c9495dba33,1.7549%,ONFT Holders,
0x7fa01795bb0b15138622b2e3157e7cc861aa51be,1.6130%,ONFT Holders,
0x25b5f365c17ae1912e242b5eff0128699a1d11ee,1.5757%,ONFT Holders,
0x2bb21291fe8b15e1ac84c93bc0370982b85564d1,1.5757%,ONFT Holders,
0x10c73a5ad077c05154ad079b04c802520ae331a2,1.5458%,ONFT Holders,
0x40745684d4d439ea4c62a3f9b76b578f0d34f049,1.5309%,ONFT Holders,
0xaa3b1693feefbca8b80129182973c888c6b10dfe,1.4935%,ONFT Holders,
0xcc6a751a0e644b445984d74f176e9babf46b2a97,1.4935%,ONFT Holders,
0xdde733b93c63a777b9ff1de617bbf54db16410d0,1.4935%,ONFT Holders,
0xa11e3f4c2ee10d6779657f3e7e1f4dd649ea16c1,1.4413%,ONFT Holders,
0x0470e9c14a3fac8493ee8dff757c9365c64b81e4,1.4039%,ONFT Holders,
0x17fb4db24b8f1817bc33d6e167b105fd77599c28,1.3666%,ONFT Holders,
0x03996b9d957b08f4fc672b5f79a74a7790279eb9,1.1127%,ONFT Holders,
0x49c64acf4603151aad12654f85101e313138f252,1.0231%,ONFT Holders,
0x8dcd38e4b1f2042a07f7226adffa6908b71860c9,0.9633%,ONFT Holders,
0x7cd54ef1b4ccd2c9d935d6c83fe63aa61f2b5a50,0.9409%,ONFT Holders,
0x8617fee1bff12b9a50de5b77479273d81c3bfc46,0.9409%,ONFT Holders,
0xbe1b8b2e76485b0ee058f9a1746f82448405895c,0.9185%,ONFT Holders,
0x725c81de27b7f4bd1c76462d2acd6ec812f244f7,0.8812%,ONFT Holders,
0x5756dd4d7480580927f9cf0e33f0274e3be408f6,0.8588%,ONFT Holders,
0xc8a945b7e4e32336b710d7d93aa92d937614247a,0.8214%,ONFT Holders,
0x3caa07591027b5ca43589100da2f18c4d34d84fd,0.7916%,ONFT Holders,
0x0774422843bc8584aa9f0e5748f3d1ceab384d04,0.7542%,ONFT Holders,
0xcf8ea559da9ea57bb2ad227bb9a0ba21432466ae,0.7200%,ONFT Holders,
0xb0c6f03c880aef7573eb0e456f337a6020eddd72,0.6945%,ONFT Holders,
0x062ba27122b14e98f756b9293f06c139ad760479,0.6796%,ONFT Holders,
0x733fc1c3e81b08429e32e7e4a2c0b7b0e66d86f2,0.6572%,ONFT Holders,
0x9767715cf246bbcb3d43457c9945639c82f8533d,0.5601%,ONFT Holders,
0x2883d301483677eb05b0ce099e9faaf7cdb6138a,0.5377%,ONFT Holders,
0xbde607d145567e57df7e695ec2e4b795e9399789,0.5302%,ONFT Holders,
0xfe33c40ccec7d8d02efe5b673e2eeeaa1639499e,0.5302%,ONFT Holders,
0x0c491f7466036c6b4b25008c881997f25faee248,0.4929%,ONFT Holders,
0x71dd2a02cf9c26ea97898c6c8f58aa11d6d89e47,0.4929%,ONFT Holders,
0x8bccf111d3f9d9f6832eed357562a95c14967a1d,0.4929%,ONFT Holders,
0xbade1061caef2f12731d8fb76cc1d518a4f8e48d,0.4929%,ONFT Holders,
0xd52a7689ab7698d74f2aa5a76dbdf866d0844313,0.4929%,ONFT Holders,
0xee8778808cfbf84d98806bcb6043912f409f1614,0.4929%,ONFT Holders,
0x1bc93e8547ee46f7480c70424fa447dffd50e8e8,0.4481%,ONFT Holders,
0x61bba4ae347245bf58451c2551f9c15b1e0bfcd7,0.4481%,ONFT Holders,
0xc762472037f4aa69ac26064c0a0da6c68d023745,0.4481%,ONFT Holders,
0xffa7ae7a325e0fe90aecad0d6232604ba8c810ce,0.4257%,ONFT Holders,
0xb81f26f18b67dbfb216d2de4ae53ade5ace9ee83,0.4182%,ONFT Holders,
0x65969715aff4460c035ef6c2243c843530cb3df9,0.4033%,ONFT Holders,
0x17292715d511994cf9e32f3912a2004bce9460b2,0.3958%,ONFT Holders,
0x2a6a166d5d29332b938c8b4360995cc81f6ca833,0.3809%,ONFT Holders,
0x76d46e4942ec5706f87ddcd0c2ca37a403b40637,0.3734%,ONFT Holders,
0x76ebdaeb86de60c657efa6b4c5d20c392c2ff360,0.3734%,ONFT Holders,
0x77a46c3712a2e72e3bd476b6c61f650a63302017,0.3734%,ONFT Holders,
0x9c7e362d6bac3cadbd98df214f4d148550947292,0.3734%,ONFT Holders,
0xcf4916fed3d0f3082c7d51f82abda54087f1d696,0.3734%,ONFT Holders,
0xe1edbebd0d2a973ab3bd093aaa7f1165dd1e0cdf,0.3734%,ONFT Holders,
0x15315d97c57a331ee03d2de85a8db5e920390e05,0.3510%,ONFT Holders,
0x000bb9e55b9a87ac69c25bb0d0a132d16efd8693,0.3435%,ONFT Holders,
0xdcd12e5962b001bd9401ad16f7850df9445d4804,0.3435%,ONFT Holders,
0x2f54e317ed5670d0be71a76aabc7c9c5f71f49c8,0.3136%,ONFT Holders,
0xf3969405c3acd362977d0e93085a9f7df39547d8,0.3136%,ONFT Holders,
0x1e2d1a5f1eff7259075b9878e671f91a4ce95811,0.2987%,ONFT Holders,
0x65c0fb93d1fcdaf7315b6e53797e391679a3c687,0.2987%,ONFT Holders,
0xfb7cc3f50d10c5909e618ca87d81d47f9ad9a328,0.2987%,ONFT Holders,
0x8bf72129a2daf852060c7d855f736c44586a1994,0.2912%,ONFT Holders,
