Addresses ,Allocation % ,Type ,Sum
0x455011f2704c6E192b09d9CC1430299C70af3454,10.00%,Developers,100.00%
0x257a4b700561fe8c0dd5dd82b3fa9f6e6bfff741,0.074074074074074%,Bridge User,
0xfa50671b1e38945774f0a5224160b45c8b545f29,0.074074074074074%,Bridge User,
0xbaa00c36f0e04d911e71f70c7ceacde15096047e,0.074074074074074%,Bridge User,
0x7811df09c3415e99beb22122123932e2fe1ef0b0,0.074074074074074%,Bridge User,
0x6cc6c8e44aa09382887e50c28f14749792a24d04,0.074074074074074%,Bridge User,
0xead3820fcd66f381a0ac235dcec490f60e925a8b,0.074074074074074%,Bridge User,
0x3ed1d19e887bd24c172a207355c3a76ab09e0d98,0.074074074074074%,Bridge User,
0x97ce65cdb38b6a0cd777502fb3a68ebf562b9764,0.074074074074074%,Bridge User,
0x31451ded28a399ef7b421a07de95c723d1c25eda,0.074074074074074%,Bridge User,
0x8d79839c462806e09268ed9ea1618a7e51b3cf05,0.074074074074074%,Bridge User,
0x0033844f0e356b89d96e74acd502d83a2e42d0f6,0.074074074074074%,Bridge User,
0x768560f44c311a34529d4342429672f4de11bef3,0.074074074074074%,Bridge User,
0x071ba7ec7e39bd7c5d115a6bd881408786831be0,0.074074074074074%,Bridge User,
0x3ada21ffa9274816da1359bec621722a9d9ef65b,0.074074074074074%,Bridge User,
0x17fb2283a010c1c9e5fd435435277d7aeddc507b,0.074074074074074%,Bridge User,
0x67d6140fda661346ad4785f35412aa43fa3224b1,0.074074074074074%,Bridge User,
0x1dbb67f9c414b3fe1038cd27ce40594ca81b15ce,0.074074074074074%,Bridge User,
0x521dfef993607b292831e1dd01e0af39f3457d9d,0.074074074074074%,Bridge User,
0xd0bbaa08f0a9a8a18866d8dd7ea74b45c7570671,0.074074074074074%,Bridge User,
0x275dca1b2425b185b769f70a263a2a5d3d377182,0.074074074074074%,Bridge User,
0x12c78c55e4a4c0da474feb08882cc694a98cefcb,0.074074074074074%,Bridge User,
0x5141a72130dddf729a5c9e86b780a3c03fa8f549,0.074074074074074%,Bridge User,
0x1092344bd96f351a00d07e75fa4974076342b779,0.074074074074074%,Bridge User,
0x2d6bc9d13ca6cd836d0cf54ca31f97bb0b444ec0,0.074074074074074%,Bridge User,
0xc86722c4b3a75bc60903b523375ab46b1094ccd2,0.074074074074074%,Bridge User,
0x71bd502f1d7b5483d0fd2891064e70a708842bb1,0.074074074074074%,Bridge User,
0x3090c2ca58b08a9bad990b10b2203c3f618eedac,0.074074074074074%,Bridge User,
0x7c8eec3773404ff52fe8358083b7557c91f06a4b,0.074074074074074%,Bridge User,
0x95781e4a0982fb7e05785d16bdd8b7f7a45c4b72,0.074074074074074%,Bridge User,
0xab5e0f81f632170643924a332413906dec91f87c,0.074074074074074%,Bridge User,
0x057f24b395b20d4ca7632355d3c24d998b02cd6a,0.074074074074074%,Bridge User,
0x8bf31c51a1cd72949b2d8ee6f4b85ba7b159c2e4,0.074074074074074%,Bridge User,
0x621763cda57bf3e6ef73fda57651e76a163247ca,0.074074074074074%,Bridge User,
0xf6eb8c9269e1c67ab0e6a54a1f98b866cf94d137,0.074074074074074%,Bridge User,
0x211149d84ed093b17015a824c8bafc9fed2ecfe6,0.074074074074074%,Bridge User,
0xb2a59dc87bb8d5d790be33765eec1f7de7458767,0.074074074074074%,Bridge User,
0x7ee1a7254ac2f45533589d2b2688f52813f9bb22,0.074074074074074%,Bridge User,
0x313d3d834e147a49a4cba528ff5cab327757469c,0.074074074074074%,Bridge User,
0x04443c298edafc303dab851ae4e8cae4e90268e1,0.074074074074074%,Bridge User,
0x30357c162ad9edf99092db6281be36e0e452d82e,0.074074074074074%,Bridge User,
0x17e674a8ceb2d36edd5ff54d368f0c28a0a210b5,0.074074074074074%,Bridge User,
0xf3a3aef8b4ca0c8570c0f3dc96d96648e5562108,0.074074074074074%,Bridge User,
0x316d6cc40e14be9bcd00a509c29efd2a20261da3,0.074074074074074%,Bridge User,
0x25b6db48d5c9e2e831987586854163d4fbb63a99,0.074074074074074%,Bridge User,
0xddeb7799a65f0f56f6c7c5f7d6247d7f54a29fc9,0.074074074074074%,Bridge User,
0x97a7cb78101018f72c1e7f6f427f91ebba68fe56,0.074074074074074%,Bridge User,
0xada164a43673b0cb03d779e634530b4e1315596e,0.074074074074074%,Bridge User,
0xdeb3882d3029018448f9e533d750337166d42101,0.074074074074074%,Bridge User,
0xcffa5642cbcb9829b57341a23a1b0e2968c0a1f9,0.074074074074074%,Bridge User,
0x7f2b4c1e30570b7e36d8a814d5296d7db032aa37,0.074074074074074%,Bridge User,
0x24250d58a9a5765704ede78ed5263d526b73c842,0.074074074074074%,Bridge User,
0x0db01c845ea60110bf84d034ef424c2907a9a3b9,0.074074074074074%,Bridge User,
0xe200aaea6359b28a277a897ea7a90434494da73a,0.074074074074074%,Bridge User,
