Address,Allocation % ,Type ,Sum
0x00000000763e7cd1dbfd125da811281bcf61b013,0.002648585655%,Net Amount > $10,100.00%
0x000140ac6b88109462a14e8a310ca858795e141f,0.002648585655%,Net Amount > $10,
0x000c9d571a29590985a7df377b792d3ed7ecadf9,0.002648585655%,Net Amount > $10,
0x000fdd3437c8a02422e36554af195111f63edff8,0.002648585655%,Net Amount > $10,
0x00159c31a8e6e60b820bdb7ea31ccab489c02baf,0.002648585655%,Net Amount > $10,
0x00167a66211226ac6034ece326013b5ccb7ab334,0.002648585655%,Net Amount > $10,
0x001a67ff1cf9aaf547735876f08a9217abe44b58,0.002648585655%,Net Amount > $10,
0x002212acf58f521634d43bdca28ac1d82e13d2d7,0.002648585655%,Net Amount > $10,
0x0022e00560d1fd651e71df08d98edc028e3baf1a,0.002648585655%,Net Amount > $10,
0x00243cf4fffd5f7597a6925eac040952e605c67c,0.002648585655%,Net Amount > $10,
0x002b7a3877563f825cbafe9a02b1ffd27ff2309e,0.002648585655%,Net Amount > $10,
0x002c5a420216e491b6e599e2e6c2cb467b5fdb3d,0.002648585655%,Net Amount > $10,
0x0033c8ff53a655c1904424b1368f5d8d03d62d53,0.002648585655%,Net Amount > $10,
0x0035aa0afa54b43b39b8909e5544d8c2ea89afbd,0.002648585655%,Net Amount > $10,
0x00409fc839a2ec2e6d12305423d37cd011279c09,0.002648585655%,Net Amount > $10,
0x0041dbb31b7ce1401fdc7e26d743d27c8d7b3470,0.002648585655%,Net Amount > $10,
0x004ea242e109bc3f5e228573e3aec4c8bf3b5ccc,0.002648585655%,Net Amount > $10,
0x00517b07db18a4210276398fe3fab14dc60f495c,0.002648585655%,Net Amount > $10,
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,0.002648585655%,Net Amount > $10,
0x005abaa26ba0a7ee5d8db7c5edda56954067ab05,0.002648585655%,Net Amount > $10,
0x005ccb5883d5041a36f8ba3705a70b7cf8865955,0.002648585655%,Net Amount > $10,
0x006330b60ab7c400fc0b43d8d125f372cf641fa7,0.002648585655%,Net Amount > $10,
0x00639c1bad7c65dcace293c656709d717ab87b6e,0.002648585655%,Net Amount > $10,
0x0063ac0af36b966df19a2491a9c47b7b0f907f75,0.002648585655%,Net Amount > $10,
0x00651b9e2924f1a5b63f6460832ab211e5829190,0.002648585655%,Net Amount > $10,
0x007511e4d51dbc856accd2242fff4d89aee28f71,0.002648585655%,Net Amount > $10,
0x0075c169d8887f902cf881fedc26ad0ebc7c8c19,0.002648585655%,Net Amount > $10,
0x00781d50a170f09db92965094a1fa13bb119600b,0.002648585655%,Net Amount > $10,
0x00799e37391eb0523edeee339f74634cd1325b40,0.002648585655%,Net Amount > $10,
0x007a3bd4df46c418b6e8a2f998adbfc6a942ba00,0.002648585655%,Net Amount > $10,
0x0081ffa3730022ed0491f68143d08599f43b6c96,0.002648585655%,Net Amount > $10,
0x0085297eb852ee30bad1b45e43bbd0132ea22b04,0.002648585655%,Net Amount > $10,
0x008b8ddf66bdbd4aa68f723c15db4b32f77932ae,0.002648585655%,Net Amount > $10,
0x0096161ad67d991f1827e3d7e30b653cce7d94f8,0.002648585655%,Net Amount > $10,
0x00990efd66d2b8f05ca7eb09b1cb8cbe6d158aa1,0.002648585655%,Net Amount > $10,
0x009d91e22ef58924c9774923c4ca1b48e44dbea1,0.002648585655%,Net Amount > $10,
0x00a54b9a6033c9088adad949639990061f4086f0,0.002648585655%,Net Amount > $10,
0x00affe9e9e4d8127214f4ee9a3fda8c5444dac8c,0.002648585655%,Net Amount > $10,
0x00b51b2ef96f50c1c6991cfb8ee7563d1381a0d3,0.002648585655%,Net Amount > $10,
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,0.002648585655%,Net Amount > $10,
0x00b7c84dbbd871a8eb209138174d1ef378f015a0,0.002648585655%,Net Amount > $10,
0x00ba280c55643f707e23376c948be41b5468ef58,0.002648585655%,Net Amount > $10,
0x00c7766651f593919bacdfcbbf4ed580ac704912,0.002648585655%,Net Amount > $10,
0x00cee01b8719c3356426867279d1d735e532c6f8,0.002648585655%,Net Amount > $10,
0x00cff313ad65900b3f6a304e63b6f0411ce80904,0.002648585655%,Net Amount > $10,
0x00d2d4375ea3dd0970aafa90f7a21045b91c4d6a,0.002648585655%,Net Amount > $10,
0x00d8538814212b27b78f80b678867f57b1c58cac,0.002648585655%,Net Amount > $10,
0x00d856a36eb53885e54f9e99cba75aad9701f576,0.002648585655%,Net Amount > $10,
0x00df84aad4531467b9c877c3b4a10d0ae0cf4bcc,0.002648585655%,Net Amount > $10,
0x00e118cd4040b47323990e44bf4743d592af5880,0.002648585655%,Net Amount > $10,
0x00ea9ec779a499bc699674a542acca7cc6c4447f,0.002648585655%,Net Amount > $10,
0x00efbf91a2e61bdcafb1824477b1dfa0294e89d4,0.002648585655%,Net Amount > $10,
0x00f0276ef04506d2bb0e464a2bafc8f0f569d8da,0.002648585655%,Net Amount > $10,
0x00f1e902c2d28692b99aec1d6990a6f32ae06f62,0.002648585655%,Net Amount > $10,
0x00f285b68b13a67959537dd99a1551572ef728dd,0.002648585655%,Net Amount > $10,
0x00f471d4567aa95ea558979e6c7e763d6b20e8da,0.002648585655%,Net Amount > $10,
0x00fbb7b377664e6bae499fd4809bb23fa5be090c,0.002648585655%,Net Amount > $10,
0x011429a4b3cad724744d9f67faeccb6005195d3f,0.002648585655%,Net Amount > $10,
0x01162c15826737420dd54232398efe42f7712864,0.002648585655%,Net Amount > $10,
0x011a3e2337e8b3a1b3a3ce125a28aa0258db688d,0.002648585655%,Net Amount > $10,
0x011d8e5449f69af44a922376e4b5dbf711d58fe8,0.002648585655%,Net Amount > $10,
0x012208764a6599654830bae0ed43b7b7472456eb,0.002648585655%,Net Amount > $10,
0x012b0da0574f0726102b8ef1ac6ff91a1fd47807,0.002648585655%,Net Amount > $10,
0x012e868121db86b3dac062f58cdc797c8879ce7e,0.002648585655%,Net Amount > $10,
0x013108da0dfa523aa9f7b4e469d2f1c03b96a6be,0.002648585655%,Net Amount > $10,
0x0135111a7f054ffcbbf429ccdb983724a87b4009,0.002648585655%,Net Amount > $10,
0x013556f80584938b35bf86e580512e143436ec67,0.002648585655%,Net Amount > $10,
0x0136b00be94ed8ea798f40e37135596337305461,0.002648585655%,Net Amount > $10,
0x0138e06bfcdf03f9744f5234283f17d71523a97f,0.002648585655%,Net Amount > $10,
0x013ab79f6b615faf7018ee90ea19127cb0850a17,0.002648585655%,Net Amount > $10,
0x013c51653fe27a3e898190a22d53d059df55dbc9,0.002648585655%,Net Amount > $10,
0x014bd2092b57b0ab1a0df6ec6df615e4822a2c21,0.002648585655%,Net Amount > $10,
0x014de2cabd06a5e96cfbc63f001801501cb91096,0.002648585655%,Net Amount > $10,
0x014f21cc9616005c0b0bea2862a8cae021fc76ea,0.002648585655%,Net Amount > $10,
0x0150c608a25176c08d9bc8b43d0dc64e4c9f4a58,0.002648585655%,Net Amount > $10,
