Address,Allocation %,Type,Sum
0x49989540e127a6953cf0c4434f7a2b7c021846c7,10%,Developer,100%
0xf0d2f94594cb67e674740b6a1767442f01438f0e,0.0081%,CRK Quest Platform,
0x69ebf6219e70a7bfc4147d19516ea82655faea87,0.0081%,CRK Quest Platform,
0x74c89e97640dd4a014f297d7b470d7377354cb0b,0.0081%,CRK Quest Platform,
0x360bce70feb6378dc69f01fe138d5a538ab9d8ae,0.0081%,CRK Quest Platform,
0xd44f557f87c803fdb1906a050d9ad39d1ee56256,0.0081%,CRK Quest Platform,
0x8dd95e0c2c1e07e4199ea879857f72f968b4dbc2,0.0081%,CRK Quest Platform,
0x839275b859aaddd789005ced6cee51f5c655df9c,0.0081%,CRK Quest Platform,
0xf8e174f227af736e16d4cbc06a475ddd52a97a93,0.0081%,CRK Quest Platform,
0xacb4b9e5a85d08dbf6138d3c3e87a6aec13d07c9,0.0081%,CRK Quest Platform,
0xd706a913844df40becfd25f8518b47beec3952d6,0.0081%,CRK Quest Platform,
0x87ad1d7b82ca739e4dfeaa33aa5b62127d1e3b4f,0.0081%,CRK Quest Platform,
0xe7c95def7bc87979a65032cf05d3f11757693721,0.0081%,CRK Quest Platform,
0x6ede5eadaa1ddd02aeb5f44120b7cdfcc9e4c5dc,0.0081%,CRK Quest Platform,
0x3eb1580abffa4a7196a7da351ccf069487632864,0.0081%,CRK Quest Platform,
0xa4e14d891a8336be8b83aeb743fc72c26f292920,0.0081%,CRK Quest Platform,
0x2ffee41d444122d558ad169c09b4b8f12eb76faf,0.0081%,CRK Quest Platform,
0x73140f78c1b6ba3eae82ef8a295415e9eea87b11,0.0081%,CRK Quest Platform,
0x72e6631adf75e813c09ecb4ec69b45f461e4fc2a,0.0081%,CRK Quest Platform,
0xb32f08148eeb7a39a53b29a69a399e3f293874e2,0.0081%,CRK Quest Platform,
0x9bf30ae15a81fde174e47e7c2001d4b4478f361b,0.0081%,CRK Quest Platform,
0x9c7cf6097833f003480a9c2b5cbfd11d07d3046d,0.0081%,CRK Quest Platform,
0x7daec7872ad4bbeeb2a15fc618413067242491a6,0.0081%,CRK Quest Platform,
0xb2dd50d400d4e82768c4204bad49cde6186356e5,0.0081%,CRK Quest Platform,
0xb38fe837e89b448f2d60e6a24c60da53f736f203,0.0081%,CRK Quest Platform,
0x0d8acd0069e3aadd6a4779680fa31d038f0080cd,0.0081%,CRK Quest Platform,
0x680a6114dd343556dbd3fa564f790e2d14b45d5f,0.0081%,CRK Quest Platform,
0x9f53bb44bd4138d4ed25018b3e557a82548c621e,0.0081%,CRK Quest Platform,
0xf1af0e60fdb0c69dea07074abfb96ede97a6fa45,0.0081%,CRK Quest Platform,
0x8f3abdbf0d946498a4f996363edb88f614a8466a,0.0081%,CRK Quest Platform,
0x9e0274aa6bb601949c427c703b7a266b36a24fed,0.0081%,CRK Quest Platform,
0x1cd73905b9689b881a248c4362a3cb0d12cad0db,0.0081%,CRK Quest Platform,
0x9dae7d161d3ddc66325a42c474453a447ac8e1b3,0.0081%,CRK Quest Platform,
0xf65e3441b79d10bf07496c547731e2d85c266202,0.0081%,CRK Quest Platform,
0xfca770189037a5da1d0f12c5678d6a1763291f61,0.0081%,CRK Quest Platform,
0xe53712cc6f09a6bd5fc6de0d9ddb49a683d4dfc7,0.0081%,CRK Quest Platform,
0x8fb6522859b2af9be55a861181a46ce05abefa84,0.0081%,CRK Quest Platform,
0xd9249a4a5d165d852146ccf74e99bfe4a63cde05,0.0081%,CRK Quest Platform,
0x7b4e526b83b17da4b208ca3b21de94d390680aea,0.0081%,CRK Quest Platform,
0xf2c6f124effabc179cd90f939df2676e0ffda0d4,0.0081%,CRK Quest Platform,
0x03a6948018941a8650c08145abba2f25cc79e32c,0.0081%,CRK Quest Platform,
0x10f7e2f96dd15bd4c6aaf53eb5517550d568849a,0.0081%,CRK Quest Platform,
0x118ee2516eaa449ce7d9ca3cefeec01fd85adae2,0.0081%,CRK Quest Platform,
0x81f6b887657b679d9e23153ffcd703e111010240,0.0081%,CRK Quest Platform,
0xa1bb09602fa7d3b493dd01207473a164e41a7e1d,0.0081%,CRK Quest Platform,
0xb139aa38aec4543c9748e72b2ff3f60b8fbe5f69,0.0081%,CRK Quest Platform,
0x0378790e784d1adba8d150c2856935de175ee9a4,0.0081%,CRK Quest Platform,
0xc931285be43ebe420344855e5ef4b2198cbf3b39,0.0081%,CRK Quest Platform,
0xb56c86b49ce6e7b078bb64567cf0e2f04b1f6c87,0.0081%,CRK Quest Platform,
0xa8a4a0a74937c4b90f5bf59c9caab7bf9d7e1747,0.0081%,CRK Quest Platform,
0xdff059f1ff4b2ef09d9b41909356ccda87bdd09e,0.0081%,CRK Quest Platform,
0xbb0719ec15ef4f64d8d667e9bd2c21a56c8ed2ba,0.0081%,CRK Quest Platform,
0xb0a44c9e27222bf4f924639de3f4fadfe4674266,0.0081%,CRK Quest Platform,
0x04e25fafc942f209f3f4da6650d25d1494a4e7dd,0.0081%,CRK Quest Platform,
0xe5683e5e75b2ce9ee2f46a3177c6ff501be3a966,0.0081%,CRK Quest Platform,
0x1605d2893df5a34a7cc8ca0b2345a98283d82e14,0.0081%,CRK Quest Platform,
0x9517a9171ccc648e06f7006ea53f87e5a976e76d,0.0081%,CRK Quest Platform,
0x7ebdb3d27b634b416e2e60fa848b5b31b2980d02,0.0081%,CRK Quest Platform,
0x50b9766b7e0e0bad73c6b2ef89712312c39af6aa,0.0081%,CRK Quest Platform,
0x5a75f64493e39a48dd005e3041b8eb5c75a025db,0.0081%,CRK Quest Platform,
0xee8c82d50352ffe979179ea474c0585e079f890f,0.0081%,CRK Quest Platform,
0xf5ec75177c3be8803d4375fb7c6c2aca562f0023,0.0081%,CRK Quest Platform,
0x51c3fc47d3c20a594489cb6efa19fc81f746b1a5,0.0081%,CRK Quest Platform,
0xfd93cc82fe6051dbfa221ae89c41d86c09013f91,0.0081%,CRK Quest Platform,
0x83a1ff4bc81ef29067597b3d59a5d06935fba0bc,0.0081%,CRK Quest Platform,
0x9498e1350c2bbc2cad851125384e5b4a0f2a1f1d,0.0081%,CRK Quest Platform,
0x176e6c851720b3ebf3af4244941c48915277b14b,0.0081%,CRK Quest Platform,
0x9a97f51f700688216ac25db6dac9f21f0eca431f,0.0081%,CRK Quest Platform,
0x36848563e7055750bc64a75ce238a8add3b12bbe,0.0081%,CRK Quest Platform,
0x31e78d56adcd5ac7bdaee63d7f6847b6061f4950,0.0081%,CRK Quest Platform,
0x710f62475a7d6508d5404ebe9fa37f74e4524f24,0.0081%,CRK Quest Platform,
0xfce59bb33505d95c462a8c89908120b005bd1013,0.0081%,CRK Quest Platform,
0xa3cbe2f0f98f124c8bcee4133631bed416669bd7,0.0081%,CRK Quest Platform,
0xf4f51f13a72e102c7674de9c20d9598763951751,0.0081%,CRK Quest Platform,
0x726313473b0a3a4970cd65b2c9997efd84d50d47,0.0081%,CRK Quest Platform,
0xa2229f955c4dfdefcbd444859163ac002faf7f66,0.0081%,CRK Quest Platform,
0x787d85fd5efc7d8692982115220d82208045bc74,0.0081%,CRK Quest Platform,
0x613b71410392ead90aa6ea76f4b9028eb79dc09b,0.0081%,CRK Quest Platform,
0x3bc869916814890544e6bbdfcfaf8f8f2df504c6,0.0081%,CRK Quest Platform,
0x2dabdf78ff997942bc212370115e85de5cfa45c1,0.0081%,CRK Quest Platform,
