Address,Allocation %,Type,Sum
0xa0aC4799ae4DFd4b90C3Bd124115c2C0E6A55ACa,10.0000000000000000%,OG holders,100.00%
0xb104371d5a2680fb0d47ea9a3aa2348392454186,0.0342465753424658%,OG holders,
0xbb533040199c7fd5320ba89f5d876442f22f1e6f,0.0342465753424658%,OG holders,
0xbc7f6817e2e708cd98bce71986792d0e08b48802,0.0342465753424658%,OG holders,
0x1c70E21a02F0B244453Fc4702C43917f657B47d2,0.0342465753424658%,OG holders,
0xb8a067dfe1e6812316322246e6ffb08777be774d,0.0342465753424658%,OG holders,
0x37fd4919091f9437a99d3d9a57fe2eba665f4347,0.0342465753424658%,OG holders,
0x7bc267997cf9155f6ff89d36ed6ab6d27f75de9c,0.0342465753424658%,OG holders,
0x22e3cd8dde0506cd61876a86b77c90d444e7317d,0.0342465753424658%,OG holders,
0x880a1cb79d0e0a799c0949e16137f8422bf80057,0.0342465753424658%,OG holders,
0x144e1547ad7be53ed5f751406a661540b860d522,0.0342465753424658%,OG holders,
0x0b6c56aacc05b6cd093e3c123c408d95774978a9,0.0342465753424658%,OG holders,
0x70c18f38a21539728c9e53de6dc0119db43a6a9f,0.0342465753424658%,OG holders,
0x035fcf9d6578faec4d327c46b973ea0e6d1a042e,0.0342465753424658%,OG holders,
0x805b01e7f3fe127769b249763250222630968b4d,0.0342465753424658%,OG holders,
0x0fc3196a707bde864be647eb76b531d5485e3d10,0.0342465753424658%,OG holders,
0xab954aca1a699b10db15bc027a17c9c57aace3f3,0.0342465753424658%,OG holders,
0x574c30f968dc3dce3f1ec5d842b9e81ff5905000,0.0342465753424658%,OG holders,
0x46b7565dc594a4a2175f9ccf027d1a0be544a7cd,0.0342465753424658%,OG holders,
0x46cee5813ada30a43b3e79ba592b57f794d6c96c,0.0342465753424658%,OG holders,
0x0c2ea11967d44b3b44f3f13ffeda92d26f1b783c,0.0342465753424658%,OG holders,
0x6b5db7ec30d761c47d700d52879de66be1db520f,0.0342465753424658%,OG holders,
0x68cf1a321613e10da4af5bf9fc304090f72e0456,0.0342465753424658%,OG holders,
0x233adb2937f53772824338d20a966469708a42ff,0.0342465753424658%,OG holders,
0xae6a71bb987921c05ea6b9acff251b7cc4f9f6d7,0.0342465753424658%,OG holders,
0x1b3ca08ba8d6a60bd7250254f873d2d874c8fe89,0.0342465753424658%,OG holders,
0xc8d770da0abd73f81df032d277094eaf406e6785,0.0342465753424658%,OG holders,
0x421789d625ce587ab9f545cc778502883f90442e,0.0342465753424658%,OG holders,
