Address,Allocation %,Type,Sum
0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,2.500000000000000%,Dev,100.00%
0x8924e1cde99B5845979D67af54E6eb1179814F6F,2.500000000000000%,Dev,
0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,2.500000000000000%,Dev,
0x90e06d2d9705c181bad2a4e7c3dca13631a6f479,2.500000000000000%,Dev,
0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,0.035601265822785%,USDC Lenders,
0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,0.035601265822785%,USDC Lenders,
0xeEDc178E4ad2fE7ceBFbA111bff11E8E0AD106aD,0.035601265822785%,USDC Lenders,
0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,0.035601265822785%,USDC Lenders,
0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,0.035601265822785%,USDC Lenders,
0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,0.035601265822785%,USDC Lenders,
0x714BEC23142375c1A6576A9B7cA302DD1B680237,0.035601265822785%,USDC Lenders,
0x24caa63Ed5FbB4E3EbA71D5e10930fdAe1eB7171,0.035601265822785%,USDC Lenders,
0x862B1673677D2A3871c3eF73e1b8623cfcE99689,0.035601265822785%,USDC Lenders,
0x49EdA9C3F0CD41417349881a775C61C47E659396,0.035601265822785%,USDC Lenders,
0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,0.035601265822785%,USDC Lenders,
0x064cB0bB4c8ABE11935134aEE670C032D6833556,0.035601265822785%,USDC Lenders,
0x727A4841B9c08Ec2F4b2F6D6bc8108b8A77e86EF,0.035601265822785%,USDC Lenders,
0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,0.035601265822785%,USDC Lenders,
0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,0.035601265822785%,USDC Lenders,
0x46362F584Df307fC5a4CBe4C55e20be7B389F9DF,0.035601265822785%,USDC Lenders,
0x534619104A9248B55a0293BF32E64Ef939D8b5d0,0.035601265822785%,USDC Lenders,
0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,0.035601265822785%,USDC Lenders,
0x820C74a9F2fb6c039F9FD879C3B14b91D752A036,0.035601265822785%,USDC Lenders,
0x7640B5FF361A45249F12E8793ac17D91a0e76EcE,0.035601265822785%,USDC Lenders,
0x5EE58b00e1722C0e01E86286a16DEf6ea9675F6d,0.035601265822785%,USDC Lenders,
0x8046679A713773d79fbF5E38669F31923e00267e,0.035601265822785%,USDC Lenders,
0x46331769A8a01947E07C310704893076a3409d36,0.035601265822785%,USDC Lenders,
0xF2a7594190D0A719F43bB79F90A45414282E0261,0.035601265822785%,USDC Lenders,
0x5Ec869c1Cb378bb77Bc55BB56129399f6828c8C5,0.035601265822785%,USDC Lenders,
