Address,Allocation %,Type,Sum
0x761A1AFb33D1a9CaEf47144374c251F02234bdF1,10.000000000000000%,Dev,100.00000%
0xff1fc55b3b5d2cc62b82d1f77da88355e8175254,17.118554461022100%,d20 minters,
0xdbf828580b6881806c90808db04987b423722e74,11.649182951222100%,d20 minters,
0x05f51de33bd21abd4172634eddc78c8884212033,11.551358146873500%,d20 minters,
0x078861c9870e8dc277b8d79c0501e43b0a30a10e,10.052378102293300%,d20 minters,
0x7fad1ecb37c2e9cd89513cbd865c7ada65d3c890,6.089511235300760%,d20 minters,
0xaab2885b4a57e83dba3ef63d7bd9e5508712a17e,5.168332164224250%,d20 minters,
0x9a6fa2bfa0277e32c350a6425b7cdddcf79dc981,4.099322472027050%,d20 minters,
0xef67f3ef0249750d250c221183edecdccc09e6f6,3.777651883178540%,d20 minters,
0x751d833e461a1a4d7c3431d512ac4245df7f0a03,3.040616066135650%,d20 minters,
0x2be1a753b1c0562c4cf35a24f6f62619961ceb53,2.431864873026000%,d20 minters,
0x1d816f0cb623518021e379752c5d3338da974d4c,1.856567220245660%,d20 minters,
0x22963f931baa98d5ce2a43ab7681a638a693f560,1.476141977926780%,d20 minters,
0xccff041faeb4afda1cf84b0c082d907387291453,1.459118923815600%,d20 minters,
0xef3bbcb9df930c9ba9e12d9856a34626ae3d9963,1.337525680164300%,d20 minters,
0x8fe7261b58a691e40f7a21d38d27965e2d3afd6e,1.219781531923780%,d20 minters,
0xf7abcfa42bf7e7d43d3d53c665ded80fdafb5244,1.215725169885810%,d20 minters,
0x7d101a07717730043e10a29253c1d5033328f5d8,1.057861219766310%,d20 minters,
0x67eea7a2e81f7228c98ea6ddb3bd4c4849a55554,0.856775978445013%,d20 minters,
0x5c0642fe68fc72cf03f676b28faf5cf97cc0b265,0.607901579288176%,d20 minters,
0x2759f741784741f3822de79f79e965c422740f4e,0.607419048660070%,d20 minters,
0xf139b646aab752e4a564d7f9be558b715f57504b,0.607419048660070%,d20 minters,
0x5ee680421f5a738696f5b25d7f825463d9128512,0.606762445144353%,d20 minters,
0xbd89cf0460052b7bf10931becfe384a78d873a03,0.571488245161111%,d20 minters,
0xc0a177953f12f0a22eb4046ef8d06c0cf5e50b02,0.322327765433188%,d20 minters,
0x994f1454e1e70e7cb2ebfe5cd577222e76f51e24,0.255345811667730%,d20 minters,
0x695938203596bfa9c3049cb228ab1329460ef427,0.185806660793353%,d20 minters,
0xe71f2708641fb72fb9926ddc4434bab9c6427570,0.121593243651300%,d20 minters,
0xff70e5d3649a5f88f2230e7a6433711b00980f78,0.121593243651300%,d20 minters,
0xbaa0b77700482d2c0c19f804e563c0b62c9934d3,0.121526367367292%,d20 minters,
0x8f55d8a266ac718c4be41fc1cd81eb51c6e8a6e1,0.103354257103605%,d20 minters,
0xea611e681b294c2e2137ef14b782a9e80cc6a44f,0.060796621825650%,d20 minters,
0xd332a8e50d332945a6aab0f1ebb37e6a5164ca1e,0.057386386586335%,d20 minters,
0xe952ee8b6162ca9bd2757e27422c1e810fe77282,0.038425457663888%,d20 minters,
0xf8d27d950d178bbf58c39b42eca0b5783138c5a4,0.024318648730260%,d20 minters,
0x8e7d2ad92d0daa25c9ab0c4c5cfb5fa6f4801875,0.018482173034998%,d20 minters,
0xbad8429f711e92a96b9a9b82aa148ffd1c4df24c,0.011701651043824%,d20 minters,
0x23db013d1f68ada4985630fef4df92050c6b9cc2,0.010551579587735%,d20 minters,
0x73649f391bf41c53f9d574dbfbd33984b0450435,0.003303762480291%,d20 minters,
0xde91165f5ee7d37c2277b981b69f898e1028b98a,0.003269639038766%,d20 minters,
0xa138cf1590967d4faac7d70f8712711279b831f9,0.003161424334934%,d20 minters,
0x404f583833d0a05156ff6003da652b6031ebcb55,0.002796644603980%,d20 minters,
0xb3dfdea360ae38779b8fd9645290a46f939caed0,0.002588519285298%,d20 minters,
0x0a251df99a88a20a93876205fb7f5faf2e85a481,0.002431864873026%,d20 minters,
0xe7dc0013d6ed26c7dab0bec49779a38e8b166663,0.002431864873026%,d20 minters,
0xa3529e1f877a9453aa6053d66d7d4f07827e8e86,0.002043434405029%,d20 minters,
0x3021a59f56cae360183c40965d7059a4a73a7ba7,0.001964452297683%,d20 minters,
0x9448f2669fed2f3504bbd49957720a3aed05d70f,0.001929684776746%,d20 minters,
0xe5267e0ce4cb459f7dc57b08b3d0be62517459cd,0.001823898654770%,d20 minters,
0xf7d9d04f9f7db2573201c8433a37042ab25f87f5,0.001580712167467%,d20 minters,
0x0020fe4545bb19b6257f7deda80c8eb353131db0,0.001496009584380%,d20 minters,
0xbf1f4dbbc3ce58179ad839bcdd784bfdafe4126d,0.001476996292057%,d20 minters,
0x19f15abb13d61345fb4e3dd650f15c0a51e91138,0.001459118923816%,d20 minters,
0x24878dc8aedeaf05c7097bbfe65a97c2fc13d15e,0.001459118923816%,d20 minters,
0x63b9db6629c36f36d1abba9ab0a13f48bb82c906,0.001459118923816%,d20 minters,
0x70ef9757b6dd3e78b1a8e94982a758f90699357d,0.001459118923816%,d20 minters,
0x854bd703084706df2777557659417b76e9fc3beb,0.001459118923816%,d20 minters,
0xa4ac509572e85d7fad70b39bd6d6a9dec1f52750,0.001459118923816%,d20 minters,
0xbddd19674f27db6b00fd3fe1cae76325fc8d5667,0.001459118923816%,d20 minters,
0xde8a68d24c9542fc8c1ec6c7f881543d92404bde,0.001459118923816%,d20 minters,
0x517ce30a9416e647b4cec04cbdb840b1ecfd70cc,0.001411970414030%,d20 minters,
0x722edf81c3313327d2af14407ab4f5138df18742,0.001354548734275%,d20 minters,
0x07022938e17988d2df8fac3bc3bb44422a8afafe,0.001337525680164%,d20 minters,
0x163d1a5708e536605e7b7b4b3b46a95dbf517800,0.001337525680164%,d20 minters,
0x390009b6400888a869b790ba8add3e588dce992f,0.001337525680164%,d20 minters,
0x3a4ae459de0c3998b399fd5ae3f9b9dbefd387f4,0.001337525680164%,d20 minters,
0x4dc57d45f2b208f23981bcdb7bf8db86489a251f,0.001337525680164%,d20 minters,
0x5a869e3de0e797e4ff8e1b3436610a66ed09bc93,0.001337525680164%,d20 minters,
0x68f250f3a5993ed72cd3e929582471855967ed6a,0.001337525680164%,d20 minters,
0x86141684e1a44875d4234339fe72cf7ce3d8d1b3,0.001337525680164%,d20 minters,
0x9a67df384ec63f6cf960ef7e33287ea61491e415,0.001337525680164%,d20 minters,
