Address,Allocation %,Type,Sum
0x1bf1527CB4428DbF793c0bba10cB4508620046ee,10.0000%,dev,100.0000%
0x5049f3179105d1090c878314ef52da53aaa9ab7f,0.0239%,Players,
0xc042619f7abbcd582311ea92e8f1ecd2ee58a9e2,0.0239%,Players,
0x1209663b2232cb98461d824171dae423d37ff19a,0.0239%,Players,
0xe254af7b2a05fd3a8866da879c5236d43f378cfb,0.0239%,Players,
0x00ce8d6ddde58819f3a0979ab7fa93b79626bd7c,0.0239%,Players,
0x7872cde59f95d67b2781ae94e1ae3d53b87cf946,0.0239%,Players,
0xfa121d11a3b7a65508660ffe6787437c0e3186ef,0.0239%,Players,
0xb3c74cc7eedc79c15e8de4d4360f56021ac78d5d,0.0239%,Players,
0x9748d8081411ff5e51f0a454aae15087710ad50a,0.0239%,Players,
0x40afe0af1769b4088da2ce46efa4dabf9e82e2fa,0.0239%,Players,
0x3000078da12a11431385cfeaf0c9bad7155ad7f2,0.0239%,Players,
0xfc8c239091a90ae4c197b3446ef94a1c623879c8,0.0239%,Players,
0x79da40ff3e3b30486d9fc3e99c0a498df1aee17a,0.0239%,Players,
0x42dcaf01b005766fc349527dc644cbd554653f53,0.0239%,Players,
0x8fd7cc40f535dc382e1a1338ed93600fd2bae206,0.0239%,Players,
0x1e2a435acff146558e706faa11180d5868bdabc7,0.0239%,Players,
0xb29960c69fd1d6b281496a80eda3f8e83c93651a,0.0239%,Players,
0xdce2c724d7ac1f668938b459510cbf461511a533,0.0239%,Players,
0x3f21d3cc82459d90dc8a473994756093cd7b8186,0.0239%,Players,
0xc6de1ad11d46dbeb87ce9982398ebd3f696517ae,0.0239%,Players,
0xdeb7369c3a1319bbf2a5e83692b1438266324880,0.0239%,Players,
0xdf8ab6bc36c9f4668e0b5b9903e9ab40c26ce4ab,0.0239%,Players,
0xa3c40a58d306d3e388eea15f33beda3815872386,0.0239%,Players,
0x63a7a2b8b25ee17e54c53092edfe542936824937,0.0239%,Players,
0x09e6ea36fa993f1f527fee7a70e9b5ecfb19676a,0.0239%,Players,
0x526d50809d7d1710ee82bf5a73cfcf431a264893,0.0239%,Players,
0xd875df5a1ba9b73e8b00850988e7bf846155ed94,0.0239%,Players,
0xa79c5621e0c85587068f8e91d3d15488df6c3c1c,0.0239%,Players,
0x59b4d9b6e946e5e2ece10aacf794a4f7b4d0f8e4,0.0239%,Players,
0xf7ae0ecbee60a33eef262af112c24b1f176d8b14,0.0239%,Players,
0x6c64235ec846bb8c0d26e58e724db91033aa7648,0.0239%,Players,
0x971bdacd04ef40141ddb6ba175d4f76665103c81,0.0239%,Players,
0x815cd5769cbeb6156f8878cd0154b1ecbfc55f62,0.0239%,Players,
0x32f4f9153338565b470b4328863723abf10fa56d,0.0239%,Players,
0xc00fc5c3bf51a0ee16fecc1a318a72b1f7c29c8c,0.0239%,Players,
0x9c4c277b5cf0dfb2bf26078f4ee9a0493485e300,0.0239%,Players,
0xc4286f5216bf89b233b7b6dc305f3a300f5afa22,0.0239%,Players,
0xc4bdbb3da01abe8ef67c20b784055a3efb331641,0.0239%,Players,
0x13d5c3a29d6092aef47a9c93a6e63926875d7cb1,0.0239%,Players,
0x112f6a10a6867ffd54559f8713ffdf60516954db,0.0239%,Players,
0xc02bb8fcb82a4bd55b5dcc632ac340f93e82000b,0.0239%,Players,
0xb3fbeb844f40076c9ddefe29c352688c6235642e,0.0239%,Players,
0x234b3652d3d54ebf2eafb86e204fd25586f77ec9,0.0239%,Players,
0xd59b2a2acea9704121598c5fd942f9fbea4dfa47,0.0239%,Players,
0x77cd22b584c063df360ef6b324ecce08b19839ca,0.0239%,Players,
0x01ead50d3245b3b2df9d9aae092d67f32ae6dfae,0.0239%,Players,
0x60161d16df517a252d9262baf477d6c5eabae7cf,0.0239%,Players,
0x4193938622a6f2233db288e199e863fb9f999cdd,0.0239%,Players,
0xf0212f23d7e58b2d8ffedefd0bd6c499c2d6afe7,0.0239%,Players,
0x046a8bb86c41baaddd41c3334960c78b5565def9,0.0239%,Players,
0x081fd9054be319482bc644369fbd43eccbf815aa,0.0239%,Players,
0x1986fb970e282afd6c7645306c5be1689987e45c,0.0239%,Players,
0xf549a14f9fdc8c1cf3e80598647912f6fdc0d420,0.0239%,Players,
0x56c25876dc1cadff67e633740f47be39552b8073,0.0239%,Players,
0xf543311360d1072873d627b06ffe85587e8fc41a,0.0239%,Players,
0x3fd945503f7a39f8d3900c0754a4eba7595ec25d,0.0239%,Players,
0x5c4754d9a9903a365b16234ce88c93ba6a41e561,0.0239%,Players,
0xe000d5fc65bb5ecc1ec90e2afb9df87c5e0f8492,0.0239%,Players,
0x48f91cbfe73fb8b37ebeba413b2e054566beec36,0.0239%,Players,
0x00f98baf21eed79164d1cf99eae6b4439b96dd46,0.0239%,Players,
0xd37f5f81ccac483fb82c467414c1479680f48e01,0.0239%,Players,
0x9dba008e01ecd3d762ca00e2406ac02ef3379596,0.0239%,Players,
0x2af893c67e698c1f420bc4e4a44e4ace60ae7025,0.0239%,Players,
0x7805d315823d5eb36b04c80eaac04fd00b416fbf,0.0239%,Players,
0xa4f128b7f59b7ae4312f5f99e3292c73c57f6a57,0.0239%,Players,
0x1177f17f66e11d9a6da1d765b75491b4371b9f41,0.0239%,Players,
0x3596980b4900b6aad6a80732dce25e0491bc0231,0.0239%,Players,
0x5df0fb4fbd3d49d5053b5b7b4e1cb245ac5c0f63,0.0239%,Players,
0x2bad61136ad848ea10f17e881d25403af7177f36,0.0239%,Players,
0x5a008223ecb2682b4b84656c63f93e67a74f499b,0.0239%,Players,
0x9fc5f8d2ececb218f9432a091424fbfc677b9154,0.0239%,Players,
0x2cc11be70cc424e493dcc0315ca03e047c55756d,0.0239%,Players,
0x57f7dd511645fe4a7978ad39e7c846ce75c6b5e4,0.0239%,Players,
0xd61f181a12ea4575652a1a5f88cbdd4c7e21d3e9,0.0239%,Players,
0xf3bbde28f7ec2fea594940aba19cca895009623d,0.0239%,Players,
0x331ed8a63fa37dafa5942789d87253b7969e4101,0.0239%,Players,
0x6d825a6e7f785d40017c0fa97bfa803c19fd651f,0.0239%,Players,
0x82db9ed85ca8c2ba6aac0ac886ab134eba389da3,0.0239%,Players,
0x60077c8fbbbd58c66dbc738e257d0bead647e1c4,0.0239%,Players,
0xdc9e5bb23950a89d4a932959f50dbe0cc2d92798,0.0239%,Players,
0x8b047665d9b75cfa54274540c4ee70c9110a4dbf,0.0239%,Players,
0x652977ea6cf47f2ff25c48dc306f80cb07f6a15d,0.0239%,Players,
0x2d2e6db54f6c900ac9a567b78820afa3b27f0e9b,0.0239%,Players,
0xa2d0afed61a04ea717a48d5b565dcd78a240e579,0.0239%,Players,
0xeba69d2b3c27d4eb9191a28345d11e78d11f228c,0.0239%,Players,
0x1280a0129fa93bb1f1a5ebb5c8d428d8054c9b47,0.0239%,Players,
0x4cdd6ca7da844aaa5be3c7bd5b9cbd213c77f6c3,0.0239%,Players,
0x46656f0004b5f8f34032fc8c1abbb05c364506f9,0.0239%,Players,
0x9b95b5a08db195d307f18f93e8cd8101e6fedf19,0.0239%,Players,
0x5e002afe1c00c3df6b6d6a9bcef67971fd1662b1,0.0239%,Players,
0xb851aab224602b802d0706208a31be5807605c7f,0.0239%,Players,
0x193801bcd6d20d741deefc2e0d18f7eff0c033ef,0.0239%,Players,
0x2e7669f61ea77f02445a015fbdcfe2de47083e02,0.0239%,Players,
0xc475ecce788ecbf4b6e78bc501f4b1ce73c46232,0.0239%,Players,
0x83f0fbbc2ccb84e38c32ac9d39aa130c7e1ed47c,0.0239%,Players,
0x4b880ddc1ce78ea3fb0cc4d3e581b663f8bfba1c,0.0239%,Players,
0xf01ec20b2a33f9568db2c1e35a118adaacee8c4b,0.0239%,Players,
0x97ca0881daa46c4028b9231e3a10ba9acd84d9b9,0.0239%,Players,
0x69aa334f55ff3bffa8edcd152c9058e022dcdb60,0.0239%,Players,
0x370eb5580c6b34286891c03e9caa4f194557d71b,0.0239%,Players,
0xf35b06e18acd995bca245a91a0e8769aba7b71ff,0.0239%,Players,
0x42c1b36bb243bfe02326473ec02a3488b55183e5,0.0239%,Players,
0xc9ba764bd46a5dc5f7c9817ed0c6600f45a49243,0.0239%,Players,
0xd4c494f48ca8e5d342e6d3180c19a5ac71071cf3,0.0239%,Players,
0x6c7c3c396d8541fed2f46f9e7b57b48ab4296a88,0.0239%,Players,
0xbc1934f548417f79ab10138b57716fbc7c25c177,0.0239%,Players,
0xd457dbcdb489523b8a2623fbc1442751f1cf3999,0.0239%,Players,
0xbb25a0010c64403870e5276ccfb65073af24edc1,0.0239%,Players,
0x5b8607f51408f16f13c2ca04fb5432bc48137d5c,0.0239%,Players,
0x2fca36d06e82bc822d7507bfedf548d03ace41f9,0.0239%,Players,
0x3a3eaa09f357d189a5e682df602ef9cf6cb3a91e,0.0239%,Players,
0xb77905d46c3ac56915f3604cff142c807455de91,0.0239%,Players,
0x355704e49cabb421509a9f34928a50e2d3aa356c,0.0239%,Players,
0x6648b5d6e5e804cefd1e36fe13b941cd16ba4e22,0.0239%,Players,
0xa8e51014af09a67f7de50751bb8edeb3a644a9b0,0.0239%,Players,
0xb4a2a2c111e553e2d0d6112e7f04244bb1b70031,0.0239%,Players,
0x6495328f27fc53d344d3953b0a037ae0f363db47,0.0239%,Players,
0x50ccad5f54181aad3757f0fbc2ba701e703a0f16,0.0239%,Players,
0xe6d11ac3be1fae5110275cd89bc794cb4bc9483c,0.0239%,Players,
0x08b8c2cd1a48a0c906f3a15e3fc94c52cf7e4d10,0.0239%,Players,
0x7a120d3150530a1cb538711ef04623aa8d90ff4e,0.0239%,Players,
0x4790166846f762bbcd9964a133673960f8e0e67d,0.0239%,Players,
0xb9d20d5752b360fcece89a4bfc369ad343dc612a,0.0239%,Players,
0x4eeefedf07957c51b98b46fcbbf37fcde6f26d7e,0.0239%,Players,
0x332f456eeeaae53df5799dadb2489d0dfda723c7,0.0239%,Players,
0xddf88f53bb9ef41695ae1597ea51d7c77efc411d,0.0239%,Players,
0x9a3a55723dc8974289ec64ee6517fcfb20577b40,0.0239%,Players,
0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3,0.0239%,Players,
0x00d35933e0c9389f9b71862b70f5b0c5fd745c48,0.0239%,Players,
0x0daf89946fb5a6e4c6c7fb2c6f23560fec394fc3,0.0239%,Players,
0xc086177da3ea7c28995f02c662d8d8861b88fc9a,0.0239%,Players,
0x28fcc806116b1c7e44708606a98855b76de83bee,0.0239%,Players,
0x4af022939e166a4b5ac92ceba50af3f1be672bbc,0.0239%,Players,
0x95498fc3fe6b7b12d9956b2d94f63589926750a2,0.0239%,Players,
0x80e1090fc7d7c5ccd120a58a761e771e6dc77c4d,0.0239%,Players,
0x8134643edb2fcbefacbde28f38e3d3b6e655240c,0.0239%,Players,
0x16c5d7862f5e42b578c5b86bdf1f3887fdc0f412,0.0239%,Players,
0x9085acf1b9d5fe97bc9d77b35abba0526ba05497,0.0239%,Players,
0xc088e033a5db0f1b2fef24726f78fbaa428d8238,0.0239%,Players,
0x6383a8e3d5e24f4e43051843f0b9de87ecdd1eac,0.0239%,Players,
0x18536e37941b28dc3ad2dac112971f4a4392e6d6,0.0239%,Players,
