Address,Allocation %,Type,Sum
0x50B65C1e3206621b6f9A5Ab2950Ae69f20634b82,10.0000000%,Developer,100.00%
0x310Bc061214ee89aF5CfB28a6ebF96c5436fa3CD,0.5769231%,DOS Holder,
0x7731fc3F0B9ee36b63D90D7c3cA5fA6f624AF809,0.5769231%,DOS Holder,
0xc48CaB17Fcb3eb38030bc4EA54B62353d2802Ba8,0.5769231%,DOS Holder,
0x5566729916110D1a9bd6C247cc676bDb6Fc247BE,0.5769231%,DOS Holder,
0x0e251d9095dD128292A28eB383127d05d95BBD17,0.5769231%,DOS Holder,
0xeFBE6c18E5D7FAA441547a22c2C8ACB90eeeA514,0.5769231%,DOS Holder,
0x35B28726Dc790205a00BbA4F5a9027b9E093a88a,0.5769231%,DOS Holder,
0x50B65C1e3206621b6f9A5Ab2950Ae69f20634b82,0.5769231%,DOS Holder,
0xc13b65f7c53Cd6db2EA205a4b574b4a0858720A6,0.5769231%,DOS Holder,
0x710bAeFf4c53A6c44C814D59D154449cD88FaC75,0.5769231%,DOS Holder,
0x4E2C46063B4AAdcB24AdF784172Db6f043a77D95,0.5769231%,DOS Holder,
0x1E56aDA040F64460a80155c07c111369C4823DA8,0.5769231%,DOS Holder,
0x85C1Bd0af9E9e35CDFa2F19984528C60d1dB2821,0.5769231%,DOS Holder,
0x462E0325a7ba8d4C95541c2483764f85AB6a0093,0.5769231%,DOS Holder,
0xBC2C7144b1F8D708A0601961da6B6102f4Af286a,0.5769231%,DOS Holder,
0xB8FF877ed78Ba520Ece21B1de7843A8a57cA47Cb,0.5769231%,DOS Holder,
0xe67D23Bbcef1717A0a71cE7eD92ea397E0C3E5E1,0.5769231%,DOS Holder,
0x78C567D5d600e47CDf6432a80a217374B9E7127E,0.5769231%,DOS Holder,
0x18606e2ABaA0bA15Cc1D0D3b55521bD2247e4d2E,0.5769231%,DOS Holder,
0x433704c40F80cBff02e86FD36Bc8baC5e31eB0c1,0.5769231%,DOS Holder,
0x339d413CCEfD986b1B3647A9cfa9CBbE70A30749,0.5769231%,DOS Holder,
0x2d5D90Af47BB302DF13906EeB67Db6dcE8B238d6,0.5769231%,DOS Holder,
0x9eaa4b7e53bAFBC3A3cA0c2c88D28F65cc88061F,0.5769231%,DOS Holder,
0x9F403140Bc0574D7d36eA472b82DAa1Bbd4eF327,0.5769231%,DOS Holder,
0xCfa88902165c5c6BEc47Eb78e791F0A75e0f8238,0.5769231%,DOS Holder,
0x0ccBb57071Aa04c4f20C791F1d146Df215EbEC5f,0.5769231%,DOS Holder,
0x99999e454138f6be73E2bE82c890bc5765749999,0.5769231%,DOS Holder,
0xC28dbBE7819791124e845883Ac740EE2e3258A98,0.5769231%,DOS Holder,
0x473D96670B23571A81217ba5e354c1475303A0A3,0.5769231%,DOS Holder,
0x909EaE37bbD85F0004ACDf876756ce6bcb780D9d,0.5769231%,DOS Holder,
0xaD8A06E659011D032b1B3b728a44a6549F3fda60,0.5769231%,DOS Holder,
0x4b8C717C1Db825CECA9d488Cf61CC311072c88e9,0.5769231%,DOS Holder,
0xf6fBD840Ce7408d22a743BFf7CCC8F77164646b6,0.5769231%,DOS Holder,
0xEEe16F7AB85e4ccacE53581BA034547Ebe9b4dbf,0.5769231%,DOS Holder,
0x6CF9c45e2CB28158F52C61bd046159f95FEAa04C,0.5769231%,DOS Holder,
0xF516c71007c6f0E3010016456209519c58840E23,0.5769231%,DOS Holder,
0x58e8E45915F4CA0625c8343a479219D9e339Ef1F,0.5769231%,DOS Holder,
0xd05c84623FBa6066ba3aB1c4f46Db7821154304B,0.5769231%,DOS Holder,
0xd27702Fc579C9Ce322a8Bd0C52C2d81BF7DA8684,0.5769231%,DOS Holder,
0xAEC109dCd8521d4e12a7eC04532CBf9eCaFFcC52,0.5769231%,DOS Holder,
0x4399c51363eb1e066a8745A7175fb801eD76EC83,0.5769231%,DOS Holder,
0x7Ae867A41577550B0D0656f63330b62F6EeAb505,0.5769231%,DOS Holder,
0x29554A7d55210690fB92c450E69cC21C5607b4a9,0.5769231%,DOS Holder,
0x04fCdA8bc771B697B85991f9213EBF188da8E703,0.5769231%,DOS Holder,
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,0.5769231%,DOS Holder,
0x7731fc3F0B9ee36b63D90D7c3cA5fA6f624AF809,0.5769231%,DOS Holder,
0xCF701D12686904C7938BAEc679F0350Fdaa59F24,0.5769231%,DOS Holder,
0x05b08e65850125b1242d4D8AFf59563a326F36Ad,0.5769231%,DOS Holder,
0xBC29da6F64E34108a1874de0B86D7724E78F3ad4,0.5769231%,DOS Holder,
0x52e108267a0E2b46bd5C15f9500aF584fA744fEB,0.5769231%,DOS Holder,
0xb47bC7FAd7B31E7470e09ABFdB5584ba8862bddd,0.5769231%,DOS Holder,
0x99999e454138f6be73e2be82c890bc5765749999,0.5769231%,DOS Holder,
0x7d5dF7aDdeFcFfA189307745919B5898d343ff6C,0.0129646%,Parter User,
0x6596580AA9bB7dA72BBB856cEad77B36A526D97f,0.0129646%,Parter User,
0xfE5504eF8Ea4392536383215be72C68312C0Ed95,0.0129646%,Parter User,
0xD96774d0dEd1370293515E2328Db30FAF7bE7B2e,0.0129646%,Parter User,
0x50258cA5c0BA33442dd3ffA7Ab1423d275f5f7dc,0.0129646%,Parter User,
0x47817C5876c5f6D21cfd2aea5fB00bff36DBA33a,0.0129646%,Parter User,
0xdC8A5C5e14b1263b1600758613383C0C3d002B55,0.0129646%,Parter User,
0x039Ac6fBCEbF02B54259bC690e13540693D9eb8D,0.0129646%,Parter User,
0x1353F5dF2549219cd598Bf53af679460a7Be9031,0.0129646%,Parter User,
0x7d14d3D3FeF9d5Ae6EDf5F0520EbDcb1D6841e66,0.0129646%,Parter User,
0x5070D2C7467B239F8A6D419C392bE527C1d4205b,0.0129646%,Parter User,
0xE378e52251642aa9b673Ef69036b45aB5DAC99f4,0.0129646%,Parter User,
0x169472427556401E21A85857d464F531F174e29F,0.0129646%,Parter User,
0x781b7D4D5C893675f23b4f5fAF0Aff644850fd2B,0.0129646%,Parter User,
0x6d4b301A15C9Bc266F37e90a73DD93Bb92b52D07,0.0129646%,Parter User,
0xfb67e6D92Bd16ef87913612fD8927cf704C6a8BC,0.0129646%,Parter User,
0xe10AD6B05484dB403CEE5DB412299682495F1c23,0.0129646%,Parter User,
0x6980Ab962d4ad338f7cA37e19e72bd031aEE6028,0.0129646%,Parter User,
0x90843D6aD4aFC248a03D4f424372DecDfb47Ca05,0.0129646%,Parter User,
0x602C941D9b9ebaFE1A9B3FE285C9D7CF7e9551df,0.0129646%,Parter User,
0xe9Fa89307250C1EFDbF4A3E71a5245f161e391A6,0.0129646%,Parter User,
0xAaF025Ae754b016121571340C809c4A7c7AEA1cd,0.0129646%,Parter User,
0xD179868223BaA116dD4a37501493e81b6bf83866,0.0129646%,Parter User,
0x07d9591F71E1e696E05075B903175c5eF39FDB91,0.0129646%,Parter User,
0x95DA9A574e595281B769FE13dfFf7075C0B7a0C5,0.0129646%,Parter User,
0xf1ea32260224a2099bbc48528E48AF87dEcd2781,0.0129646%,Parter User,
0xaa9D1e6990b067323913468bFD6B92A3B46b3Ca4,0.0129646%,Parter User,
0x2A272ffd0f71d63d31edf718B12f604cDAAC2859,0.0129646%,Parter User,
0x0Fa6D846A90f817f5f137488a7420366B13d9Cfe,0.0129646%,Parter User,
0x451C04E94D85325F72e29495c04d5C4F92986995,0.0129646%,Parter User,
0x88B057c042de6b79aFd49fbf3dcfd4bf17eb9B18,0.0129646%,Parter User,
0xB75D24576449A7B6C7BF36aFA48d3F40512893c6,0.0129646%,Parter User,
0x8Dcc2226de8586f971B8782dd496b1E9E4677bDB,0.0129646%,Parter User,
0x2af79C4c1Dd90B85f61CEdd13d144e32883fEa1F,0.0129646%,Parter User,
0xD53baaad77bF0262EfC9303A4f1fE6967CD1275A,0.0129646%,Parter User,
0xdD52b5d8270f96Cd808912fDA2b7c1bE54464791,0.0129646%,Parter User,
0x76323481c8AE7ED973bBA237F7411e39C9D7c5BA,0.0129646%,Parter User,
0xfab74F39f9BDc7d39AAe5D8c1a6899f3C2df9E2f,0.0129646%,Parter User,
0x3F42C906934F4971AE7cB316cE32018e4d686536,0.0129646%,Parter User,
0x31Af5978e3Fc421D7519fB91ec842EaffDA8f820,0.0129646%,Parter User,
0xc7b1F0e217BC318B1863B2F9cBcd1458915CdEb8,0.0129646%,Parter User,
0x3B430b4B390b8E12FA5623C116d059C87406f7D4,0.0129646%,Parter User,
0x4094cef478C1b27e0d4C2D64a131634a2d1E5E30,0.0129646%,Parter User,
0x438766C045e19A3ED43816Ae1Ad8C131eE0b37d6,0.0129646%,Parter User,
0x995C7e1f2d5Ec6b5c1dB5a9c46D1b94f95f94294,0.0129646%,Parter User,
0xE85627993c566D3977A8765FDfC7e86f4460F6E1,0.0129646%,Parter User,
0x8c37EE4875b43f57d6AaBF4eEfdAb7d838943241,0.0129646%,Parter User,
0xF2292c2a1bB96B1CEfE2dd350062e7dd09C7FDA4,0.0129646%,Parter User,
0x881cD9deb81622eaFe057080540d5336AfC4e289,0.0129646%,Parter User,
0x41Ce1a041d2D8D77a8A23326256E462921e1C5a0,0.0129646%,Parter User,
0xC9cC9665D28B906f3Dd42e143B6E0c90FA2A3D6A,0.0129646%,Parter User,
0xc25aBfaE9DB7aBC88768C3792eDEc6f637074c75,0.0129646%,Parter User,
0xaB3feb8a6D4C42489F74Fe605468a4C80B8C0e0c,0.0129646%,Parter User,
