Address,Allocation %,Type,Sum
0x5f5cd726d6210E80924C08D5Cd114999f187c099,10%,Dev ,100%
0x1c9d8982268e5af6a29b9a3a62c1e4a4dc340112,0.0690184049079755%,RADAR Stakers,
0x4de6530f18a3aebc0c8869ec41be6a59e939c703,0.0690184049079755%,RADAR Stakers,
0x046ef76da758720fc0fe906b0f682798f8871d41,0.0690184049079755%,RADAR Stakers,
0x33ad9c76be2ebbb0545e3cdea238d828b978154a,0.0690184049079755%,RADAR Stakers,
0xf54da41cbd2c30f83cc08f620ca7c488243d70b3,0.0690184049079755%,RADAR Stakers,
0x5d5af605af64d50b3bfc190dd7efc15d4547a75c,0.0690184049079755%,RADAR Stakers,
0x8478fbf80781be1bc9f78c005924780bbe5fb9e8,0.0690184049079755%,RADAR Stakers,
0x170691b3a4145a7d41a3ea0853755347d6ebe4b1,0.0690184049079755%,RADAR Stakers,
0x68f939b3d0544e13daa61bf2bf6618dc6c579ad3,0.0690184049079755%,RADAR Stakers,
0x6f73f411bd882df945a07900b70d5b59d906f0ba,0.0690184049079755%,RADAR Stakers,
0x1967166a174e6f3e8304b43471e17c23743d5fa4,0.0690184049079755%,RADAR Stakers,
0xf157c0ee10e58b8faa57bad56b7372e694c11cd9,0.0690184049079755%,RADAR Stakers,
0x4d3c6caba45c564673af20c29e545fcbf835eb1d,0.0690184049079755%,RADAR Stakers,
0xfa35e582e18a00d51170c223552756fd53bc25a8,0.0690184049079755%,RADAR Stakers,
0x65e375e8529b31e91e67f00fcda1201d1889cc82,0.0690184049079755%,RADAR Stakers,
0xc028d175e2e056665adfcf72c76b746e0a697db8,0.0690184049079755%,RADAR Stakers,
0xfbb13c437363798cbfba0f3e4f829f4305298016,0.0690184049079755%,RADAR Stakers,
0x70dd1eb9daece86d9890a41fe40cd19ceb348aa8,0.0690184049079755%,RADAR Stakers,
0x7d5b1367acafadaf99e8cf8318f0989ba47f40cb,0.0690184049079755%,RADAR Stakers,
0x186e20ae3530520c9f3e6c46f2f5d1062b784761,0.0690184049079755%,RADAR Stakers,
0xccf540d250f72dd3d2b0a41adba406f38f2c0e61,0.0690184049079755%,RADAR Stakers,
0x4894ad749fa04444cbb2ad68a0e041bda1fbde0f,0.0690184049079755%,RADAR Stakers,
0xeafe68ba2af3fd4f6f53c896ea9ed6912d40c4ff,0.0690184049079755%,RADAR Stakers,
0x9625807057dee9d863e27f1cf1ca1b01aef9adda,0.0690184049079755%,RADAR Stakers,
0x540615ace7036247dc4c4b221384e09ad0229d1f,0.0690184049079755%,RADAR Stakers,
0x3e238a00438837f48756be5516200dddfc304865,0.0690184049079755%,RADAR Stakers,
0xed9425ff39fd736131c702f29439f877f7d50e98,0.0690184049079755%,RADAR Stakers,
0xe9e6bfdc6510c9bc0d61d5210b942566bd068ccc,0.0690184049079755%,RADAR Stakers,
0xee617d88269e12c9722ac72632c32c4063ecb567,0.0690184049079755%,RADAR Stakers,
0x79503cd16d1d8ce0196f08de4856154433c45487,0.0690184049079755%,RADAR Stakers,
0x7bafe54726c93576f8624335feb8337a618575ab,0.0690184049079755%,RADAR Stakers,
0x4306e43ced8ebd37e5702dd29bd5d8ebbdf86197,0.0690184049079755%,RADAR Stakers,
0xc9e42cead09105955b9dc105a01ff895b1ed6128,0.0690184049079755%,RADAR Stakers,
0xaf2bea9ed666f9e7df4b46f2785acc21a3e3308a,0.0690184049079755%,RADAR Stakers,
0x14786310da605118e09b20079b1bacf3e6bc499a,0.0690184049079755%,RADAR Stakers,
0x92c4317830af63462064b9b120f9c094ba428890,0.0690184049079755%,RADAR Stakers,
0xa22a9c92de19a7e933f2b03a10209ffaff5be9bd,0.0690184049079755%,RADAR Stakers,
0x63cd50d8bf48728455f1e2bb422e43dece62cf75,0.0690184049079755%,RADAR Stakers,
0x11d55a735bb2c472fbf4e15dd046d92ac74a15a7,0.0690184049079755%,RADAR Stakers,
0x43e3bba2305e0a8881d1a341a185444aa88087e1,0.0690184049079755%,RADAR Stakers,
