Address,Allocation %,Type,Sum
0x2f2D386D5Ec7eCc50aD8642dD06212D5D0f3eD20,10.0000000000000000%,developer,100.00%
0x2e7669f61ea77f02445a015fbdcfe2de47083e02,3.6806604894000000%,Jeweler,
0x4843d7c40d65f7bdb90706255052b714c5bfb78a,2.4499617804000000%,Jeweler,
0x245c106b90fbaf9641452b566ed2fecdedb81c36,2.4058393452000000%,Jeweler,
0xbfcd5ce8a9addadcfde3fd092bb62469c970e9fc,1.7882465085000000%,Jeweler,
0x0a81cacc9fd26f34363a415b6dd69c45ca1837e4,1.6333162668000000%,Jeweler,
0x8a5805cda416b52ec599c981143e6201a31f6053,1.5441694929000000%,Jeweler,
0xf426e9f36032835174f1cc953cfc434766e1e71d,1.4419140561000000%,Jeweler,
0xf4aa0249761033d0fb08a35fda44870e31dad583,1.2029078682000000%,Jeweler,
0xfba1ed6a5c250952f45ab3a20fd7d3f48a0ac001,1.1241386694000000%,Jeweler,
0x9a3a55723dc8974289ec64ee6517fcfb20577b40,1.0614334113000000%,Jeweler,
0x2472f6c57ad97903d81741acdf462fa9d22c858f,1.0517857461000000%,Jeweler,
0x80de2f874067b092bcb914144efbe1b54a731f4d,0.9529506612000000%,Jeweler,
0xff245c176a166bebbf5338ae1d8e5b6dfa6acea7,0.8725073070600000%,Jeweler,
0x7488d2ce5deb26db021285b50b661d655eb3d3d9,0.8236404384300000%,Jeweler,
0x9952814d76a916725a3b3eb4d7154a2826103640,0.8166581334900000%,Jeweler,
0xe9eb4707217a1709ab3a2df5b1dbf6b8dee3dbeb,0.8163634095900000%,Jeweler,
0x5b6d318cc3feef0a5872c323be13707b02e1b365,0.8112762711000000%,Jeweler,
0x67E869BD9B2742216Aa968211799e1c7CE8F1a99,0.6942907687500000%,Jeweler,
0x530afd9716c0993f32250300511985f58886675b,0.6559025801400000%,Jeweler,
0x137bb2d2fb44654bc06768af1a8a51c76d85dc96,0.6461698531500000%,Jeweler,
0xc68a293f0104630e39c7711a8af5beff7b670b44,0.5718525443100000%,Jeweler,
0x48e135e3e8a12849076959368ee4073c39175a8c,0.5678756478000000%,Jeweler,
0x208b2bce76ffefbe70c0fef6ca60556f2bf86490,0.5641821828900000%,Jeweler,
0x1661de1bbc858424819354a3e92468e59bc31699,0.5615823677400000%,Jeweler,
0xa23f55e136f20d91a4ae553240e85ca77488ecf6,0.5595815255400000%,Jeweler,
0x69aa334f55ff3bffa8edcd152c9058e022dcdb60,0.5481852072300000%,Jeweler,
0x20a35a05651e37e842a646bf2cf83fe36f1b2395,0.5472868346100000%,Jeweler,
0x793e48857f3ccdfe5cf3c504b6dfc7e8dab5b0e1,0.5380994003400000%,Jeweler,
0x6e479e2de57a52608412b0e5aac0d769df9f7fd8,0.5262174211500000%,Jeweler,
0xb0bd6510294cc9bf76f017f6062ad2c4b35b8e71,0.5061117874500000%,Jeweler,
0x28ba2ef5a52a1cfa57519fa373be048026c4ac2f,0.4835250086400000%,Jeweler,
0x885f8126fa0e6465a610ad3667016faf44d69371,0.4782388402800000%,Jeweler,
0xf70b7d7041f87122f40ae1845acd917350e9608a,0.4516693526700000%,Jeweler,
0x694893a546d2711c9a8c0528a451c68c8544fb92,0.4510449326700000%,Jeweler,
0xb646c99fe1a7787319dced64629440bb6316b1d5,0.4491619734600000%,Jeweler,
0xafc2a2fc2939a0dba76c92c6e3549e34207596e1,0.4489139327400000%,Jeweler,
0x7de6ea5f8194bb275ddb10e5506913a889e0b906,0.4386801663000000%,Jeweler,
0xadf036ffc79e57effc3b63ca6b164feb06d4834c,0.4279615630200000%,Jeweler,
0x4817f70f3b033d04dffa4d4b7ccb4a91dbe135bd,0.4231945583100000%,Jeweler,
0x13038294d9f64c73a5ff4fd1316ca9fa13fb0ea0,0.4224267516600000%,Jeweler,
0x90b72ad66fceda74d2ede5fb83bca8063b789b49,0.4123027046700000%,Jeweler,
0xb1567635a6369995319b5a9b6ee9ae0e45dc0349,0.4081841743500000%,Jeweler,
0x6bcdab0942a5a2407bf3ef676049f24e1e62df03,0.4025936700900000%,Jeweler,
0xf85385347f56819c316939434d427d0c9537eddc,0.3960076194000000%,Jeweler,
0x9a8b8ab05f061d195338c17d02c93678885646ad,0.3943032219900000%,Jeweler,
0xec4e8c7c07d49aa58a017bfd683f23affc73d1c0,0.3777043867200000%,Jeweler,
0xc0317c9d24761931ae6cac66ff3c4bd66690a8bf,0.3733211206800000%,Jeweler,
0xf01ec20b2a33f9568db2c1e35a118adaacee8c4b,0.3673784483100000%,Jeweler,
0xefd538f60b029c3b5c2f3c49bdae4168199a52b8,0.3658982263200000%,Jeweler,
0x48f7b66d1e53adff5e8d8e7314d65d63aaae65f3,0.3581832265200000%,Jeweler,
0xf4e781b732f699e3f4b9cf01e8cf357017f24a5a,0.3434086841400000%,Jeweler,
0x5b8023f0a0fde30acc0787d7997a9bb310e85085,0.3353525131500000%,Jeweler,
0x0349c07bd4fc79203babd93b115c7328baf7cde0,0.3322277857800000%,Jeweler,
0x5afd265bef05dba6bd0d8d64993189476927339c,0.3312978815700000%,Jeweler,
0x17e93f0456b6dcc7d3e1655159c62665495c78eb,0.3267371525400000%,Jeweler,
0xc80cefdc53c549e769831fc502105a31be6cf809,0.3172747485600000%,Jeweler,
0x2edb2238ff183fc5828d0e24105b420c0a075701,0.3136332655800000%,Jeweler,
0x64239ae6e473af67624a719ed67f055e038206ef,0.3025611035100000%,Jeweler,
0x89c0ef58be4267b233ea15e8fb6d242ca370cbe9,0.2727956499300000%,Jeweler,
0x6156c9b64ab857101fdb353cad6edd69afc7bb75,0.2722193778600000%,Jeweler,
0x93e9b4130f7d30427d25c274ea3f147e10c4e6d4,0.2643195236400000%,Jeweler,
0xc4e1fe508f7b4ebd3f3cf353a119cee7a3902199,0.2642624054100000%,Jeweler,
0x3a74a0539d4182e7f2251412737e758e915ba679,0.2589813122400000%,Jeweler,
0x5968c89e229e31afa2847f77e75f35901df13773,0.2582878726800000%,Jeweler,
0xa4bc31f18b4736c7279da9cd5e805c8a218077ef,0.2552995824300000%,Jeweler,
0xf4587e0a8389a1b5dea2c1ae020bb8f8d5af7edc,0.2469498658200000%,Jeweler,
0x19eae8bf38e51509c62aee4def930e16d75015ce,0.2461161498300000%,Jeweler,
0x3bc52a196bab833947f47ce24600efa360530698,0.2460282501600000%,Jeweler,
0xfc04b9e5cdd1053a93e1ab45288b47d049d857fa,0.2381669114400000%,Jeweler,
0xd422379c0d066dd788d56961489bb515ef60a37f,0.2338481728800000%,Jeweler,
0x50c42604baed48f37a079fbccba1b7de04f2e4ee,0.2301227319600000%,Jeweler,
0x2fdd1d92ae8b543e556c52fe6860cf6a565ab845,0.2250510557400000%,Jeweler,
0x499fd90959aefdaae82268a79e23cd83daa8b396,0.2245820143500000%,Jeweler,
0xa39980b3c339e32169fbf81a87af5b6034d1147e,0.2192671152900000%,Jeweler,
0x272987bb318998e9Fc8893A263329E3065349DF2,0.2151674265600000%,Jeweler,
0x3652d6a03d22cdf41973829f0e0ac239ebebad3c,0.2061213932700000%,Jeweler,
0xa577903761c92ecc0ed3dab6a6133dfe9f636102,0.2041645333500000%,Jeweler,
0xa6e1096715afe0b132052e0589a980cfd378f133,0.2025610493400000%,Jeweler,
0x6ffa5c328f84ced0f419a565a2e119803e9bd8fe,0.1979371235700000%,Jeweler,
0xd2f0ff5f752da0fe289c42757d291b9a3a702179,0.1976378232600000%,Jeweler,
0xbbf029083e75709818a7193d9c7946bf56230883,0.1934438619600000%,Jeweler,
0x75f1255e8a03066c1624e43e90949da63e1489fc,0.1909326870900000%,Jeweler,
0xdd318e521a6b2421372646309c96dd9104556ff5,0.1858922738100000%,Jeweler,
0x09d4cc177663c056be397b993c853e83f1ba3935,0.1814777703900000%,Jeweler,
0x47c762812a5fd75ea176188357d78c06aec9f649,0.1802429226900000%,Jeweler,
0xb376422393f882c408a585e2d269c395aaeef2fb,0.1762979832000000%,Jeweler,
0x2f19ac2e1e1f97bf7a55a199eb7ed658dacb1fed,0.1754831826900000%,Jeweler,
0x833a4a119c1195b4ac1c7f1471152de8b65a3ef5,0.1719587930400000%,Jeweler,
0x7fdb28f50a3321ac5a80a722ce8639ae7c67e670,0.1692719447400000%,Jeweler,
0x3d69f002334b20e2777f78aca95014532960ca18,0.1678765137300000%,Jeweler,
0x608c21bfc26b4e5611d93579e45cf2c3a1957565,0.1674650713500000%,Jeweler,
0x6a53ccf3d0ec5104f3aff8f2f0d28a43fb2cde9b,0.1672781299200000%,Jeweler,
0x5fc3e8f7d5461201d90b122569d8d2300062f9fd,0.1671467272200000%,Jeweler,
0xa7073aea7375fc17d96d4d85a6a9e9176e2a42bc,0.1660041554400000%,Jeweler,
0xe832f4b5b4cdd27ab5d2964d564d1c80fad9f3ab,0.1655712021600000%,Jeweler,
0xb593565128a488a044f481828de692af22d5e6ba,0.1648916713800000%,Jeweler,
0xc91a8a88e2def7c879afe0b2646bbf82711deea3,0.1633316266800000%,Jeweler,
0x9ded2d5837e71d204628b0d165869db9860d4d21,0.1633316266800000%,Jeweler,
0x94883840d0222fa06dd7f82001bf669400dde2e8,0.1633316266800000%,Jeweler,
0xd29dd8f0af4e6d2c0d615867c3ba4e05d1bfd798,0.1615322064600000%,Jeweler,
0x60d4c8f9659868e39691b9059813862ffe1930bb,0.1566721370700000%,Jeweler,
0xa41ba9e83d3e406af2a5c932ecd6433631817039,0.1551474300600000%,Jeweler,
0xa2655e4b195d66704302685bf9ff0a78a5b67d95,0.1510429743000000%,Jeweler,
0xdb4ceed556db2fc54d3ffa7c15d2bbf10e0c8e4e,0.1503835119900000%,Jeweler,
0xfaed057207b20dad793df0348f54956d64d46dfa,0.1448098202700000%,Jeweler,
0x4cdd6ca7da844aaa5be3c7bd5b9cbd213c77f6c3,0.1417081889700000%,Jeweler,
0xcef13daa45ca6ca8b1af80e20280c7e5f6016b3c,0.1416035565900000%,Jeweler,
0xceac823ba42bf2d22b011fcaa2022b3a960402d1,0.1385801730000000%,Jeweler,
0x95895bf12350889ff26f77ec05ed9a18ca9b18e2,0.1361096889300000%,Jeweler,
0xe0dd374d4e69775dbe4e2a968d3a6258cae42d37,0.1357349080500000%,Jeweler,
0x97111afe8a6adbe0e8dbc9a00c8ad1fc85fcb684,0.1313558197200000%,Jeweler,
0x4f0442d1d1491f118877a7497ac12b78e583441b,0.1310337625500000%,Jeweler,
0x5fb3654d987b6d7182e308f9c495f05e0c7d74e1,0.1306653013800000%,Jeweler,
0x4eac7644b1872c0d3bda1667c6657a06f5e46489,0.1301141768400000%,Jeweler,
