Address,Allocation %,Type,Sum
0xAcCC1fe6537eb8EB56b31CcFC48Eb9363e8dd32E,10.0000%,Developer,100.0162%
0x4b900c8e3f9e45d2243a2d6deca02a9566c6455f,0.3546%,User,
0x6699dcfe295244bfbd3e466cf9da71ccf265377e,0.3438%,User,
0x1d9ec81904818d92aaee9fe0ccc54dfe183c9d9c,0.3366%,User,
0x57a6ff0c86375537ed89e42080377b183018dfa5,0.2952%,User,
0xd7f1bfbfa430ffee78511e37772cadaff63a9a23,0.2952%,User,
0x256a1d5b073da8280f812703b80e2eda66ae242c,0.2916%,User,
0xa58b4a80de82b889ff40e487c58208a429c77f88,0.2916%,User,
0x21d90e6f18f3848d9e45f34bdb4dfdde3fa09d1a,0.2772%,User,
0xc974e70b41db2a869dd3f8e372dc2a5be7c50e75,0.2502%,User,
0x33e580cee928d83a61b98905a1f9be68ea6279b8,0.2493%,User,
0xaa9f423a8e373b26dab55546518f840837ca2537,0.2430%,User,
0x589056e31f173f8367852bc88e3d942e46c6e2b1,0.2412%,User,
0x0ca85b489a1276ef7042f1d032d0ef3831eaf4ca,0.2367%,User,
0xaccc1fe6537eb8eb56b31ccfc48eb9363e8dd32e,0.2367%,User,
0xfc76d6ca8ad15bd263fec9a54c1915f79206769d,0.2250%,User,
0x72cf8c26bd2955b379eee6b0adc016671c2778c7,0.2223%,User,
0xbcb3df96f65068ab3a224aedf52b29c3552e6652,0.2160%,User,
0x7e73ccc793e2448c4510249e71de9aee4442d7dd,0.2106%,User,
0xdbdea8ce8a0642fbaa380abe253b27bf19a23fae,0.2052%,User,
0xe36288736e5a45c27ee6fa2f8d1a1aed99d3ea63,0.2052%,User,
0x449d76635828605a077896fc09072bb7fe4bde3b,0.1962%,User,
0x08f81eb4d321f7540737d297e02bb7273a509d8b,0.1872%,User,
0x3b6750fdd854ed73cae240df7d16fbb3eedcd9cc,0.1872%,User,
0x18e0cad67a21ab4d10fef5e716a876ce3f447c71,0.1827%,User,
0x196dc7c364e09402d0eecb01c4c210fd734af7f9,0.1710%,User,
0xe201ec4ff80e4b708396f232710f7efb6b5a7797,0.1701%,User,
0xac68558e1dee6c3db0fb2839db5e1b8edc730721,0.1674%,User,
0x03121087f3f59a48861b46a1aa82900b2482de18,0.1665%,User,
0xcc9d077e01755ded81dba66c5d23ff5ddedcd790,0.1665%,User,
0xc4154b854249ae979a48511a1779f40847884ada,0.1656%,User,
0x37b39a15c3595905da6aac714c5cfc25919da345,0.1647%,User,
0x12789c79ad0499cd9b93ae56d402c4ce4840b270,0.1638%,User,
0x26d0392321d4b34847ea67391b7ed5f88ef40dc1,0.1638%,User,
0xa4eae20ad7c24a964f62e3fb0e3558e240826964,0.1638%,User,
0x6a79bc742100785224360bde9aee82cb069e2670,0.1629%,User,
0x27161b288b423d2dcea32994bfead01d51b7f1f2,0.1593%,User,
0x2b1144f87b1ca4d48192d4c2ea378540ffe00231,0.1593%,User,
0x26a847d66f4133d80d9aa4fb0fd13999e73a8a0b,0.1584%,User,
0x54b7b25ceb6219a8b1e522e55d86d85711b14253,0.1584%,User,
0x94c073c1096ccdc5c23ba1a24788b8c5aa1ab5ae,0.1566%,User,
0x6d851425b1ba9443c031128390a9e519a6b0892d,0.1548%,User,
0x8294c888166935581584e307825ace655f100434,0.1530%,User,
0xa5c26aae7164e6aa077b6bed92fc4435fed12c39,0.1494%,User,
0x51b28f0c1f17775e5f695b2b83e99bc12c738a89,0.1485%,User,
0x2b5606fb05188e248373a028ae70a896ed0747a1,0.1476%,User,
0x311ef08626709a0de3aa84d396437773340e022d,0.1476%,User,
0xa78adf3b397f86a1ddbb1dac565b9a5fbd1802a1,0.1449%,User,
0xe5a2b1ae8c5ebf3c73328dd27f9949f8a887e63d,0.1413%,User,
0x7b62d6585f0666f5cfcbea5e09baa99133478a96,0.1404%,User,
0xc3a2e2f40a397d3c69429358dc6f141e854c1e9e,0.1395%,User,
0x4e68e08ffc2fcfbba064556b4613ae25d71321bf,0.1386%,User,
0xfd6c6f322240ab795768f572f204f614b69399ea,0.1377%,User,
0x4c11507da33df6fdec4967cd4faab94bfe660a5f,0.1341%,User,
0xfc6577df2bb28f7f83d8333594e95e27e5732716,0.1323%,User,
0x065358518df1ceb3dd6c1084e8258d8b9bcfb07f,0.1314%,User,
0xd850086a13a6544e3469a615b4c968f18550e136,0.1305%,User,
0x9d25099dad81abac560dda086e79b3d3469eeff1,0.1296%,User,
0xc7f6a888bfef5731ae13ae0c0bf1a0ca95e6b468,0.1287%,User,
0x88f667664e61221160ddc0414868ef2f40e83324,0.1269%,User,
0xdda45df63d1b9d31dce01375f1bba39f821d1566,0.1260%,User,
0xfaa22cde58ffd0d2b935decfd5f3a3b7945e5ccb,0.1233%,User,
0x6e8dcbc04d65ae465a36a1d9a724b93a38e11d46,0.1224%,User,
0x915b472dfa70c8fe9d074a8c859089c44252d6b8,0.1224%,User,
0x7c96c267c425fe5ef77b7fff3cfbc8445b27a215,0.1224%,User,
0x45698cdcc733cba4f8b1150c2f580587adf1df92,0.1215%,User,
0xa08a713227050af0d9e4aac22c8c2a2ec2ff7d97,0.1215%,User,
0x5af0c1b66ad173e5e4937a25abd5bee0c734c1a9,0.1206%,User,
0x73882ac576b08370993d616ca7afffd7b68321ca,0.1206%,User,
0x381579363a502c5a82f348ffdcd0ee9728cbec9a,0.1197%,User,
0xac6b7585dbac6ce6a92c5d44d2e406b8dd6c859c,0.1197%,User,
0xa95255e0e219b56f765fc26210629d207abdd8a7,0.1188%,User,
0xafd101a2270864d452435235441eafbc469cf742,0.1179%,User,
0x05755fff6598be4d02f656aee52451506eac280a,0.1170%,User,
0x286b534a51d5dab251746f369bb31126631e316d,0.1170%,User,
0x9a659894e5d115846767db0e1685744c452e7a6e,0.1170%,User,
0x802fd7b2f49112c5e82135f4fcaf1adc0cf2261f,0.1170%,User,
0xaac60c858895befaf42378467bc9f3bd69c5efae,0.1161%,User,
0xe44bdf990545ed68f75a73675102a7686df7fe81,0.1161%,User,
0x18a08fc3bda99b916bac63cb251ec2e53012f469,0.1152%,User,
0x7ca334f59805737cb5245586c3ca752a5e97967f,0.1134%,User,
0xf3b06b503652a5e075d423f97056dfde0c4b066f,0.1134%,User,
0x45db9d3457c2cb05c4bfc7334a33cee6e19d508f,0.1125%,User,
0x507e4f77f36da297a40c16ef184ea6c7b92ddeeb,0.1116%,User,
0xfe29915808bae9da07fadd93a9a876bf9f28e4bf,0.1116%,User,
0xfaa38054dca989a74fc8894f0a11a3223b613e96,0.1107%,User,
0x7b551fea6d2141bf881dd62af4147d368d46f067,0.1089%,User,
0x561e057acd16d177e5a0d6e5940c05056aa7188f,0.1080%,User,
0xa216f52a5fc00406a060511016df029c9f423017,0.1071%,User,
0xec47fbad0bf23fa4ffe3cf2c82df67ecb470bd37,0.1071%,User,
0x3b75cb48211f9e745dbd2f2c4573163ca39d6fd1,0.1062%,User,
0x7c1f768e2677881ce771ab323e7cc93752312d6b,0.1062%,User,
0x8e6ca18e577391b4393f3ff077f921a9d982af4d,0.1062%,User,
0x4c6a68b14b8d06d61935fe4f12ee3e1c7fb138d7,0.1053%,User,
0x2f9ae9c3d7569ab058dc9af1d311714763c7d98a,0.1035%,User,
0x10437b1650f6b1133d3eba32fdc40ddf42e9d5ba,0.1026%,User,
0x38148ecc2078da7f65e6233dda28efaf4c51e96f,0.1026%,User,
0x4863a7828cc2d0f89fde10dc5b65ef4502c7cd85,0.1017%,User,
0x8f8d98a8e7f7475683ecc88d7891403917d3cc95,0.1017%,User,
0xd42f59288071bb27394c9476f7012b765f17d26b,0.1008%,User,
0x8a90862640e6a73d8a1e2429d78ba55a79ced1d4,0.1008%,User,
0x7ae4ed3f689c41de805c7d7972a2d162c0867cc3,0.0999%,User,
0xf2c00e0758c488b042ada11e5a2d6982e99f3d3b,0.0999%,User,
0x85f51808672c8c485ef662ef13c0ec56ddab376a,0.0981%,User,
0x9750af1f935f68318bda2fe0f951fe2ee64b86b0,0.0981%,User,
0xf27d3b02c171f0ef36c0c651e94562402f8662dc,0.0981%,User,
0xed6ef8d175a7ec30f4dc24c74d8f8e90188c2b22,0.0981%,User,
0x0c1951cbc3d8f05dd914d7d3a85d6165583017da,0.0972%,User,
0xe1d8b0492fbe9c145f2aa6e2c6a76fe034561c5a,0.0972%,User,
0x0d3472aa6922f3f9891b6fe84ddee4396cb421de,0.0954%,User,
0x9ce1ea9288c844e7e16348fabf0f9433723bb42b,0.0954%,User,
0x1ce2304369d957fc1f0dd32c983f445e449f4c7a,0.0945%,User,
0x36f8e2f70b4638335222ccca3d3b584ab9058984,0.0945%,User,
0x4535e2043ea4461dda18f7dea85ab22732a66af9,0.0945%,User,
0x1a65ab3f75f802ab7829f558d8f680c58a55251d,0.0936%,User,
0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0.0936%,User,
0x829cfa16799a48f23177ae9c3f72e828baf3110d,0.0936%,User,
0x87e4c326cc3968bd4962448a8f6641878bf17b0b,0.0936%,User,
0x9f01e3d183b2dc4f7c5d48012da2b9e546297d61,0.0936%,User,
0xa65ebefdd311773f60c59bc0f176bac42d7d8718,0.0936%,User,
0xc1d69ad036a9d0db45f36dbf8302de16c7d5b7f0,0.0936%,User,
0x71930f66a356bcd8db63a724f4e06d16ab3e36ab,0.0927%,User,
0xbf52fffc7ab171670241badf3c93b03eca780360,0.0927%,User,
0xd735fa50e1a259d8f85b5389dc1bd48e5d0ebe70,0.0927%,User,
0xbba3d9e8b8f2a0fc7578d901b6395f6a73738d58,0.0918%,User,
0x282ecd101b2164743d44ca3227b0514f8dd8d4f9,0.0909%,User,
0xbe85aac39b264bcc29086f1df78c04b09966d056,0.0909%,User,
0x9d8847130c6144ecf8d2537cc8d7c2e443a14671,0.0900%,User,
0xe82ac35480f63d216d9eeb931efb33614e116bb2,0.0900%,User,
0xf47841f562689ad85363b41c235d61136c0ccf26,0.0900%,User,
0x489059ba3f4b8e6770e83446911ade5775d1359b,0.0891%,User,
