Address,Allocation %,Type,Sum
0x291d3813D975317B4375E050217c5335Ab28e87f,10.000000%,dev,99.997156%
0x0002887e0a9ddec8582e1cdd4729e249449dc079,0.014418%,community members,
0x00058fc9c761bf26d273fcea3e599838f6f61eda,0.014418%,community members,
0x000726087fc7d9041e8e45e3b2d4c62ab4201eae,0.014418%,community members,
0x00129f29e79680f641d3b1879665eda16729b39a,0.014418%,community members,
0x001c72d213e8d99645daf87727e7c0518483803f,0.014418%,community members,
0x001e0b23c96067dc7d338d731388c4a28682e5b5,0.014418%,community members,
0x002208e2acc34ad6546be553c4fe411fd4ed2870,0.014418%,community members,
0x002e4dea57e04d48acc5b37a7e0d7e08499750d3,0.014418%,community members,
0x0032c2ee01e648c07adfe3560abe89ae27b96bab,0.014418%,community members,
0x0034924d6712851fde57b85479936f5f33a63989,0.014418%,community members,
0x004c860292ee5b36bfc6252ac14609c19bd0a563,0.014418%,community members,
0x0060a934f4929ea77ae591dd447fa10f62abf871,0.014418%,community members,
0x0067cac28b98df23e63281acd4c7206395788a87,0.014418%,community members,
0x00727bcd9bc5b27413c21fee3e32c84e6846e48c,0.014418%,community members,
0x00801180685476dd2cb0718b87114412cf37a39b,0.014418%,community members,
0x008524b115c2f5a30c0a763b8ff14ea41f6aeab0,0.014418%,community members,
0x008c68335c491060551a11cf00b1711d28035d8b,0.014418%,community members,
0x0095f2a7f0a2605fedaee09afe3e19bd877528b9,0.014418%,community members,
0x00989aab2deb82da97eda94ef3d73916eda6ea58,0.014418%,community members,
0x00a75a430d0537885e0367fa4cbb5cdd178a51a1,0.014418%,community members,
0x00ac04878d1e8b98d419a135284ab7a29b3f35de,0.014418%,community members,
0x00ad270e2ca8c82d4d99a3d03af59abd23a43d34,0.014418%,community members,
0x00af4d72366581f826cd4484b9eca9c6c9260dbc,0.014418%,community members,
0x00b7103b004e099a88d29d95cbdc5467ff7f62f3,0.014418%,community members,
0x00becb8a70a096d5e9882b458e975cdef4e9458b,0.014418%,community members,
0x00c0ec1c1b7ea9581b12cedfe5c2fac456676cf8,0.014418%,community members,
0x00cf48db52c94a8a84dd19bf2d442886e2569616,0.014418%,community members,
0x00db93a2c99b6162901f3b6e1802cea5f6fcef0d,0.014418%,community members,
0x00deff19ad847bb809450f2b1f656d018529c9d0,0.014418%,community members,
0x00eaf893622a5a542b7d1744d80c52f1b0564f1d,0.014418%,community members,
0x00f13a1504349ccc6f27ee7d3e236f887f6197a1,0.014418%,community members,
0x00f6a3dacc14eb3db35b9c1d2969d28077d6e67b,0.014418%,community members,
0x00f7e474d94e50b87192688e11ea18511bf57b49,0.014418%,community members,
0x00fdb15ac2ac3bd8ef584f1c4d67085fa4480e88,0.014418%,community members,
0x0115e0153de93873ddf0f7a96fe360348aa0bf56,0.014418%,community members,
0x0123e6c3e12e463bed2c1d0e26cf442f26de47dd,0.014418%,community members,
0x0125069a761a430f83880418b7b23218b2e48003,0.014418%,community members,
0x012891692fb69a5c8235f55b819d7b9b8b17ecd6,0.014418%,community members,
0x015414e97a482b3d26a431e3915b4b8235be9674,0.014418%,community members,
0x015d4f873d1a521db833f80d2e50298afeae594e,0.014418%,community members,
0x016047cc74ad87527ac6f171b89b8eaa469b5409,0.014418%,community members,
0x0161a8ac392ee10ed530c161de28a2f772ace962,0.014418%,community members,
0x0171156ba5f1f69462213787cee33eb1c15b9b8b,0.014418%,community members,
0x0175e57794f4d07a3574115f72b1f0b46b92c189,0.014418%,community members,
0x0177cc665082da1a4a3aae50dfe2a673a7620efa,0.014418%,community members,
0x018827ad7243d31137905da57009701757f93869,0.014418%,community members,
0x019fbaa305cad06b20e1edad1a540bc9636ecd86,0.014418%,community members,
0x01a2322690b6edf5f33e58e4727afc612a51104c,0.014418%,community members,
0x01a5fe7887e046544f17ec2fc537d1518041c4bc,0.014418%,community members,
0x01b0fe6a0e09b7ac30e085fdf4170cd52dafb404,0.014418%,community members,
0x01b218d84b133d8e89d082956ff9a1b80c77cf9a,0.014418%,community members,
0x01cdc9928bc74a106d70babb2b0943edf854083b,0.014418%,community members,
0x01ceee3a7f03cdd2b17270d3570db95615925860,0.014418%,community members,
0x01cf10b880a71282897dd96d50155fa957c6b892,0.014418%,community members,
0x01d0b871d3190ab443bc72382f5cfcc987f3be8a,0.014418%,community members,
0x01d9ab706794a93814db8d1f8e38840c81b59238,0.014418%,community members,
0x01dd79c1d1198284575b417439fee23e7291bede,0.014418%,community members,
0x01e4db0adb7886ae360f8adfe752b0eca6637396,0.014418%,community members,
0x01f2bfd2f8cce8aab38a6ae8abce3a2816c29c99,0.014418%,community members,
0x01f9194a49b8115ca68a75ade829f358d734f8bc,0.014418%,community members,
0x01fcb82feff5b3fee14dab893010289c3a3e11da,0.014418%,community members,
0x02025af803f9681ec04578b932a5c863af51ac0f,0.014418%,community members,
0x020c4e5474008af11cf8bb594332934e738b313a,0.014418%,community members,
0x022f13c9427b76da54bcb907b837018b98bc9fb4,0.014418%,community members,
0x02403b8b42dd849e67175d67b425e4087bbcc6dd,0.014418%,community members,
0x0243a21a1d0ed94b816098bcb8b88b5fb887c566,0.014418%,community members,
0x025a153eaf9ef3bb4fa0aefafd9b71652145a829,0.014418%,community members,
0x025ce7421ec673c170608b25f992fe28a9969d05,0.014418%,community members,
0x025de1c13d913f5d82b412b0267fa873cd641a5d,0.014418%,community members,
0x0267dbd07e5e036d6ab9c39deb57ffc121415b4c,0.014418%,community members,
0x026b4fed60cfaffe0fdd4aa2631732f9725bffc0,0.014418%,community members,
0x02839591036c1ba6ce18a417d9003e9bb77560eb,0.014418%,community members,
0x02856fadf19fdd7049a981885a575d962135fa8b,0.014418%,community members,
0x028cca245b3fcb8f5606104f4d86a8e02c13951e,0.014418%,community members,
0x028df7e7ae22a4b22ca6254b6b6c2b2b360d2219,0.014418%,community members,
0x029c6d8721baac2ebb16af085975fcc2a99b5bb7,0.014418%,community members,
0x02ba8f06e60704280b3ea4c25e0883375058873c,0.014418%,community members,
0x02c36e0d673aa6f7b71b74f3c56cc6125253003f,0.014418%,community members,
0x02c5b633478308e2625e3bf85df149915364af18,0.014418%,community members,
0x02cd8911ddfb3aba275cecf4cb3372935542fc8e,0.014418%,community members,
0x02cf1e4a2098bd1795411e8e11b931f162be40ed,0.014418%,community members,
0x02e31982d337c10f453f8e5594c94f846428fe03,0.014418%,community members,
0x02e43f07289b0fac614a9f87e950e747529b1041,0.014418%,community members,
0x02eb422f4697dc48660851b9d27c4329cf5e08c6,0.014418%,community members,
0x02f431f8ab2b09d584e9d235bbfae91e157a59c9,0.014418%,community members,
0x02f50ab1592a458e0166e967f6d007f6276f6c15,0.014418%,community members,
0x031e4440b19c6d144ee9eceb6ff782d6686d4d74,0.014418%,community members,
0x031f0a0f0d7378da9a859b6cb6ab1d06fa283cc2,0.014418%,community members,
0x033186451f1765fb53c5bffe5be0a8e94fef1037,0.014418%,community members,
0x0343ef2692d306c62668e3154aa0d4033b953551,0.014418%,community members,
0x03558a79b23c04897a3475f52217ee70ce3a9a4c,0.014418%,community members,
0x035bf6f306b75138d2debee8f411abf17cecd801,0.014418%,community members,
0x035e1750f92a7982a61b6f422a80ce14e9d3871e,0.014418%,community members,
0x036a95c68022b209d129a8932f1816853c0e3ddd,0.014418%,community members,
0x0372822a598668fac15b7d8dd5fa67bad8d58464,0.014418%,community members,
0x0379021dc1c09d14415037934f003475fd108f2b,0.014418%,community members,
0x037f420d56552a1620a01d546700cb890e2d6624,0.014418%,community members,
0x0382af153ca2c43838fd24a97f2323569919c437,0.014418%,community members,
0x038be7c8c4690370357c4dc3d0f54c8a95ada3d6,0.014418%,community members,
0x0396be747d3e57fd4dc951dee4de478bbd711303,0.014418%,community members,
0x039b6b1c8b50152407ceaaa0c40de89cdd6771cb,0.014418%,community members,
0x03a188117e4d53bfa60d228db6ca716f061cfe68,0.014418%,community members,
0x03a80d254e8c561d13c602d9c18608825c4a90b9,0.014418%,community members,
0x03aeae0dde4a69f80c31ceda1fa9a28f12097f6e,0.014418%,community members,
0x03ca9e47451854e94157c40f82331f6a42cc2b6e,0.014418%,community members,
0x03cb17a2567a9065a6215a18f06a095d47cb9d55,0.014418%,community members,
0x03ec6d3828d5f1127bf086e59a5a4433c853599a,0.014418%,community members,
0x03ec98c8526fe13290321f692bbfde2405f5ceb9,0.014418%,community members,
0x03edfba5269e1513c1f6bd9d71ad4d4695d6770b,0.014418%,community members,
0x03fc73044b8f651212c046f570a8e8e8d62d9675,0.014418%,community members,
0x0400fc5dd52965b23f56ecc1c9fd52cbff9ae5d2,0.014418%,community members,
0x042b211159d4f893a4e4e5217d0d19a9b9e68635,0.014418%,community members,
0x0434a3f8d5198da83f2b5089212f83fad0eac837,0.014418%,community members,
0x0439dcb066b25889ff07573afe587594918421d0,0.014418%,community members,
0x0448c567f12aaa7ef3c99a3c7fb89c505781cf96,0.014418%,community members,
0x0449622579bac02e9ae82adfbbb1d1591b783886,0.014418%,community members,
0x044f941afb50b3e1a14fb07760e61bafe2e74c9a,0.014418%,community members,
0x0451d26f3d2ef104f11cf1fdbd380d5db09744d7,0.014418%,community members,
0x046d737bbf7bdac1e16e1174547088617a81b242,0.014418%,community members,
0x046e8ebd4204053ff47d9cc19d1c25d63e17ba7d,0.014418%,community members,
0x04798cc17c75110016539da719d21f13737f79df,0.014418%,community members,
0x0481c43583496acc1aa651a0cb4d09447e5c22c2,0.014418%,community members,
0x048800121d51f7312f0652fbb4964a6c7d2c21eb,0.014418%,community members,
0x048bfa923b9e6493f3534a2be68829f093a31c2b,0.014418%,community members,
0x048f8258fa6118f3965da50a43fd3b8cdb627e24,0.014418%,community members,
0x0493e79d40dbefbc536cf063ec23af1dda3ab224,0.014418%,community members,
0x04972b4a0064171c1b9b25fb68f4fc0278f33490,0.014418%,community members,
0x04986838d81e32a8493908fb624e176d8cd2d1a6,0.014418%,community members,
0x049b0dd2b6d7905b316dc805a65044294e4a4808,0.014418%,community members,
0x049b8457a23bef5354c65d1cbbfa3bb897782ec1,0.014418%,community members,
0x04a2e6eac9377e7fd4071df252b7a7f66b108e7d,0.014418%,community members,
0x04bebf226d39027a49b28a86154628e583a99282,0.014418%,community members,
0x04cb7c1a8601b5c2e499ed17559288014f43dbef,0.014418%,community members,
0x04cbc89b490a8b801f514d9467842cc47b411e1b,0.014418%,community members,
0x04d4c9c6f5984a472996402f6f61e45e8740ad6a,0.014418%,community members,
0x04de484e5dbb41dc1a85ae8c5b44b774fb6708ea,0.014418%,community members,
0x04e22a3f693c91ca963755c315642c9794870c64,0.014418%,community members,
0x04e96cf950c8c3517c1b8c7a2f8f88c698c4ee0a,0.014418%,community members,
0x04f879cd95ec432db19ee5154685106fd8628c53,0.014418%,community members,
0x04fc3e96c6edb1ec688390dd7581fa82ea40e771,0.014418%,community members,
0x050428dbfe10d86c49e56ba40c1ab38fbd2b459f,0.014418%,community members,
0x050987ea138cfc0b852ed9e0d8c5c7c3198a0db5,0.014418%,community members,
0x050c5e4162ea92293de79b20abf5a71854a49a7f,0.014418%,community members,
0x053117bed7a678822d6aaf729988aef45ad08e31,0.014418%,community members,
0x05317d1c7f528df0e8e50e7a4078f4de21238ea7,0.014418%,community members,
0x0535a76fb8a8a7bfb4290414ffaa478180899739,0.014418%,community members,
0x053af8eb47439e3f2cdcfee3aeac891db85ed638,0.014418%,community members,
0x053f988e82f7c955f381be8011de1ac13e608d4c,0.014418%,community members,
0x05435dd2700f657d180736bdbcff3c57de54dbba,0.014418%,community members,
0x05451d5cbca5d3136a016b5116f3eaee4d3d9ad8,0.014418%,community members,
0x05490a8a738de09706aa62371ac1e97e617d85be,0.014418%,community members,
0x054a609d6a1e05f148d1c77d270bdb042c33774f,0.014418%,community members,
0x054ccc88211d9c0768dfb917b5151306f2d7007c,0.014418%,community members,
0x05597527510734c50493c0ea5f09d455e028f0e2,0.014418%,community members,
0x0566bb7a25165a0904078e0819611601a4806e1e,0.014418%,community members,
0x056ca4bf51fdac27f3a4d077b747a779c946bc33,0.014418%,community members,
0x056d5808bf3ffcd567ffb9b14e220d2226134a97,0.014418%,community members,
0x056f47818636fc2e1ecc24b5c9eb85fb0cf0d60a,0.014418%,community members,
0x0571813609cffb71ae4668678d34cb743259d5f1,0.014418%,community members,
0x057c41d0e75cf93d9e4d0f747be65f9eba77396b,0.014418%,community members,
0x05856ec3c3124ad7ab41b893e8a01d1ca0643697,0.014418%,community members,
0x058d29fa25c3302ba32ec4a7272a7842eb34e7d7,0.014418%,community members,
0x05906f1936eb17f26487bfdcb6b3f47bc15727eb,0.014418%,community members,
0x0591af171108905c03ac6fb6ea1cfb6b2af05621,0.014418%,community members,
0x0591c458eabb904fcef966f1ba94b19f06601aee,0.014418%,community members,
0x0593af4689ee7b21d3728684af93fb359111a9ed,0.014418%,community members,
0x0596d007fa947eff7d219eb1b3e72dd3e56e7efa,0.014418%,community members,
0x059dc2eae98465f97c57c392543fec3e5575bac3,0.014418%,community members,
0x05a7c6d8c885e6cc370a683c35f76153032217ea,0.014418%,community members,
0x05ade0b55085d3252bfd24d0a08b734cf2bff4ca,0.014418%,community members,
0x05c8d759858b46e5e61ee486b8d590fd001b383a,0.014418%,community members,
0x05de6551c2e35d1718cf7c3f5bb26293090bcfad,0.014418%,community members,
0x05de9e400cfe21d6c2ffc8d1ed9b9864591aae34,0.014418%,community members,
0x06029e713813a1f7fac0c7af69741f15e47db29b,0.014418%,community members,
0x0613a68d3bdf74293b8534ef16a5fd6465adcf81,0.014418%,community members,
0x062e459ddf0ed5e553cfc40cf4129917e2faf20e,0.014418%,community members,
0x063028de4ed63a2c5c8ab9c24c092fac56788c9e,0.014418%,community members,
0x063298a461ecd0650ee2598dfe6fc3cd458109b8,0.014418%,community members,
0x0633b4f1b4dc7e35c2f51a9c8174a8c69e5a6871,0.014418%,community members,
0x0643449eaa3a5799543a84aaa598075e23708290,0.014418%,community members,
0x064a26b75ced9f1606ff5c658a0f44eefa91f9fb,0.014418%,community members,
0x0657674cfb1c15ea0c60a9d3b8a2e2a5a371e2d8,0.014418%,community members,
0x0666c19d597b4890942ac76081f5736f68f73f58,0.014418%,community members,
0x066a72668748fdd9bc1377c8bd44b49beb4ff1b6,0.014418%,community members,
0x066b300bd0ea89fa5ef839b67f31e4581b58d8fd,0.014418%,community members,
0x0678b4aed3e112e3306e5f1a4f2785a20ec780ef,0.014418%,community members,
0x068dccde4a1e5df4c5e432b20f2d7dd1a8e6cb3e,0.014418%,community members,
0x06925de5ab91efb61407f8acd308e4077454b970,0.014418%,community members,
0x0696fa1087530496cf5ba232b59926ce49c837e2,0.014418%,community members,
0x06b1602db71238742473bfd3414ea1766c64e860,0.014418%,community members,
0x06c00597a82e83f14bf335f8d74ec64cd076b656,0.014418%,community members,
0x06d2c1efdc862f4f98f1e0b75d1f874ea6d17743,0.014418%,community members,
0x06de30cdafc530d2fd79fddfb2fb3f8febe3c33f,0.014418%,community members,
0x06ebb99d2e12737bd7892ce2f9dc6398fbce5f0c,0.014418%,community members,
0x06fb564d1178eed20311235239a043ce42ce7e69,0.014418%,community members,
0x0700761c634519f77e576ed5cb3789ea521afb06,0.014418%,community members,
0x070bc15edaa3d12c6779e04cb4e94181c1e652ab,0.014418%,community members,
0x070ce3480f053862e09db61f7b179fa96fd59b3c,0.014418%,community members,
0x073c3b2832fa13052035d16c633fae5ef81b32bc,0.014418%,community members,
0x0742db2e48a615de5ac2aec992a281e3e34f0bec,0.014418%,community members,
0x075c5332c489468328ba0e77f6a4e3ad4995351e,0.014418%,community members,
0x07609a950e5d6b210b21e0bbc299bb6e83ac5112,0.014418%,community members,
0x076151f6f08f3bf697f9fae626560a71b7666231,0.014418%,community members,
0x076254dd9a1efb21f6d7a2c026427ab7179269b2,0.014418%,community members,
0x0766053f1db632a0b29c5cbed33f12ee2875823c,0.014418%,community members,
0x07668c487127e23b6649406e4ed2a4e784a25581,0.014418%,community members,
0x076b0843e1fe57abe2761bd2b81c840021b05f08,0.014418%,community members,
0x076e66505394443bc64cd7c1143d795c9fb39fe5,0.014418%,community members,
0x07700eb312538af50e05fd4e638845904f82f86b,0.014418%,community members,
0x0779d5467a34c33f013b875cbeff7b36586452ab,0.014418%,community members,
0x077d56ee6701f0ca1a733f33d51179c148827354,0.014418%,community members,
0x0785b7b6a33bc5967822ee6c0b60801fc512c2a0,0.014418%,community members,
0x07960930f4f8e1dabcc560982ee761f37d54f5f1,0.014418%,community members,
0x079be93a16175b930e08dd300fb3af32bd80324a,0.014418%,community members,
0x07a66cda6810f1b1f90c64ac36dd1d40af99de62,0.014418%,community members,
0x07c8f1384920bdc6eb49fed349f8939d9877835d,0.014418%,community members,
0x07ccbdcadf74698995298aabf5d30d0f040fddf3,0.014418%,community members,
0x07e36f7197e10132015dd59616f156a1a69c855f,0.014418%,community members,
0x07e7d98d6ed3d71eca955b2e3f2681d812442438,0.014418%,community members,
0x080182970f8cf8ebfd7db1d359fb81d32680208b,0.014418%,community members,
0x0807e333cddca5452d0d22cf1b5d1861bf7b5b7b,0.014418%,community members,
0x080a4c29cb8736f0faa3b2ac3a01ff3c3dc782a0,0.014418%,community members,
0x080f515c5b004cb5f9b97792a80b17fc9afe4e3c,0.014418%,community members,
0x0825d9be04733d9b823ff940872bea13c8da7e11,0.014418%,community members,
0x0831ced65266e19604b8f5d80988942f188cf11b,0.014418%,community members,
0x0835cc1f99e986bb8101c5f77c173fc0b39ec92e,0.014418%,community members,
0x083671531bde364adedd5a8ce1ed371a31c4214d,0.014418%,community members,
0x08593a4bc121ea534c4f932c698eead08e09d618,0.014418%,community members,
0x086af70586210ab1fa1e001b9514d12ea6d51f0e,0.014418%,community members,
0x087b8e00ef02e74013202375e360ea714a004af4,0.014418%,community members,
0x088431d510193ed3d5b4015f6e806e82d2859703,0.014418%,community members,
0x0891d30c171409e8c91571cdcc51678cb1797235,0.014418%,community members,
0x0892ce3095447ff32f4a004e02be36a2a2368dc6,0.014418%,community members,
0x089955e5ffa0bef5d47cb3cb54c4913fb658f2bc,0.014418%,community members,
0x089a46cd3dd321c7a32f50a119aadf0930292e65,0.014418%,community members,
0x08a1d63589a52455e90ca1ec01c8d48c54a84ed0,0.014418%,community members,
0x08ac1d3a8f3b0ea73f3011909a52cac6350d2863,0.014418%,community members,
0x08c3f26d99122790b4d41c3fe0d5b6866cde79f7,0.014418%,community members,
0x08c57ca92153bd43836b7cd70de986fc00065ea8,0.014418%,community members,
0x08d8f0e52623c53b32b51daed4fe122fd8815e71,0.014418%,community members,
0x08dd6558f176d51be71d6a19e96943ac58151c38,0.014418%,community members,
0x08e3cddca580e13a1c96d2c741d221d3f3c9ef91,0.014418%,community members,
0x0913adaecd9497261de4f3803bbf56b85f309c5d,0.014418%,community members,
0x09185e3850f9ddb1c1f471099e26ff6bf713ced3,0.014418%,community members,
0x09203aa3008d9bbc92882801dfcc15a4239961d4,0.014418%,community members,
0x09236ccbc8b1099cc496c9e7239e83b85821d122,0.014418%,community members,
0x094d671493932a4903b15b8a94f16fa61442a464,0.014418%,community members,
0x09759d54627581de4aa4f8834fe139ff36f2b176,0.014418%,community members,
0x097b865ad310db43a662119a4a46174686017179,0.014418%,community members,
0x0984b41858aaf4c6f88e2e9be8102f30ce05fafd,0.014418%,community members,
0x098573874a6fc3b9240e915470c07f027bf2012a,0.014418%,community members,
0x098d2baebccfd659e208cbdd670fa0b96eca14ac,0.014418%,community members,
0x099233d5d32e66287304c6a1138bd0aec19bc274,0.014418%,community members,
0x0997c0f272a01a5fff6fa8feb7f8fe55f6ddd2b3,0.014418%,community members,
0x09a58c9a163ede7c61ac7d4e7d31c19eb485daf0,0.014418%,community members,
0x09a9927f340f204d756ad8462070b309f0288b39,0.014418%,community members,
0x09b542eb39b7e113604a913875a63c88c68dd10c,0.014418%,community members,
0x09c2f88bfba2bf0300e4017448aa4c848fc847ae,0.014418%,community members,
0x09d59b01689b8c05d50ec447abdf7c9d9b97d929,0.014418%,community members,
0x09dc18413d5596fdf61dc07f7c188c1c2e89449d,0.014418%,community members,
0x09de3572b857cff380124afb58f71dc5bf7be8e3,0.014418%,community members,
0x09ef27877e0f0f57f98574465eeed805c79c24dc,0.014418%,community members,
0x09f65d5cd70896ca8dfd88eadb40fc99a9ec673b,0.014418%,community members,
0x0a1105911eea6c1ccd2d7ad9b1f1b0b9cd5b5688,0.014418%,community members,
0x0a1550107341cfb4ce43601cc54bf32fa66bf480,0.014418%,community members,
0x0a1dae6aacaffe497ad6a8e5f0e282ccf2f907e3,0.014418%,community members,
0x0a269391ef0e6efa5050c6839067217c8b443ece,0.014418%,community members,
0x0a2d3dd46e44acec0da085268502880bb384bcc0,0.014418%,community members,
0x0a38a2a71bb2e41aaa4fead97f28eafca704dd69,0.014418%,community members,
0x0a3cfe44498c4741c47de0354aa8e25680023789,0.014418%,community members,
0x0a4244c1c659a9dd396362f934a1404748c28eda,0.014418%,community members,
0x0a47156393e54c868213ff2ad5951b41ef0f4350,0.014418%,community members,
0x0a49374073be8483d796b8f7103fa46b71dbe150,0.014418%,community members,
0x0a4edbcdcfc2eee7b8bdafbe169159b8218e083f,0.014418%,community members,
0x0a60cce8d8b91e06e01f344dd16d4b8697b3795e,0.014418%,community members,
0x0a6226a0fdfab81c6b4ecd21f59d21065bbda762,0.014418%,community members,
0x0a6ecdae25da99bdda1842cbc1c0b0af0ad7b0f3,0.014418%,community members,
0x0a708ee816950ab7c698d8d84f5f98f21bcf33ed,0.014418%,community members,
0x0a734f75e76d93a36ece47b891d073e4e0352751,0.014418%,community members,
