Address,Allocation %,Type,Sum
0x75650786822F94E7D93B4FFB120B4892DA32692F,10%,developer,100%
0x00004597ae40e0333f292b3f40cd5222cc080000,0.000532%,Depositors,
0x0001c8184091bb789c8e38916df6f3a155e17871,0.000532%,Depositors,
0x0002937c976286ede8bbc21d2bb35f2a80ac1af3,0.000532%,Depositors,
0x0007c37a496c6947eb4a89c76322cab297a2cbc8,0.000532%,Depositors,
0x000c987f621b3788f84112fa7a1e8b42ab8cc212,0.000532%,Depositors,
0x001183159a9f983e0e3e3c32f73906e5b8ce6a55,0.000532%,Depositors,
0x001285629f5ce98cd6f66c766f492a01f2bfbcf1,0.000532%,Depositors,
0x001454b22798739bc5712be96ed0532c99ef2146,0.000532%,Depositors,
0x001a67ff1cf9aaf547735876f08a9217abe44b58,0.000532%,Depositors,
0x001d403396518fe7b0032df1b648498f9c7caa1d,0.000532%,Depositors,
0x001dbc5bfcf07cc89c19af78595e8672518a0bdf,0.000532%,Depositors,
0x002153708f11f2651215059eea30820ee4d49ff3,0.000532%,Depositors,
0x0028112a819a2fea8802b27c8abd755152f548ba,0.000532%,Depositors,
0x002f64f96eb6b0e122f6f24ac381d14bb62feec1,0.000532%,Depositors,
0x0032382e81e9f4a79f6c29b272978f790c46285f,0.000532%,Depositors,
0x00324d6fdbaa17b1a5256f396319d513aefbbacf,0.000532%,Depositors,
0x0033fbe1f434bb6131868cf209fce49047c87d9c,0.000532%,Depositors,
0x0037afabc69c6b7d3fb2c4c6a0783b381343b3b6,0.000532%,Depositors,
0x0039e2cdfeb7cc1854bfe8ef5ab622b49fcdeb12,0.000532%,Depositors,
0x003be39433bde975b12411fbc3025d49d813a84f,0.000532%,Depositors,
0x003e20a609d3eecd3cff0c5d0f10a3b6e1a124b9,0.000532%,Depositors,
0x003f5ce7cb1c664b8455d7b8167a16a52515e415,0.000532%,Depositors,
0x00439c43ccd863339a581ad1a84cc550c945e943,0.000532%,Depositors,
0x00495accdc2650422e3eaad6e94a2e8cca7e37ce,0.000532%,Depositors,
0x0049d24e6ddf7b0b85b486056e1d94fbc2f9dd4e,0.000532%,Depositors,
0x005173917c051f07b8c3ffbb8108b8fb496aad0b,0.000532%,Depositors,
0x00553128eff6ad6de106cb9dcc1162b560a95231,0.000532%,Depositors,
0x0056f6ad293a1ae5636f650f73bbe191b6c26492,0.000532%,Depositors,
0x005abc15330c2ea8ea899d454b6695b4ea3cf348,0.000532%,Depositors,
0x005b12f5b7c22b497528fa0a6bc81510748fb58e,0.000532%,Depositors,
0x005b950bcee451cabf7fc0e700bfa977c67c002e,0.000532%,Depositors,
0x005cf9bceda2f7ed72f4f936e84f8ab248c339e3,0.000532%,Depositors,
0x005e1d3594de799ec9a0fd2e631ee415350ace2e,0.000532%,Depositors,
0x00638f7e142c95e4db3343799a37f9336ee53688,0.000532%,Depositors,
0x00641a6b36cedda6cd33db7a04480f12528de366,0.000532%,Depositors,
0x0064c788d32a889d9ff58697deb2351583488f19,0.000532%,Depositors,
0x0064f2c2655a5e2b5b52de935d599edf57c68a53,0.000532%,Depositors,
0x00654b53cb7e2f8c091d1341ae61056c177d343b,0.000532%,Depositors,
0x00678920b62b9b453337b5c781fe868dbb1366e5,0.000532%,Depositors,
0x006ef6cab880e8f79dfb39e890a4db746d430dd9,0.000532%,Depositors,
0x006f23fb1a7f9e80417da3ca5d65c35ec502d297,0.000532%,Depositors,
0x006f67e7a7dec2f752419aa6d43745a6803f7227,0.000532%,Depositors,
0x007c11516ec1e1a9348507fbbf8829bea611526b,0.000532%,Depositors,
0x00801fcb3792228b6a0d2b50b4b27fb47eab085d,0.000532%,Depositors,
0x0085297eb852ee30bad1b45e43bbd0132ea22b04,0.000532%,Depositors,
0x008862a5a6ddf543c7f83e3c9a154e50572c166e,0.000532%,Depositors,
0x008eba487286f19d1dd13cb4e6434e51ab084369,0.000532%,Depositors,
0x00932816d6d04a05e6a38c3fb1c0dc4625ccf8c0,0.000532%,Depositors,
0x009947fcd18817990023dbe29ef8f312bf6533e5,0.000532%,Depositors,
0x009d53de28fb02b87e67c3bdfde2708f90024b5b,0.000532%,Depositors,
0x00a73c4147df03808da376922770f6245072b3d3,0.000532%,Depositors,
0x00a790b6dd21f807efe6802d3173bac644727f09,0.000532%,Depositors,
0x00ac9eec7fcbfb335ff678e4137e2e3383989204,0.000532%,Depositors,
0x00ae3db5418f6eac5305e72ecc853838e9ed3837,0.000532%,Depositors,
0x00afde0d5ea4f8d0c395df436b19198698de0943,0.000532%,Depositors,
0x00b464dad7bbf5f4d54ecd668ab3a76dcc09e943,0.000532%,Depositors,
0x00bc2e02553b62d242f93002508c811709d6a9b6,0.000532%,Depositors,
0x00c461600ae8af357319c7bded86413289dfd233,0.000532%,Depositors,
0x00c4a472fa146e9fc4c4c855016894444a6ff3ea,0.000532%,Depositors,
0x00c6ccd923a534ea2d26507ce82725061e3c2181,0.000532%,Depositors,
0x00ccc4ea0ffe733bbabd5a25638df26197834d0d,0.000532%,Depositors,
0x00cee01b8719c3356426867279d1d735e532c6f8,0.000532%,Depositors,
0x00d082af268502b424e51cfa22900a2080d1b262,0.000532%,Depositors,
0x00d62832d72c74abf4d3d865498b2bc62cd6de4c,0.000532%,Depositors,
0x00d7cec20fa2cefd2ede00f77a7f22959b59a573,0.000532%,Depositors,
0x00d8673388f5290cccef48ac3ccf7a5991e7e69e,0.000532%,Depositors,
0x00d97e2ed69230569dd75e050bb3933f7e12b285,0.000532%,Depositors,
0x00da96af5ecf309d4f204d13f8b2a8d0e8482571,0.000532%,Depositors,
0x00db92506e1f8c1e651059e0aab62a37c58402cb,0.000532%,Depositors,
0x00dca822d66e6b2305f7ac34d53fdf6b3fc72af3,0.000532%,Depositors,
0x00dde8eed75884f3793bf49b40df36488d5fef2f,0.000532%,Depositors,
0x00e0ac0b1783442500d63dec49f147febed0f21b,0.000532%,Depositors,
0x00e52d39cdb5d8785a25b366980b5a2609ff9e89,0.000532%,Depositors,
0x00e82d0ca814a8be41cdbb455f8c58cf2ccfea8a,0.000532%,Depositors,
0x00eb01549dce5fc345452dfa49828209402c853c,0.000532%,Depositors,
0x00eb27caa078b0ffaff7d66bd4b97f8a82338880,0.000532%,Depositors,
0x00ebc1735b9a82145df09d45541183bf635819b5,0.000532%,Depositors,
0x00ee80c322d6e956d2629a73223605bbda946f2d,0.000532%,Depositors,
0x00f978ff7b5f9e40f8cc6e01430d3aa2a2dc94a3,0.000532%,Depositors,
0x00f9c89d4cffbeaa586080f7e5fd39fe132a9e61,0.000532%,Depositors,
0x00ff6e9cd44f497865bfbf130c78e840369ced65,0.000532%,Depositors,
0x01004bea6919b67c1475756ea75019f3bdc40679,0.000532%,Depositors,
0x0100af2e2280ed59ca859d4ac55e0ac20883def7,0.000532%,Depositors,
0x0103143a421743b2d660cd38dfa055ad593f14d7,0.000532%,Depositors,
0x010539de446448a5b258384f40dc3f38b20c896a,0.000532%,Depositors,
0x010d8c05a17342617b2ac40c9f841144cbe6d0d3,0.000532%,Depositors,
0x0114f71d0749f0e38c7225d52de70de4cb76856e,0.000532%,Depositors,
0x01169f0827c988f3a670265dc2f5b35013022acb,0.000532%,Depositors,
0x012e414b3043e5de1714cc0a03fa6e0125efd80e,0.000532%,Depositors,
0x012ff538b15005fad35fcea11026ecbd67bdeebc,0.000532%,Depositors,
0x01308b56df62dc796cb9c64f10b1437fbf784a01,0.000532%,Depositors,
0x0136b00be94ed8ea798f40e37135596337305461,0.000532%,Depositors,
0x0139e4bed5c375179a7332e6ac8ca29eeb4f4626,0.000532%,Depositors,
0x014131646b75e9a61533b517b773d7b8e479aa50,0.000532%,Depositors,
0x014283e5dce4d4f761e128412c8a024038eb87be,0.000532%,Depositors,
0x014b19d30c5d11f22a9646c97bb3636b8c51aabb,0.000532%,Depositors,
0x014c7fb3ab5643fb57bcbaf8894297da87d380cf,0.000532%,Depositors,
0x014d7897d42d78eba8887e10fc94ed9d7375f96e,0.000532%,Depositors,
0x014f79d3852cff7a5541b9f73552c1420dbca786,0.000532%,Depositors,
0x015122a625b45f68e6d795c0ab99fc7107e4c3b9,0.000532%,Depositors,
0x0153d56aee0223be4c5b27e3d16757b70f62d934,0.000532%,Depositors,
0x0153f3731974fdca943a8feeced3d61a90bb114c,0.000532%,Depositors,
0x01565939f89260c21248de027967c95f7253c743,0.000532%,Depositors,
0x015c68915e8e2a1eae72c6c65b6f9d26a6c9330a,0.000532%,Depositors,
0x0160903b4a22ecdf5fe53d0ceb1e27aa1a97b63f,0.000532%,Depositors,
0x0160cc5c51adc28ab56ad7f58e7b2fc33b5fdf5f,0.000532%,Depositors,
0x0161474939e7eaff6055a8bcda83731811015eb9,0.000532%,Depositors,
0x016cf537a17cfac1e80030843a925ef12f192dcd,0.000532%,Depositors,
0x016ebac27ce60537ac4da77f99006aa571619c2b,0.000532%,Depositors,
0x0173ecf99fe43d2ddd1f2bb519591d87cab3bd96,0.000532%,Depositors,
0x0178274ec3e22cb684a35d829f5e15f66441e71a,0.000532%,Depositors,
0x0179181d2c429d4c2ed9fbd476d3adfda2363c08,0.000532%,Depositors,
0x017b746742d0b6d48739fe011532942b384d2da6,0.000532%,Depositors,
0x017e44bd879be541af04f4cee45d12ea057beb2f,0.000532%,Depositors,
0x017f61d6f5c00de4ff85c877dea2db7e25352082,0.000532%,Depositors,
0x01847fbe53aa5d6485dfb5e0abdef8754217b1a4,0.000532%,Depositors,
0x0185e5e46544450432aff62d5318de367198b674,0.000532%,Depositors,
0x0188c4c54d6b47784c96de873731a1047db939fe,0.000532%,Depositors,
0x018d1fc6a56659205df5d7c0301c03bb1b690959,0.000532%,Depositors,
0x018e563e60117b84632ce79b7c5c214760a44d6d,0.000532%,Depositors,
0x019140a06b3953b8fce3aec55f7d14381f9dca0b,0.000532%,Depositors,
0x0198ab25751ceebee50b504599285beb1028d264,0.000532%,Depositors,
0x019c233261fe26baa5a66ee3e840f8dc7cc433eb,0.000532%,Depositors,
0x019d239a36a4fd4828253e8eccadd1dd2d0dd147,0.000532%,Depositors,
0x019d5268c6f1e8b3ec3ed8c778a1e1319704eb80,0.000532%,Depositors,
0x019e1550d857b965f8549cfedb474418492cabea,0.000532%,Depositors,
0x01a022c422381ca3331f51055d1e24ea0c17004f,0.000532%,Depositors,
0x01a30107aa56dae8e27a6c3324da1d7a2817e7a2,0.000532%,Depositors,
0x01a30a54608176c32be466a8fda7f42072c1a9d0,0.000532%,Depositors,
0x01a3ee906f482b90287c8f38043a01d58374065d,0.000532%,Depositors,
0x01a5de5f68d625fb831995b700788027979efd7a,0.000532%,Depositors,
0x01a6eb73cc002a050279c741370d5b28a5dd9737,0.000532%,Depositors,
0x01abbb29fb68090d9f8a4a8215277a8823112a74,0.000532%,Depositors,
0x01ae951ac7a6b8f2ded0e20d7c5b37f12cacc9af,0.000532%,Depositors,
0x01b1486f1c2c1b90fe4aa6a4c2cf6d419274883f,0.000532%,Depositors,
0x01b1a332d464a3937bde9315c5da734c3ba8a961,0.000532%,Depositors,
0x01be623bc717b4b5a7fa95626d3c68793182b12e,0.000532%,Depositors,
0x01becd1ccc343206a9fcceaa6624a1569cd1c124,0.000532%,Depositors,
0x01ca509ef204ca1549320fb3e2527517acf93e7f,0.000532%,Depositors,
0x01ca870aa22bca0306038bef3ec61179dc01f9ef,0.000532%,Depositors,
0x01cb65d43d25654dc121d48e95b93875f9179cd2,0.000532%,Depositors,
0x01cc377699ed8e9acfb58b1e202387432f9ce3f0,0.000532%,Depositors,
0x01cc4621fd5ac53ed5a0b2d727cf6f7a3e249475,0.000532%,Depositors,
0x01cc6a47d196b58ce82a403df42a7d6199946081,0.000532%,Depositors,
0x01d22cf5f10685ba51ac7b2db671e806aafe99c3,0.000532%,Depositors,
0x01d5cb398aa654c70c92e5c10b2d4e58b3eb56c8,0.000532%,Depositors,
0x01dd8c7b5f7f88e95412b34e2aa207e452dc7eb5,0.000532%,Depositors,
0x01dfd4954d81ff43a2fbbd1fbfa8150c4bf373ba,0.000532%,Depositors,
0x01e0755bf9ae9ff2654f5101ff072570aa9985df,0.000532%,Depositors,
0x01e1068cddc19c83e93bd22df4eebaa0ebfdb812,0.000532%,Depositors,
0x01e73285081a4045297bfa3735353d0e5f3f51eb,0.000532%,Depositors,
0x01e9f2a66d0d1763507bb5087a490e8a04dac6ac,0.000532%,Depositors,
0x01ea3bfeaad9937a1c63be629578efec9e560c47,0.000532%,Depositors,
0x01ead0355d407724869aa2887df7a638365e1aff,0.000532%,Depositors,
0x01efafd4f96084dcde12649014bec86a4e97617b,0.000532%,Depositors,
0x01f593a71c6f310ea438bc46f9a099de2f7203e8,0.000532%,Depositors,
0x01f8062e62e666b907c1592c3920e9e33b79d7f0,0.000532%,Depositors,
0x01fbcdd93304f0546df411d7924e9358f4a10de5,0.000532%,Depositors,
0x020589ceba6f9efb1ec156152e39327ed9af3a44,0.000532%,Depositors,
0x02058c65a69f14841ec7ca2711f00292adf1fd7b,0.000532%,Depositors,
0x020739aca3140a22f7af62e8408a46112082a505,0.000532%,Depositors,
0x020b1e0be9991bf4d58dcb2a20d265d7971dd0ed,0.000532%,Depositors,
0x020c1180385070620f69edf29844b84f1395571d,0.000532%,Depositors,
0x020c28a23d21e2ae544da7ec6242a9bf150e2e42,0.000532%,Depositors,
0x020fbc4304e4f9122ac41b5eb1ea138684ed1280,0.000532%,Depositors,
