Address,Allocation %,Type,Sum
0xAe0b6F63A4cB6e1319c7f1265e831D4cbc44210f,10.0000000000000000%,Dev,100.00%
0x142511e5d204d16c12d03e48ce136f351cd16183,0.0991501416430595%,Holders,
0x8f18c4e799c250e3d7946409ae17838faac0b0f9,0.0991501416430595%,Holders,
0x7fdd3e649db5f03c73cebd4687e1971c7777b7e9,0.0991501416430595%,Holders,
0xf7536c5c6008ba8f1cc71aa6f7882a3955299841,0.0991501416430595%,Holders,
0x4709488748c26f726af1b6a7304de81ec47c09cc,0.0991501416430595%,Holders,
0x432d61905864982a971fab288427d861b8576d6a,0.0991501416430595%,Holders,
0x4be139bedcf27ca61ebe71ce146a3d2aca835528,0.0991501416430595%,Holders,
0xf61113fbe3b54f6110378605e9412492ee3ea9ff,0.0991501416430595%,Holders,
0xe6cf807e4b2a640dfe03ff06fa6ab32c334c7df4,0.0991501416430595%,Holders,
0xfcbf0365bb002fc8b09fa9311310aa22a85b1030,0.0991501416430595%,Holders,
0x956286bcbffac2b58ad4cfc8ffa2ce839a636bae,0.0991501416430595%,Holders,
0x9649d732f361cd867cf1082cd78822d831d00dae,0.0991501416430595%,Holders,
0x36bfd4acb4d8ec150b1ab920077b8fa9549be424,0.0991501416430595%,Holders,
0x0bb454c2d4e642a5c18f1b3db4d020ba202907df,0.0991501416430595%,Holders,
0x6402d4c99ac42cb0747eaf6eb23773306c37cba4,0.0991501416430595%,Holders,
0x11ceda3c2efbcc77cf1692f6ba8f94569cb4d9a6,0.0991501416430595%,Holders,
0x4fe0bf82452bde588e71fa0c193ffc95b2bf6065,0.0991501416430595%,Holders,
0xae0b6f63a4cb6e1319c7f1265e831d4cbc44210f,0.0991501416430595%,Holders,
0x9626a927651bdcce1aa945f0a66d2edbcab0b5ee,0.0991501416430595%,Holders,
0x850f010c118ff2821fba1633aab68f429344455a,0.0991501416430595%,Holders,
0x0cdd4a6b9991b651d961c3b5464ab2cab1ac3749,0.0991501416430595%,Holders,
0x070be9edad31483f3d3291ce3b490a9ee060975d,0.0991501416430595%,Holders,
0x1ef9ae133f885004b4039acb400d286775efc426,0.0991501416430595%,Holders,
0xfc9fdf943a988c8fc09830df38052ac9e320d4c8,0.0991501416430595%,Holders,
0x8096840ed02438d817f7a0037c59e1e51e54d6aa,0.0991501416430595%,Holders,
0x697b771f18ba878b81d00b652046fe601da433ad,0.0991501416430595%,Holders,
0x17ac83fa732eacb07d57c4767eb3aed2928c558c,0.0991501416430595%,Holders,
0x64457a113d04768edc129377535361de15175a78,0.0991501416430595%,Holders,
0x47048c67060a6ff9a2faca620ae362ede1ceb37a,0.0991501416430595%,Holders,
0x0ab08db3ce1c0ae4c4a17b38394970a66bec44fb,0.0991501416430595%,Holders,
0x5c88babb2a1802ba9ff7f13c9802a29941a4658d,0.0991501416430595%,Holders,
0x6cd0049d13a16df066857e499e9cd466bcb0f3ce,0.0991501416430595%,Holders,
0x0af4443aa26d0254f6069ee92c2c1dabace1a1d5,0.0991501416430595%,Holders,
0x8de6b37f068a571b121fd3e46854d85b10ad87ea,0.0991501416430595%,Holders,
0xc1b7940673f39e3c079a057d8bce10cbc3253e6e,0.0991501416430595%,Holders,
0xb84b1668091793d3f30fdf8019b10351d896c8a6,0.0991501416430595%,Holders,
0xee5fe8e78add1ee7f66ac1c98414056cf05f1883,0.0991501416430595%,Holders,
0x4692157bb42f8bd47fc6ab8e577961f62a21eba2,0.0991501416430595%,Holders,
0x0e3cc9b7f6795be8b2460a1226d6130d6d1a9ff7,0.0991501416430595%,Holders,
0x9ff9ff460b8ac1a9a98193c41948acb2aaacea38,0.0991501416430595%,Holders,
0xca90f2574f9bf42a7fb835549f746fbc5cc546e6,0.0991501416430595%,Holders,
0xf0fd269bc1ff396f3087806b744b93df7d08a61d,0.0991501416430595%,Holders,
0xbec741ab0b43391a1b8a974e6bd07bee09dd6211,0.0991501416430595%,Holders,
0xbdf9dedd88f46114b424a40c547dceed4da2571a,0.0991501416430595%,Holders,
0xbdcd2254cd3bb0d7d06a9c52862fdf4c88a30dce,0.0991501416430595%,Holders,
0xf75f417870626960db290ea5703f25f990f3a4bd,0.0991501416430595%,Holders,
0x4df29c5a6975ea9bbc03cb3642083a0130f32cf5,0.0991501416430595%,Holders,
0xa66f1b7cffaee7ac1c307882754b293de60c7ab2,0.0991501416430595%,Holders,
0x61552ee0142f488d04b0528bbc83cf30ff61e736,0.0991501416430595%,Holders,
0xa6740a3a52fea30a9a3e3dba0a94eeb3aa48e15a,0.0991501416430595%,Holders,
0x963fa8e76aa71ffdc62710b2da7603999da2a9d0,0.0991501416430595%,Holders,
0x6759ac7caa4a452c7645611c6928e365a50ae0ac,0.0991501416430595%,Holders,
0x75a83d68e5cd1d36494c9ec365fcb4ed3c336f5c,0.0991501416430595%,Holders,
0x03242c5220d146d39ce0c66691cda516e0bb7fa4,0.0991501416430595%,Holders,
0xc91e62c296506f6478f33f614013dc0a78ca353d,0.0991501416430595%,Holders,
0x8816f177c6f4b184d038ccd30f009aea44efe258,0.0991501416430595%,Holders,
0x9e681f7129c36e43691f6cf9bf41b160cde119e7,0.0991501416430595%,Holders,
0x2562b56b2efa4f6548f530d0063f7ba78774d40b,0.0991501416430595%,Holders,
0xe1894300baa2b512e87bca45761e1d4aea9d88ef,0.0991501416430595%,Holders,
0x8c8ef4a0307010cc8574ed5702046f082a262381,0.0991501416430595%,Holders,
0x99a845611d17cbc34d9df99f1c3d37ef242635e0,0.0991501416430595%,Holders,
0x66f651ad518a73a98b54eb0378f59e1dd37e464b,0.0991501416430595%,Holders,
0x20e126af8d68d0ac5cc60fc316529c4412ef1946,0.0991501416430595%,Holders,
0x3f1923d13faf4ab09725b2671bbf48d3a9d9ba71,0.0991501416430595%,Holders,
0xc134041a85edbb3bd9cae36a32486454c1c6e134,0.0991501416430595%,Holders,
0x169466bd770aca7eeb5021314b15330fd7b1aff6,0.0991501416430595%,Holders,
0x9f87622c6ce7d3a5cb6702f9fbe073564c10cc2a,0.0991501416430595%,Holders,
0xadf13c755a95a1ad2dd1dc35b2b99573a188d187,0.0991501416430595%,Holders,
0x434f70721fb3eeba24b45ad32dcc3253f24bcf82,0.0991501416430595%,Holders,
0x082e9c0bd157d085851dcb439df845ea652cb823,0.0991501416430595%,Holders,
0x20c4fc61fe85197f94aa5ad313d0a8cfe16bed25,0.0991501416430595%,Holders,
0xa2afc72c2c0d622e8bb8473640dde5e98dc6aa83,0.0991501416430595%,Holders,
0x8e3b174ba8116c3927aaa1cb2d4c048188788736,0.0991501416430595%,Holders,
0x61751bc401f4eabe10a238661b4a60ba84910059,0.0991501416430595%,Holders,
0xe2473cbd13445fd4337a759796628de1f1965c47,0.0991501416430595%,Holders,
0x13fbda118686ddfb9b3b610b38bedca8f2dc1842,0.0991501416430595%,Holders,
0xa0b8c1e71c230352b359fc25ad95908606e09f5a,0.0991501416430595%,Holders,
0xe69a2bbf1a45d58b82090d53d04712c223578cda,0.0991501416430595%,Holders,
0x9b4d0ab481b61876561de737d9fe18b4ab57b583,0.0991501416430595%,Holders,
0x87827d54cf36f327ebfe04c5cf32cffb3a383d41,0.0991501416430595%,Holders,
0x4ce99e5e73f32b344314eb1446c4de18990165c5,0.0991501416430595%,Holders,
0x76a572b33349c6c40967eb3bf62d2a64c7b38998,0.0991501416430595%,Holders,
0x27d3c98aa606b39f8ceba9311c7e673a406444bc,0.0991501416430595%,Holders,
0xf3dd12715a74d419da858b8db811e9e772d12c04,0.0991501416430595%,Holders,
0xd83b91c7a0fdcff382a8e3ce3a9ef500e8adc135,0.0991501416430595%,Holders,
0xa65dcedd72700e15ff26f3786117c017e76cd78b,0.0991501416430595%,Holders,
0x04bda42de3bc32abb00df46004204424d4cf8287,0.0991501416430595%,Holders,
0x33368322608c55d66f0c15ff0f887341b95c13c5,0.0991501416430595%,Holders,
0x08c88ca71c2e468b7e42fd25a360d23c9ddc5b74,0.0991501416430595%,Holders,
0xf5334ba053491cceb7e941595f7f40ce11a87157,0.0991501416430595%,Holders,
0x4e989ddbf27674f55c9141cdb4656b2c4bd9cc62,0.0991501416430595%,Holders,
0x07c2a1f93da07abf116d8ff12ce5ed82a5fc88e6,0.0991501416430595%,Holders,
0x619f2cb450355f4dabbde26452ea2ec1feb46e9c,0.0991501416430595%,Holders,
0x8d9004e297950cac958729153fd7bb707d691338,0.0991501416430595%,Holders,
0xa5b9375d0dd8bf984466bf55a027c7fb7365f0a1,0.0991501416430595%,Holders,
0x84db467760b485685b6fec56fc5917bc9c605f2c,0.0991501416430595%,Holders,
0x5cc452e936b7b75ff6725ece92e28a228ab02059,0.0991501416430595%,Holders,
0x1509e9da3c80cb574ccef72ea0cfd0d02f838562,0.0991501416430595%,Holders,
0x6f38af50294b307332ccdb64dccb5164bde2ecfe,0.0991501416430595%,Holders,
0x64bdbf07d5c6e6fdf57d04fa5b472351d25b6247,0.0991501416430595%,Holders,
