Address,Allocation %,Type,Sum
0x40C5c979dc6B586bE6f252fC7CAa0B30d6393F41,10.0000%,Dev,100.0000%
0x6e23873ab8dd6fb4823df8a92d43643fff537684,11.2500%,User 10+ txns,
0xdcf94ed4bb2af7b7c758934f3b2cd00da429e497,11.2500%,User 10+ txns,
0x197e5ed11069ebd081824f14fca657a96cfcf300,2.1000%,User 4-9 txns,
0x44f054d5f8e562890ef4d11da31422def8dc625f,2.1000%,User 4-9 txns,
0x0a138566c2af10475057e67fd9c4cbc5edfb8446,2.1000%,User 4-9 txns,
0x00e0cb3c0a949010dc70e5bcf087b84026bd44ee,2.1000%,User 4-9 txns,
0x00c8fd64f099d75b7092245a20d58a41956af3ca,2.1000%,User 4-9 txns,
0x5c8f895911652e326bc08226beb7b5b9867d3886,2.1000%,User 4-9 txns,
0x7cad656915acffea609be400ed9506097d0b3690,2.1000%,User 4-9 txns,
0x8fb5840bbf98ab342dba26636373aa5646683832,2.1000%,User 4-9 txns,
0x3638334eecdd8ffd28140623494afe84f12bf61d,2.1000%,User 4-9 txns,
0x7a0069ddec8f604dc6009e6cce949360f5254897,2.1000%,User 4-9 txns,
0xba90db8e89e78982f2236cb025a50f8027023e16,2.1000%,User 4-9 txns,
0x0778e6746b341b5417b5ff6f29d8461364e05dde,2.1000%,User 4-9 txns,
0x8dc993d3516c0a33b695ef48535496f94d6c8aa5,2.1000%,User 4-9 txns,
0x88003d0b0123ccbce143ba4a813e0e6a0dd07a81,2.1000%,User 4-9 txns,
0x59264FEf395B225B14a96373110F7F8ae358DfF5,2.1000%,User 4-9 txns,
0x0e1ba989dacd6f59191b615095931000bd21bd04,1.3333%,User 1-3 txns,
0x472e6549a4d470aaf464565317cbbaac3c84bd7d,1.3333%,User 1-3 txns,
0x8014e204148c6e6dec455cc9f2e5385c1e2692ee,1.3333%,User 1-3 txns,
0x545be8e4d5f12d68a9b8fedc6f7b7a86d4b03eb4,1.3333%,User 1-3 txns,
0x4ea82b7ee1f2c668c6dbb11597d4c51ca58359d6,1.3333%,User 1-3 txns,
0x6169ba438799e2023ef2fd8653356e08caa2857a,1.3333%,User 1-3 txns,
0xd2f479a79a85ade26ba9d034a2d651d0fd4ff8ab,1.3333%,User 1-3 txns,
0x2eeb60ebd83c95284b754b0cbb14a763532cf1fb,1.3333%,User 1-3 txns,
0xa76530aa30ce01bfe81d28f7c1e7c87f59a90bbb,1.3333%,User 1-3 txns,
0xc649992fee7bf06ad5867edaf7a4fc2d1587bc71,1.3333%,User 1-3 txns,
0x63bd09fb5f37d1b962a19eac0e61f473f1e0a95d,1.3333%,User 1-3 txns,
0x40fe3681ff1e23c1de7cae082c6973174d019842,1.3333%,User 1-3 txns,
0x9549ec0eb113f0a7504958fbd1150d9c693d259d,1.3333%,User 1-3 txns,
0x63165ba0657865bd09ce8a7b4c8e91f9148a7208,1.3333%,User 1-3 txns,
0xd6ce799cb747af7c873324a873ff7f113e106da6,1.3333%,User 1-3 txns,
0x9a49d5a3f60351760be1e03cdaa2fe353a3aa574,1.3333%,User 1-3 txns,
0x23f9843b35b1ad957b7ca9b796a1d097a609e999,1.3333%,User 1-3 txns,
0x330c882f3da66e01b8bb85e37c237c8a4e31df08,1.3333%,User 1-3 txns,
0xfb262a6405203e946444f29205a645a2ef00d278,1.3333%,User 1-3 txns,
0xc71e5d919ebab694fd0edf595124563a81011e0e,1.3333%,User 1-3 txns,
0x2c677407aa34396a086960ff08d401290bb29223,1.3333%,User 1-3 txns,
0x2e50a26fe75bd438cc160ad192193cafe12944c7,1.3333%,User 1-3 txns,
0xa29ef99738bc00f87f4ecc8bd312e611252502f6,1.3333%,User 1-3 txns,
0x93ADf181c0D477568aa8c18014cED7fE5074b561,1.3333%,User 1-3 txns,
0xEE3c0dE9cacEea4CC35F36Cae5f1F41C0F50aC94,1.3333%,User 1-3 txns,
0xfdd08820dEE8282506ED233FA46600Ecc3d3e821,1.3333%,User 1-3 txns,
0x0115e0153de93873ddf0f7a96fe360348aa0bf56,1.3333%,User 1-3 txns,
