Address,Allocation,Type,
0xE1552658E75dB0A2dB721BF7F20b1D9914B3b966,10.0000000000000000%,Developer ,
0x6575d0572b998548dce4971b93d1cf2855ae0cd0,0.0012112753112221%,ePENDLE OFT bridge users,
0x6ba83d664c9fedfaefc05246dbca9cfaff4ccc6d,3.6021636296292800%,ePENDLE OFT bridge users,
0x1b1f13a2ff7b8f2f7da6982ed60b293cabad7c9d,0.0000617997607766%,ePENDLE OFT bridge users,
0x0f206ced2f276514e2c73d78294028ebaee27d66,0.0035261764744108%,ePENDLE OFT bridge users,
0xe21d3527b15f549bd4abb0f1008b02ca25f0a8bc,0.0291519290959750%,ePENDLE OFT bridge users,
0x2107bb3ad89a6670618ac4ffd38b3b4f7b7978a8,0.0253651048567804%,ePENDLE OFT bridge users,
0x2107bb3ad89a6670618ac4ffd38b3b4f7b7978a8,0.0239749425984196%,ePENDLE OFT bridge users,
0x2107bb3ad89a6670618ac4ffd38b3b4f7b7978a8,0.0260114991950647%,ePENDLE OFT bridge users,
0x4c9f7207be28278b9dca129f2e211acfff48fb01,0.2870500993721900%,ePENDLE OFT bridge users,
0x393675f62b517f9e2d650620e73a37b4af79c043,0.0954988548606917%,ePENDLE OFT bridge users,
0x47044c0e5aba649657e3b5f795aa90cbb2005685,0.0000894458990864%,ePENDLE OFT bridge users,
0x6ba83d664c9fedfaefc05246dbca9cfaff4ccc6d,0.0006179976077664%,ePENDLE OFT bridge users,
0x2107bb3ad89a6670618ac4ffd38b3b4f7b7978a8,0.0188802066582529%,ePENDLE OFT bridge users,
0x0fc59c9c998537c940a9dfc7dacde533a9c496fe,0.0072122618417224%,ePENDLE OFT bridge users,
0x151b1bce597a8fa247636442e1110f6d883c5ff6,0.0104317996190965%,ePENDLE OFT bridge users,
0x6c01ec9622e50799d62ca076f2e2aa34dc840d5b,0.1555431329319250%,ePENDLE OFT bridge users,
0x5c9d09716404556646b0b4567cb4621c18581f94,0.1556533375258350%,ePENDLE OFT bridge users,
0xe21d3527b15f549bd4abb0f1008b02ca25f0a8bc,0.0208519718110856%,ePENDLE OFT bridge users,
0xaf497a92c586aabe06497bd4569cb291f4a03c3c,0.0000097749276134%,ePENDLE OFT bridge users,
