Address,Allocation,Type
0x3B0AAf6e6fCd4a7cEEf8c92C32DFeA9E64dC1862,10.00000000%,dev
0xa0f75491720835b36edC92D06DDc468D201e9b73,4.07600079%,product holder
0x9e990C8Dc9768f959B5AbF7910f5FD3B965CCF24,3.90028741%,product holder
0x4ea7b4D10a01c93509BaA0CBb128c89344A1F578,3.89210969%,product holder
0x651fAc183D2ac9753BEc39F7530aDf1B873f0314,2.47226616%,product holder
0x0f0c716B007C289C0011e470CC7f14DE4fE9Fc80,2.45351982%,product holder
0x6CEa03069A82943d7e20E256a2892B95b15bd6EF,2.22152181%,product holder
0x97e7AaBeaDc64B71a86f4e76F7E72cbC5B06d37f,1.82569067%,product holder
0xc4379783c88f812476C726b8D657b8d32Bd0deEF,1.59768693%,product holder
0x0955874d0D1EC5B43C5eec3cF1dA3263ad15577C,0.90243135%,product holder
0xbB226555fBB98850273B10b0CF55aD2f99966d20,0.86902142%,product holder
0x21ca9ce44f0a206Ec1450414bd758d83987CC012,0.85135783%,product holder
0x21668704CC931DEA881540CF9f20a3240Aa4a6B6,0.84270686%,product holder
0xDe924480290cCD2c0e3DaECED48d57420F604Bb2,0.76688362%,product holder
0x551B30bc933E26E098Bd2e68d436C24ED39B7312,0.76024796%,product holder
0x3C2Dbb2596FF51eb89f2049fAB605391987Eb089,0.70527795%,product holder
0x2Ea0963fF33E420AD67cd736d1f44CAC2fd4adEE,0.62177239%,product holder
0xd507eEeF2152d54B8c00CBA499340f7B7a59c948,0.61667911%,product holder
0x2B451Fc8ec89449c6721078ffaD8024a6B29Fe9c,0.59128417%,product holder
0x6873a97b6a2512B3A275AD6D21e88C15DA97B0a6,0.57066524%,product holder
0x27Be78C795a342c793E76767F6173B6FeB3f8678,0.55188484%,product holder
0x4d43C40D14eC57BC0a7D7b24BE8a2677EDDB67B9,0.53919818%,product holder
0x2B51d730cdcd79B235D929e402B744cb3FfDd24D,0.50731660%,product holder
0x8A25d8C9fa8C7A726137f2D618d85CbC2C083F78,0.49933392%,product holder
0xf815b85CCf222608cB9c869a6B5C1684DFDE3EB7,0.49778590%,product holder
0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,0.48649952%,product holder
0x939E02dBF5A562d8E2318E0571C6136a71944c4e,0.47047267%,product holder
0x298629982613bF36C48d0B31afd2Fe7d1b4604dc,0.44887521%,product holder
0x8C82c4A38cD832B9237826B2Fe4379b7fb184F35,0.43874684%,product holder
0xc253B19091852b0a05728241946fd3e80F089664,0.43758829%,product holder
0xbbE6495f5de6805C3e28BD66B26Ad2076C006DC8,0.43138644%,product holder
