Address,Allocation %,Type,Sum
0xf40bcc0845528873784F36e5C105E62a93ff7021,10.000%,dev,100.0000000%
0x8Bd9A6FA213dc61cD83458A14D27bB5B7D2206Ef,0.002%,cross-chain weETH user,
0xB5f69d0cBD702D713767C5442122c156bD6C971c,0.002%,cross-chain weETH user,
0xf60d0556AE8884997140E5465beA22a13281893d,0.002%,cross-chain weETH user,
0x573ca4518324b3934BFE46e755C05F3Ce0177589,0.002%,cross-chain weETH user,
0xa713C7937398D17FD292aE74A4A01ebB79B83c26,0.002%,cross-chain weETH user,
0x65c6B2Bc881bB40f6B1AD30E85f26AC0789A181a,0.002%,cross-chain weETH user,
0xE5cDe6071Ff829c1297B7A944ceBB276050a1aE8,0.002%,cross-chain weETH user,
0xf8Cd4A7Fb7ed3D189c35456A20BC1FEcb2619Fd3,0.002%,cross-chain weETH user,
0x39858BF4B981c4b0c1e5AcC79c00d190b20A4411,0.002%,cross-chain weETH user,
0x53C6E22C211d817e2316cBa227A7B566087745e1,0.002%,cross-chain weETH user,
0x36C741457bFf01B5b1A3F6c680D8b9e43f160220,0.002%,cross-chain weETH user,
0xf69659847647a7aF92a129b05195a4de5D4Ea40A,0.002%,cross-chain weETH user,
0xCBB2D45f51D3181DD459FE13bDA2d13408bEaAf8,0.002%,cross-chain weETH user,
0xCA4464A96589D6119346d8630C83Ca33590196Ca,0.002%,cross-chain weETH user,
0x4829Db6116B0EeB24eF58F1C059A595407241787,0.002%,cross-chain weETH user,
0x6E222Fe250cC5B1C4641b8902B3e2Cf545949172,0.002%,cross-chain weETH user,
0x23e999cD09A561ABE7856C01941990B68762e106,0.002%,cross-chain weETH user,
0xEFa0dc08401266Ce0229703849fe813e92591492,0.002%,cross-chain weETH user,
0x499D4d058cB6f712a1A4b9661446bCce46F0864d,0.002%,cross-chain weETH user,
0x308B4e527cD958D11314f829397149a0CB70b044,0.002%,cross-chain weETH user,
0x19cDeFA3313b4cDeaCE4E4541caa78adc08b7110,0.002%,cross-chain weETH user,
