Address,Allocation %,Type,Sum
0xD94AD28220D24aB7F588EaAbcda8eF6c79dc57Cd,10.00000%,Developer,100.00000%
0x09fadbd76622b9e674166f06fad15e63b5aa76ef,0.45000%,Bridgers,
0x15c4b3929326dbb2787ebd0f5338e549ed79e708,0.45000%,Bridgers,
0xd8844b1661e8d7f22eb34feaee49b888be3f7f9b,0.30000%,Bridgers,
0x58e39293ec6ce3f4d49c9a44bb76bd3e9b300130,0.25000%,Bridgers,
0xc4a2edcb8032566f918b87eb66137a38b4ac080b,0.25000%,Bridgers,
0x6595051d161d21a0e023cf9098201611ca8a7647,0.15000%,Bridgers,
0x846a910ad56c39c0f68f038557760e23aa49e13f,0.15000%,Bridgers,
0x75cf8d888d163f9bebdccb57ae7cbb831c470ad3,0.15000%,Bridgers,
0xe51c890d5f23cb632ca79d8993479e6bbf8d7c81,0.15000%,Bridgers,
0x1655a7ce62ff8368b476dfe0c61100e36c564a95,0.15000%,Bridgers,
0x69d9c0d7ee1e02da5259d5808e1622a0133b650d,0.15000%,Bridgers,
0xe5c7b570a67bab37b7bdc86840bb2e63dac793d3,0.15000%,Bridgers,
0x7814d9dc295cace368cc3c48ed113f0bdd73651b,0.15000%,Bridgers,
0x2a42875b1c0c64aeaa0bd58476a161b04ba213de,0.15000%,Bridgers,
0xa8fa135909dc910d24d8ab0f2a753cddab06cca6,0.15000%,Bridgers,
0x03238dfef5643ec4af09cc6c887bb65f192416ad,0.15000%,Bridgers,
0x9d73df852884e9bb28df4a5ef74a0cfaf002163f,0.15000%,Bridgers,
0xdc5afa2e560aac50b37a9dc5dddf256acd13129c,0.15000%,Bridgers,
0xf9f41973e64ab9472496e45eb31c8dd903c632db,0.15000%,Bridgers,
0x9f749a6e36f4464a383f4d58f82ca72262436d26,0.15000%,Bridgers,
0x8aa7ce7b3118b3d87fbbbafceb54a60cab7ca6aa,0.15000%,Bridgers,
0x3ba2a66a841fa8221e2ffdb90b77e1e22c8dcad3,0.15000%,Bridgers,
0x7dd80c54b3dc9fd45be179c9cf8c9a5a81f11f73,0.15000%,Bridgers,
0xadfd462372b18c059d8e605bf4b5a08102049c68,0.15000%,Bridgers,
0xc532f6b4d58a063ea5951083395a49ffedc1df6b,0.15000%,Bridgers,
0x802300c8f422f5c175b188a6b8bf98e06e6c1cbd,0.15000%,Bridgers,
0x13a4b4f78ab4b93ec1cecf963e19f26f4214578e,0.15000%,Bridgers,
0xb100304b9884b274ca9330113e031b82928a902c,0.12100%,Bridgers,
0xd8c78c808662f90560f634c6724310b40da1dbac,0.12000%,Bridgers,
