Address,Allocation,Type,Sum Check
0x89D761935ca2d85e3A6f8d917751133eC00167c3,10%,Dev,100%
0xea39d1f240604de7f4f320507270b36cdc546bcd,0.1099%,Token Holder,
0x08675d2587792b4cac07eecdd03fa38de0d034fa,0.1099%,Token Holder,
0xfa98399affbc220ad05250cd389fad834e9ab667,0.1099%,Token Holder,
0x811fe1673fe79edcbdf9279bffb803eed58f103e,0.1099%,Token Holder,
0x000003295826ad3cb1ff48247ab5e2301f76ea35,0.1099%,Token Holder,
0x928b6a09ce2f39b19df321aa1f8fdb60084071a2,0.1099%,Token Holder,
0x08528236708da5eae8d83af2d97cc3b11039f3f6,0.1099%,Token Holder,
0x9fc5b41527faf4297bbf06d70c47a560f0d303f6,0.1099%,Token Holder,
0xa8ac0cabb75a3842fb8cbbe18359f71711cf95b7,0.1099%,Token Holder,
0x58a4e4b1d6de78cfd6b28f66cb7e2d4c96498c99,0.1099%,Token Holder,
0x7159547043dba289e97aa51a94832d384218e66e,0.1099%,Token Holder,
0x3eb982d680eb56b148fb20347711aac8f2283099,0.1099%,Token Holder,
0xe58785cc008c1289d7570192414c5c64e97d3ef3,0.1099%,Token Holder,
0x617ce9fe8683df539cf62d02697f0259d3513dd0,0.1099%,Token Holder,
0xb11206931df47c73e609dfd679798ac37f800599,0.1099%,Token Holder,
0x67214f6d58409e1dc9fa51946e2b78e2b147b310,0.1099%,Token Holder,
0x5de6076da4dc74461a19b4a3191b72323c4f977a,0.1099%,Token Holder,
0x37de987ca81076ac9b719ff1abcb7d5e7e864ae3,0.1099%,Token Holder,
0xbd7698bd82dae08c65eb952bfabcca4bb43bd15f,0.1099%,Token Holder,
0x003abaa5b054f9c67864da940495d1ac69400871,0.1099%,Token Holder,
0x0617b3ac9ae49bccda3236479706bea675e4fcf6,0.1099%,Token Holder,
0x3f7c726d801a23d1c853b551628e49963d72cdf6,0.1099%,Token Holder,
0xc60881e29de0c77315ed01198aee4ddb920de3d1,0.1099%,Token Holder,
