Address,Allocation %,Type,Sum
0x9088b976e9542d0A27f4F9ddc7A716c7714806ea,10.00000000000000%,Developer,100%
0x9088b976e9542d0a27f4f9ddc7a716c7714806ea,0.02065404475043%,OFT Bridge Users,
0x3835400be823d3a1bc0ea0b32522809d327ed178,0.02065404475043%,OFT Bridge Users,
0xbabf8480349dab3840c8040db80c42cd456dea85,0.02065404475043%,OFT Bridge Users,
0x1572fce67706d3f72ac0f6b512c27ad15b2cb004,0.02065404475043%,OFT Bridge Users,
0x81de7f79798ffba65c6dc8913c3096b2607f42df,0.02065404475043%,OFT Bridge Users,
0x191e648fc7aae005ec59b4fd2fc81d9dacc4b314,0.02065404475043%,OFT Bridge Users,
0x222eee20cdb18b80352f906e0ae1cf4b70d7b413,0.02065404475043%,OFT Bridge Users,
0xccf3eacf77b2600cb5088bf97ffb380236c6e902,0.02065404475043%,OFT Bridge Users,
0x0180bd56393851a46fab05ae627fb574dadb5049,0.02065404475043%,OFT Bridge Users,
0xcb938bbed7789ee8aabd259a8cb789aa3500bbf3,0.02065404475043%,OFT Bridge Users,
0xa1a7aec61de1b80efe2dfe0ed8bb4243274ce67a,0.02065404475043%,OFT Bridge Users,
0xebfced2b9ca169d2ca566e1f72a75a9b6cc9291d,0.02065404475043%,OFT Bridge Users,
0x59455ba3d00bb8cbead8fe6db3973210e49d4303,0.02065404475043%,OFT Bridge Users,
0xc91b41cabfeca199c6e2b84a9da08d24f3853397,0.02065404475043%,OFT Bridge Users,
0x606d2c436a07be40c276a6176bb1376c34e49ee9,0.02065404475043%,OFT Bridge Users,
0x6a42c1f4dd8d9fcf3bd7bbcda396d12dda35ee9b,0.02065404475043%,OFT Bridge Users,
0x3750b281e14b0fcd4880399210ce03a7f570fbd7,0.02065404475043%,OFT Bridge Users,
0x41fc6db7d930db6d1869163f664fe4bdc3fe8b61,0.02065404475043%,OFT Bridge Users,
0x7fbd935c9972b6a4c0b6f7c6f650996677bf6e0a,0.02065404475043%,OFT Bridge Users,
0x4d77bc6443ba6597128688fc86a1419ee3fc4d54,0.02065404475043%,OFT Bridge Users,
0x132e47cf2c19ec2d8dd56e1528fc7e18dc09188f,0.02065404475043%,OFT Bridge Users,
0xf4030cd3b27e279d011c88e6073ee6b903b83d36,0.02065404475043%,OFT Bridge Users,
