Address,Allocation %,Type,Sum
0xB1748C79709f4Ba2Dd82834B8c82D4a505003f27,10.00000000000%,Developer,99.999538%
0xe32e3bd2ec560513cab4757564ca50d13caf9f7f,9.27559159200%,Bridge User,
0x72d3bc5ca56b6ce28cb3f5093bb8445caabccc36,1.66546092900%,Bridge User,
0x80e6c4918ce508c08f7e4298f64464044cf79db7,1.43232453900%,Bridge User,
0xc57ea958e33dc87c7c7951774bab9221346ba26f,1.37256843000%,Bridge User,
0xd89b1b886719fb9f2168aea44d719e9b81cd78dd,1.19283986100%,Bridge User,
0x0e7f7ab04b33955502cf0959b9ff4afc74dd92aa,1.17089279400%,Bridge User,
0x8c5e3b939504a92f54a860e62567f636e6ac31ee,0.97430976300%,Bridge User,
0xe09348c518c51671a54fce1f16a1d55ede6c7c58,0.79705370400%,Bridge User,
0xed0da42ef260bf6a739a7fb9dda720d5124298dc,0.66879614400%,Bridge User,
0x8d5ab09062fa6553f655a4eca782bb106e1de799,0.50697061800%,Bridge User,
0x1980475c3a279935ca611c9a41f17974ebc2e050,0.48787838400%,Bridge User,
0xa734288da3ace7f9a5e5caa6df929126f2e67d52,0.47245513500%,Bridge User,
0x5011ebaf3a3eb652e4dc43ca588ce0b3c3689178,0.45067182000%,Bridge User,
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,0.39793799100%,Bridge User,
0xa354212f4dac8f5a740cd9c692e52f5c622d258c,0.38327147100%,Bridge User,
0x66e9cb06ab7cc033c6d40173384cee7d7d177359,0.37069472100%,Bridge User,
0x6e74053a3798e0fc9a9775f7995316b27f21c4d2,0.36800268000%,Bridge User,
0xbbd46439ad25f9b04ad0103d655323a9fe9952af,0.35543809200%,Bridge User,
0xe4b32828b558f17bcaf5efd52f0c067dba38833c,0.30908569800%,Bridge User,
0x474fd8f11450af961502fb6b76ff9a78aa787781,0.29895612900%,Bridge User,
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,0.28419711900%,Bridge User,
0x6d1b0ba383cd362f180ccfe01733b19260ca2459,0.27079325700%,Bridge User,
0x445bab4342fafcfee8baaec5bd7d6030770d4011,0.26136008100%,Bridge User,
0x35b96725046679431b2cb04c610dc984cb45e94c,0.22910463600%,Bridge User,
0x35c0578375d034b10dc73d8bb4d26f8c1bff0001,0.22638866700%,Bridge User,
0x97e388e8819f6b90ceafc36edf51fc12f3e9108f,0.21524657400%,Bridge User,
0x602da2908b166dc0f897c84cc095ae2675b118c5,0.20912946300%,Bridge User,
0x67bcd41adbf12d1ecffd86e17af2b14179b556a3,0.20017956300%,Bridge User,
0xfb86a60a4d204de91421871c6d69cb40d21ae736,0.19842916500%,Bridge User,
0x3384d9c31834fc986dc9314be37c0490d8915f60,0.19467743100%,Bridge User,
0x402904e954aebee2e78b7b09595393cf05571333,0.18727170900%,Bridge User,
0x0470fba30a427099c248d32a3efe3d63fbb41619,0.17764100700%,Bridge User,
0xc4e70f1c8a7d74afbb5da56d4b3e307c125fefd7,0.16400686200%,Bridge User,
0x0f179f14ee391b9d848eb2bd84631d0b066e7de5,0.16164663300%,Bridge User,
0x3a0c26dbc6cdbc89812db478ca6ad5376f2205b0,0.16131912900%,Bridge User,
0x23727b54163f63cffdd8b7769e0ecb13df253b4e,0.15892092300%,Bridge User,
0xbeb69e7ac7f59bdb79b89fc94ed862c6b39f3c00,0.15790055400%,Bridge User,
0x3c00eee9e69e632466458615112ede76c32292ee,0.15020723400%,Bridge User,
0xc86fc1953ac75c3f12eabcec108d6c616774e3a9,0.14962259100%,Bridge User,
0xab6e1938d982dbde84a1f4af0e268ac1c3113f99,0.13719880800%,Bridge User,
0x06aacfdeebdccca500b98411cc45c8d4a45944ed,0.12626154300%,Bridge User,
0x193db18a5ef9a0320b7374c1fe8af976235f3211,0.11889325800%,Bridge User,
0x0305cd11a4b3827c5c02afe33b659bc6486fcb77,0.11641660500%,Bridge User,
0xc322150ad327091351af0c64f82627098cd04924,0.10581607500%,Bridge User,
0x862cf0c9ed1445af19ac42561442be1998606ddd,0.09965561400%,Bridge User,
0x23e69bf1ada63b7ef0d7f453fa64c61a257b72f1,0.09813826800%,Bridge User,
0x3efed426257b1493e4fad8f54361649642f5b43e,0.09701300700%,Bridge User,
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,0.09230780100%,Bridge User,
0xafefe38728ffc54e41a8339f5bf5ac43494ebac8,0.09115713900%,Bridge User,
0x9874ee59f51661f0a369257ffb143db5525e393d,0.08367821400%,Bridge User,
0x96afb8fd1707e60e74824c1553191070b8828985,0.07904028600%,Bridge User,
0x1a8fc88f0ffbde449201ef162e41baf5b68cdda0,0.07889370900%,Bridge User,
0x028b2b9adca1bd1263086b0b221713a684968817,0.07848788400%,Bridge User,
0x126ff8fabec84ef8a96f25dd0c2668fb9b7e7088,0.07825032000%,Bridge User,
0x1b648ade1ef219c87987cd60eba069a7faf1621f,0.07694087400%,Bridge User,
0xc92fc09658fb97ccf59ffd34d404766c3713c828,0.07452064200%,Bridge User,
0x2357feaad45a61ee4f663c203f660580430e75c6,0.07356819900%,Bridge User,
0x838b05eda88d368cce2768d7db7998fa6afdba63,0.07039910700%,Bridge User,
0x00a36bf34c91e0f240b287fa1fb510a0b0479ff9,0.06941770200%,Bridge User,
0x22510fe99f63ae03ba792c21a29ec10fd87cae08,0.06810356400%,Bridge User,
0xc9f49572b2f4535c88cd29062c2f2543b1ef5ce5,0.06667323900%,Bridge User,
0x0bcab08aba1c82e7074b5bc197649f471f73fb83,0.06555917400%,Bridge User,
0xdeaf42d4a2cc1dc14505ce4e4f59629aec253d75,0.06257783400%,Bridge User,
0x9177eb417cd0f2ccd2662e1879af1c67e1d2779c,0.06159211200%,Bridge User,
0x635e681b899d2fe8231aafead2a5d4ff5b87acb2,0.05694675900%,Bridge User,
0xd3f85ade70adf48ed17c8cb182b8b1aff542e51f,0.05231633700%,Bridge User,
0x7d08c1c508c40c55055432a31954935b11bad224,0.05136838800%,Bridge User,
0xa249ac7499bb7a18f47168f936825452d466dcaf,0.05081121000%,Bridge User,
0x5bb5369ea8102ca721f3358de07b4550d5c52436,0.04746184800%,Bridge User,
0x60377d31ded1cfda79e6b55c617c39d02ead4438,0.04725912000%,Bridge User,
0x86a851c344c76f39a5258d9fe431b2660fae8479,0.04588851300%,Bridge User,
0x51dbd9b5840f1805a887897be1d3e568dce8874d,0.04501389900%,Bridge User,
0x7f36a317ea8da45693ed087e64baf0d321aaece3,0.04379431500%,Bridge User,
0xcc34a385bfdf725987e3c83720866581974d5df5,0.04281604500%,Bridge User,
0x58a40c5458457c1e9ebd246ffe071159d23d5068,0.04272054300%,Bridge User,
0xac6ccad7326eb636bc318944d558ef021cb40051,0.04107577200%,Bridge User,
0x43e00720bcbe904f70194300b58c46a3613bef4c,0.03358931400%,Bridge User,
0x86f31dd9b35b7bb6f0e1eecc1bab89760956d991,0.03326754000%,Bridge User,
0xb2515a7221b2654f9faae0e4ed1d0e49aa7b85dd,0.03165207600%,Bridge User,
0x82858b7dbaa6966c0f23a45ec1df2a26ea8cf8ff,0.03162571500%,Bridge User,
0x8061199a31983a077e691c08b2263a4cf5c24093,0.03123583500%,Bridge User,
0x3bc4e4afd4ad53e58e265d6002e2b5a2c4c52130,0.03015279300%,Bridge User,
0x4d396974c5813159c704e96acdada21eb01005ed,0.02727485400%,Bridge User,
