Address,Allocation %,Type,Sum
0x1AF8c7140cD8AfCD6e756bf9c68320905C355658,10.0000000000%,,100.00%
0xad074143336068a5b491aecd2f105cd2fed99e5e,6.0000000000%,Froggy King,
0x1af8c7140cd8afcd6e756bf9c68320905c355658,6.0000000000%,Froggy King,
0xd0a33fca09e6f3923d2420bf57af5c97c13f74d2,1.2000000000%,Froggy Megalodon,
0x29f7ec2bef88eaf2370096d3559e9fae8984622c,1.2000000000%,Froggy Megalodon,
0x99a94d55417aacc993889d5c574b07f01ad35920,1.2000000000%,Froggy Megalodon,
0xb9177d8100fd0445ee539878b2bea1419539f8cc,1.2000000000%,Froggy Megalodon,
0x86ee40be8a32ae3cbd0ac23288a10ffe3006aa68,1.2000000000%,Froggy Megalodon,
0x135d022ead508d642e6adeca8ac709c32995ffa4,1.2000000000%,Froggy Megalodon,
0xa2705f5c71452f4283c29cc015c2e09106257548,1.2000000000%,Froggy Megalodon,
0xfe2169ccb9db8897f2cf7fc45df0e312442db4b5,1.2000000000%,Froggy Megalodon,
0x5083cfd23ce88bb576423ff6ddc15d96e4527859,1.2000000000%,Froggy Megalodon,
0x425403339dc3bb763f12acfabe69ae60eaeb27c5,1.2000000000%,Froggy Megalodon,
0xd1c5f64c574492dcf00f0a0828d2e7b9cae39306,0.4000000000%,Froggy Whale,
0x1f36fe3742bf1146b319b9b3fa67f4dd2cf3512e,0.4000000000%,Froggy Whale,
0xd8d7b8a1677dbafedd3c30b96d2796368631388d,0.4000000000%,Froggy Whale,
0xf602a909f4e5ed3ce87ba4b737a3804fd89ef13f,0.4000000000%,Froggy Whale,
0xfbef6eb3bb21b162dafa67ba93c3f0e7c624ca42,0.4000000000%,Froggy Whale,
0xb6f9163af8b0d861ce7ceee8ecc9f7f1aa4e0a09,0.4000000000%,Froggy Whale,
0x6354af3b0aae01361d23eca76a7ad1b1538d9e1c,0.4000000000%,Froggy Whale,
0xc02d36d600c81ccfc3a0eff79c6529484229da9e,0.4000000000%,Froggy Whale,
0xae8e98c213e3982a7fd9c4d1fa7a4ad85f31e868,0.4000000000%,Froggy Whale,
0x4d49ab0589398b77a20eae4daea07a255768db1e,0.4000000000%,Froggy Whale,
0xa9b56f58c3ddcec8511a911d14adf82aade492fc,0.4000000000%,Froggy Whale,
0x2d4fb584413c81c11795e6394df246137cc67f20,0.4000000000%,Froggy Whale,
0x024822d928582eebbe1650c539b0b95603197ef1,0.4000000000%,Froggy Whale,
0xfa51d98393ca70bfcdff555048790e2f00f1a958,0.4000000000%,Froggy Whale,
0x71a7c2af54ae48864e40f275ff7017c6285fff0c,0.4000000000%,Froggy Whale,
0xa7a26cdbfcbc1ffc4e29de98f026f7f003bc3a1f,0.4000000000%,Froggy Whale,
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,0.4000000000%,Froggy Whale,
0xba8913b2f9d360b44857ccc4f95e403aea93160d,0.4000000000%,Froggy Whale,
0x23a1b5ea9e7db3172b5adc54fcdea187f5c2aff3,0.4000000000%,Froggy Whale,
0xa9c4b025a21952b92f42e5b2e922123d23f54a49,0.4000000000%,Froggy Whale,
0x886478d3cf9581b624cb35b5446693fc8a58b787,0.4000000000%,Froggy Whale,
0x000000070f91b6c56fa08d4f3a26c7fc992b38f4,0.4000000000%,Froggy Whale,
0x88f09bdc8e99272588242a808052eb32702f88d0,0.4000000000%,Froggy Whale,
0xaedac64a51fb80c44bd4b5b75038ecd06eebcc55,0.4000000000%,Froggy Whale,
0x4bcdbb2211b2ba2dc86380a896a2a54f550ebc41,0.4000000000%,Froggy Whale,
0xf5c47c61c98000962997ac1308afd2a69a89c66e,0.4000000000%,Froggy Whale,
0xd24abbdb5f69e2270befe591447efe484360c47b,0.4000000000%,Froggy Whale,
0x24c8d5c3a087326dfdcb2a4289e7fd4b0a1abf43,0.4000000000%,Froggy Whale,
0x3c32c919b2bfaf8afaf950f97934daedb6f97f57,0.4000000000%,Froggy Whale,
0xcfd767f1337ebac2cf6cd73593df2d4f9c4430ac,0.4000000000%,Froggy Whale,
0xc050e9a0e5034f6319e89804b998bae10b520b8e,0.3428571429%,Froggy Maxi,
0x3730cdc12f7e457417c01a2698986206bbbad8da,0.3428571429%,Froggy Maxi,
0xa509a6a5414440764c8b8399a83a5e9fb7a6de45,0.3428571429%,Froggy Maxi,
0x84ea3fdb8aebf3f2d2410014b910824048ea0d0d,0.3428571429%,Froggy Maxi,
0x80bbdf611b9a1a378e69391a8b13107fc27a6c60,0.3428571429%,Froggy Maxi,
0x545fe5914418fdff836ca163241a9e141d84f5c3,0.3428571429%,Froggy Maxi,
0x9b7feb7510c2162be71991798319fc89eea7a1cb,0.3428571429%,Froggy Maxi,
0x6b01ad68ab6f53128b7a6fe7e199b31179a4629a,0.3428571429%,Froggy Maxi,
0x5066b2e1989bee47695105a627d9d206b7e513e3,0.3428571429%,Froggy Maxi,
0x3175d33ce60c02a458b4535bb39656c036d32ce7,0.3428571429%,Froggy Maxi,
0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0.3428571429%,Froggy Maxi,
0x5942693ffc63364cc8360cc2b00bec49851813f9,0.3428571429%,Froggy Maxi,
0x8d4a16c007253f6b086aa3c83135a3dc1ba30823,0.3428571429%,Froggy Maxi,
0x7c22dd746bff9d0fe2bd9d2038d0fe00404ead6a,0.3428571429%,Froggy Maxi,
0x8bef8b889eea83e5b0b0e1a4bb09d426fe57a1d4,0.3428571429%,Froggy Maxi,
0x745c6efeaabaf5aa035e54caab6b536f5319db38,0.3428571429%,Froggy Maxi,
0xe506cf9defdd82723ce5b3ffe425decdf78a543d,0.3428571429%,Froggy Maxi,
0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1,0.3428571429%,Froggy Maxi,
0x689d5865bbc9f2e164577965af27f71ed5ef1684,0.3428571429%,Froggy Maxi,
0x6c6c1a2597f32eefebd82a048550a6060c2a91fd,0.3428571429%,Froggy Maxi,
0xd9fb67111ee14f4d2cc0c8be137679200b85198c,0.3428571429%,Froggy Maxi,
0xdc6c67f803a7819cae8a39615b80243853396e57,0.3428571429%,Froggy Maxi,
0x024470c445bee9b373b39440e6ade193958fdefe,0.3428571429%,Froggy Maxi,
0x307a9ed60faabde3c98eabd2903fcf59f4ec16f9,0.3428571429%,Froggy Maxi,
0x900b7ce829e58f284c46db1fa468dde519f485e3,0.3428571429%,Froggy Maxi,
0x5f3226c3bc5181179d466afc81f966035c0619de,0.3428571429%,Froggy Maxi,
0x6dd87536a59ad6c5741c0f0d0893fda3d92b60bf,0.3428571429%,Froggy Maxi,
0xbd2a933649b7c0ff2b469c3716877446695e53da,0.3428571429%,Froggy Maxi,
