Address,Allocation %,Type,Sum
0xE259FeaBdaC0b10d37DC3d399149E9F743cAE8dA,10.00000000000000%,Team,100.00%
0x645Bb4815cF3A8b6BE7ADF459Ab3BF12AE22e64B,1.40000000000000%,Moderator/International Moderator,
0x549346b041f181920797e8a2b1c64580943832aF,1.40000000000000%,Moderator/International Moderator,
0x658077d3ab7d534da438126f3b9fd9f13fa5c516,1.40000000000000%,Moderator/International Moderator,
0x9DE7D0420b2D471637F19c87E6253E658bb8d39D,1.40000000000000%,Moderator/International Moderator,
0x67A2aa766abb2DCAa2B417952FCC4897CF7d1F8a,1.40000000000000%,Moderator/International Moderator,
0xbd602724eE140399967ff833E664d6Bd19CB42B2,0.77500000000000%,Beta Tester,
0x12A9E4D79f53Ecd45e18443eCb1C75A9CB5cCfe8,0.77500000000000%,Beta Tester,
0xDA675a9888e16595C66C6c1DA684dF4e26f8aB69,0.77500000000000%,Beta Tester,
0x83E23937E2E83f0aCdaD207Cc0b15dd14ed3866F,0.77500000000000%,Beta Tester,
0x50C9F812ffBBC2C26493724A27666c40b81732f6,0.77500000000000%,Beta Tester,
0xf066865aBcd1d64F6234a931C91c1C1b79FBD8CE,0.77500000000000%,Beta Tester,
0x658077d3ab7d534da438126f3b9fd9f13fa5c516,0.77500000000000%,Beta Tester,
0x385df552F9CCcE1192D7cba8dCd34e00ed9C22Ed,0.77500000000000%,Beta Tester,
0x549346b041f181920797e8a2b1c64580943832aF,0.77500000000000%,Beta Tester,
0x5c9172f9BC6BCD221d6C1bDAaC26714f011892Ac,0.77500000000000%,Beta Tester,
0xBead3E2be95E343797C4b897a536ABBbeC9cCB7f,0.77500000000000%,Beta Tester,
0x2Ba1e9a5b33477486E1D666aE77357B18525Ca48,0.77500000000000%,Beta Tester,
0x3E787d3F965002a3f826C57841D664a04905E5B8,0.77500000000000%,Beta Tester,
0xEb05939a65036bB2Ad5daa2ABBd754402DE4ebC8,0.77500000000000%,Beta Tester,
0xCfaE739AC5dC8891f4F858A23753826D5E1c7f2a,0.77500000000000%,Beta Tester,
0xcF1aD033f8FaA273C28ED5D4cAf2F4530A5c2e53,0.77500000000000%,Beta Tester,
0x48F379682c7e55653Db61d80a0576993256b968B,0.77500000000000%,Beta Tester,
0x1a897dcED840AF3F0D1DD03e74CBaf70dda131BC,0.77500000000000%,Beta Tester,
0xE28E4B9b408E0D970d39f67179c93CBA1c54BF8f,0.77500000000000%,Beta Tester,
