Address,Allocation %,Type,Sum
0x63A61a31F087295a2b3fbE6F546913Ccbe8127e8,10.0000000000000000%,Developer,100.00%
0x5788e790adb0913fd8e837a7c509cb05ea8141e4,3.8125422722731552%,Bridge User,
0x63a61a31f087295a2b3fbe6f546913ccbe8127e8,0.57504814789308256%,Bridge User,
0x47fa0c6b40b4dfb925ae81f199c3e7ccbfdf0497,0.49128936409550261%,Bridge User,
0x8cd847abc9f7013c5593ba669e0ae8e08c85f9c7,0.43384609861124407%,Bridge User,
0x22fa3239c4bf43d05cc587ff40ea3ba5841c6709,0.26438440207454511%,Bridge User,
0x3d11e1a9c6c3f6ed8271adeb5d11f85fbce7d3be,0.23272009954155451%,Bridge User,
0x5235e1b347b00e0adf9c48a307f83da28185570f,0.20828621167499167%,Bridge User,
0xdf8105634d3a0a77802c12b29b5c310afb175d5d,0.20129429846815569%,Bridge User,
0x6038283863c47176c44ab46b4d91c359b88e470b,0.18788526006327125%,Bridge User,
0x2279122cc80b30b77acfcf07ae304bfa8186c51f,0.17958214135365966%,Bridge User,
0x440de8b4e2ae9c63cb1c22c9edd32db11de86113,0.16807944713700049%,Bridge User,
0x4808938d62c732f52785c6be371016b9cfdbcd6d,0.16681098088852175%,Bridge User,
0xbc9aa09e99c864cbf0a646901cc5ab4aa7d1ca47,0.15000463678997053%,Bridge User,
0xa61c4d958c5a5c913df1d79603252cda2de1c5a3,0.11575034731126943%,Bridge User,
0x0cb7ff59a8a8e4d426cf521ee852e7498eee9eb0,0.10298394234478349%,Bridge User,
0xf1ac56a6a75bcbd915d48bd23605f24e472398a2,0.099364139091859316%,Bridge User,
0xb25024c421d4f8bebe468d3dc353e07868c99901,0.098449108679481645%,Bridge User,
0x8e6391c64a8a96515366682e83f8c7585aa5f1d4,0.09035010977900762%,Bridge User,
0x4349ad17e5a9a55c292296f659a5ade8e3f57e00,0.0902309945327845%,Bridge User,
0x87b5cd36f2116921c9680e3a8b0ed5a8baa5d9b2,0.085281644050673483%,Bridge User,
0x8b97066ffe92e889bd53d4dce2b13461b8ea7ea2,0.082475413942407622%,Bridge User,
0xa971eea2ec07fc22d8dab8d5d9b17a423dd216e7,0.08158390597070686%,Bridge User,
0x44d8d85a5492f9719be82903566082099b7a6a96,0.08144751691897599%,Bridge User,
0x8da61838952e4244fc110cd130a0e902cdd71b55,0.078924880177402248%,Bridge User,
0xd317c2c552fffd291466106aec84de312267116c,0.07454430920617286%,Bridge User,
0x984cc885e32d8079f5519ff08871c728e3b06501,0.0727873797423443%,Bridge User,
0xd95d47e2f7723d463d585c774a3f020836b6dcf2,0.072532518111503935%,Bridge User,
0x02e22759c7a8fd1f2d669744bba96ef07b19eff6,0.0715475808741932%,Bridge User,
