Address,Allocation %,Type,Sum
0xA4d9D052A4bcA8C8D8EA39C748Bf196202369e7B,10.000000%,Developer,100.00%
0x6bb971430554e3af58fbd469bce46ab2359a2d23,18.960356%,Bridge User,
0x3c1983960d53a108262314a2bbd4c32cf5b18f0d,11.654017%,Bridge User,
0x7232a101c05f0bcc4708b8ed3191616291ce4f5a,8.115653%,Bridge User,
0xb32932059861e7b33b6b2959a1032e90281d398a,6.576062%,Bridge User,
0xd9fcc3651db034c719cc744b7872007e44ffcf93,6.563092%,Bridge User,
0xfe11478844ae09a79603e47eeed612642ca5697e,3.445415%,Bridge User,
0x111eaa31b2a1484191cf7eaf495beddc12469f38,3.389131%,Bridge User,
0x229eabdaebd158b998d2f50280b4c9e0853f08ae,2.910844%,Bridge User,
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,2.808191%,Bridge User,
0x49a216d58dc65db1db92405ebdc48fdf945db991,1.931057%,Bridge User,
0x74d31d058fdcfed35e3633b57ad0a0fed500b216,1.631524%,Bridge User,
0x758cde0e08e366ee16a988dbbe0041bb69500e3d,1.612659%,Bridge User,
0x5984bb82f11171cb1dc2287e2a6935c44d491538,1.546873%,Bridge User,
0x9de092bd0645d1ae81b4437fb6bf45de66f90060,1.357660%,Bridge User,
0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937,1.191075%,Bridge User,
0x6d8d33b504f4c5d26a5c7a6ca51641ddf2c6bc99,1.135469%,Bridge User,
0x28d664b3d47c7f5980f94ba97adb9f2c9462560c,1.135234%,Bridge User,
0x50e71e23d51cd79cf484845327ac372970d47144,0.809560%,Bridge User,
0x9a070851847fc53f1c96ba3c9e7dce9acb1d84ac,0.770607%,Bridge User,
0x105e1e285aab8cee407f0e7bab752f792cec8800,0.616370%,Bridge User,
0xc7ff86b58e62f217178990d5021e9998b93a9674,0.614280%,Bridge User,
0xaffa6f347fd9b49cdf2a1b48c2b7d2b782c4f5a8,0.593273%,Bridge User,
0x49519579d9d7f1e782daff0d1139c6f6c7b51235,0.593245%,Bridge User,
0xf71181c9f91f85149d629f37b8c27afca0fd5ea1,0.579373%,Bridge User,
0x00cb97487391d0ac7819c77098dbfd75b1d76787,0.560759%,Bridge User,
0x26a5994176d34d128c5e6ab80fa0882a7df4ff00,0.481484%,Bridge User,
0x679eeddb9ce815ee39ce6567e407f9a972dea194,0.477960%,Bridge User,
0xed968213380a1d0efc976d5346dc14688dba07c8,0.453775%,Bridge User,
0x35c0578375d034b10dc73d8bb4d26f8c1bff0001,0.409612%,Bridge User,
0xe5ae5aac9a19ec43abdd161e95640a1cc12ae348,0.373338%,Bridge User,
0xd2fc0bb892270e06b2ce81394c988d3b2f5c1414,0.369027%,Bridge User,
0x3822bbbd588fe86964c7751d6c6a6bd010927307,0.338913%,Bridge User,
0xce65a2b43efccd13d7a7adf2ffb0c72acde0b2f1,0.291758%,Bridge User,
0x98272837f5cc800b07ca84c8732f8fd53d2d8994,0.289169%,Bridge User,
0xa7750247e4d430178a662f691482db1395615099,0.273137%,Bridge User,
0x520e74218a9fd5563855f11d204810281a833e0f,0.251400%,Bridge User,
0xadeed59f446cb0a141837e8f7c22710d759cba65,0.225998%,Bridge User,
0xfdcb647ba5c40e002052e4e073a3e7870a3b3605,0.216136%,Bridge User,
0x001ccb4aee11e54217dc4b02b7bd252f5d420d1f,0.206850%,Bridge User,
0x7c14af9908287642eb11d557960d2e0df7bdee76,0.199266%,Bridge User,
0x7356404087abd3c9bc1461bbf2d52c5c2a0bd27f,0.189792%,Bridge User,
0x9e33331404f708102f9bb6f51849dbddc1f0283a,0.184426%,Bridge User,
0xa11cba2199d349c35f4c4ef6a4760406c69f9f79,0.182030%,Bridge User,
0x2c1599554db46744cd02e6c43262fb4bbfed5273,0.175870%,Bridge User,
0x9c522e518bed1a71b5d465614bc64dd512d8f2fc,0.173419%,Bridge User,
0x40dc0fa2553e8a97e56f39d595b2753eacfe91f1,0.154456%,Bridge User,
0xffa06240e8b331d9ac350529bc1b01e95d3e6ceb,0.136730%,Bridge User,
0x6ac1065a0275da813012d48224737e3ee478e1a9,0.127229%,Bridge User,
0x4eb49db2c0a1bad8c48a64d68d8525bd01f9de0b,0.125940%,Bridge User,
0x58cbf5ea02359d28d0004cf25430cd432881c745,0.123006%,Bridge User,
0x00002b503a75998c97508916a74fdb41934fa030,0.113934%,Bridge User,
0x783f2bc733731122bd1f6c354faaa5152610ac67,0.113129%,Bridge User,
0x4eaac96f2d275764ad7259c303fc932d8f6b1e49,0.099753%,Bridge User,
0x6d1b0ba383cd362f180ccfe01733b19260ca2459,0.098885%,Bridge User,
0x6cd57998cc8a6ad4cef6d5991df0b7417b85abf5,0.096193%,Bridge User,
0xa578994a409696e4d8d1cdcc93aba4c34022c93b,0.090929%,Bridge User,
0xc41aa6448970a1975bc857e4a07fec005ce4b2cb,0.082404%,Bridge User,
0x7f2fccaf717128bdf5efabd67a8ea9a812d5813e,0.079197%,Bridge User,
0x694cbc24aeab1af96a5c822f594f62719cf0d612,0.076152%,Bridge User,
0x17d0a7eeba3ed2ecac6503477ffbb76366a67e9a,0.074042%,Bridge User,
0xdb6d9d4ae06b843639ab5ea567af30ece0374003,0.067556%,Bridge User,
0x6adcc5c7d53765e4d2456a95015ea384924bef4a,0.066092%,Bridge User,
0x9f1de33fa992c5d19d2bb5465773975809bb0012,0.064503%,Bridge User,
0x8d60a48c0947aec002d470a6f4ce4f2a195e530b,0.064237%,Bridge User,
0x9c78a340c464d5fecb642c73ea02dba0af6834b2,0.063275%,Bridge User,
0x8ef8bcef3151155eab488cbb041695a65a942dba,0.063019%,Bridge User,
0x7db4fd6205bbb1f3aa134fa723d1f20a60bab635,0.062402%,Bridge User,
0x05fac1ae20b0c4b06699dec78c23e94bddcb05f0,0.054985%,Bridge User,
0x42a045bac9c01d48b16618385d6afd0dfea3c29d,0.051681%,Bridge User,
0xb5609d010cda9a7bef1335875f58ddc23f964ffb,0.049382%,Bridge User,
