Address,Allocation %,Type,Sum
0x80fd0accc8da81b0852d2dca17b5ddab68f22253,10.00%,Developer,100.00%
0x49a3b7975dd0561f4837860c82b0c8d8c46eadac,4.79%,Bridge User,
0x4f2c2e63b17be8188efd125363ebe7548d723569,4.73%,Bridge User,
0x211999e5ee74af3e8dacbcd5c4e608cd7d8086fa,2.73%,Bridge User,
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,2.62%,Bridge User,
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,2.10%,Bridge User,
0x410600dd6135cb649d134f414bed264243e43b5b,2.12%,Bridge User,
0xa3ebfcd1e5ab23d0c235b1fc88be8ee3f06d1d73,2.15%,Bridge User,
0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,1.54%,Bridge User,
0x0010a5172aabca8328c6e6c6a9c906ca00f09343,1.44%,Bridge User,
0x100de74e6944c7d21df36001bdaf887cd085df47,1.43%,Bridge User,
0x69cfafca9c889d6efc1acc5651ce7a5ec6cdc231,1.42%,Bridge User,
0x1ee7fe1cca16a115c2c4191fde4018d459cdb603,1.38%,Bridge User,
0xcfbe4ab0a2c2bf7ef11c9483bf3f46413e8ff29a,1.38%,Bridge User,
0x745ff11d90b0b87b915261e9f0abe2b5852b1cee,1.12%,Bridge User,
0x5d7a7940c52ee497717bccab9e0934894a47eb5e,2.56%,Bridge User,
0xe4a0c98b0fd91bc9d822bda952c1d7f7f4ef7329,1.36%,Bridge User,
0xe90afc1904e9a33499d8a708c01658a6d1899c6b,0.92%,Bridge User,
0xbdb910984f263ff8cb96ee765067a8f95e0ed587,0.89%,Bridge User,
0x8be58d8792cc4bca9dfc60773f2ebd822e0dfada,0.97%,Bridge User,
0xdca852b0494495c65bbae87d9ef15c0d8f2c1565,1.14%,Bridge User,
0x45fe3ae452bb44d1808f060eda5266c898a68b43,0.69%,Bridge User,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.64%,Bridge User,
0x7c39cb813553ff35a3129ce4c1190550678a4c0e,0.69%,Bridge User,
0xf6b8e4a2d3fc6973aa67e9b90551050250d10696,0.56%,Bridge User,
0x337866b3487919c9c436a9c6f67a4abf2dc90756,0.79%,Bridge User,
0x5cb17779b9bb432c6c9b2d24f3148d1219c26d18,0.58%,Bridge User,
0xcdd1901630d204d345b8a7a547a14eed0d2224c4,0.72%,Bridge User,
0xf3ad7d08240b09d0ee8ac0811fbee835ce2788e1,0.90%,Bridge User,
0x80fd0accc8da81b0852d2dca17b5ddab68f22253,0.47%,Bridge User,
0x8e4698c092308a32afcc21ac928144dd63eb41b8,0.45%,Bridge User,
0x58683c276b0f5d2fc69839d77c40ebdf185ab41e,0.44%,Bridge User,
0x030928b9394dc7b7ab7e5044760fe65709912b5a,0.51%,Bridge User,
0xc6ef0e51b61ba352f3b402ca076b51f7d55e596a,0.87%,Bridge User,
0x3596e86aefd4c534494e87c1528aae8d125680fb,0.40%,Bridge User,
0x1beb1715899a355dfca4c763080e88f35286d025,0.40%,Bridge User,
0x346f1d297c98c28574742b067b67a80cda2dc0d9,0.40%,Bridge User,
0x1022daf31b0ed04e939a17fe4de41f63bab73d9d,0.39%,Bridge User,
0x10b2e5df4f5ffab4f98bd625933185e455ddd1c9,0.38%,Bridge User,
0x131def2288f574b3fd5fca93b24fa996f4b790b8,0.35%,Bridge User,
0x3b454077aaf52ff3baec9128194191b7796247ba,0.35%,Bridge User,
0x1578f034078d5b5dc9d017af75779ae436048415,0.34%,Bridge User,
0xe96bbd1e629a9a3b397da04c13041a4782af9e13,0.74%,Bridge User,
0xd2295481647269022325decc299f5c13a79261f6,0.32%,Bridge User,
0x8e6a138066271406b117cb0789a6a5a191d6bb00,0.31%,Bridge User,
0x157c359e638b52f3045243b483501069cdddf6d2,0.31%,Bridge User,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.31%,Bridge User,
0x9601513ee0d204618782f6e6266bb2c38683c648,0.30%,Bridge User,
0x5f440bdb1b8acd22325d84ef0b16d69f955bb1d9,0.29%,Bridge User,
0xd682ee9623f4c76a73ed8a234c3ac8ad3d33cf15,0.29%,Bridge User,
0xa20d738af83e5b9b269d668386774f3a86675121,0.28%,Bridge User,
0x03db22bcdb7a59a8dd93197284233b5a165c4ab5,0.41%,Bridge User,
0xc02427f0b937f9905c47ddcc661374e0a49c8f03,0.27%,Bridge User,
0x355f4d611eeb3770933c26f0213f7843350c90f8,0.26%,Bridge User,
0x04783f02623e6d8eb53e1eb20ec8531f04f822c3,0.29%,Bridge User,
0x3ebbc23c762a032a90f7bdcba5840df063aed60e,0.30%,Bridge User,
0x73cd76f00e36201623d402bc8c7685c3b840bc5f,0.35%,Bridge User,
0x66f9f685789ff16a79b8ab9a025fcbc2b111918c,0.24%,Bridge User,
0xfaa61a4d509185d8f8e707ce79f695417607b501,0.34%,Bridge User,
0x3996db5eda3c54cedfc7c503e5bea32e3baf370d,0.23%,Bridge User,
0x4e74ea745dc5006c370a1497913ff51530c73196,0.22%,Bridge User,
0x140e683864fc714935ed162b9abf802fa7bb5e58,0.45%,Bridge User,
0x1e3f363fa901aa8af9c4996f2615df5190b711e5,0.24%,Bridge User,
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,0.21%,Bridge User,
0x52bd9009bacd679f210178b9430dfa0b84317978,0.21%,Bridge User,
0xf58eec1ec6f491d3e4d4c42900ff0114bbf3499d,0.21%,Bridge User,
0x1f81bc4fb72ac507f13b5d73abcc6090a74d6c09,0.20%,Bridge User,
0xa8737c2ffc0774f96c1dcaef5a5f82a53dc9e90d,0.63%,Bridge User,
0xd092571c61ac882edac7f0e324b8092c0c436a72,0.24%,Bridge User,
0x06144a7e641c502fb6df2d9b5e640276da710dab,0.19%,Bridge User,
0x3ed42ef990c854e28d69cb399ad92456fde8b7a1,0.19%,Bridge User,
0x88b6cace7c485db4a33f4da78d10abce5820467f,0.18%,Bridge User,
0x902c9aaeb17934874a6ecb5148b34de3934d6bb9,0.27%,Bridge User,
0xf99fe25b6153a2679cb2a18908ac9170738664e6,0.20%,Bridge User,
0xd14a28667d263efda2033ceb3b466399723c9c9c,0.18%,Bridge User,
0xd316afafc944adebad70f801839892b94448ea2a,0.20%,Bridge User,
0x1f320dd186eb794131cac7630f265b5dcbdf1ba2,0.17%,Bridge User,
0xbbc43481a51fa5ad7f8dec0a1358d0b921dad432,0.17%,Bridge User,
0x39af488586ede39965864349c4f2230facf59063,0.16%,Bridge User,
0x2e909729016eb1013a197e05210e35ce4435abc4,0.31%,Bridge User,
0x21c0d45e3c1a4430c4be2ee9109bc788cac0ffe6,0.36%,Bridge User,
0x35f0686c63f50707ea3b5bace186938e4e19f03a,0.15%,Bridge User,
0xafe1e2b350b3c9c8540634cda1e7e91f2f7a8458,0.15%,Bridge User,
0x77c4a515d6779f358d9c70b78c18715ee352cadc,0.17%,Bridge User,
0x7cab04c9ffa76ba94448476cdad4ee4e6151eeb0,0.15%,Bridge User,
0x54e33dbd90123d0a42c34c975bcfc7779d60e283,0.15%,Bridge User,
0xfd3f8cf91a37f93890a90d0eb1d6e911349766bc,0.20%,Bridge User,
0x7a6a59588b8106045303e1923227a2cefbec2b66,0.15%,Bridge User,
0x82afe90b138a46496703495b2d86683c5845fd94,0.14%,Bridge User,
0xa3c365fdb3c1b8b17c30cc1cfa3e2dc59fb2e186,0.14%,Bridge User,
0x0243d1863b29155ddde9c83b8e040835140970e2,0.17%,Bridge User,
0x2e26da02a74131d8ecd627f1664c25a067275e26,0.13%,Bridge User,
0xafbcc0021c98365fbd36e0ad7c414beeff2d2566,0.17%,Bridge User,
0x07d720165a7dc9e53953fa577517fec191c00a86,0.13%,Bridge User,
0x820803ba68e40b3d770496fc9ef2f1d33c7d2ee3,0.13%,Bridge User,
0x27dc339f572a3910191f5611075913cdd40003b7,0.12%,Bridge User,
0xc7f884e55b460096ea067dcc96eddca9f4a6c04c,0.12%,Bridge User,
0xc823f859778617eedadfeeafe074234263834ec6,0.12%,Bridge User,
0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,0.12%,Bridge User,
0xce4abb0e5f217b1418d90b67b8b1f0c6cf71a816,0.12%,Bridge User,
0xa74476944537ed98a04145e3f5fa69f2856c5e40,0.16%,Bridge User,
0x99655ca16c742b46a4a05afaf0f7798c336fd279,0.12%,Bridge User,
0x5f51659111ab8e9b3ec361c7ad1c4445ca26abbf,0.12%,Bridge User,
0xee6db802fd1d28d5aa093882ae7d9625eb2bc242,0.12%,Bridge User,
0x3fe5cd6e7fee9de073f056d61a11d2bd8a78d44e,0.16%,Bridge User,
0x12ff56d2bb741398e170900965492c5cb34d9832,0.11%,Bridge User,
0xfbe1cd06f451268cd3eaa096eca537688d9f9d6d,0.11%,Bridge User,
0x42c156ca9c0935522c88532ebff9bf3087ea1428,0.11%,Bridge User,
0x8cb377959625e693986c6adef82fff01d4d91af8,0.21%,Bridge User,
0x13f0bf645e128c4f7fa3465758f8b77110ac0583,0.11%,Bridge User,
0x02b79df8c38f29f39888557c0a89917fd99ddf77,0.11%,Bridge User,
0xbb803c3a3fc44ce8d593fecef7ffdd5ff1721755,0.11%,Bridge User,
0xb4473cfeedc9a0e94612c6ce883677b63f830db8,0.10%,Bridge User,
0xe77884cddf148dd5f0e9191b33d8dbaddb16dfb5,0.10%,Bridge User,
0xc058467672f0e64c9367ed8b462b66a3b17f32f1,0.10%,Bridge User,
0xda9434e626dff1e4d07a8ca20ee856132894e775,0.10%,Bridge User,
0xc26bb2890cdaeb0f695c20531affd66dc300deae,0.17%,Bridge User,
0xe7bf305c5fdc8f5671d8db406ee919813180208f,0.12%,Bridge User,
0x15eafc29816b34fb8b15dc6727a26de4c4cb2df0,0.12%,Bridge User,
0xc07c9dc1105f84c031953ca4d56b659b9f60df77,0.09%,Bridge User,
0xaf1890305fcff4bf485d09efafe08bb07fa2a74f,0.12%,Bridge User,
0x08a5c8fe3bcc9352f031e8158a47df143b35e288,0.09%,Bridge User,
0x0ea9aa3463153c49e41b145e3bd7bc6435798bd8,0.09%,Bridge User,
0xae7c744b83330ac07111844f9d11bbb8df89fe62,0.09%,Bridge User,
0x49f5a534b329e820500cd1a86435a83c7806b279,0.17%,Bridge User,
0x33ae41b5ba602183c9a51036fce9fa1f3695c1e6,0.08%,Bridge User,
0xaecbac3eb33115d71218fe555b7d6af933b486bb,0.08%,Bridge User,
0xbeb857f1af59ade0e0e77a9ed5e8199890ffad8b,0.08%,Bridge User,
0x8698ea960f99a724918a23a4414bd5cf02a6f0e9,0.08%,Bridge User,
0xd7189a81961cb3cc0dd6ec6a1f90bc5f95dfd7f0,0.11%,Bridge User,
0x1a7781cd3c76800203715cac03ed4688a2699951,0.08%,Bridge User,
0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,0.08%,Bridge User,
0xb758b6576221a7504a7211307092c23d3ee191c9,0.08%,Bridge User,
0x2d393ff713cf439afcba50ebe084f35afd33eae6,0.08%,Bridge User,
0xe84adc0964ee34ce0319df3418636ed6a4117b97,0.25%,Bridge User,
0xfe8967018166b250f8f64a5f23d425c60e585d59,0.11%,Bridge User,
0x653fde51a411f6ebe8c57f900ffb234cf065b484,0.08%,Bridge User,
0x022e3ce4eda264b3e3fef62036c8182ceb88e6ce,0.08%,Bridge User,
0xe55f7540000cf002296a5fb3778857805367b9eb,0.30%,Bridge User,
0x8a1e24491a2b76e94f69bd9f980d0fbb8c3b75bf,0.08%,Bridge User,
0x68870a90851d445f8dd0e0fd80aed5b3325c37ab,0.38%,Bridge User,
0xaab3cb57fbec547207137fa998ea8d09ece606e6,0.07%,Bridge User,
0x8ec5f435f055ef04e27f867e38492573493070fd,0.07%,Bridge User,
0xd8a005fbd4aabfa98c9495532d4cb8adb12c040d,0.07%,Bridge User,
0x359377f743813eb9e0d628840996798fb65d5b8e,0.07%,Bridge User,
0x2495aff78b233511c474920a33b15bc4770c34a7,0.07%,Bridge User,
0x3d0dcc80999441e173d55b11c0d2272656d13d1a,0.07%,Bridge User,
0x9595ead9b3e71691b729a7f3805f08442bf6de69,0.07%,Bridge User,
0x273e048baa76526d556f0f7b7b288f6509925c20,0.07%,Bridge User,
0x39c51e95a037fe59e42b3a474d6ee4ab400e9cd2,0.07%,Bridge User,
0x11d67fa925877813b744abc0917900c2b1d6eb81,0.12%,Bridge User,
0xc0166cd4e6dba91f1600411ed3f811d4082a8598,0.06%,Bridge User,
0xf54f2de8ea1d3a9d6b7eda2bad1d09a0d6b82bb6,0.10%,Bridge User,
0x46fe5b2989c20c060c123c44ebcf6d379720c0b0,0.09%,Bridge User,
0xcf4fd4e4f7cd270279ec76cac791e689b68bfd47,0.21%,Bridge User,
0x52a0fb5311846173d90b30ff00816a6b8654c904,0.06%,Bridge User,
0xec48e021ff9b3ca28639a9f9a4120732643d571f,0.06%,Bridge User,
0xc49dfd1942f5da4c2a793c249c68790971197ce7,0.06%,Bridge User,
0xb6931164c70a121a75735b3f03fdda0319af66ea,0.06%,Bridge User,
0xd1f2739ad714045be6146915275d0a2b822ec1cc,0.06%,Bridge User,
0x89b60a0b52ad5a18a7a7261485cec5b775742c62,0.06%,Bridge User,
0x3016a415740d746c7cd1a3ace0d39948518119b1,0.06%,Bridge User,
0xea1feb9a9a006a7fc253c6ca87349be0da072f25,0.18%,Bridge User,
0x51f77dcfe615a94575afef43ff8b292e5990d6aa,0.06%,Bridge User,
0x5ad911da81b204627df872780981b0d90f25c33f,0.07%,Bridge User,
0x3f0c9378518e7801b8cf6088737b14117a240596,0.06%,Bridge User,
0xb8151a57c9d6ae521370a7e715196d8614623063,0.06%,Bridge User,
0xced89cb4eae1c38b3ee50484b2b1a21992d63d57,0.06%,Bridge User,
0x8fe02545e479aa8ba77d84e51b1d9ca17b88011a,0.06%,Bridge User,
0x40772a4edfb9e4595fdeb2166a7d60145019d218,0.06%,Bridge User,
0xb88bea9981ab9536cf46f9f0004044249b5e215c,0.17%,Bridge User,
0xf67a1586c970eb97793178c44a5a61eac2f73790,0.06%,Bridge User,
0xf708eee801ea706c23c322aef16f6d6c146d6770,0.06%,Bridge User,
0xcd2c2c8c1309641565bd83feddddfea06b7f70b8,0.06%,Bridge User,
0x987cea2b2e9531c8e69a8c8777b836f419ed5fac,0.06%,Bridge User,
0xb634249cd62020b52116c28cd4fe44839215f12c,0.05%,Bridge User,
0x891bb07122d04007585ac0ab2d1eab21c90bcee3,0.05%,Bridge User,
0x6edf182eb37eb1434e9291d51e42fb81e9b08819,0.05%,Bridge User,
0x00ee3054b7f10e7ded3c8250c4fbf62fef344e33,0.05%,Bridge User,
0x88f859db067c45b114897db6920f3e4a61a5ca66,0.05%,Bridge User,
0x93c20947353996eb928af059c07546814a7f88c6,0.05%,Bridge User,
0xc64ef1c4c8f417657c6e20b367a6bb4ac4fcb6d3,0.05%,Bridge User,
0x4baf591f801e7dcc74c04de25c501d2afdb2f847,0.05%,Bridge User,
0xf3f51e5c94ed04b6bd85034ae9be30f76abb02d3,0.05%,Bridge User,
0xb407b121335772dc662ceeef9abc4916346c5b71,0.07%,Bridge User,
0x983df0912b19e07324046dd6d87fbc6bce4ae508,0.05%,Bridge User,
0x834939f19c97d567d54ce736429b477ea706ef25,0.05%,Bridge User,
0x583fc0150d224ee53ace13e0638a679ecc987aef,0.05%,Bridge User,
0x14dcae28535c4ede02d0b7ec4d5257f7326e0bf9,0.05%,Bridge User,
0x66f6a251c33a9b701b513924e7a1debd3ef52d66,0.05%,Bridge User,
0x3ee127daceccd4c2854eec758cb6dcb7e1377991,0.05%,Bridge User,
0xae99dec77e43a99938051fd6081b7b40be336499,0.06%,Bridge User,
0x3f5504ecd6dc1d7c978b5812b2e38d251ce7167c,0.05%,Bridge User,
0x99f6eb1ec5da3f205ac1aacc410366c7005cabfc,0.07%,Bridge User,
0x25608292189bb759333d62bb2e776d32e997659d,0.05%,Bridge User,
0x7aae1d998d16dd7ff9453c33e526834cee8ba1ce,0.08%,Bridge User,
0x97ee4ed562c7ed22f4ff7dc3fc4a24b5f0b9627e,0.05%,Bridge User,
0x9175604ebedd03d39aa3bf26ed2361df385637f2,0.05%,Bridge User,
0xb274197c39f0426a22ce2738cc97545ec6e0953b,0.04%,Bridge User,
0x341b95b769de44535ab9233c10a47a1b7343fd13,0.19%,Bridge User,
0x7148f3c38fb464d1e79fc58ac8d43137d022fcb9,0.10%,Bridge User,
0xd68a6c08a10ee8db1441b0883a9ebbd4cdf67baa,0.04%,Bridge User,
