Address,Allocation %,Type,Sum
0x309647627b343954C756f76Ee664B27dCDE4F3C8,10.0000000000000%,Developer,99.9999999939086%
,,,
0xb83fd4dd4becd5efd3be9a9cbbc29da19bc3dc28,0.0028002647475%,GSWIFT Bridge Users,
0x30a8b09d45a27b6fb16736d8b96f9572c1f2515e,0.0014001323875%,GSWIFT Bridge Users,
0x4a433343b7a7e9de555690ddd2db098c2179b45b,0.0028002647475%,GSWIFT Bridge Users,
0xb8b5aab9c8887cba4f7bcc13c670b9991e317496,0.0014001323875%,GSWIFT Bridge Users,
0xd7c26f917461934069fb05e7540db7de6eab2d66,0.0028002647475%,GSWIFT Bridge Users,
0x2223da3f5e6fcd1de2a55a30c7558d2caf5b4386,0.0028002647475%,GSWIFT Bridge Users,
0x05525cde529c5212f1eab7f033146c8cc103cd5d,0.0028002647475%,GSWIFT Bridge Users,
0x2af67664c3fea578fd6566542e5e4781194b99f8,0.0028002647475%,GSWIFT Bridge Users,
0x33ba18d5b6a353aec2788a8c68810d87c1653ef9,0.0028002647475%,GSWIFT Bridge Users,
0x499a7aa9eae222f21ea29935bb690a918d5da281,0.0028002647475%,GSWIFT Bridge Users,
0x6602a4cf6c23910610bb9fac56589aa55e736bce,0.0028002647475%,GSWIFT Bridge Users,
0x63ca5480d718e664865196b0256094489127a39b,0.0028002647475%,GSWIFT Bridge Users,
0xbc9453b6a0f1d08dab770b47900dbe2ab0db432d,0.0028002647475%,GSWIFT Bridge Users,
0xeea0badf9651fcfd46d11905e62f021408ab4ac6,0.0028002647475%,GSWIFT Bridge Users,
0x74aac527db51ca1891affa52bb6111a730a59329,0.0028002647475%,GSWIFT Bridge Users,
0x9606cc193ca431c7c9e05a8fb8753312512df9ac,0.0028002647475%,GSWIFT Bridge Users,
0xc51cd7160045ecc2370aca4accdd4604f09ec87c,0.0028002647475%,GSWIFT Bridge Users,
0xb77e497c8e86c6025e369a5a27042bf980b45c64,0.0028002647475%,GSWIFT Bridge Users,
0x64ec59d3feb4f4da7e986e9b52c62f0b3644ef9f,0.0028002647475%,GSWIFT Bridge Users,
0x18f37350b7a64dea310d397d926c1751f67c9da2,0.0028002647475%,GSWIFT Bridge Users,
0xa1c0cb79df792cbdca79997fb4dfe5f1e52e0bce,0.0028002647475%,GSWIFT Bridge Users,
0xa048f27c8562fd48511d4c0cea5c4fdcc4835cae,0.0014001323875%,GSWIFT Bridge Users,
0xea24876090a92eb87f84d695bd0c1896a90c5847,0.0028002647475%,GSWIFT Bridge Users,
0x989c3fe74a7eb360522a57f76dcc1024dfd9574d,0.0028002647475%,GSWIFT Bridge Users,
0x65216f7e473645869fc1b1503cfe26434aa3ad01,0.0028002647475%,GSWIFT Bridge Users,
0xe7294495206c1f5223d7f0c59b004ce971760541,0.0028002647475%,GSWIFT Bridge Users,
0x173718ac912fc92f4fb145740e2cf1b00eddfbab,0.0028002647475%,GSWIFT Bridge Users,
0xc0b961945c5832253c70bc346683f3be3f566376,0.0028002647475%,GSWIFT Bridge Users,
0xdf87f55b4c40b409721dd6ef435d7de0eeff4de2,0.0028002647475%,GSWIFT Bridge Users,
0xca4085ca1c6c87e370864a0db0f8924c94bfac27,0.0028002647475%,GSWIFT Bridge Users,
0xebeffc9a440570accada52462ca302a7873b78fb,0.0028002647475%,GSWIFT Bridge Users,
0x1f5793fe1e2886de5d2b7c994bbc5369a826d8df,0.0028002647475%,GSWIFT Bridge Users,
0x0268c6b26a9148c25118aa462e5658f668c821f3,0.0028002647475%,GSWIFT Bridge Users,
0xe4c564e4b276cca5aab559af17fce3caefa572df,0.0028002647475%,GSWIFT Bridge Users,
0xc72e316d149367babe1234697e390ed43f77d23e,0.0028002647475%,GSWIFT Bridge Users,
0x83735eca6655249a0eb32326cc55463468f188ba,0.0028002647475%,GSWIFT Bridge Users,
0x35eab625cc35d6d3cc6ecfdc563d5f0900da8ee1,0.0028002647475%,GSWIFT Bridge Users,
0x3d674632dddf2e5b94f07016820c1e2aa66f734e,0.0028002647475%,GSWIFT Bridge Users,
0x07cb658679f280f5163664630ba76bc23e4aa51d,0.0028002647475%,GSWIFT Bridge Users,
0xc5a92e92afa37ec5dc61200c46620e54336d8f25,0.0028002647475%,GSWIFT Bridge Users,
0x247e4399b591ebaad3cba8f15c09e6830da552e5,0.0028002647475%,GSWIFT Bridge Users,
0x09d4ea0c5b6464a684fa5abf6b7ef42f83de0569,0.0028002647475%,GSWIFT Bridge Users,
0x39ae301d66dd180477eb9cf8107cd22f1bbff378,0.0028002647475%,GSWIFT Bridge Users,
0x880503e60cfa77e092deaa3bc797ee96c5e03b42,0.0028002647475%,GSWIFT Bridge Users,
0x4b0f5858de81aa1ac27c47f9295e1dd635903e6e,0.0028002647475%,GSWIFT Bridge Users,
0xc71e5e1bf0505c495f5822dc3fa82ac52893adb6,0.0028002647475%,GSWIFT Bridge Users,
0x794bf8529cd7af31da1403eddf4631ec97d5766f,0.0028002647475%,GSWIFT Bridge Users,
0xfae87e378a681ccd0f66692534ee9c221dd69f66,0.0028002647475%,GSWIFT Bridge Users,
0x858180411e3aa921448a11551290c5d7868eaf0e,0.0028002647475%,GSWIFT Bridge Users,
0xcce98f09c32d03f0491669fa1beab81eaffe5a52,0.0028002647475%,GSWIFT Bridge Users,
0xed497cf15743336938ea7c18846180b04c524aa4,0.0028002647475%,GSWIFT Bridge Users,
0x6b1c85ab6d78ac11b72d810910b762605e458217,0.0028002647475%,GSWIFT Bridge Users,
0x558e3872b3d73c2428bba889539ab0c56b5df79a,0.0028002647475%,GSWIFT Bridge Users,
0x3bd7f33540bc3224b5d2ff01baa02cd71d762a65,0.0028002647475%,GSWIFT Bridge Users,
0xa25adf4d20ad482d4b350ff92d77529b95e6aa48,0.0028002647475%,GSWIFT Bridge Users,
0x060284e0a026633f4e5b0f832695452d71a9b9dc,0.0014001323875%,GSWIFT Bridge Users,
0x2b155b668ad03316dd5033f3031ba4bb2a65f261,0.0028002647475%,GSWIFT Bridge Users,
0xd60d2330e6d76de02fba9cd72aed3bdc3ec85c0c,0.0028002647475%,GSWIFT Bridge Users,
0xf424280897603c0108e9b2e62930f0e96cbd6060,0.0028002647475%,GSWIFT Bridge Users,
0xaab086e33cea5b2add7f2704ed1e6583479f4a0f,0.0028002647475%,GSWIFT Bridge Users,
0x91c70fc0bdb43e065abbbe1c2c2f789dfa6bd78e,0.0028002647475%,GSWIFT Bridge Users,
0x11fb6629e2409cf467e50c28bca50acc7d8add4a,0.0028002647475%,GSWIFT Bridge Users,
0x5e4495562a9f41fda9e132ef281beb1407ce3b24,0.0028002647475%,GSWIFT Bridge Users,
0xe21116908c93270e23794a5b05efc3482391bfdd,0.0028002647475%,GSWIFT Bridge Users,
0x99c66c32a6e5fecf8792ef4ce0af81c1f2aa4454,0.0028002647475%,GSWIFT Bridge Users,
0xad7f1c5e35f0d24c39f1925df0ce645a01ef4193,0.0028002647475%,GSWIFT Bridge Users,
0xe260ba20112850ae81cd704d0480b6260466d3c8,0.0028002647475%,GSWIFT Bridge Users,
0x5a2aa88e51ed626d1cc63aff7f8c9e571a6b0115,0.0028002647475%,GSWIFT Bridge Users,
0xb229b448a5935ba2a559ef1dff545c96b8928744,0.0028002647475%,GSWIFT Bridge Users,
0xab18a4368df6b09236839ce10af1f86181dd58c7,0.0028002647475%,GSWIFT Bridge Users,
0x3a2f3982694ab7019729d51b9090c91d66efa170,0.0028002647475%,GSWIFT Bridge Users,
0xedb6a1f23a86d35f97b3cb1b5ece317dd84f0ecb,0.0028002647475%,GSWIFT Bridge Users,
0x5fb28f9b7c925b9e36e0fc0c6e59a45ec5e73edd,0.0028002647475%,GSWIFT Bridge Users,
0x7c5443916dd0ac1353b0fdc11b34db3d84ceed7f,0.0028002647475%,GSWIFT Bridge Users,
0xdb8617874c9212b773b404a9eb14ca88c98ead90,0.0028002647475%,GSWIFT Bridge Users,
0x9e7a159536812315289df20adbf9cee5b7165750,0.0028002647475%,GSWIFT Bridge Users,
0x6b4eaf62610827a86f99c76a1e45cce43cdbbfb0,0.0028002647475%,GSWIFT Bridge Users,
0x507935167b10df36c319eead7d8ae1b54a562716,0.0028002647475%,GSWIFT Bridge Users,
0x4ba97965aa5522d5c4f21e5a9adf339fbfb59adb,0.0028002647475%,GSWIFT Bridge Users,
0xac901e4b8fb3d0cc3076f4767dbe6d4b9daeeb43,0.0028002647475%,GSWIFT Bridge Users,
0x7343bc5be4ca81199ea4cbf987bd520f83ac1fff,0.0028002647475%,GSWIFT Bridge Users,
0x4be25123fb41e40f63b99969ad3a678ed13cc9a0,0.0028002647475%,GSWIFT Bridge Users,
0x462820b83a84a911be9b50d03d9c4f9a49c52a1b,0.0028002647475%,GSWIFT Bridge Users,
0x408d796d5debd03cb245f9406c4b96ea337f669d,0.0028002647475%,GSWIFT Bridge Users,
0xa3476b729b4b7ac5ec36943510a864dc836dab39,0.0028002647475%,GSWIFT Bridge Users,
0x3ec004c850b0219bcf90829593ffbdcef4907e75,0.0028002647475%,GSWIFT Bridge Users,
0xad9ae3e0f37c5bfbcacd46aca577b8623b7d6bb4,0.0028002647475%,GSWIFT Bridge Users,
0xff0ad7b0e288323271e3a43306fe96454056c1ae,0.0028002647475%,GSWIFT Bridge Users,
0x6031a77e6a2589b5295c7b467936b6af962f71e1,0.0028002647475%,GSWIFT Bridge Users,
0x7e4cb16c3cb323e7875d58ddbd67b9bfde9cc989,0.0028002647475%,GSWIFT Bridge Users,
0xd7d02f8f278f230beb6de6898a5d8492cf9ccb08,0.0028002647475%,GSWIFT Bridge Users,
0x2949e05170dc5a0ea85892e8d96f9b58c999fd4d,0.0028002647475%,GSWIFT Bridge Users,
0xa192092036526d84d7c3bfb51a3a3a68e160efe3,0.0028002647475%,GSWIFT Bridge Users,
0xd0e4ffb2554405c5c9ba01d3ccdfc02bf26fc1c9,0.0028002647475%,GSWIFT Bridge Users,
0x2631d0518286d5ba09135eebef730952199ebcbc,0.0028002647475%,GSWIFT Bridge Users,
0x651d6c807a3652b011fffcdd7e75926c8420180f,0.0028002647475%,GSWIFT Bridge Users,
0xa37e72f965b408884dfe48735081ee5aaa7a7181,0.0028002647475%,GSWIFT Bridge Users,
0x0cef6b7e2267674fd87cecdd67698a65c9dd626a,0.0028002647475%,GSWIFT Bridge Users,
0xf98fafa9f99a0e493e4220841a71c7475f5dee76,0.0028002647475%,GSWIFT Bridge Users,
0x9569e04cf1b9f0f632276cad59e93131d79fac08,0.0028002647475%,GSWIFT Bridge Users,
0xb9c144ee9db3850bb5c1598f9b1b03cd68812e30,0.0028002647475%,GSWIFT Bridge Users,
0xf8ee4b907cb319c97f6021563a954631abce080f,0.0028002647475%,GSWIFT Bridge Users,
0x544834a2a9dc7f7299e0a59d48c3e4d0eab44bd6,0.0028002647475%,GSWIFT Bridge Users,
0x7d6c090d9d1ea0cf06928ae7594cbfcd6095028a,0.0028002647475%,GSWIFT Bridge Users,
0xb7604bf45bd4466416fec43ba160e1540d8adf4b,0.0028002647475%,GSWIFT Bridge Users,
0x6a7165dbb3168db3631c0a6fcfa7eab70c1d7250,0.0028002647475%,GSWIFT Bridge Users,
0xcfeb809da47394b683e694f613dbfa0edf5a2dfe,0.0028002647475%,GSWIFT Bridge Users,
0x5b734935ffe14c461aa4ad956d1d04104e9f6675,0.0028002647475%,GSWIFT Bridge Users,
0x8c21f84b13422617cb1f54e8fa08f7cdb82c85d2,0.0028002647475%,GSWIFT Bridge Users,
0x51968775cd4ec146e4c3a21a492872d30a4a9669,0.0028002647475%,GSWIFT Bridge Users,
0xd33333ac376522eb15574dfeba550d2f1691878c,0.0028002647475%,GSWIFT Bridge Users,
0xec48ec785b6bb8f298fe4f4a7868ac4f679e4c39,0.0028002647475%,GSWIFT Bridge Users,
0xa37dd7c67c5c985aa56f7cf362b29d83c3f36816,0.0028002647475%,GSWIFT Bridge Users,
0x7d8ddcf20780dbe13ba2955e0f25de1925ab9a7f,0.0028002647475%,GSWIFT Bridge Users,
0xf339da33318650129933ef0e679e87ba472dd39c,0.0014001323875%,GSWIFT Bridge Users,
0xa1c42435de383c633d88fd2b2a7e0fe90a2499f3,0.0028002647475%,GSWIFT Bridge Users,
0x682688a12c25d12843930de91aaa91452a9c4897,0.0028002647475%,GSWIFT Bridge Users,
0xd5326640cf78ab8873650e6d89bfcc1ad3d1dba1,0.0028002647475%,GSWIFT Bridge Users,
0x1c563ce15828bdf85b61455d10b761e9f498e62f,0.0028002647475%,GSWIFT Bridge Users,
0x86071b4081484eba8677b4d17a27ca843964536a,0.0028002647475%,GSWIFT Bridge Users,
0x77fbf90a226075b01faf5f58978b0d4ec4ec7a31,0.0028002647475%,GSWIFT Bridge Users,
0xba26854a5699c3710b5beef6549f562b7b100938,0.0028002647475%,GSWIFT Bridge Users,
0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,0.0028002647475%,GSWIFT Bridge Users,
0x4d81ddea1b8a475bded74d63463516386972fd22,0.0028002647475%,GSWIFT Bridge Users,
0xbb8277304f86a60eaa8075c1a80cd9b15d4f6678,0.0028002647475%,GSWIFT Bridge Users,
0xab35ac8661e0011de2b4c20798410c015eaaf598,0.0028002647475%,GSWIFT Bridge Users,
0x378948d50d5721574452bc466008643bd3c84264,0.0028002647475%,GSWIFT Bridge Users,
0x383b62c43bab10c3f4cfc1cfc968ae373c13fd40,0.0028002647475%,GSWIFT Bridge Users,
0x5387d02126df179952aaf434af4cdf9fb77fb61a,0.0028002647475%,GSWIFT Bridge Users,
0x07ce3cf8e5cdd899cdffe63909f48cbf15370ac4,0.0028002647475%,GSWIFT Bridge Users,
0x4d52dc7b802965ec7843c1910f37768a4054dbff,0.0028002647475%,GSWIFT Bridge Users,
0x1823fd0cd641a5aa43f1a096d8c29db311977d09,0.0028002647475%,GSWIFT Bridge Users,
0x4524714a135aa84d5a2452b114d2d393e1ee982f,0.0028002647475%,GSWIFT Bridge Users,
