Address,Allocation,Type,
0x00BB3c144ccdd0c5d5400a9B4A416C3200211000,10.00000000000000000%,developer,
0x7Dc6272dB0523Ce8D0270920e94F7c37D3BBEa1b,0.46479790306693200%,>100xp-user,
0x9f9BFAcDcafaaFFF2AD9458F9Acc2A9d120A5719,0.43374459488789100%,>100xp-user,
0x16F2bACF87654067e6b0559bC8fFC09f3Cf1C5D1,0.40068784747149300%,>100xp-user,
0x2072ba935581294dB9450A712E9A2ab9C1d360E2,0.32555887607058800%,>100xp-user,
0x3F6e473d9457452952026C6a77eA79A469D8bdd3,0.27346945589929400%,>100xp-user,
0x69Fc43aa4Bd892760aFb39CdB4aebf0Bc565Ae1F,0.21136283954121200%,>100xp-user,
0x417AC47Ab85Ff79254A541Fd6A9fdfF23852A9A4,0.17129405479406300%,>100xp-user,
0x03c3e07233201c582b1d7652632C9219653DeC8f,0.16227857822595500%,>100xp-user,
0xE8210e4Cf2f4d9478837099426B5cee9DE2Bfa47,0.14725278394577400%,>100xp-user,
0xB2b164d83103f6cF62005C2c50928bFcD5EAA018,0.14524934470841600%,>100xp-user,
0x708A5E347370Ba0874cEf5F66954FEcabdbcC46e,0.13623386814030800%,>100xp-user,
0x226dd395D8493Ea3e456E52d5d82Dd7A5c91A691,0.13322870928427100%,>100xp-user,
0xE1A2D40de3D4008033d3044952E10d5a14d489D6,0.12321151309748400%,>100xp-user,
0xFb6EFfd4528d7e03cC5c53880C15A7bb0C24f1f9,0.12220979347880500%,>100xp-user,
0xEa7CeD71d6c91bEa15860e9d83c5E850864E4433,0.11519775614805400%,>100xp-user,
0xCB88F06f0e5F6B8170d9F8a1fB8704E7512e1F55,0.11319431691069700%,>100xp-user,
0x85893Cc28F86C3138e1e3F888B16466E8acCaFC6,0.11119087767333900%,>100xp-user,
0x1B082BD24c6053dB2cb64885eEc1F2E4aA058278,0.11018915805466100%,>100xp-user,
0xD5985EbF0af79b45b1aC1e59Ec4c0054aF02B39b,0.10818571881730300%,>100xp-user,
0x5131dbEDaEe04Af80202Bcfae301570E6d17fE6D,0.10618227957994600%,>100xp-user,
0xb0555a0F25fA35f9BB80D519c36BE9E9ff45aC07,0.10618227957994600%,>100xp-user,
0x8f6d6e2B57784795F0F7aeFc75A6edC37fCDE22c,0.10217540110523100%,>100xp-user,
0x79D26BbdF03dD196f70A807e0bF84C4b2f10FAb1,0.09315992453712210%,>100xp-user,
0x0797FD43dA49dA9B40e638e87B90671fb5d98071,0.09215820491844330%,>100xp-user,
0x27E0482d3c8E7153E2bb1101Ff635b0E8DF6A6AF,0.09115648529976460%,>100xp-user,
0x73BF4353cC4Fc35F40e3Fe53281374069BB1ae96,0.08714960682504970%,>100xp-user,
0x46EBB1a18F0c3E34772bB71B222456030b4c852e,0.08614788720637090%,>100xp-user,
0x6336548B06D41504c0Ed43B2D695A3971B7899Ae,0.08614788720637090%,>100xp-user,
0x170e2e68a330CC5279FFCAE3f4b6a35153D764A8,0.08614788720637090%,>100xp-user,
0x7d203b9b0906cBBDAe7Cf83159aC42ac33AFE00a,0.08514616758769220%,>100xp-user,
0x05525CdE529C5212F1eaB7f033146C8CC103cd5D,0.08013756949429850%,>100xp-user,
0x405eD99e12dAf1ee89dBDd1d0D4fD933D63Eb13d,0.07913584987561980%,>100xp-user,
0xcE22A64D8873996735a25fF069B6a9AE2D716bB9,0.07913584987561980%,>100xp-user,
0xcc88297004f8C1F65edB05E88Ca09EcAde646Dd0,0.07713241063826230%,>100xp-user,
0xD6A11A700a96Bcc99CD0026562B11B03383043C0,0.07412725178222620%,>100xp-user,
0xb87F1E64e409EDCC1a08189522c91161De19FaC0,0.07212381254486870%,>100xp-user,
0x67d602F84331Ec06FCaB9B4cfFa697d2BC527cE7,0.07112209292619000%,>100xp-user,
0xf60FD90FC72E1eb4D2054a24F5DCf7658f166EdA,0.06911865368883250%,>100xp-user,
0x2e080c63b5256A89e9407f015D6D19B827e704af,0.06611349483279630%,>100xp-user,
0xA907e98DF2e4a7319B8cC641A5993705f57E2d0F,0.06511177521411760%,>100xp-user,
0x9fD6C1F52956B56f67E780B770e89fF0a0C9f65b,0.06511177521411760%,>100xp-user,
0x9aE3739595D74f4a632F440872743FA15B27B3E8,0.06411005559543880%,>100xp-user,
0x57B90a59920E3a88AF8317e30eA0e3B6A26c89f4,0.06411005559543880%,>100xp-user,
0x58e936c08dFccEB8FA29f355d1dDBd4b17818A8B,0.06310833597676010%,>100xp-user,
0x8F52F5EAFFA522ffEf4577687041188e34FE8081,0.06310833597676010%,>100xp-user,
0x06Ea19C4A4AF58F94A51a305B28E70e97b80410f,0.06110489673940260%,>100xp-user,
0x5f1c0ED9661b2E9b1f737b962fe67e3ff68C84fC,0.06010317712072390%,>100xp-user,
0x6Cd98C52dBB7771E5112e0d4a959F03eF10796dc,0.06010317712072390%,>100xp-user,
0xEB92f85f953D45D1515EAFa1F7BD9E633B6b8D5a,0.06010317712072390%,>100xp-user,
0x5419105D70516A47c1385BE8dfCb9a4C879c7138,0.05910145750204520%,>100xp-user,
0x325eeD36B79029DE823CF0DF4Fe13aBdA430bDdC,0.05910145750204520%,>100xp-user,
0x006Fae6c03a3D0f4C1b7268C1382919c367673E9,0.05809973788336640%,>100xp-user,
0x5edCfdd3dd5f1eD6d7820Db647486B1108b144B5,0.05809973788336640%,>100xp-user,
0x75320DE224b5f45306C0DA511b3Fbe7806f0Deea,0.05809973788336640%,>100xp-user,
0xF0B39DE459Ba00c3aA3a96976124c948c7DE6C8E,0.05809973788336640%,>100xp-user,
0x8a2C02e1d58607c48005E1144CfE61A8d75fA000,0.05809973788336640%,>100xp-user,
0xA55ae59D4E7C8878a8d3B869eaD493dC5CfEA6c4,0.05809973788336640%,>100xp-user,
0x3F063b58e091a8D36696d0D326Ad1fa1e3aC11eA,0.05709801826468770%,>100xp-user,
0x35399FA88e72bE97cDb9EA179Cda915A09D2a3Aa,0.05709801826468770%,>100xp-user,
0xAE248aE4ac790947BEa2AA373aE0c6dc1b6a8599,0.05609629864600900%,>100xp-user,
0xC872c9F174b86a40cC93465902fc8c6b61Dfa3af,0.05609629864600900%,>100xp-user,
0x0D733F9A82cd0aF9b1b2c6F74992fb0ebcF6Bd75,0.05509457902733030%,>100xp-user,
0x3095E7c78E04b85b6194aD134318C1166E47Ff0c,0.05409285940865150%,>100xp-user,
0x39FFf27668dCd012462d90f4e3836e7c69750b7e,0.05409285940865150%,>100xp-user,
0xe7edbc25d762Bc1ac26DDeF673F3dD9D3C5E9cf0,0.05309113978997280%,>100xp-user,
0x9dA0A4018237A8B68074a1c340D62d1fC735a655,0.05309113978997280%,>100xp-user,
0xb40aFc5fe769f8B6A0CBC24190d460f77a783393,0.05208942017129410%,>100xp-user,
0x882d20104AFE7A64E45C7242891db66Ad0879dEC,0.05208942017129410%,>100xp-user,
0x115FF84C384461B0B82F17ba58B4a5171C03d764,0.05108770055261530%,>100xp-user,
