Address,Allocation,Type,Sum Check 
0x099a2DA6bB4F40Ecaea36aD0AbE32D09f98c2A0A,10.0000%,dev,100.0000%
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.0023%,Minters,
0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x68cfffa9f2806477a9c6352e5b792385759c4605,0.0023%,Minters,
0x68cfffa9f2806477a9c6352e5b792385759c4605,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x19495543c0fbb99250ff11cc0406de517a5941e8,0.0023%,Minters,
0x19495543c0fbb99250ff11cc0406de517a5941e8,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.0023%,Minters,
0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0xd7a4acaf3263ef2616afe7773d538801dda9b6b0,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0x1dc1d0b5a8d04573a2437f6e4e828fa617661bf6,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0x0cf23167e4edc29befbf268bdbd2fceb41ab1557,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xdfc3bf90ee6c4e459d1d2510e8c8d068e8c7ac2e,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xc1df217f87ab0dbcb3350642debac11cc3abf8a5,0.0023%,Minters,
0xbb05c476f70e72523ad83106cbc050e771ff73a5,0.0023%,Minters,
0xbb05c476f70e72523ad83106cbc050e771ff73a5,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0xbb05c476f70e72523ad83106cbc050e771ff73a5,0.0023%,Minters,
0xbb05c476f70e72523ad83106cbc050e771ff73a5,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x84855671a42382ce18a78eba9427c5c1c02eab8e,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0x34ddfe208f02c3fc0a49fada184562e7eb1a4206,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x1212642dc0c0664767fe24c5da338102ee755318,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0xda2665721ca8b18a17c92e7c433f8c12e20cc364,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0xf0810aa9d1017ad8670c3486f43787b84cb6cf2c,0.0023%,Minters,
0x5b952e34c04e44faf89ca38bca83d5a92d85a7e7,0.0023%,Minters,
0x5b952e34c04e44faf89ca38bca83d5a92d85a7e7,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x8636fa411113d1b40b5d76f6766d16b3aa829d30,0.0023%,Minters,
0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1,0.0023%,Minters,
0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1,0.0023%,Minters,
