Address,Allocation %,Type,Sum
0x8ca549fa4da3abbedd157b2853beb4a3fb32b79d,0.3765690376569040%,user,100.00%
0x7f5e26525f50c756a7817706b1a65bf93c0f7a34,0.3765690376569040%,user,
0x5b04732fb7e11c31f2a77205ec9b039a603ef6fa,0.3765690376569040%,user,
0x3b3d044cd4ba2ae354fe5f6ccde7cc6ab09ea552,0.3765690376569040%,user,
0xbc0b610c2c2be8495f0aad1a29be806781389f3c,0.3765690376569040%,user,
0x15519c4c59aece215b29f2fedc9f0bb0853ee0aa,0.3765690376569040%,user,
0x098a41ece2ed6f9ce01d9b038ec6508cf892d4f8,0.3765690376569040%,user,
0x7c8f3080eaa3ddcda89f4795a74c37909cfa300d,0.3765690376569040%,user,
0xbd4d37735d6a92dc2590867923997d15bc0de721,0.3765690376569040%,user,
0x02459ae42eda2e254565f1ea8d497147b4aba2d2,0.3765690376569040%,user,
0x92394b2050a8c0cfee5ac2e3ed738e1cf22d9652,0.3765690376569040%,user,
0x8443fbeaee3a69112b02325ebfa48b08156bcc42,0.3765690376569040%,user,
0xaec789c288c37e20314f22067160e72508ff6db0,0.3765690376569040%,user,
0x1b6ed1cf57379b256545db3c4473f71f7f22f5a3,0.3765690376569040%,user,
0xcaecfe8cdb3ce35c4ac435ea0a44a829f9812a86,0.3765690376569040%,user,
0x27415152eb32394bad575b7a812d5a3449351437,0.3765690376569040%,user,
0x05418c43ada2c3c2ec850002d312c12813668ccc,0.3765690376569040%,user,
0x6a139c4adb8adcd239e0415503052820a6a9e05e,0.3765690376569040%,user,
0xe6107277f6990873d77daab98412447cff138a54,0.3765690376569040%,user,
0x6b9bf8ee50f6434b657af1ad250002ea15b60c88,0.3765690376569040%,user,
0x916ede765efdea69d0b77bd1e45d2ae64e7b491e,0.3765690376569040%,user,
0x48d2d1d24e42434d7c71a76034d5cac6d1f9dd8e,0.3765690376569040%,user,
0x626b2638054771aabf09f175208e4b4951d5ecd7,0.3765690376569040%,user,
0x69d6db289f83c97ce9c56e8b9eff22ab82ad4b4d,0.3765690376569040%,user,
0xf972bb56c27a3268dabd59243af73eac2667f203,0.3765690376569040%,user,
0xcd5377ea296c324699f1c8e61225181e417898de,0.3765690376569040%,user,
0x80cf796e36a97756b6072d7fa4276c5dbab7a225,0.3765690376569040%,user,
0x67ab3bcf6e81558dd0a63b21eb09890c281cadff,0.3765690376569040%,user,
0xc0354ee01353d8bd66b6d59f8c06db3b88618178,0.3765690376569040%,user,
0x5cbcb1c3945efafc557f7d969e212625f9ffe766,0.3765690376569040%,user,
0x3942b32009b3e16a5cf37e0fa9f71775f095b0fe,0.3765690376569040%,user,
0x83ec0fdd749e1d8a634ac0fea22aee9d45e4233a,0.3765690376569040%,user,
0xc40c648a3f1c11091e490fa00a45b43b5d1e625f,0.3765690376569040%,user,
0x0220b8b3d2acf3becce6ed278169abbed342094e,0.3765690376569040%,user,
0x3088253486d8a0bf5331f3be4e27ee352a5351bc,0.3765690376569040%,user,
0xa9331e87cea45fe6b491cd98e81c8d444f89610f,0.3765690376569040%,user,
0xb3c4d7b5de443fd58b53a88a723a6047e8e4e374,0.3765690376569040%,user,
0x29452ffdcfd20e7252db41b3812bb2ea681d64fd,0.3765690376569040%,user,
0x40dc701205318a51953485385c8e4909c74d2686,0.3765690376569040%,user,
0x9807dc0c717b9e8df8314b2c7e6823c283070002,0.3765690376569040%,user,
0x4bf8a9fc747df3ebf29c3c339dac059c2c922887,0.3765690376569040%,user,
0x56b1aa9911abe50e806b638a73dda4a45f772a67,0.3765690376569040%,user,
0x70fcf28a9f8216907aebe3681e97d3ebba79067d,0.3765690376569040%,user,
0xc9a24a2bb722f06927670a41ddb46da568c96801,0.3765690376569040%,user,
0x35649ed7c8e6fb671fb6b980b620aabbe63209d9,0.3765690376569040%,user,
0x2de53713e4e81d62eaeb72826df76dad58ed780c,0.3765690376569040%,user,
0xcadf1db508e981b48fcfc9686abcdb4368de4ce2,0.3765690376569040%,user,
0x355bb38860fcc28f5c867c65251db5d12d9cf573,0.3765690376569040%,user,
0xa208ff20aa1f1501e5b140b9a0a304748acd8faa,0.3765690376569040%,user,
0xfc032d3d52a139e35c263951c8d68752f47adf59,0.3765690376569040%,user,
0x2604d3e64e0b9bf0349c1cd6ee380c62ce251d67,0.3765690376569040%,user,
0x70f83dc48a4081978d7dfb0f1db228e7fff74116,0.3765690376569040%,user,
0xa74c4e2552e5410261fe8f958db6a90797e95d1d,0.3765690376569040%,user,
0x233da7ba6489de1c04701c26ea6b7260d8445043,0.3765690376569040%,user,
