Address,Allocation %,Type,Sum
0x6833df4e1edb361a04491349833c83a4868abcda,15.24808000%,user,99.99999000%
0xa6acebe64127c69ef17098bb54642fa515bfcef7,13.33047000%,user,
0x27A0E8c357fCF2EfA69249461D16BDd2828090DC,10.00000000%,developer,
0x3e17775a558bc5a031aaa4992c75cf308d4d6f0c,9.09443000%,user,
0xe4aed27711ad3c69a242da2686725b136fc8fac0,8.98281000%,user,
0x215cb2358e13f3f87fc66aa6b26cf9662dbf6334,7.40484000%,user,
0x8a8606817b360f6c26246a8b1f081a5050174cd5,4.90227000%,user,
0xc95842c8414a1ef5372f15c4ea2ca5ee89fa19c3,4.69873000%,user,
0x92df80ac789c84f47c5cee4412c79787c8c844da,4.69286000%,user,
0x18f94dfeec5a4a98ef8832bebca77937c9562b5b,4.63129000%,user,
0x6e1d515d0b3bae33867cddf2d6872fdf486e8682,2.75084000%,user,
0x39c78ce4fbd59722f48a3271fe11f9ac5f933ba0,2.45547000%,user,
0x9A742D919DeA9823b55CAbFe735Ab0cE22cF7911,2.38352000%,user,
0x4e5ed30e3b4eb39abce3c150f31e180a3ae5806e,2.37181000%,user,
0x654c8fd8e7b37117ee3d30cee9f1062bc6fbbd9b,1.85455000%,user,
0xbda13ccddb1125581186bccb0f7cd9c639ef6c7f,1.18422000%,user,
0x7b5a3cfe0aad32113229d90a9b116b3a74732da0,0.67518000%,user,
0x36553A3E53F52aC92cC60c6420c94504AAF431cD,0.62385000%,user,
0xd2eba413b46cd27ba5a5b379f1e11ba1bd227f6a,0.50022000%,user,
0xbd297b4f9991fd23f54e14111ee6190c4fb9f7e1,0.34158000%,user,
0x051dfca7186504e811134caebb65412da9668c35,0.33634000%,user,
0x6A76ACB187776aD7215ce92FC1B26CD80053D454,0.32234000%,user,
0xe9b8818f54522044ad7b926ceffa42a405579138,0.29611000%,user,
0x2a2e594e0f0c8fa29de6fe5fa3ff796549c42cc6,0.23346000%,user,
0x71D53EF37979d54fd5619223dc1A082315EBA714,0.23005000%,user,
0xde8aa573c906659c48ba12c73a449cbacc563a35,0.18632000%,user,
0x89caf0a095bfeedf31b5feb7cdd6aa471674d39c,0.10599000%,user,
0xda74ce79e623690bfdd7064119bcc68e413d194f,0.09706000%,user,
0xee1cb06ac67f7e119fdf7a5f7867f54dcf68204f,0.02244000%,user,
0x5352d28eb895aa464eddb67c89db0a7820ecf1b6,0.02132000%,user,
0xc938296f6d158BDafD771Ce2C73855dDc9261A9a,0.02123000%,user,
0x8424bbb80670e07b5cb622f84c5e5dbf6f0f715e,0.00018000%,user,
0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,0.00013000%,user,
