Address,Allocation %,Type,Sum
0x6f8fe995422c5efe6487a7b07f67e84aad9d4ec8,10.000000000000%,developer,100.0000%
0xd8fb5ff1ecc3328b189d91a2c9285cbf2592cdcc,0.904872556800%,user,
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,0.904872556800%,user,
0x25854e2a49a6cdaec7f0505b4179834509038549,0.904872556800%,user,
0x8174b025f8ab32708a85d036ce9e74a5b21727f7,0.904872556800%,user,
0xc9442e6eecd5389d73322e965cd3fa488aaeee20,0.904872556800%,user,
0x40bd5d47ff7b0c15e206c1d7006ee19b66f14f65,0.904872556800%,user,
0xcb9a1df96c5ed074a62170659c52f9757269aa68,0.904872556800%,user,
0x580968173b13a38bce7290e59352a7a4c1596324,0.904872556800%,user,
0xd78d3b87b03c7bb43557877e4c1bc71d3bbc1099,0.904872556800%,user,
0x2d7e27cc7b02c911245d7af60253678678986ad4,0.904872556800%,user,
0x934d9e056610ae7779f8c9a7e242e57a966d2c0a,0.904872556800%,user,
0xac0841b7a957bb0e6d3d405bbf3ee1d329f03535,0.904872556800%,user,
0x932850cac77f10cfef430dee4e9a6a5cdda8c95c,0.904872556800%,user,
0x42f069e8d809ea7ee2a9a66872a8777aafab483b,0.904872556800%,user,
0xd15593d28cd0b7c20ebae2b385b37487505a5d64,0.904872556800%,user,
0xd985c35f566c9de55df16ade36852b0c40f4bf59,0.904872556800%,user,
0x6e96a8f5493d55c3a5cdbf2b2d8e049f812a929a,0.904872556800%,user,
0x4113442da249beaebb405ab995853b86af5aa77a,0.904872556800%,user,
0xc47ec74a753acb09e4679979afc428cde0209639,0.904872556800%,user,
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,0.904872556800%,user,
0x344d092b718d3c1e95d1a0740a5a70d31ce816e2,0.904872556800%,user,
0x9f412598c64585c2120849e76b8993948d175d0d,0.904872556800%,user,
0x26e7f8c5375af6d7dc6e40e16eb3a186e775ca78,0.904872556800%,user,
0xc6493626be58dc647a5103970da5bcf9f7fdbfd2,0.904872556800%,user,
0x9542d56b89830c60082de0c976f2e72a633e24fd,0.904872556800%,user,
0xf6ee1a630bc3ecd8c3fb11520d5952031d7b4c24,0.904872556800%,user,
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0.904872556800%,user,
0xdc1cc3e2fdccc1a0dfc7cb3f8cccbcb72a5915f3,0.904872556800%,user,
0x46a83dc1a264bff133db887023d2884167094837,0.855324375120%,user,
0xd2bed9ff3717572769fcf0fb42319ee764031007,0.825270410250%,user,
0x0c209cc80faa42031484621788ef97cb1a9c917e,0.817013013300%,user,
0x564b1a055d9caaaff7435dce6b5f6e522b27de7d,0.803875408380%,user,
0x1404c00e08739bd020fdcc20de541edd1869c244,0.687047400540%,user,
0x56c915758ad3f76fd287fff7563ee313142fb663,0.669497421060%,user,
0x932c67dfb01e69feb508ae7c62a5906119ade929,0.653214548520%,user,
0x359b0ceb2dabcbb6588645de3b480c8203aa5b76,0.627220490490%,user,
0x8bc0aee1276dd867a92fad7affa7af252569ecae,0.619295554620%,user,
0x084caf1bf60e49aec07ec4148a3f1f0f57fd11eb,0.529257995910%,user,
0xac0168b4fd7427bfd616e3a47fc05dd8175d5b64,0.524224719630%,user,
0xbd1258720dbd43eb55885aa05f07cda6b30855b3,0.502318095840%,user,
0x8c4a1d254bd58da71a590a7924dd40267117017f,0.470750518170%,user,
0x16ef04260ca959c75bd8d4247874517c9cf74d12,0.457287289020%,user,
0x2e7296ebc57fcf7c0b112d2a46062017be2b1792,0.440270749260%,user,
0xac5484132f22d4551d10ac7b6eaf8356b4beaaec,0.431638958610%,user,
0xca6ff368b9d4d78674e043b02ef94e887c8274d4,0.418908396060%,user,
0x6e3c3013814f46d9bea09e65a81a1df1d61298dd,0.395648113950%,user,
0x77bd9d86aaa4137ba6f187d95ef81526d4576e09,0.361104360120%,user,
0x0f1f822329449172472697a56750bda41d9dcc83,0.350864776170%,user,
0x9a17e9f6363907cfa3da4ed7819914128f9a80c6,0.329918290110%,user,
0x575e84f06b4167a5b73bcd7bc442e748657b2091,0.324018344970%,user,
0xdf5e335d4fd4b3d6c4a0cdb38632e8ba819a5bfa,0.312973505730%,user,
0x5af241127a5c395a5dfd4237ed0ee8e1934ffd2b,0.308147899230%,user,
0xf3ae3bbdeb2fb7f9c32fbb1f4fbdaf1150a1c5ce,0.300288210030%,user,
0x3fea16bb3bddaf40593c6b3eda8533b1384d444e,0.298569446550%,user,
0x2f0c9c071ad263bdc1bd88d880decc301506d7dc,0.298593845370%,user,
0x887ce1549c2b49f1802481f3dc5c25692b8eca8e,0.298615944960%,user,
0x27207508155cf461aa196435857988d87c088b5f,0.296518228380%,user,
0x89df81d0919db82add1f78ae977fbe3cf9b534e8,0.296475035310%,user,
0x75a28bff85c845a59297cab7b3cc5686554914a5,0.242458774650%,user,
0xb3bfb32977cfd6200ab9537e3703e501d8381c9b,0.238917586950%,user,
0xabeaa41fd6a7464b1203b24486526b0461a5cea4,0.237435682410%,user,
0x27003ba96fbf876018ca6117acf338f0212c811f,0.237375950130%,user,
0xf597c6452ad43651e8e6b1d35abf9e383d985e0b,0.234688259520%,user,
0x99a426450733e661116e758bd67a783b4ba93ff1,0.224706993030%,user,
0x3ec6732676db7996c1b34e64b0503f941025cb63,0.221630298570%,user,
0x857f876490b63bdc7605165e0df568ae54f72d8e,0.219048985170%,user,
0x5920ca4a51d93052f111e90c387f70bcf723ea3f,0.209238804270%,user,
0xfc88e456b3a5620e63a449ce429dccf2687cac26,0.208223079210%,user,
0x84c8438276003528b11fd5850a69eef24e879f23,0.206997281730%,user,
0x21c4943a6060eb4c33f8b270562b535c7261015e,0.205382368440%,user,
0x0f300176358ce7c8875abb588cc2fc35c3c80a24,0.204752272320%,user,
0x0acf1ddf025f5a35f4819f4c0123e05e6525ad69,0.203143340610%,user,
0xd2d7d301cbad5eda81952cb54c2ab626625f8ccd,0.183560218020%,user,
0x349adbeb3c0c855b3eb7132f3ed616702e86465c,0.183728115630%,user,
0x55d4d190914cefecd37ad6b67781af942efa55fe,0.183133086930%,user,
0xfcf80133cd4e8d79ddf8125a32980398a0b074d0,0.183297492990%,user,
0x745ece084d3e1868e97fcd577106fc5adb7b3800,0.183141899100%,user,
0x53e213da8c28d85dc6663c3b5e35bb0ffbb05752,0.182285679600%,user,
0xd40d51857ac0c4ed1ade039d9902eb7faea2c4c7,0.177008455620%,user,
0x01a5860e098862621d7aa3803c329c2eb9ae086b,0.175543677450%,user,
0x7e108711771dfdb10743f016d46d75a9379ca043,0.172761524190%,user,
0x30d41a62b6e36e72b4fed35236c3168f4369b2f5,0.169481926890%,user,
0x508c3daa571854247726ba26949f182086ff89b0,0.169250966010%,user,
0xaab90c4de23108631d02939c6c9df5e32c8baf1d,0.158896132020%,user,
0x1fa672991abf73c73a9a726965be2bcc3595f406,0.153957621060%,user,
0x8369e7900ff2359bb36ef1c40a60e5f76373a6ed,0.154106301870%,user,
0x4e76902faccd6feeef68ff0508a7caf75bce81b6,0.151156176930%,user,
0x860001218d2476481629b7c64960bd6edbedd848,0.146374787790%,user,
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,0.145312537230%,user,
0xea1b9447707fb3575972066b0906bc4cedb8027b,0.144167371110%,user,
0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0,0.142993277280%,user,
0x12f0d96843314dff4bbe4fd567c962ad4f20a73e,0.142411673250%,user,
0x9c0d1f4a029c46265831d120dee9cdc72f0ab3c3,0.141859858230%,user,
0x4fbbb92efbb0cfc9e3fc65c1aa2385bc378c3505,0.140311957410%,user,
0xddd6cf8d3e028c37bf88bb173624ded9689657cb,0.138355495200%,user,
0x63e7549ea16f52bcb0415b308f17f3fee6415138,0.136209704040%,user,
0xc6aea25592ddeeba22fcbe7ae315a95db00ad4f9,0.135554604030%,user,
0x6f8fe995422c5efe6487a7b07f67e84aad9d4ec8,0.131772198060%,user,
0x310fe7f4adff6921d4f9b9630c9a7bb00fcb7f49,0.131911266870%,user,
0x9c5a5bf1c40b50eae0c0bdfa044427661aac2cd0,0.130943366190%,user,
0xeb5513f156d5d896fe8d1ba9bfc850d0a38e7f95,0.130307016780%,user,
0x7de63ff3373ef54c5354d155dddfe653fd43132f,0.128624223780%,user,
0x906b89c8b896ac490879dc1b1d4d62ff0f7cecf6,0.127994320890%,user,
0xfdd86a96f47015d9c457c841e1d52d06ede16a92,0.128057413770%,user,
0x1f7ffae0d8237cadcf4f90b71b79d993144bf672,0.121761670050%,user,
0xf9ce182b0fbe597773ab9bb5159b7479047de8fe,0.120756017610%,user,
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,0.116556066990%,user,
0x7b872e4a2b49d00707c79c1628b8d481bfc5803e,0.115913020680%,user,
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0.116015441130%,user,
0x32ae635f5136adb181a442cc890be39263bc13c8,0.110370185730%,user,
0x86a1c481ef6fa6e1eb4bc20e749b86a8150a403a,0.107517436200%,user,
0x6b6cf9916c73bbb9939347dede25a5686fee8393,0.106723506600%,user,
0x12c1b30f90b7fdff8d52db777e4defd5010858bc,0.106388072370%,user,
0xdd9bf0a45452a4f22cfd2c963c15b191d97ce106,0.105258756960%,user,
0x9519950ed361a08a316011f6b57029eb6ba392fc,0.104391384210%,user,
0x4f58d8112a0bcacdaab5531319aca88b61305c20,0.104456151990%,user,
0xa8df0d3d1abf9fd16f992bbf4595c621935cfe0a,0.101539011510%,user,
0xb7d865c7c63d758db991b191e9c80c3867b34b8e,0.099060021810%,user,
0xf01bcb0090cd0f734688ce77ae067da58e9d8005,0.098722137150%,user,
0x3580b9d27645982bf726a005dafa4a89e356ef41,0.096734740050%,user,
