Address,Allocation %,Type,Sum
0x30477035360215d7A2bE94382fABC6287b83D436,10.0000000%,Developer,100.00%
0x4097c26110c439c11b3c10b6eb8c50a19aa89f8a,17.4306972%,LP,
0xcd70c83f22de83aa2cbc0ea0e86a8ef1562d6263,6.8403780%,LP,
0x7c5a7328ba50f57689dd8c6210cda54df337a471,6.7609638%,LP,
0x184053aef84c3f13a98ffc52e1f80c9020018fce,1.4390646%,LP,
0x501e886ff11d9d2b0fb4337175ef18d447bad908,1.0433136%,LP,
0x67fef2b0182938ae21c8ae0406822f4e9311ef1c,1.0329138%,LP,
0x6b08e84ba654fa6a7140185cb70d29879b2a536b,0.8765112%,LP,
0x989bb1f17c62256af690b517658a0a00d9ef2bd0,0.7246218%,LP,
0xaab2885b4a57e83dba3ef63d7bd9e5508712a17e,0.6939984%,LP,
0x59b56456ca2272907505ba3c65403bfbb05c8b9d,0.6385830%,LP,
0x4207a13143eab2e4d10bf459f3ba91c39adc15ff,0.6369882%,LP,
0x9f384e433842994bb8cd3b02d305b1e3cdc4a976,0.6010320%,LP,
0x0b919e8e21ddfadbe8d9a0f7687b69c20058a48c,0.5663616%,LP,
0xdeac6505c5c45d5f61fe768baa39371db68c8bd5,0.5472678%,LP,
0xe2d89e16d70efe88f34f75b632a2215fd76e3ceb,0.5354862%,LP,
0xf8ec019924ef9ba253371ce229728c752ee1668d,0.5117880%,LP,
0xa9fcbfa43e49898b5a6265ee66f0dcc96633a422,0.5088498%,LP,
0x8a76f01cda4c1346162c1e27f15b73e03fbb1581,0.4894656%,LP,
0x37c5996287222569a94a090085fbb07be1dbe344,0.4444422%,LP,
0x5b9ccfb46fc52c47d8b30199f2a1c3565b980b77,0.4282104%,LP,
0xc6734e89542e3804ba4d401dd9f17d8ad8decc0e,0.4189032%,LP,
0xaf10d031d83caa9e75cbbe6f81c8dc8c5bd10d80,0.3998856%,LP,
0x00446f19566fd3b1291ce83e43fef3be8ae6753b,0.3992994%,LP,
0x9f5b3831ce9f1a50f7eadee8dcd986ce73d22940,0.3663432%,LP,
0x69831e40c00ac8ba376de936ec31cc7abda26d94,0.3309306%,LP,
0xcb9198fa79a83f99bdb07bae359e9319421b20f4,0.3306912%,LP,
0xc8a4dcbb7a60ac12580b54ce3681b26a604c0fdd,0.3115806%,LP,
0xc12f63fc187cc25741a5ebfe6c37fc922cc404f0,0.3051138%,LP,
0x4043fe1ed89eb32d8f3d786920f8bf1980d051ce,0.2983752%,LP,
0x52eb8a6ed274b7ea5fc33dda79c448d9bed9c611,0.2879832%,LP,
0x514c63a6de5a462cf499b59503f89a3eddea56de,0.2772288%,LP,
0x51d69a3d4a666fb658c22f761b5b87e04ecf99ae,0.2608176%,LP,
0x5219ab25e54e726d29d2fca9a6b5b0c8bb8d94aa,0.2432460%,LP,
0x0ff6b2e64a76a8b2b4379dfd6e06973c295f8b05,0.2318658%,LP,
0x504a16725207bddf5a4fbf5e603e2f639d3ad466,0.2220906%,LP,
0x880838579cce1d77172c379f91c514527ebfde1c,0.2196702%,LP,
0x37916a0b36845e69b7dc7f6cb48937cc25eed112,0.2159130%,LP,
0xa3bb5c118d916bb902ce33f53de217908179ca58,0.2155542%,LP,
0x852ebbf999cfec0bd334f4141ccb119a3e02c975,0.2148594%,LP,
0xac80d8f67433e29ac33294254bd4329f7905f7df,0.2062938%,LP,
0x67bcd41adbf12d1ecffd86e17af2b14179b556a3,0.2042502%,LP,
0x1f45ac7ade10e2afbdae4ee40f9f99c2e8664a36,0.2020848%,LP,
0xf16d8d189b9066ffe94ba9df555c8dcc852b2dcb,0.2017434%,LP,
0xf175846de880d076204156997f30e2ba24247890,0.2007948%,LP,
0x9ea28aecffea43847d2ef86d374d68e837f2f09b,0.1952790%,LP,
0x046825bfd2ab4562e0308e48526b779fd897d539,0.1947474%,LP,
0xdfa03fb1709212c3316cc64f7921c59265ae37e4,0.1799274%,LP,
0xea39e59da1db19d486df67d4ddbb8981216835da,0.1747290%,LP,
0x90361d5443ae9b8162f58cd55483fab13f6adea3,0.1676748%,LP,
0x4485e742d6b2bc182c9e348848b5bb0485d30c3f,0.1569492%,LP,
0xe26ab54de275eb0ff6ee1fa3fe293f8ba24ea808,0.1513668%,LP,
0xd0319771f95375b161006fb2481fde74eb80ccf4,0.1476858%,LP,
0x55b3da48bc1550ba4e14a3deb172153caa528fe2,0.1474056%,LP,
0xe78e45af4da81d12bdb54a84fe6a64e39add822f,0.1470594%,LP,
0x2578aa959b122650b14120bad4c59e75ee9b7a91,0.1463964%,LP,
0xa19233198de16898d6129eefb67c27f06c3b7f0f,0.1440768%,LP,
0x60ef0caf181b9fcb3fb7cab5bf44411974be9158,0.1422276%,LP,
0x6a7cc5e205bce058454e1576419f3dab1ce21637,0.1418292%,LP,
0xab64955e65d02ac0d49a5d9c3be15104e44673db,0.1371222%,LP,
0x564c09ca810113a3ff7182706bbdd77fc99338b7,0.1365330%,LP,
0xa1bc200baf2858dea35d54ada3571b70700042a5,0.1320678%,LP,
