Address,Allocation %,Type,Sum
0xd3Ae73F4fa5ba54Db8bfd8f80371351e49647EfD,10.0000000000000%,NFT Bridge User,100.00%
0x1F99D1Bc5dCD5A87c6bCB40655A7438F99B6B601,0.7589880159787%,NFT Bridge User,
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,0.6990679094541%,NFT Bridge User,
0xd3Ae73F4fa5ba54Db8bfd8f80371351e49647EfD,0.7589880159787%,NFT Bridge User,
0xB04B989d8Fe9F986b85cFd6951852626075D9BEd,0.0599201065246%,NFT Bridge User,
0xF5D39fbdaB34F9771770C2Df3aF05629058f3c14,0.0599201065246%,NFT Bridge User,
0xB019F6bAA8DeFD29AA02Dd13B94037012a83667B,0.0599201065246%,NFT Bridge User,
0x392a681D9cD54105C0E7D94a40cde058b6c554FA,0.0599201065246%,NFT Bridge User,
0xF0dc9b0cDFAda96eeeC67B684B70d2c90A840170,0.2296937416778%,NFT Bridge User,
0x4b3B04c6eEa5C46e317e53833ab0c8987e508080,0.0599201065246%,NFT Bridge User,
0x5df264A53CD5dC14D3C4aBad5A28e1cFfceb5796,0.0599201065246%,NFT Bridge User,
0x149b1a32A605A819aBE2181c7FCE04E13Ea0A7AB,0.1198402130493%,NFT Bridge User,
0x2F3c3f5328A826ECd7a8c0632D8E1a04A3ab074A,0.0599201065246%,NFT Bridge User,
0x3DA22f83Fce557E7eAC3103a7288f15F4559600c,0.0599201065246%,NFT Bridge User,
0x8E311B532641cD79F1396aD25b0a1Fd808D0E413,0.2296937416778%,NFT Bridge User,
0x5Bf732320EddaB175d2878563d3FBFaBbf16a0B4,0.2896138482024%,NFT Bridge User,
0xf5F22A92Cb2aeB1581Ef38DCa9f1412ab30fF353,0.2896138482024%,NFT Bridge User,
0x4b41f8f2c6D476751C791c705021d6C28a7E27cc,0.2296937416778%,NFT Bridge User,
0xAc8Ba037C86C3A20cf2a97c635433149f4B331fB,0.2896138482024%,NFT Bridge User,
0x34BEb7850F6716d6b2c77861c9f5a5abd4Ff4Bb7,0.3495339547270%,NFT Bridge User,
0x30eDA22FffF0316947a1bfE4B6C52Bd4b67687f1,0.2896138482024%,NFT Bridge User,
0x8436DD196D2f4e13D5ed17B2bb20dCA16e628849,0.2296937416778%,NFT Bridge User,
0x470b4496E246ba5354624f9D866fe6089db3A56c,0.2896138482024%,NFT Bridge User,
0x20f059Ac1f7d54fB7Bdf07a8D138a1cBe95500bF,0.1198402130493%,NFT Bridge User,
0xc84666E685FC1a9E03e2f123e8e1Ca1b870C6Fa5,0.0599201065246%,NFT Bridge User,
0xE7Abdd078Ff771b482649ba335fbbca4Da32e5CD,0.0599201065246%,NFT Bridge User,
0x9aAb328ee09642cc5d047d683E11834AC84f6926,0.0599201065246%,NFT Bridge User,
0xad4a8F4A7cB3331a53e627167cDae450C72614A4,0.0599201065246%,NFT Bridge User,
0x4D987546cDAFA0a240c7B61bD5Ceb8Cbc1492E15,0.0599201065246%,NFT Bridge User,
0xa141BC13f074293a6af1165CB7FF4d67B258D657,0.1198402130493%,NFT Bridge User,
0xF707be1C3247609f55e2043d6Bb4d9F716F56040,0.0599201065246%,NFT Bridge User,
0x80472baA6cFd389c5ae0DD6474fb4cFdCb68D3ed,0.0599201065246%,NFT Bridge User,
0x01e22a813C144bF63A0B73BA2FaeAA8Fb219005D,0.0599201065246%,NFT Bridge User,
0x45C86569f61E0618B91F202b9A88891A64C1D601,0.0599201065246%,NFT Bridge User,
0xf27d2C40DADa8A4D7de1107C8A5D496a02a3f7d7,0.0599201065246%,NFT Bridge User,
0xfB60a7E9EFA50A66392EF1456fdA399383E8E5fE,0.0599201065246%,NFT Bridge User,
0xe10F96b27B27B11fB672d37308867d48775196E3,0.2896138482024%,NFT Bridge User,
0x1B10Fae83C2c08C3809E4FEd4e1814F5BF8cD0B3,0.6391478029294%,NFT Bridge User,
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,0.2296937416778%,NFT Bridge User,
0xaEF2107171df6C962CE8976B64ceD8e03A734A81,0.5792276964048%,NFT Bridge User,
0xCd100b28cC300068585c36D0166f7F52199af700,1.0486018641811%,NFT Bridge User,
0xB777b1e4058fDE4944B83Ebf1A356C8A0bcCD590,0.4593874833555%,NFT Bridge User,
0x359D1E3bCC6D753fe2548BC4d374c0F62B34CFF5,0.6990679094541%,NFT Bridge User,
0x3cec7357744396Fa779dBCE2d048C0457e1F6361,0.8688415446072%,NFT Bridge User,
0x0d6E3F47D195428DaC0bFeE1A580761C3f6Cec88,0.8688415446072%,NFT Bridge User,
0x557fd6ef3128a4692341DCf473a39d9267E2424D,0.9886817576565%,NFT Bridge User,
0x9bc1a6287c4C6696581d756cf35d4A7f6113FE4E,0.4094540612517%,NFT Bridge User,
0x051c43078fbaF956833142Fd30454763e8aD0365,1.0985352862850%,NFT Bridge User,
0x91b2F971B3029b2fcb63F90694275c7d3567182c,0.5792276964048%,NFT Bridge User,
0x1aDB95f74aAC56d6bFeb9df9B1AFB1a234f0786d,0.9287616511318%,NFT Bridge User,
0x27C59b66D9db16eE6cb25575D62D8651DDF558ec,0.7589880159787%,NFT Bridge User,
0x293E70c941ae2F81Ca8168b77bb8aAF087543655,0.9287616511318%,NFT Bridge User,
0x3a0e94d73CB89b73C8DE4b3d38264A23AF265a47,0.1198402130493%,NFT Bridge User,
0x5AFf773189D447539383d0070c3359cE0Caf42F2,0.0599201065246%,NFT Bridge User,
0xe430641009C90b32940046e753679d0c403C9945,3.2456724367510%,NFT Bridge User,
0x46d7AF1d81dfAb5480DCE984383aBba266f7ce16,2.2070572569907%,NFT Bridge User,
0x8102E4F2C18105a75c2aFFc09a89527207149A1B,2.1471371504661%,NFT Bridge User,
0x46939aeF6C0E02168E74E79e4992D2dd1B5eEc07,2.3169107856192%,NFT Bridge User,
0xa6f1C6590db71f052952d880B4abE4428157D471,2.4966711051931%,NFT Bridge User,
0x7eD98e836727d66af7bFe4390aFfDbc242671FB0,2.2070572569907%,NFT Bridge User,
0xb34c686360bC65C1EF09780534B6BE98B5f009cf,2.0272969374168%,NFT Bridge User,
0x8DA4Bd80f8A75D67dF8CEfAd97d9fAFf87280888,2.2070572569907%,NFT Bridge User,
0x06654c661A043B227393aF2D957eE7581faD85B6,1.7376830892144%,NFT Bridge User,
0xa81637e70E218E91876d7a1aaD511311F5A68A1a,0.0599201065246%,NFT Bridge User,
0x2e5Ce41E1aA5aeEed814526E261958D428432e1a,0.4593874833555%,NFT Bridge User,
0x7129A5D0D5074baf25123D872a88FBC8b0374a74,0.0599201065246%,NFT Bridge User,
0x624Db5968C2c30EF0F7714805eC3075c895128C2,0.0599201065246%,NFT Bridge User,
0xaA51074409A336170b59eA257c06f80330f91157,0.1198402130493%,NFT Bridge User,
0xA56e6CEF6DBf6d75a5932015caC5088223aa82Da,0.1198402130493%,NFT Bridge User,
0x23bc4Dc9172d15Bbe02E57C0269EcD46c007EB95,0.6990679094541%,NFT Bridge User,
0x2E6D6612e8cEAe49fb1b973DD63EC25DEAD02B57,0.6391478029294%,NFT Bridge User,
0xf080D35a6FBeE71Ec639A8971cc0EfC5a00d467e,0.2296937416778%,NFT Bridge User,
0xDA2008EE6351B501C9D05740B0ae020f6AF2980A,3.0758988015979%,NFT Bridge User,
0x28Ac89eE2e562a03C6E467fe0CB2E5EF5196a57E,3.3055925432756%,NFT Bridge User,
0xF0dc9b0cDFAda96eeeC67B684B70d2c90A840170,0.1198402130493%,NFT Bridge User,
0x8e2047aebc17D5982728a7D045eAC2CEAc5b5183,0.0599201065246%,NFT Bridge User,
0x61b1aCe74308654A8e600Fc3D8B90BE8C0BbEbA0,0.2296937416778%,NFT Bridge User,
0x66713ED48B83918e5E77CEb3DC6852d933209Bf0,0.1198402130493%,NFT Bridge User,
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,0.2896138482024%,NFT Bridge User,
0x5D4Bd23068Ba1b891656194c984B844aBC4b8533,0.0599201065246%,NFT Bridge User,
0xb97890230D2C22bCf4967b84C84ec69b00D39b3a,0.0599201065246%,NFT Bridge User,
0xAD6d8D1040a5253a3C7773396f0626e739AeEcC0,0.2296937416778%,NFT Bridge User,
0x42bc391d2b726148322b8ac504e7a4e75ee604b3,0.1697736351531%,NFT Bridge User,
0xbb09bc9bb8445162d9577ed5242a9e640b85305f,0.1697736351531%,NFT Bridge User,
0x8294ec29452d908aea3648aace0d1b625b4e0991,0.2296937416778%,NFT Bridge User,
0xb6faa97b42c0dc1f26557db15c8e28c01953779e,0.2296937416778%,NFT Bridge User,
0x9db6a774020ccf08b5ed0ed950762a2245392f60,0.0599201065246%,NFT Bridge User,
