Address,Allocation %,Type,Sum
0x9c06bEdB6f1226f34f44AdF0862f6fFa4dAE87b4,10.00000000%,Dev,100.00%
0x924cafec4f967be5df085ad94d8d50574f9a2bb0,10.59444516%,Cross chain rewards/claims/staking,
0xbcc8cb0a825c61355a460da85159f1b43d5d49ab,3.58979204%,Cross chain rewards/claims/staking,
0x7cc0ca4c6f145a05d43f8f58aefd92c2b824cce0,2.48058267%,Cross chain rewards/claims/staking,
0x2de9d6f84e28f3a347b97c6a3db51d366e65ba4c,1.39153197%,Cross chain rewards/claims/staking,
0x6a5d2bf8ba767f7763cd342cb62c5076f9924872,1.20095484%,Cross chain rewards/claims/staking,
0xd5bb24152217bea7a617525ddfa64ea3b41b9c0a,8.35050914%,Cross chain rewards/claims/staking,
0xb0ffc78c832d2cf7fcc63f79238fdd720b5cee35,0.90831076%,Cross chain rewards/claims/staking,
0x21387a57a16186737599447802a3dab57df17c45,0.87463178%,Cross chain rewards/claims/staking,
0xf419c6275d9c024632b3db13dcc9f91e18bfc104,0.70184235%,Cross chain rewards/claims/staking,
0x19b0c4e65240e147d5880b3af06ae9b19459e92d,0.79729622%,Cross chain rewards/claims/staking,
0x5c322db0c030bffd1a09c217caeb2e34e29b803b,0.52024396%,Cross chain rewards/claims/staking,
0x19a65785fadb3579a637f0b177999b53cc8fc592,0.57137316%,Cross chain rewards/claims/staking,
0xb6256976d6898b3fffae5f02259b1c743f39e661,0.50755461%,Cross chain rewards/claims/staking,
0x4010049fbb3dfd1317c3fc2eb2a8b4eb1bb03450,0.43562188%,Cross chain rewards/claims/staking,
0x7f0759cb20de8c7a996db6f6c12b33314d0379c3,0.44041105%,Cross chain rewards/claims/staking,
0x7f812a524e72461b4aa20f3146a0b3c50271efbf,0.39623426%,Cross chain rewards/claims/staking,
0x115d0d8822efc9607c52b04628098b48970b993b,0.43833478%,Cross chain rewards/claims/staking,
0xb13dfc88a37e32da6326d03ae528c203da941e37,0.29861404%,Cross chain rewards/claims/staking,
0x744f1013f400268161e7c51256b54157f66e3c20,0.75859174%,Cross chain rewards/claims/staking,
0xe842359773d9f42f3dc81840e55da183296f7671,0.35577112%,Cross chain rewards/claims/staking,
