Addresses,Allocation %,Type,Sum
0x5ce2116341fB09708E865C00e13B6c1785b3766D,10.00%,Dev,100.00%
0x00000000009726632680fb29d3f7a9734e3010e2,0.00%,Holders,
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0.00%,Holders,
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0.00%,Holders,
0x00000023c10000eecb940000b914cdfd76cc83d1,0.00%,Holders,
0x00000047bb99ea4d791bb749d970de71ee0b1a34,0.00%,Holders,
0x000000d40b595b94918a28b27d1e2c66f43a51d3,0.00%,Holders,
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,0.02%,Holders,
0x0015fe32e51d313a76a16b0f2d38574cb3d7c822,0.01%,Holders,
0x0074002e677a89b987d2f454224699e94f0b4251,0.01%,Holders,
0x00b46f94ee0ed8351ee7199a793230d598937bd3,0.00%,Holders,
0x0167767e7ffabd6e9fe1f958535bf296622d4b21,0.00%,Holders,
0x02597f26e455a9c91551de14386ceb9471f84d4a,0.01%,Holders,
0x02f099d61cff23e47973516d6d1aaeadb8cda3ce,0.01%,Holders,
0x0313467d70d8b1caedb618586f514d61c2c335d7,0.00%,Holders,
0x039f7d9534c4076a653994ab9846b4f8207c0981,0.01%,Holders,
0x041574302ed66c31323584a494a4a018b378eca8,0.01%,Holders,
0x041dc272824239af43529afc90eba7733705b161,0.02%,Holders,
0x043985be4fdcad8c5cb8d2c4a1414b9debe44327,0.01%,Holders,
0x04ed2cf6ff18ae63fdc29452b85572858ea3a134,0.00%,Holders,
0x0511abf60dd6b2686dc3161724da698860e8e58c,0.03%,Holders,
0x057b08ab3a2fe7cb7b9e0571ed888c53bbaae519,0.00%,Holders,
0x058724adad45a1874840e07070544043aae4c657,0.01%,Holders,
0x060b428bebfe50f75e034cd9d82a5a0b49efdb0a,0.01%,Holders,
0x060b4f4c225312bb806e384ae4f7442942a7fd62,0.95%,Holders,
0x06ae923a9651e6f4ae6af6e3f5d82d3b99bdbb31,0.00%,Holders,
0x08d4dc1c4717fb9c569fa947f69dfeb0bed3281f,0.01%,Holders,
0x0920c2148cacc810fe7b16b04055ca2e31950d11,0.01%,Holders,
0x0926103ca0b230cba9a5415b6d0aa0604dfb53a1,0.09%,Holders,
0x09e62003aeaa3656e848e8dc9f3af7a6e3e5fcac,0.00%,Holders,
0x0a14be50aaab203fd002a13b1fbc92628f1705d2,0.00%,Holders,
0x0a4f68c2ad2fd3f5695edb3d480dabddf7e1ce73,0.00%,Holders,
0x0a621d3ab169e45a2ad76b3dbc4033d3f9cbdc0e,0.04%,Holders,
0x0aaef7bbc21c627f14cad904e283e199ca2b72cc,0.02%,Holders,
0x0af4a5c820cc97fc86d9be25d3cd4791ed436866,0.00%,Holders,
0x0b0080b0b0248318117b8b35ef86b157d32bef6f,0.00%,Holders,
0x0c084ed7d832a40083e945431864f9f5be6045ac,0.01%,Holders,
0x0c3aa56e4b4a51665ed8b5e2b3486eada41971c9,0.02%,Holders,
0x0c7f393819329fe6a1e633a6ce26a0b1aa7626e1,0.02%,Holders,
0x0cadc2c7d7fa8470a47ebd8f98680682176841cd,0.10%,Holders,
0x0cb1f27a80801da0d9ebd4c4bfe79cfe85a32cc1,1.17%,Holders,
0x0da2a82ed2c387d1751ccbaf999a80b65bdb269e,0.01%,Holders,
0x0df80325ac28bd8b4ff9b3a1758e12c9de9de646,0.00%,Holders,
0x0e54ceb949cec621294d241067f066e06fde0f3e,0.00%,Holders,
0x0e6ce0e8a67b8c6d032f3438aea0d0bdf34304d9,0.00%,Holders,
0x0ea9239001e8ebe447d9dec97b3433e5efcec5a8,0.00%,Holders,
0x0eb6da76986ab15fa4251441713b7f6289ca9ddb,0.00%,Holders,
0x0f527bc60291daf9b79924600664f96f09db6d26,0.00%,Holders,
