Address,Allocation %,Type,Sum
0x1111110808B63F93B869a8A8Ef87BC5B4dD79689,10.0000000000000000%,developer,100.00%
0x4cb6F0ef0Eeb503f8065AF1A6E6D5DD46197d3d9,0.0738007380073801%,bridge users,
0x13054314E51d9982f68Fe8524bF9dc9b3Ed12bC2,0.0738007380073801%,bridge users,
0x8e9Dc1B188330e306D4938Fd20Cc86525B21e608,0.0738007380073801%,bridge users,
0x07CB9A0086EDA346e84407e1269b987C2043C0cA,0.0738007380073801%,bridge users,
0xc202CF9EaB40A2E9816953E28CB97eCEf9bdA534,0.0738007380073801%,bridge users,
0xa73B1fF66E6eFd19f6FB4d38Cd0a084E6FB9296a,0.0738007380073801%,bridge users,
0x0177B18B4F654f7E4B18DAD81470c50337d97734,0.0738007380073801%,bridge users,
0x90293680A238eE667A41470c2f33011279df0555,0.0738007380073801%,bridge users,
0xE0dE7E74ec26B75e15b1b6AA21a14B0fc7D288eB,0.0738007380073801%,bridge users,
0xaFCde30B30842BF238C35F4A048123200ac617E2,0.0738007380073801%,bridge users,
0xdb275779690ff4C311ec840a605F4002c8c05D33,0.0738007380073801%,bridge users,
0x13403F97aAD84609b9BE84bF977E1c55d4e8852f,0.0738007380073801%,bridge users,
0x8946644824c07b1A69e7F725F23de865b547BCe0,0.0738007380073801%,bridge users,
0x866F98E4d2B0742110cd674214767140477BB342,0.0738007380073801%,bridge users,
0x1eE9001D434b8f5ae45a59Ab482F66925eF8218A,0.0738007380073801%,bridge users,
0xfd15Dafd22F2CD8b08e079E25674cDc72EBc0120,0.0738007380073801%,bridge users,
0x77B34641e4F6B9D6bcaF41d3FB960aEe42c3b636,0.0738007380073801%,bridge users,
0x55e3E95101F578D1f374ff96ed928DF628D8eC50,0.0738007380073801%,bridge users,
0x1578f034078d5b5dc9D017AF75779aE436048415,0.0738007380073801%,bridge users,
0x09A1e184FAeA9f73354452c31cDf375575fBBfD9,0.0738007380073801%,bridge users,
0x945a84a71CBE170C1a3e6082a95e957D6797C7B1,0.0738007380073801%,bridge users,
0xAF6A36665270D1210921738Dc08c4fae7c6D3FAb,0.0738007380073801%,bridge users,
0x44dCfCE1e9edD1E8Ba961B0A7B9a1e1be0a5f285,0.0738007380073801%,bridge users,
0x85c4cDbBe7cbb7eEcecA0F835E66451De5a61D1C,0.0738007380073801%,bridge users,
0x42aE01552f4fC48edB2c7e9529494eE4dEE25F1B,0.0738007380073801%,bridge users,
0x540f4bb38cf5301e86fc709B7d0DA11417D0Fa48,0.0738007380073801%,bridge users,
0xB0A436CD03c44776239Ea62c896CffEFE77a4fA6,0.0738007380073801%,bridge users,
0xAf2A5263f148Ec4Ab611952DAe2bDe7cF5f0FBb6,0.0738007380073801%,bridge users,
0x71f05A99e85c7FfB236c21e41e8324f8c733bB38,0.0738007380073801%,bridge users,
0xCAE3c3A245F9C1C73F4CAf05F8157d48703801F5,0.0738007380073801%,bridge users,
0x0d4dc70a006Daad7cBf8cAe3379D100145d2aAd3,0.0738007380073801%,bridge users,
0xc9F69b00aB541EaDA632e1dA19B71f0Bf82578B2,0.0738007380073801%,bridge users,
0x909Fd983ab19BDB39d36B7d245D4E94a6E41b70A,0.0738007380073801%,bridge users,
0x35bAa3546db4e712df8ABFd69192675c28464F46,0.0738007380073801%,bridge users,
0xC7a2fC1454882d0bF0fF494BD5cab0DD4226bb1C,0.0738007380073801%,bridge users,
0x4c8605691A4500f4383C15F245D607a74A783693,0.0738007380073801%,bridge users,
0x3f99c674e0D76c77D4a90a520c9055ca81C39D1d,0.0738007380073801%,bridge users,
0x32267d604f90AcAf3469d7F34e5458093911fa9f,0.0738007380073801%,bridge users,
0x81C55cEcA5d837d28632FCDE855f4FF12B8230cA,0.0738007380073801%,bridge users,
0x9b6B68094B3B28093cc306B2aEF3917038789406,0.0738007380073801%,bridge users,
0x59C36853A89fE40156db5Ab6F85D4Fe59de79162,0.0738007380073801%,bridge users,
0x3ae279f7ba5B4bD451Eb9Dd27beBBB7152847a1D,0.0738007380073801%,bridge users,
0xBf6eA26A83C2Fd722a54FF2eb0955831BE92dD07,0.0738007380073801%,bridge users,
0xC6e0FC25B114bb4eBCd35d7473F463e31f46b248,0.0738007380073801%,bridge users,
0x474d7D70207Fc6e133551927dd3cb212B086018f,0.0738007380073801%,bridge users,
0x2F1E5295e5764a3931061D62df2c45E4316F11eb,0.0738007380073801%,bridge users,
0x9D5d07f665A21d3CCd728c8878F2f5F5aedd41DB,0.0738007380073801%,bridge users,
0x8a66a7DAC0Ed54bc86EaA68419Ec3839747A7e9D,0.0738007380073801%,bridge users,
0x298C8bD6c970Eed9d7b97b51E56F77C13f8B5896,0.0738007380073801%,bridge users,
0xc5D56De4492cA2cB651e0f508A745F51c9543e48,0.0738007380073801%,bridge users,
0x6e76B79Ef1C5b79B36214e99Fa6B14927d0cd219,0.0738007380073801%,bridge users,
0x09aF776A64F27dE362923A6ddc5583C0c99E6817,0.0738007380073801%,bridge users,
0x70fE88ff77056A840f07eb68Dd0B876BFaF41ca6,0.0738007380073801%,bridge users,
0x10e2C8072055D7E6230CDf99AdbdE2D872304d39,0.0738007380073801%,bridge users,
0x3980CDA34126Cc4cc1c407169bB99aaBcb05E076,0.0738007380073801%,bridge users,
0x4D2Cf27A6eac9626986329730Dcce8D9F927Dbd7,0.0738007380073801%,bridge users,
0x2868C3Fe6fc67347cE7855AB277Cf4aEeb5Ca5b8,0.0738007380073801%,bridge users,
0xdF16e535EE0Ad5874c664a58FDAA05C9e243D6ee,0.0738007380073801%,bridge users,
