Address,Allocation %,Type,Sum
0xBC29da6F64E34108a1874de0B86D7724E78F3ad4,10.0000000%,Developer,100.00%
0x2e8dE26056D1d8b5654C01cE53ba3Dc8909A577f,15.0000000%,Liquidity provider,
0x0ED943Ce24BaEBf257488771759F9BF482C39706,0.217391304%,Liquidity provider,
0x8cF318B78cC805CBa2378e6De792747688B74A87,0.217391304%,Liquidity provider,
0x40Ddbdd557b93d3F6b27A8299679a13aBd6024EE,0.217391304%,Liquidity provider,
0x39F9f63c37a3c56043eE26B76f184f13430f454B,0.217391304%,Liquidity provider,
0x23B4E57adb2a9C128DE6A2951Cf0Ef29C902143f,0.217391304%,Liquidity provider,
0xc3484343f1C33100247f398093fdCA6C349f79cE,0.217391304%,Liquidity provider,
0x9f88398e42E5B6083f4F115EE6e1E5D306184Ee2,0.217391304%,Liquidity provider,
0x860798ea8cCbf1E9ade6103050A5f6F6927Fe972,0.217391304%,Liquidity provider,
0x78470899FC524CF6B328ff2AfD068EDAC1f68CEb,0.217391304%,Liquidity provider,
0x9a475Bfa51eDFa86af9ABf7939373d355962a685,0.217391304%,Liquidity provider,
0x590c1DFa442522Fa4B9D73a46a44ad14ea8B16CE,0.217391304%,Liquidity provider,
0x0ED943Ce24BaEBf257488771759F9BF482C39706,0.217391304%,Liquidity provider,
0xCea4E6f9A14e3985271d9878e8eF4FeAf5a6E406,0.217391304%,Liquidity provider,
0xDC8a254Ef0a85ce16B02E55044FDBCF70F37AA52,0.217391304%,Liquidity provider,
0xCc40eC4421382211702CB7Ecd55f33623A4B5C39,0.217391304%,Liquidity provider,
0xbD9cB6066c568BC0e8ce471C0237A953b9DB4f21,0.217391304%,Liquidity provider,
0xAD95CC1cfBD7abbD20E5a0CA123D788e8214bC9c,0.217391304%,Liquidity provider,
0xFA8e35E6A985987459d2a3B683700bE5316DFb21,0.217391304%,Liquidity provider,
0xAed33f418b8B5021bf61fCda87060070a3f0589a,0.217391304%,Liquidity provider,
0x598785a2BB58887541c5eA1826b9F564dC13177b,0.217391304%,Liquidity provider,
0x2b8C373a6936622CaDF89740409B6338E5d46b13,0.217391304%,Liquidity provider,
0x189B56cfF8C6C34EBBa7f86aCE93C97493774ae1,0.217391304%,Liquidity provider,
0x97d6560F7B3684a5a7a8e502F852e49B89Ad3ea7,0.217391304%,Liquidity provider,
0x06eD3d7ef90551333b7185412337c9DF6F17C795,0.035122930%,Bridge user,
0x9a0938d2D2B873Ce40a831569aC0B65a0Cd70Ee7,0.035122930%,Bridge user,
0xE0d5441Ff8864DaFc7BE193110690e5B39d53de8,0.035122930%,Bridge user,
0xFC2B30777A030E29b3C5A0Bf9e9438823334C866,0.035122930%,Bridge user,
0x1076c2cfB8d1f3AA5Bf050D8C0d6D128175BFEee,0.035122930%,Bridge user,
0x8062ECB7AC487A16c200047490E2786F2a17Ea62,0.035122930%,Bridge user,
0xA973BD44841De67d77eCb773313d2302f578cF50,0.035122930%,Bridge user,
0x09dD64318580671f4Fc61e97d3887417eD58be6C,0.035122930%,Bridge user,
0x486f55C7bcd6A1038d3227d0d046Ff57dfe70879,0.035122930%,Bridge user,
0x683ee1dDCAfdC9Ea0eE22214CdcffA90dd613c4E,0.035122930%,Bridge user,
0x48d540dAA0a0da768b6ACE1A0981968e179b207B,0.035122930%,Bridge user,
0x76a5A247459aC6b581abb9E6951bB89042ff04B3,0.035122930%,Bridge user,
0x79eEDAbdD1D50c2B3B6f97A5D2C89759c1B02355,0.035122930%,Bridge user,
0x4Ffc5F22770ab6046c8D66DABAe3A9CD1E7A03e7,0.035122930%,Bridge user,
0xfD66C5e134ABF0888cceE8B6C8C97cb5be7E5379,0.035122930%,Bridge user,
0x38389e1ca3B9Ef7d21d2566D9B744d535F7cAfAF,0.035122930%,Bridge user,
0x1f1E2036b6be30eAf6a2835cCEFD05a73CfbEB00,0.035122930%,Bridge user,
0x886b646fAeb7C2b39DfE39afe119451a06bECf70,0.035122930%,Bridge user,
0x470d2D186f2313686Fdf0C6Bd632c25b08442a92,0.035122930%,Bridge user,
0xBDeD2929056380cbDAc076994D009c193e9152F9,0.035122930%,Bridge user,
0xfC89450C690A555A90B98505E2c2B128A99dDDf0,0.035122930%,Bridge user,
0x2092A1067b2Ed5C736BEd299a4E5dFB5480f02D2,0.035122930%,Bridge user,
0x9144A2aC2501B488edC8B45213E2723fEc205Eb2,0.035122930%,Bridge user,
0xe18A9d6eEA9817B1aF6206947A6175A851ea2352,0.035122930%,Bridge user,
0xE17e27Bd4379c9F982BE03b0dF0a6e7Bf5Cddd45,0.035122930%,Bridge user,
0x0ed94DdC597721A976D86a5d2be11d0d445dFFB9,0.035122930%,Bridge user,
0x8469c0bfD667c2a9e68cD320BBFdc51eCa4A30BF,0.035122930%,Bridge user,
0x38Fe1281A44B95c670aC8E559Aa67b6Cfe1F580B,0.035122930%,Bridge user,
0x10EA740f5526D7E262BeaE81a4EC8D944824eF1A,0.035122930%,Bridge user,
0x69B1a94b5e9277694BCb24d4d608C42b99eCC429,0.035122930%,Bridge user,
0xb2c466B176492eCa88B68f4F8923361c398aBf49,0.035122930%,Bridge user,
0x0F3b3371697a63Aca06B6A6396af673a5000D3D4,0.035122930%,Bridge user,
0xFEb26FdFe405666d8dcE92E072c78F741425d4F0,0.035122930%,Bridge user,
0x7f9eF59C6a5cc3C6cA4809442ABD12436319f118,0.035122930%,Bridge user,
0x1031D54A01145d2dEED14221da54a9B5E18d8336,0.035122930%,Bridge user,
0x9C562e8d7B08b14109cd505F049a53637B9f63D1,0.035122930%,Bridge user,
0x3F9D06d42cB2B04ADa2D9A8cdFBF63c5206d7deb,0.035122930%,Bridge user,
0xF2337A412942df4839F76016CC678391397EBBAf,0.035122930%,Bridge user,
0xCc9bD2BDfF4A835c11861C9B6B1061AC51f661B5,0.035122930%,Bridge user,
0x58229Fd340Edd36f1fe40DD9E9F429F93C92e685,0.035122930%,Bridge user,
0x0C434096342d697eBdc40aD20fb151db4A53C1fC,0.035122930%,Bridge user,
0xa3f7FE5f82eA5DB2e8F163AfB99494b3f0c278a6,0.035122930%,Bridge user,
0xE8d8B73CCC85dEd891ad41893Ebbb0d684350E04,0.035122930%,Bridge user,
0x37749325C5f4847151C5f864cA8B377763a3A343,0.035122930%,Bridge user,
0xD8E308e5D8ECCeEba76248343c0C1b159954de0a,0.035122930%,Bridge user,
0x895a231D331B052c08233fA90e68F702Ecd454b8,0.035122930%,Bridge user,
0x2f6939b9081d599a6c271bC6C8C0091EF7173714,0.035122930%,Bridge user,
0x62e6a9A0804868932bC592a2ECfeB5ef6143D5D1,0.035122930%,Bridge user,
0x9159b3b09A2d2C76fc098187aDdCeBA5Bc75cc73,0.035122930%,Bridge user,
0x485E308cC279A59504b5267BcF95489D2a441D36,0.035122930%,Bridge user,
0xe93b1885CF682ce2A1D87cB9e5E9e0A46a10552c,0.035122930%,Bridge user,
0x248a4F02eCF9334eb2fEBF37604893cEa8884A24,0.035122930%,Bridge user,
0xEE5be303Ae31Fdd4dec7C1678B2d163592Dc8E65,0.035122930%,Bridge user,
0xf8650b03F81Aa787624A3397Ee5d49D05D888091,0.035122930%,Bridge user,
