Address,Allocation %,Type,Sum
 0x40495A781095932e2FC8dccA69F5e358711Fdd41,10.00000000000%,Developer,100.00%
0x3fc232c07dcf2759af9270f0a7d3856b9e8cccba,8.84599219314%,HoneyComb Holders,
0x60559b4cc92292b589ded75295f5331adcc69e04,2.91804263010%,HoneyComb Holders,
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,2.45872110454%,HoneyComb Holders,
0x7066c68f07072e1dbfd2bacf609be764741fc915,2.06424497107%,HoneyComb Holders,
0x5286bc17220d51a36e55f5664d63a61bf9b127a6,0.99969978949%,HoneyComb Holders,
0x12c1c7e9892ef6e2e1dba4c3851dbeb8cf016638,0.97808465967%,HoneyComb Holders,
0xcd37a10adf09f3c7e26fc73ff5cf38ee78e4412a,0.85920144101%,HoneyComb Holders,
0x6f0d7d31f8124621a91c7d27803f60dbf54e42bc,0.81056739720%,HoneyComb Holders,
0xfe8d057312e76477ccd98e79d36f915f11e1dca7,0.57280096067%,HoneyComb Holders,
0x330ee904ab479f36fbdcad0dc821d43fe443d433,0.55658961274%,HoneyComb Holders,
0x0775ea2a88db33038c4069e41dda8d963b64c2a8,0.54037826480%,HoneyComb Holders,
0x90f15e09b8fb5bc080b968170c638920db3a3446,0.54037826480%,HoneyComb Holders,
0x995d1899cbbc2bc92cca6f264334a15b1d75d928,0.54037826480%,HoneyComb Holders,
0x281a468b6ca9cae0386456ad91fa67303bfc028e,0.48634043832%,HoneyComb Holders,
0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,0.48093665565%,HoneyComb Holders,
0xcffc6e659df622e2d41c7a879c76e6d33f37925e,0.35124587208%,HoneyComb Holders,
0x79092a805f1cf9b0f5be3c5a296de6e51c1ded34,0.34043830682%,HoneyComb Holders,
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,0.33503452414%,HoneyComb Holders,
0x54548ae55502086c7e046ddd5226c30b6c2c22ca,0.33503452414%,HoneyComb Holders,
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,0.32422695888%,HoneyComb Holders,
0xa44c2dfaf0fb434d3c630808d8d5661b0d1e0d96,0.32422695888%,HoneyComb Holders,
0xddd6cf8d3e028c37bf88bb173624ded9689657cb,0.31882317621%,HoneyComb Holders,
0x25542fd6204bbbe570e358b9ebeb391513980c34,0.31882317621%,HoneyComb Holders,
0x5cac7b9236dbb25e040442f5c7839cc4346015af,0.29720804560%,HoneyComb Holders,
0xda41bc5914b2c11aa4beecc4da7cb4bdb0a93378,0.29180426301%,HoneyComb Holders,
0x6c86b9442246ff449eb67b969c4fa51f43253858,0.29180426301%,HoneyComb Holders,
0xadcf1c25c9417072708271e8ece7c3675e2b2be8,0.28640048034%,HoneyComb Holders,
0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b,0.28099669766%,HoneyComb Holders,
0xe11bf8c9d4fd0dec48f0c8e54c7083f3fed8ee5c,0.27559291508%,HoneyComb Holders,
0x24a2ecf87f6e12d9a4f4a848cfc06470cc07d79d,0.27559291508%,HoneyComb Holders,
0x6ffbb6c376d0cf590289671d652ae92213614828,0.27559291508%,HoneyComb Holders,
0x4540cf740af9b51eeb2e28c9587906b8b1df3d25,0.27559291508%,HoneyComb Holders,
0x595250efcdd92b2e9d59968844dd8764684946eb,0.27018913240%,HoneyComb Holders,
0xe006b5d850d9ff7cd29de3e89c0e8036ef395a0d,0.27018913240%,HoneyComb Holders,
0xb02f51ed127419b8d3fab71f72fb7ffb1e416a38,0.27018913240%,HoneyComb Holders,
0x21a217793e6b33a956d6369b2051572b1bab6325,0.27018913240%,HoneyComb Holders,
0x55c4c6f4a2829c24c5e455609d38cbefd404245e,0.27018913240%,HoneyComb Holders,
0x8e3d6c8f591d73ebcf79810ebc4b3adf829d2fb6,0.27018913240%,HoneyComb Holders,
0xd712fb19bf6f3391e264cfcca10c3428bcf0231b,0.27018913240%,HoneyComb Holders,
0x335750d1a6148329c3e2bcd18671cd594d383f9b,0.27018913240%,HoneyComb Holders,
0x755e5c41ec506ccf4c819a2ea3f524065674bae0,0.27018913240%,HoneyComb Holders,
0x93c4258e0fa4863ad450d3bcdba945242c4b17b3,0.27018913240%,HoneyComb Holders,
0x15eb585735334db4b0b75919e5990e6391863b39,0.27018913240%,HoneyComb Holders,
0xa0eb44b173af64f2fdb47c7d76ff3a33e04103b6,0.27018913240%,HoneyComb Holders,
0xe0ba214ac32c876c316d320feff0b96409da0b49,0.27018913240%,HoneyComb Holders,
0x0dfb49f950cbbcc831a0bd9a374838850a55c2e0,0.27018913240%,HoneyComb Holders,
0x3c1e46e2d88e4cf6994a5b2e75242effe0c92243,0.25397778447%,HoneyComb Holders,
0x7c6cc4fc9f054f851aa9ae3577087f00e017db5a,0.24857400179%,HoneyComb Holders,
0xc8312f842c20bfc59301cb6fe0e7683a9107fded,0.23776643653%,HoneyComb Holders,
0xf35f8a19bdd6ceb6a3863146759b1e1e86e91c97,0.23236265386%,HoneyComb Holders,
0x343ee80f82440a498e48ae186e066809750a055b,0.23236265386%,HoneyComb Holders,
0xf1d8a5e4f7f418b16d4b203f0cc3427f40b04dc9,0.22695887118%,HoneyComb Holders,
0x24aa59b9967d01ab1021920f7ea92384671d13cf,0.22155508860%,HoneyComb Holders,
0x42db18d76f0cde2a2c6115017f177fffae4d5409,0.22155508860%,HoneyComb Holders,
0xd4ffeee21139cc8450b7e102847f786f1838ada6,0.22155508860%,HoneyComb Holders,
0x5a37762c5687e67bb6db2a9d1402e9eee8399cd8,0.21615130592%,HoneyComb Holders,
0x20d3731362f3fa892c0d5a0585385b2e0b304a1e,0.21615130592%,HoneyComb Holders,
0x1b43848b0ed4a17e87482b01dd27ef8ce77bd006,0.21615130592%,HoneyComb Holders,
0xd7b0befd4d3dab84b6a9aef864b645047974eb0b,0.20534374066%,HoneyComb Holders,
0x6240195ee8169c393f1303a710a020c0ba646752,0.18913239264%,HoneyComb Holders,
0x368e8301397bc3dbdb2ffdb6510fe17a75ff0db2,0.18372861005%,HoneyComb Holders,
0x998b284af974df8a7a9aa395dea78e61a36646aa,0.17832482738%,HoneyComb Holders,
0x9154d0ba26b7c98b18b3daf3c7af3d5c18bcf113,0.17832482738%,HoneyComb Holders,
0x05b7812824a48cb10ef5a3b701a8b55b7807de25,0.17832482738%,HoneyComb Holders,
0xd3af49e017ec09c4b83ba42aa2dea7ebd637e7aa,0.17832482738%,HoneyComb Holders,
0xc1fa63bd4189a9c49a30010b6a3ab11194a95842,0.17832482738%,HoneyComb Holders,
0x53430bde5e57ed878406a20ca101b0853f173acf,0.17292104470%,HoneyComb Holders,
0x49ed7c5226f61c7e27ad94e5cdaec00d3fa0b403,0.17292104470%,HoneyComb Holders,
0x197e6786dee74dd407822ca94751b35134ee5ce9,0.17292104470%,HoneyComb Holders,
0x469903cefa6b5493d44924db3f2cbabe8300bc74,0.16751726211%,HoneyComb Holders,
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,0.16211347944%,HoneyComb Holders,
0xb66208276563c538cdeb5cf37c815a14c915ac1f,0.16211347944%,HoneyComb Holders,
0x8717e37b8507039952fd12c195a8c3a628cd341a,0.16211347944%,HoneyComb Holders,
0x4a4d58adb25180f2e36c7429ba17bc4a79a21eb1,0.16211347944%,HoneyComb Holders,
0xc1674056bb58f18b07c5f07be0bd76c77ffc40c3,0.16211347944%,HoneyComb Holders,
0x6369460b015420c61a3a75c3e9595c81d0b94795,0.16211347944%,HoneyComb Holders,
0x1119c4ce8f56d96a51b5a38260fede037c7126f5,0.15670969677%,HoneyComb Holders,
0xe09a29e3cac66cad03a31ade68a440a08c7d5bd8,0.15130591418%,HoneyComb Holders,
0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282,0.15130591418%,HoneyComb Holders,
0xd95677f6b9cc860b6fd54dc6554236a78e6ec8da,0.14590213151%,HoneyComb Holders,
0xce9937270381bab20e66ca10b148efba6a7e72f5,0.14590213151%,HoneyComb Holders,
0xda2a4f7e5b5afe27bb997aa3983b2df228ee1d03,0.14590213151%,HoneyComb Holders,
0x5cbf3dc9ec8694e29f85505be9ed39cf07081cb1,0.14590213151%,HoneyComb Holders,
0xc3ecc147510633cb09654203483b6c19290b6c83,0.14049834883%,HoneyComb Holders,
0x3742600f3467cb45ad7e8b71262eae5bd6874f67,0.14049834883%,HoneyComb Holders,
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,0.14049834883%,HoneyComb Holders,
0x0b1a89664970ebeb16d6a1a039017049eea45a20,0.14049834883%,HoneyComb Holders,
0x4ef02b934c0a59c72da0d163da00b77a45cac622,0.13509456616%,HoneyComb Holders,
0x42087c28f296d3b2dab56e3f5d1aca1388f2be5b,0.13509456616%,HoneyComb Holders,
0xbe27d2db545ed28811d535ab29e86b780f048ac0,0.13509456616%,HoneyComb Holders,
0x80be646c17ae7a4a2a40cf08642e0d1020653eb9,0.13509456616%,HoneyComb Holders,
0x29a031f1f19a04f341bc941fc84c093f22334a9c,0.13509456616%,HoneyComb Holders,
0xa2490947b30258b522b7d6fd8fabec2d21c42d57,0.13509456616%,HoneyComb Holders,
0x193f0ee42a199a0cecd479a9f09ba293eb1ca357,0.13509456616%,HoneyComb Holders,
0x4426023bbeac104ea9f6f816c979f4e39c174957,0.13509456616%,HoneyComb Holders,
