Address,Allocation %,Type,Sum
0xbea2a8c8797b8943412e1e8ccd65812d33bc80d3,10.00%,Dev,100.00%
0xb3f5a781d482905606d7d9ac56d82eee6a1e8629,10.53%,Trader/point holders and solvers,
0xb20094dfede30abee3a8d549bba828b6fd771106,10.02%,Trader/point holders and solvers,
0xd23e5a77ac2adbddaa1569389581732f2ea09e61,8.25%,Trader/point holders and solvers,
0x33dfad5eb82272913b0f7990082095535eca7303,8.04%,Trader/point holders and solvers,
0x231a61d5c93ab375e2ae8293d05e71ed43d744b7,1.68%,Trader/point holders and solvers,
0x79770877da96840f058b1e60c5c0283b3a5be686,1.67%,Trader/point holders and solvers,
0x9e4b3377d072816f914abcae21c8b4ac577852a5,1.38%,Trader/point holders and solvers,
0x6e39741e4cd36d6228a754c3153f776c1eb1678f,1.26%,Trader/point holders and solvers,
0x0ca2597193f5a6fe3a8dcd04e4257822277197f2,1.19%,Trader/point holders and solvers,
0x2b786bd7af48d41263388c63e6613dfe9c6a27e1,1.02%,Trader/point holders and solvers,
0xc667891581280551ad01a0feece6b925d9c9bb08,0.98%,Trader/point holders and solvers,
0x68c2c7dfbbe886017b60402424a5f6b2dd20ea37,0.71%,Trader/point holders and solvers,
0x0162a4606596dab3ab8e1a562ec35922006c84a4,0.69%,Trader/point holders and solvers,
0x781715f824e75713cce5e1d349ad7b009715cc53,0.68%,Trader/point holders and solvers,
0x854ce16536cc41a0593a754f88a3eaf14eee9938,0.48%,Trader/point holders and solvers,
0x886431aee6486d68863d2963f3e7bc8683990210,0.34%,Trader/point holders and solvers,
0x257a24317a73a570789a6291a7e29efe2820ee63,0.33%,Trader/point holders and solvers,
0x80aa011d4b2188365281d2c9e174f55d79ed4555,0.33%,Trader/point holders and solvers,
0x576aadaadf9d79058e1aa22d7cc0478b65715bb9,0.33%,Trader/point holders and solvers,
0xcaecc0fde6f11537b11b75c6bfc7d24951824c40,0.33%,Trader/point holders and solvers,
0x9828d017e7ebff8a7815573fddbe89588395e4ad,0.32%,Trader/point holders and solvers,
0x7911a0e1c5909094e6138c5d7d21108aad176ff6,0.32%,Trader/point holders and solvers,
0xefce38f31ebeb9637e85d3487595261fdf6ebeeb,0.32%,Trader/point holders and solvers,
0x0ec5aebee78a41f754f82f6a099d448af0f02862,0.31%,Trader/point holders and solvers,
0x1bd170ca224807ebbc2085d738e7a83451c69038,0.31%,Trader/point holders and solvers,
0xbe7a6bda55e5e872024d450af22c1aa08e60b9ba,0.31%,Trader/point holders and solvers,
0xf6f40ced4cb39ed9eb2c2857b8cd0ccc2ddac241,0.31%,Trader/point holders and solvers,
0x1df2535cf0956abec21c4738534885d3849d6578,0.31%,Trader/point holders and solvers,
0x836f3c39de02cf0bafd12db91fceac54f916c9d0,0.31%,Trader/point holders and solvers,
0x53ce60f9df318a95088b48a8bf9bdae28193eb67,0.31%,Trader/point holders and solvers,
0x7cef5539420cccebdcfc0f368ef06bf4040e9137,0.31%,Trader/point holders and solvers,
0xfe91af2a316c8ffc281f62ec2526d8f464073ee6,0.31%,Trader/point holders and solvers,
0xa40de2e8e33519d60a8b58d156ea70365abe365c,0.31%,Trader/point holders and solvers,
0x94fadac3e0f791e2f2a0c73adb2ee549007ce4ec,0.31%,Trader/point holders and solvers,
0x1413527f83e50dc950f0a4979e291d2d6ced3094,0.31%,Trader/point holders and solvers,
0x12e6f31e6380137599dcf86ca99f14bb494d642c,0.31%,Trader/point holders and solvers,
0x90259c703a645e235b22572cc9a45a1b8977887c,0.31%,Trader/point holders and solvers,
0xcdb4c0109fd00690652edbe7073022dba431e3b5,0.31%,Trader/point holders and solvers,
0xec9c77b1d34a866c4a436f94075bdc32be402482,0.31%,Trader/point holders and solvers,
0x00002341de06b887bc49a8075a7af6530b580259,0.31%,Trader/point holders and solvers,
0x7f1c569cca47c91c1c950e0e846da9003b832db6,0.31%,Trader/point holders and solvers,
0x42ae01552f4fc48edb2c7e9529494ee4dee25f1b,0.31%,Trader/point holders and solvers,
0x6555ccb1b0d272080cb0f9faeed51454c7d4be95,0.31%,Trader/point holders and solvers,
0x1f018b0eb1bf9e57e5034346936504cbe0f69d38,0.31%,Trader/point holders and solvers,
0x6aa973b3bef16fdf0db9e17634c470c36d956e26,0.31%,Trader/point holders and solvers,
0x5f87335e42d7750f52eaf2421ed4d9e79d61c13e,0.31%,Trader/point holders and solvers,
0x8d213b3e8c58b667e158b2b4a2a37bc2d5889b6c,0.31%,Trader/point holders and solvers,
0x7410a498373497b5d1aa2a427a12d94b07888034,0.31%,Trader/point holders and solvers,
0x730f52ac9b8e2c5ac4ea17877089fd90a74be43f,0.31%,Trader/point holders and solvers,
0x4d8aee92a1d5f460ab398bc7687c36203287eb6b,0.31%,Trader/point holders and solvers,
0x33330835c3c904ffe4e61056b43557dd6be6a683,0.31%,Trader/point holders and solvers,
0x01dd925c99f19707fa92b7b9d830f9e84a5d7d31,0.31%,Trader/point holders and solvers,
0x7777e604d7633454aaa42a70a241ab8726119397,0.31%,Trader/point holders and solvers,
0x5c7308f26d84a2ec729007a97e451f3bad9e5dcf,0.31%,Trader/point holders and solvers,
0x5ba02ed338ab19abfb365df859067940dd950bba,0.31%,Trader/point holders and solvers,
0xe48bdf3cbed731a1fcd2eae749e1bc3df07f7628,0.31%,Trader/point holders and solvers,
0xfd8fb55dd06954997c7b689af72b4b123ad0f48b,0.31%,Trader/point holders and solvers,
0xf9d6916b5ff247e404a9d86c356bd2e52aab1b46,0.31%,Trader/point holders and solvers,
0xbe371501b8f51afa9da916b3cbc9b6f174338862,0.31%,Trader/point holders and solvers,
0x202c051f0fc5f3810e329232a2229a2346a1fd83,0.31%,Trader/point holders and solvers,
0x31e60693b58ad4a28747f97fac5bc055de257e56,0.31%,Trader/point holders and solvers,
0x44b2223a77275d4aa2ee5d6924c8411bb6e480bd,0.31%,Trader/point holders and solvers,
0xefb5bd3fd9942932147464c1db543391bfbb4a17,0.31%,Trader/point holders and solvers,
0xa907823ee8a562e845b728a6ac93d06d09be3cf5,0.31%,Trader/point holders and solvers,
0xc66539a070856a6f4699f7ea3fea142df68918f1,0.31%,Trader/point holders and solvers,
0x259a50e2e157190c640b4c99f6a8e62d9fc1c4f8,0.31%,Trader/point holders and solvers,
0x7d7b4b30bef5a73ddceac9e6f247ced9fe80343c,0.31%,Trader/point holders and solvers,
0xa02da8aad61d4e1c21a444a5077966991c674349,0.31%,Trader/point holders and solvers,
0xb1d4464fdf3a6c6c2d6ab93ccb40e8ff8d537653,0.31%,Trader/point holders and solvers,
0xf3b75aeb448fca1b457432fcca3ab8c491ba1e22,0.31%,Trader/point holders and solvers,
0x0f247cf8d04f2cc8216e45a572fecdf0f87b3d23,0.31%,Trader/point holders and solvers,
0x4c9b10cd03ebc6404a07927074dd2774a3b2bba2,0.31%,Trader/point holders and solvers,
0x4bf6c464ebe0d3484568e54a2bb52dbb587d0bb5,0.31%,Trader/point holders and solvers,
0x9995a00201554d5a2430b743fa4fa2aad664bef6,0.31%,Trader/point holders and solvers,
0x93133128f23e86f85614b8e68f0ec6653833528e,0.31%,Trader/point holders and solvers,
0xa67666e6e853b7b1ab003693ceb5475a902036e3,0.31%,Trader/point holders and solvers,
0x9971b6957e348b5b97c3a057ca8e3e85570f340a,0.31%,Trader/point holders and solvers,
0xb3acd90ae262cd6aebd4e84b914413f2a81a0d9a,0.31%,Trader/point holders and solvers,
0x12340aa38ff4d8a94aee564942532da40444e1ce,0.31%,Trader/point holders and solvers,
0x8b063d3b39fd82543ad047cd1538602ea67a06d5,0.31%,Trader/point holders and solvers,
0x89b0c52bb41033499ff2b9907759a70e330e8a05,0.31%,Trader/point holders and solvers,
0x86e0145fa3c4f292bf6c65dea27d270fe201b5ea,0.31%,Trader/point holders and solvers,
0x5d07d01918ae832623b4671dc0c7927b740cd5a1,0.31%,Trader/point holders and solvers,
0x639d59f4444cf9e940bf62317e990c756adcad14,0.31%,Trader/point holders and solvers,
0x4f9e1412eadad32ad31e61f3e2820d55ef09556e,0.31%,Trader/point holders and solvers,
0x50b4d75c959361c982643d1758e250f43c1b34c6,0.31%,Trader/point holders and solvers,
0x59018e7fdced4ef17f48a378990669e301d16378,0.31%,Trader/point holders and solvers,
0xb09c9fd52d86e053104bac4cd197749483f760e0,0.31%,Trader/point holders and solvers,
