Address,Allocation % ,Type ,Sum
0x00D94Da07ea932ed8426E8DFd06615BdA49b8022,0.131752305665349%,Depositor,99.999999999998600%
0x0129f2E1f037f6fE4E25A4345e32407BC388c11A,0.131752305665349%,Depositor,
0x0137A4A22f220B4dDe104f8E283E6179A8Cd2B92,0.131752305665349%,Depositor,
0x01418fc5445F3ba3E9e814D2B99cD14C0C7fD5FB,0.131752305665349%,Depositor,
0x01B34F6E2cC5C38767b12b59442fD695c8030e36,0.131752305665349%,Depositor,
0x01ae951Ac7a6b8F2DED0E20D7c5b37f12Cacc9AF,0.131752305665349%,Depositor,
0x035099762bA08910D671A6DbE277b86CF17e6B8D,0.131752305665349%,Depositor,
0x03863448Fc19a7e3c3D79cB7219F2e146c7c92Ab,0.131752305665349%,Depositor,
0x0390449D4DD18A0ffCBf24Db1B16bF4645956BE2,0.131752305665349%,Depositor,
0x03d6eDd0b7538c2d2B00fe424C6BCcC9C6DF2A0D,0.131752305665349%,Depositor,
0x04A65632a23F1494861A036Fc1f2378f0f37165c,0.131752305665349%,Depositor,
0x04fCdA8bc771B697B85991f9213EBF188da8E703,0.131752305665349%,Depositor,
0x055D025D6EDAEDDD192b241dA30a632910ac1409,0.131752305665349%,Depositor,
0x05B61848F77D9F11251c95cd96416bcc20eA3B77,0.131752305665349%,Depositor,
0x05b08e65850125b1242d4D8AFf59563a326F36Ad,0.131752305665349%,Depositor,
0x06161F59b3A41cB7e30CbFb631a9631eccBE081f,0.131752305665349%,Depositor,
0x063b88D53d109C12Ec21785C4E5E89Bb71369432,0.131752305665349%,Depositor,
0x06ba4f44df95b40fECFAd4393B555Ee6F832F858,0.131752305665349%,Depositor,
0x06f7DC8d1b9462ceF6fEb13368a7E3974b097F9f,0.131752305665349%,Depositor,
0x0709B103d46d71458a71e5d81230DD688809A53D,0.131752305665349%,Depositor,
0x0725Faf58E743002FF5869754B71032D3E88AA02,0.131752305665349%,Depositor,
0x07733B4a748256b4117219d43Ef0CA3ecDC3F591,0.131752305665349%,Depositor,
0x07Ce3E0Ad2286F35BF45655984Ca12aAf42ad872,0.131752305665349%,Depositor,
0x0805e5a4169042aDD1327eFFC63bFC7C72D7dac3,0.131752305665349%,Depositor,
0x081BB22BC3320c5589866C713E9A025c9ae772bB,0.131752305665349%,Depositor,
0x08Fa25A894070d71e1926a046acfB636B35058C6,0.131752305665349%,Depositor,
0x08cCD3684a57AcD5eb2CEbd51cAF88c75073b23A,0.131752305665349%,Depositor,
0x0A24b03fA2CB9b51AF900C68600B3f70211b3540,0.131752305665349%,Depositor,
0x0B1c4A6295d7Db63E2153E74373Fb7E552f5Cf97,0.131752305665349%,Depositor,
0x0B8111822aA286f32b7Cf9542b21720b12e4068b,0.131752305665349%,Depositor,
0x0D364c5c6c803FEAE75db05aC248fd9DBcc88c21,0.131752305665349%,Depositor,
0x0DfedAc6b3105C31844d8F733F2D374eFF55f4D3,0.131752305665349%,Depositor,
0x0E644C2A21b415855B6f1c65A3d3a838cc82D246,0.131752305665349%,Depositor,
0x0EE4e42b1096530f80A589CB13461930704517d0,0.131752305665349%,Depositor,
0x0aD32D17E0Aa29C3A6Dd2d59945B92D2019A1aac,0.131752305665349%,Depositor,
0x0b1cC629a84405A65FDD37762eA9117A0c600307,0.131752305665349%,Depositor,
0x0bE1F2BFc8e0F1BD6558672991482FcCbD48bD73,0.131752305665349%,Depositor,
0x0c2E96cD900DCB8340A8adCe7A12E78aeeAD2C4e,0.131752305665349%,Depositor,
0x0eCddcF41754360AB129d7Ca4c8ABf220F9c32BD,0.131752305665349%,Depositor,
0x0f07eb757e9CB874A55BeE5835d3430E340F9970,0.131752305665349%,Depositor,
0x10F02822485Fd2d8Dc7AbA28922A5304369B77BD,0.131752305665349%,Depositor,
0x11237EC9d993FfC357AB4EB577d036037a612ac6,0.131752305665349%,Depositor,
0x11254b7d20E8017B9eeC4059507cab861a785ae0,0.131752305665349%,Depositor,
0x12265B47c763cE011923d9e5692c93cC4e83a8B3,0.131752305665349%,Depositor,
0x12a35ed6c8f3B8950cC98500A4e0b17a99E426D1,0.131752305665349%,Depositor,
0x144Eddb7C9CAD412e47AE9d656ce14FAb03909dA,0.131752305665349%,Depositor,
0x145e169978DE85Df3955058Af1E87Fca6c57c318,0.131752305665349%,Depositor,
0x14Ff0Bc9417B6796f79768729002A793b51205B8,0.131752305665349%,Depositor,
0x14fE3f2889Cd05977Ad4E2508E44Cb0F3D7f56Bb,0.131752305665349%,Depositor,
0x153f48DAAc774e2d91be017f83DDB7Ddf8AC721C,0.131752305665349%,Depositor,
0x158e02e4A130AFD22426bc3cCA06dD346f4f54Ea,0.131752305665349%,Depositor,
