Address,Allocation %,Type,Sum
0x7Dbc67df4d4ea21420B1BaA077028d2c1CCa7399,10.0000000%,developer,100.00%
0x00000003389Ff563957D53b23a72bdcDDB6F388a,0.1108852%,user,
0x000000762d49bf39c31b4f236af3b1c78994de7e,0.0041196%,user,
0x0319cd0ac071abcb479c0bee32ad6b28d8a79083,0.1253954%,user,
0x0725Faf58E743002FF5869754B71032D3E88AA02,0.0006015%,user,
0x075eaa0f9574d5519e6f89ac082f1983442e5cb5,0.0001824%,user,
0x08a1e3474b4ddec68903069dbf363384367ffde3,0.0023662%,user,
0x0950f7b1d09caeafd0ab460e7883b04c40dc429d,0.0209675%,user,
0x0A251dF99A88A20a93876205Fb7f5Faf2E85A481,0.0003792%,user,
0x0bd8a3e3e1979d2593ed1f903aa29005e4be0e2e,3.8417220%,user,
0x0C28FC0384EfAaF7B792f8789758B0080663eD42,5.2875091%,user,
0x0c537101991B5024137df14DCB823766Be078961,0.1098661%,user,
0x0D0E328B8fBc4a148Eeae9E7b4791D7A6A0D2d07,0.1457172%,user,
0x0D80d087a435052D748450C6f5f1d504F0951c24,0.7709838%,user,
0x0fe17e36d582c8219e73773066c51f044559aaf7,0.0099942%,user,
0x12dabf19ca73017f465c2bd69ebf2dbc6842e6db,0.0145217%,user,
0x1454ba023bc2ca00bcb6288a051bda335f3762c7,0.0387689%,user,
0x16518f441B38965c452Ec4A4bdF57148d5f4928B,3.6372039%,user,
0x17c3bf453b247b11bc1634218ed7fca256c83dcb,1.2337521%,user,
0x1aa513b327f23e2debed2dfa7e44983583cc1df2,0.0010607%,user,
0x1b1347066fb22eeb3f0eceb9950c0b03b5701ef9,0.0003184%,user,
0x1B2eA91c51e2b0cdbBD06e5a32bAB0D77F825E90,0.0348897%,user,
0x1F4071a7000D0b84e9cEDe78c6dacAA641Bd8498,0.5167587%,user,
0x2070b4a742b0f6930a36122fdbf9272669e22aa3,0.0034189%,user,
0x270864586801f4bdf2022a9c85071ec9e7e08dd2,0.0002048%,user,
0x273Cc8220e9969Fd0adbdbF417cCC4943a7c7A4D,0.8542887%,user,
0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc,0.0165583%,user,
0x2fc9896cb056cd3f28716ada06e509a1c8fed40f,0.0004544%,user,
0x328040a1d67e0be5f0225b61901e2b9fa3907cbd,0.4004926%,user,
0x341f3ebcda191bbda7253ef8dc9bd7d5f1147b99,0.0313009%,user,
0x35063502261a6ae919b91efbb569252a3628f5c9,3.7379056%,user,
0x35c93067887e369a252f540be8130c971f97bfea,0.3936037%,user,
0x361b42abbf8b69337c11b457e2b624a3e5327abe,0.0007423%,user,
0x38410d33b106890d604208785d200c0e466ee418,0.0014527%,user,
0x38885542a85f3a7ab430d62196023fa88bd1ff6c,0.0143346%,user,
0x39cf75D87598cB7ffAE6FECEcD13BB2566e18486,8.3608699%,user,
0x3A6A9165BFC2d8ae155d972594F246FEd98B0ff5,0.0050475%,user,
0x3c655be9f52309929822ac0f2d1270bf346b7226,0.0253975%,user,
0x3cd403f10a3f52e4e4b2df1ce11f8837a3abc30f,0.0003616%,user,
0x3e2403592CfA10CA2e8Afd82152AA30063C9DeB8,0.0016979%,user,
0x3ec4bd8fe158135e89be206f3deb0b932099a3c8,0.0014911%,user,
0x40dc3b084f8190a1c10044df2edf4a49c644b6b6,0.0023662%,user,
0x40f1a6e618e99fbf1970836faae3f8cb2f85c8a6,0.0008511%,user,
0x414E8496456d4377cE01A9AeC6531C94c9Bb6E83,0.0073855%,user,
0x431ccb866a7aa303097e87297340a9749a7c29c8,0.0006943%,user,
0x4372a476cfc01ed16e6a834609c31108c23e63bd,0.0021294%,user,
0x43c4f7692853aa61929bbd8ed730d8110dc7ee2a,0.1221142%,user,
0x43f08aaac525b75263982b1171ef32495efa2ec0,0.0309617%,user,
0x45436630ee7b120dec4d14edbaeb24feb15d9032,0.0006367%,user,
0x4a00bedecdd6742f858c115d018ebbd36292c29d,0.3821057%,user,
0x4a401ee7fef089cd20d183fe2510d7bd38294728,0.0090151%,user,
0x4cf5b5a74816a61f1c603261c2bc748a3ddd3d94,0.0004032%,user,
0x4E84c7E055A64A131989175DFb98e8Fe432Be94B,0.1051132%,user,
0x4f0142309f49b65107a7bce0c7d52841ea16e80e,0.0059114%,user,
0x4fc4176e5cde2fe3acc26c9ae6bcbbbf0ad22b7f,0.0023662%,user,
0x4fec3531aa75a6c298567abecdd8cf1e975a28e6,0.0008255%,user,
0x51162Ba5C1eF2C1514980A73cE646861771D9E2A,3.4344759%,user,
