Address,Allocation %,Type,Sum
0xCeDBC35AbF165bc0DB22a8021d68563cD10f565E,10.0000000000000000%,Developer,100.00%
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.0066949341664807%,Bridge User,
0x639d2a49bdd0cf37614f46a83e4aa49eaff1e537,0.0066949341664807%,Bridge User,
0xc481a629cf6c869e7417aaea2e0e25cde1628334,0.0066949341664807%,Bridge User,
0x34327028c727613872cd80122b9a489a4b9c0bfa,0.0066949341664807%,Bridge User,
0xa75c7aae9c6d8c06a3f2c7343da7f7ccd77a9ea6,0.0066949341664807%,Bridge User,
0x091cad5e1f4daa4d6cf396496229026fd4102a9a,0.0066949341664807%,Bridge User,
0x39f58878f8d09d417547fec123f76bf7c800d055,0.0066949341664807%,Bridge User,
0x0c706fabd0d20710b89c633724fe816e627168a4,0.0066949341664807%,Bridge User,
0x3c7929a89e86873294c49ab03242a552be46085d,0.0066949341664807%,Bridge User,
0xb577dfca930c6639d0a18bff708d2f65ed24ff0e,0.0066949341664807%,Bridge User,
0xb811205971e400a34779b9cd71205ed76ff30fd9,0.0066949341664807%,Bridge User,
0xb1b119a93d3ce4ddda8c8acf158950f9a254abb3,0.0066949341664807%,Bridge User,
0x908bb17c730b83ebea7581c0ed88e06eabb1355e,0.0066949341664807%,Bridge User,
0x581d121b26e5ae04dbf5487139d5f3c05554a102,0.0066949341664807%,Bridge User,
0x64e8894f4804f2d887893f3fa014cbbeb6419688,0.0066949341664807%,Bridge User,
0x9ba014133cc6b16c168ada09f3e8028660ac3a07,0.0066949341664807%,Bridge User,
0x99f568e049424f6a8b2ef200c7faad2a27426982,0.0066949341664807%,Bridge User,
0xdd9333e6f4385864fc35b9aff3d4f1936048e31b,0.0066949341664807%,Bridge User,
0x3f15279441bd02821fd9d6d5056259ee1e2b4dc7,0.0066949341664807%,Bridge User,
0x42ae01552f4fc48edb2c7e9529494ee4dee25f1b,0.0066949341664807%,Bridge User,
0xf591da380c911c7be9ba48bd14c451bf784886f7,0.0066949341664807%,Bridge User,
0xf09206e2cd69c24e716ba865c80bb383205ac5c0,0.0066949341664807%,Bridge User,
0x09cfe7cb17a1d97a2d4dd4a40ef99602238722f2,0.0066949341664807%,Bridge User,
0xedddb1e0e35af3479d03a1499cb11a3fcc5fcb28,0.0066949341664807%,Bridge User,
0xea5945ddc8ba00db94f746bbae5e89be1cb6088e,0.0066949341664807%,Bridge User,
0x47a761bb9e970ac93cb571c4614c4ca643714e4f,0.0066949341664807%,Bridge User,
0xc97496df9fe0d0d7fb903e9d6dde21f525fd6f8e,0.0066949341664807%,Bridge User,
0x79a4a55a7a6333cab4a9896f6383e788438de6b1,0.0066949341664807%,Bridge User,
0xe32bd538d4c26ec7516cac824e3b1259493c86ec,0.0066949341664807%,Bridge User,
0xc9819bbaf81bdcb4503d1c3b03ebfc6efc9adac7,0.0066949341664807%,Bridge User,
0x97e388e8819f6b90ceafc36edf51fc12f3e9108f,0.0066949341664807%,Bridge User,
0x6492e25fc6bf07a6f6498a522314949998f3b16d,0.0066949341664807%,Bridge User,
0x90c53d5cc0f6756def2542830a6c16bbb995aff3,0.0066949341664807%,Bridge User,
0x3099ce94b9ddb6715b1169f61aa0e16ad818ce89,0.0066949341664807%,Bridge User,
0x76ed8641beba61116e8becdaec12d7155492b44b,0.0066949341664807%,Bridge User,
0x78728fa68e9f07704ddad785007fa021d7b140a0,0.0066949341664807%,Bridge User,
0x41fab1cda25c5c15c5a0260537a6056ab62318cc,0.0066949341664807%,Bridge User,
0x813b2af9517c693ea40ab30b9b202f059df606a8,0.0066949341664807%,Bridge User,
0xf7fde3d744fd45069a8ec73a5b3b80dcac816c17,0.0066949341664807%,Bridge User,
0x815e116c9cc4604d3ea481ab55abe829ee885a88,0.0066949341664807%,Bridge User,
0x6c7c4ccdef88529e34f3cf494335bced753afa5c,0.0066949341664807%,Bridge User,
0x1a61bf9b7da927e3fa49bbff9f6f3152cbe96444,0.0066949341664807%,Bridge User,
0x0f5037ac1bc2526b630a230d6a378ec2f3ac6ea5,0.0066949341664807%,Bridge User,
0x86356447537bcbbba0cb7b49e3130ae656dcaa27,0.0066949341664807%,Bridge User,
0x8faa528ca1455f3ec436cf797def30647e74709b,0.0066949341664807%,Bridge User,
0xd15bd11dc9e5d3c071f9cc50a9952ab4d9d91f84,0.0066949341664807%,Bridge User,
0x5ba2eb455b74e461e2e8daeff0898ca225151673,0.0066949341664807%,Bridge User,
0xb15ef26c0925ae7a310f6e1d0de7bf88bfdd053e,0.0066949341664807%,Bridge User,
0x6a553970d1c03493fc3b1df43022939a0b0b818d,0.0066949341664807%,Bridge User,
0x10fa5b3af3fc9d8c0f564929e487e640848e4154,0.0066949341664807%,Bridge User,
0xb632619dd73db082df23d7e8d5bed09b63e31417,0.0066949341664807%,Bridge User,
0x5614137ea33147428f5df217a16e9e3e5c6bec32,0.0066949341664807%,Bridge User,
0x7d721a7d6bbb480944e87f3ed6be36c88cbcbc36,0.0066949341664807%,Bridge User,
0xacd19eff745059407d8f1b24f6a0b866667ff1b6,0.0066949341664807%,Bridge User,
0x16472ee8375af34581e9b486da02389da194b281,0.0066949341664807%,Bridge User,
0x83e01e22d04ba347c507f24d6ca883d51a528cad,0.0066949341664807%,Bridge User,
0x629775f185e8a88ee5af43c554adb48043b94677,0.0066949341664807%,Bridge User,
0x4da94e682326bd14997d1e1c62350654d8e44c5d,0.0066949341664807%,Bridge User,
0x76648aca7eda8e0d04e9b58cfea50b87ae28a01b,0.0066949341664807%,Bridge User,
0x00591fca5a8a5963e82c2900310a7b42f96b4a30,0.0066949341664807%,Bridge User,
0x24621aa4dde07f04c57146d83468969010b7489e,0.0066949341664807%,Bridge User,
0x82e87a258706f1e6838ff3b0212b66eb2562a8fc,0.0066949341664807%,Bridge User,
0x6f644d1d3e5bec19a67021a604ab151cbcc824ff,0.0066949341664807%,Bridge User,
0xf728b1f95bdc795b537b2d7a1386f4f733677839,0.0066949341664807%,Bridge User,
0x368d05c1d754fb888fdc18de5424598647256461,0.0066949341664807%,Bridge User,
0x0fe6b2f627cb03fd45b8608f0b2ff285db10fff1,0.0066949341664807%,Bridge User,
0x1c00364f79b83479252b40b450f7d909d9092e6c,0.0066949341664807%,Bridge User,
0x104db84171ec5da4cfaecd2490f57dbfaff540c7,0.0066949341664807%,Bridge User,
0x5b4170c7a8503de9fda0cf171b0498ceacf351ee,0.0066949341664807%,Bridge User,
