Addresses,Allocation %,Type,Sum
0xFa82f1bA00b0697227E2Ad6c668abb4C50CA0b1F,10.0000000000000000%,Dev,100.00%
0x564b1a055d9caaaff7435dce6b5f6e522b27de7d,1.0112359550561800%,$wjAURA OFT holder,
0xd28dc62611c424c51a9d01c8b962eb02eaae9b28,1.0112359550561800%,$wjAURA OFT holder,
0x8a59ea01e629a3e8443f2821a986dd626333d2ad,1.0112359550561800%,$wjAURA OFT holder,
0xc693b4ffb338579467a541b2bf267b1955870920,1.0112359550561800%,$wjAURA OFT holder,
0xd1ccc963ef8119d935edeb42e651f0cd81b83b77,1.0112359550561800%,$wjAURA OFT holder,
0x1e121993b4a8bc79d18a4c409db84c100fff25f5,1.0112359550561800%,$wjAURA OFT holder,
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,1.0112359550561800%,$wjAURA OFT holder,
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,1.0112359550561800%,$wjAURA OFT holder,
0xa0d056a6865f0b212dea95dc2ddaa28883e4f62c,1.0112359550561800%,$wjAURA OFT holder,
0xcfaba3994c45aa03e479000300801ae35b39c388,1.0112359550561800%,$wjAURA OFT holder,
0x46679587281c67ae9ad977c8d84a6b8a96a7cec9,1.0112359550561800%,$wjAURA OFT holder,
0x1daae9340a7bd2b04f58a7020a27466a9d730f38,1.0112359550561800%,$wjAURA OFT holder,
0x896b7eb6bdc0ad9d326d75ddfb5b28ba09e8d6da,1.0112359550561800%,$wjAURA OFT holder,
0x6732d7ce8be2a91b4e59c98cc3f78aa3d47a4026,1.0112359550561800%,$wjAURA OFT holder,
0xae2a6ce639c1ec0951655da99e38182c2d81e2e1,1.0112359550561800%,$wjAURA OFT holder,
0x28d5fa40b3ca8b6c1d5934fcec6c58361f749b54,1.0112359550561800%,$wjAURA OFT holder,
0xc7755a379a5b56dfab57b9cad804428effabc817,1.0112359550561800%,$wjAURA OFT holder,
0x2908a0379cbafe2e8e523f735717447579fc3c37,1.0112359550561800%,$wjAURA OFT holder,
0xd39048f2c953b6eb3214f934593b832a294cc3a7,1.0112359550561800%,$wjAURA OFT holder,
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,1.0112359550561800%,$wjAURA OFT holder,
0x53d8edf6a54239eb785ec72213919fb6b6b73598,1.0112359550561800%,$wjAURA OFT holder,
0x68a9857b0e540e5a800151d3e4a33037191a5dc4,1.0112359550561800%,$wjAURA OFT holder,
0x713564da6a54d6d105eea56baf2708ed062e20c2,1.0112359550561800%,$wjAURA OFT holder,
0x0e06386cc164e743f2750753a7cb823afe5a11b9,1.0112359550561800%,$wjAURA OFT holder,
0x5fa9b5b9cde9a7d7f27e61522da3b2dd728e1ab4,1.0112359550561800%,$wjAURA OFT holder,
0x79ec651e503f243c4d5bc1d11c55d57f60cf1349,1.0112359550561800%,$wjAURA OFT holder,
0x0ab97008cad303a8c90ea630c282760284c19e93,1.0112359550561800%,$wjAURA OFT holder,
0xed15bf2979c38499e3e1573e71a9145a28a0e0ac,1.0112359550561800%,$wjAURA OFT holder,
0x29e3ddf94d76c97fcd43d07fc8b15a03ad233a40,1.0112359550561800%,$wjAURA OFT holder,
0xcebda550ff74f50e2b4941b2824c99aff9bda3a6,1.0112359550561800%,$wjAURA OFT holder,
0xf49559a962d46b02b49a70320cbbdf2cc7ba40a7,1.0112359550561800%,$wjAURA OFT holder,
0x182053604e90a43df72e03bab3e72e58833cbfd4,1.0112359550561800%,$wjAURA OFT holder,
0x1b78284595ed8468608da05aa02933b84c6a4183,1.0112359550561800%,$wjAURA OFT holder,
0xae0393642c2911059633cc04b5cda570c9496ff2,1.0112359550561800%,$wjAURA OFT holder,
0x13889f184902a81d25a092ccb9318da14481e379,1.0112359550561800%,$wjAURA OFT holder,
0xf5ecd622eb658da0fbbd224900ef3bf7af8c5be7,1.0112359550561800%,$wjAURA OFT holder,
0xff2ce9d334df35ed9fcb155f33856b638ec5d3a5,1.0112359550561800%,$wjAURA OFT holder,
0x65f8b250ca51215a776b9bcb69f61df92da2a64e,1.0112359550561800%,$wjAURA OFT holder,
0xf09e41562b8c306e72415d8edb66af1a85fb3909,1.0112359550561800%,$wjAURA OFT holder,
0x6808a2ab42dfb5e5d5b5c17a001810f79d6ef6f0,1.0112359550561800%,$wjAURA OFT holder,
0x8061199a31983a077e691c08b2263a4cf5c24093,1.0112359550561800%,$wjAURA OFT holder,
0xb7e7a4396597aba7349280159efe56d4de699d6c,1.0112359550561800%,$wjAURA OFT holder,
0x9e4f6fa29f6fee8aa8e57a6c547d17964d266325,1.0112359550561800%,$wjAURA OFT holder,
0xe4b32828b558f17bcaf5efd52f0c067dba38833c,1.0112359550561800%,$wjAURA OFT holder,
0xbd965dd21aac69a8acbb8426938f1af203eec8d6,1.0112359550561800%,$wjAURA OFT holder,
0x2dae14df2b09980d18e937166b427819b9e2ac0c,1.0112359550561800%,$wjAURA OFT holder,
0x6c76edcd9b067f6867aea819b0b4103ff93779fd,1.0112359550561800%,$wjAURA OFT holder,
0xd091b0eafd07c0b42aeec61af79bbe2d8c5a8dfe,1.0112359550561800%,$wjAURA OFT holder,
0xda5930dc7c0022ecf9a084120df232c24e54ddab,1.0112359550561800%,$wjAURA OFT holder,
0x6a74649acfd7822ae8fb78463a9f2192752e5aa2,1.0112359550561800%,$wjAURA OFT holder,
0x9255dcc8f57efbeb98d00adab1dd3af044171ab4,1.0112359550561800%,$wjAURA OFT holder,
0x5e1c6373b789430afc1bacf02301c88c94099244,1.0112359550561800%,$wjAURA OFT holder,
0x7c55a970a50d58f2b0efa03aa1f6f582a7c6cf0f,1.0112359550561800%,$wjAURA OFT holder,
0x1fc68efbc126034d135c6a53cb991ff7e122b3d9,1.0112359550561800%,$wjAURA OFT holder,
0x667e2491cec398c453eeeb708bf6ecbc2c6b5da9,1.0112359550561800%,$wjAURA OFT holder,
0xb4b28f9487cc25c26c655f04a37f974068920541,1.0112359550561800%,$wjAURA OFT holder,
0x818bb80a26ff5a6dfd52bab54b3a651c5da9e514,1.0112359550561800%,$wjAURA OFT holder,
0xa8b4c7f8b3d91b324f815252da74884e68fb4c4c,1.0112359550561800%,$wjAURA OFT holder,
0x7063724ef974689e2962662e6fc4f9ca17d83344,1.0112359550561800%,$wjAURA OFT holder,
