address,Allocation (%),Type,Sum
0xd77ec5ba85742194487ac7218d2775b8b2da40ae,10.00000%,Dev,100.00000%
0x9b0890ad3342d4d8fbee64dd4bc9797cfb4bde73,0.04848%,User,
0x89cff61026f6743b8d25ae9b253582083136b1c4,0.92331%,User,
0x3283dd9e2b98c348a47a274b5cc2b64f41c689f6,0.01212%,User,
0x102b20921c6f1d392b21919718e01f6309f815da,0.02689%,User,
0x1075dbde7a18d722dd72dc10a288e84ed870d27e,0.54715%,User,
0x4923042e61c749345033a8ef32c015eaaa98bb02,0.53910%,User,
0x52a42429bdaad4396f128cb92167e64a96be8a61,0.10302%,User,
0xe11d27aa74e67a53be15de71f807d881e69d6316,0.01818%,User,
0x186398100f1c9e4c1818035074558fb8c2fdc981,0.00606%,User,
0xa95a2de443924cb660ea5d0f76f5b65e6d9e7227,0.00606%,User,
0x5254927598e4dcad26de35bdab0c0aa2921cdabc,0.38056%,User,
0x37ea0e8a72dd9b6c1f250b151921bb3aa083a2ab,0.09405%,User,
0xa109d9e958bfc0f230aaafc703a52b4ad2414316,0.05113%,User,
0x710dfb624012d56dbaded7d8b208e16e11990979,0.01212%,User,
0x8c8d66c8e57d3bb00abb85c1753d5d65ed0d27e7,0.01212%,User,
0x9d41eccedd6911c60c523d528a326f0dc2b59f4e,0.01212%,User,
0xd8ee17c7bf6c321dea0c43728d2900b7007a6480,0.44246%,User,
0xc7255b259e7ee453099bf3b01224eab476a30845,0.23267%,User,
0x94591911e06d253da4cb3d6a68928a6e9f54480e,0.22135%,User,
0xe33ca2060284674caab50bc0d84cd4391c5177b7,0.13234%,User,
0x90f1b072eb7da8ef56a68d39d5ed42c0c14833d1,0.22721%,User,
0xcd30c9d0b4ef6920c4723469846d6a8b9aadf974,0.02424%,User,
0xfd196917bcf0e2219dfd2dbfcd5ca6f5a63739b0,0.00606%,User,
0xd5f0aa8f151438494f1758db71df95ccc9d62bea,0.00606%,User,
0x1d260d4a1b9db70acb8f1539feb7696666a85fc9,1.35926%,User,
0xe3edadf3c7773db4235b9f3ca3a7e1ebd943d5c0,0.20297%,User,
0x0f6173878d7249eb5188e1aaa04da48892f9e111,0.01818%,User,
0x81f5680802b10cc372a7b3808155b304b751a260,0.02424%,User,
0x505922d5ae966df1aab1e2640bef3e6db200ee68,0.10567%,User,
0x2bb21291fe8b15e1ac84c93bc0370982b85564d1,0.21453%,User,
0x7e074ce1c00960bf3503c69b15ed11cab86dee65,0.11203%,User,
0xa8b6605aef296a5c6fe64b605435f8399335efd4,0.08067%,User,
0xc23d3085a6c132eb7bec00a471a2ba10658d7edc,0.00606%,User,
0x21b3ca06d377457b4002a73dfb2a530867dceef5,0.01212%,User,
0xb53fb2010e8219891faf0e8ee365c7aee6c20cbf,0.11859%,User,
0x1aca52d2312b5cc2a7fed6fa71f225fc012b1799,0.00606%,User,
0x2199f733fa478ce92e5ffcf8ac6296b19bf5f7b0,0.00606%,User,
0x93affb5f8c12e84b97b6f5b31202e7027036c143,0.00606%,User,
0xf0d3ba9a1fcbe23e62236ebf6ccab6166d0a739a,0.07567%,User,
0x7284bfcad25b9d16c5bacf72783c8a16bde5763b,0.00606%,User,
0xb1e48fe0a7041221edbd8bd78a574018d2c4267e,0.26486%,User,
0x2894b39ac3ad60e0534f995ecd6f8ed2e0a4b25c,0.00606%,User,
0xdb8fedab0fdad50d4fa79096f6217185e4157b76,0.02424%,User,
0xc37c0f9715039669e262e61f4d98e012df3ef693,0.07302%,User,
0x26bd9da4a19cb721f9d4907585f6db2b82abe58e,0.13362%,User,
0x3ec580758336eab65a40e6f9dc9704ff1a6ca242,0.07465%,User,
0x9b6df5f152fee425a4ed1c6a554b5e96071834d7,0.01212%,User,
0x6746673ff1db9880238df5a2cc6f93b8db0a0ee0,0.01212%,User,
0x153389c961378d193b4b6c5e25ad48b611d69a6e,0.00606%,User,
0xea51eba9bb1ab2faab5cbce73012c5dcfa4405c0,0.14889%,User,
0x60fc12b243d1e53262b542385e05c146281707e2,0.29293%,User,
0x269c6f28b970791b7ba51fd7fda8d4c49f751694,0.01212%,User,
0x81fc54a78e810323f52c09133e95b7862467dca2,0.25699%,User,
0x5af05b1f807c864717899401a787b6fcad0638b9,0.01212%,User,
0x7cd54ef1b4ccd2c9d935d6c83fe63aa61f2b5a50,0.08749%,User,
0xfebe1d1ec117c4f987e2212b892c8eb49f655bb2,0.01818%,User,
0xb18010b822593f28889bbda1360fc889b5a81378,0.02424%,User,
0x30c0cc2fb6cc90a83acf6ef84a07eead77a03b8f,0.04848%,User,
0x2540aa7bf57f47f7df5aab0a6b471cff7baa2586,0.09090%,User,
0x27cf1b1aaa2a77d19ef072d14397373268d812b1,0.01212%,User,
0x9cfac9665cb74abc5a0a4ca61374e3c628502d54,0.02424%,User,
0xdd1b1fda4aaf300cefe649c2a77db55e35f74ee1,0.00606%,User,
0x5756dd4d7480580927f9cf0e33f0274e3be408f6,0.50422%,User,
0x333345727be2ec482baf99a25cb1765cb7b78de6,0.46534%,User,
0x1e7f4a942bdf2bb9c048b62cac44dec78ca1af88,0.01212%,User,
0x0e0f9203ed84a65dac007a443e05065da24f1767,0.00606%,User,
0xfe33c40ccec7d8d02efe5b673e2eeeaa1639499e,0.26911%,User,
0xcc6a751a0e644b445984d74f176e9babf46b2a97,0.49476%,User,
0x4ce88282b5a0a0af7d65e2534bca49b55d74634d,0.00606%,User,
0x971a2e20dd06be464ab6211fcda7aa28a616520b,0.00606%,User,
0xdc9dab7f817bdcf9fac9ad2d52c14df42e07210e,0.00606%,User,
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,0.03030%,User,
0x968a08c4be431004e855958cc7b12813eb0591f0,0.63669%,User,
0x8e087387c62ae957fef56acefed6aeb6b5443815,0.05769%,User,
0xbb8fafa8a629c4dce022d95e098ccccee1acd942,0.12150%,User,
0x91c1f54905da35269aec8a28475f50b733d7b6c4,0.05484%,User,
0x5381a35c3872d77c02b7b25c7de0b6c0a816f575,0.02424%,User,
0xb0a630c870e9ecb5fe129e5019577ba88c86e320,0.00606%,User,
0x5a29b96b671df893cf22216eac767ef02b28c799,0.01818%,User,
0x458f9f7299b4dd6e0bff25b218d0297e3e357380,0.14839%,User,
0x78a2b47d7b2a0fe5d205276e4756751e2d6660a7,0.00606%,User,
0x83ec6d581261a8de962448ed3d230a05e6fc2aef,0.00606%,User,
0x15315d97c57a331ee03d2de85a8db5e920390e05,0.05382%,User,
0x1bc4ea2782ee6aff526d25740cae5679730c8ca2,0.05984%,User,
0x31378ccc01425b94b676e619cb1f76b338364a15,0.00606%,User,
0xff0aff01f4c93e73627b58c1ccaad75e65875b48,0.25512%,User,
0xebd3bc66f97a16b5c660c7cc41dd3ca5348e2faf,0.05719%,User,
0x9c60d270182f3e673ea823aa7465125552c5c973,0.00606%,User,
0x2ee14475d11676d4030d9f23f745ef36787808e8,0.09014%,User,
0x1c7fa5bff3e7e539cf618ccd3beb8702ff1574a5,0.01212%,User,
0x593fe14a9295490f109eec62f6334348bb75f0e0,0.05484%,User,
0x3cc1ef4b3be786b05af9884985840ed5047b6c35,0.01212%,User,
0x3979eeddfd810965fcb71129ba7f405fd3359009,0.00606%,User,
0xdf26d79bf46d5a351cd66720920bc45d9dd8ab56,0.00606%,User,
0xf4a60e170b18e4a57356c9e1b36fcb6d5987a6ba,0.00606%,User,
0x6015db1d04ba5e1b9992613859fb4b4dfed49004,0.04557%,User,
0xcbee4325e7de543ecb52c7da54159b5f44a037df,0.01818%,User,
0xba365fbb311b912934974cb518e8934dbf5ab6f9,0.01818%,User,
0xcf95180c93f356d548d3581b566157aafbcba94d,0.00606%,User,
0x8fad64d19bfa3f7e587241981c60dd006eb663c4,0.06590%,User,
0xc4477d22eb18932331e86eeb6da26d1711e43997,0.14203%,User,
0x6c4cc6ead4ba7febc212f20675f9c27017f2373e,0.06931%,User,
0xb40a73edd24937a60e430862e2b93fcb32b6642f,0.00606%,User,
0x11f88d5be9aff1e84cde4c857740706d5ad30938,0.00606%,User,
0x5cf7e866b561b6e27271de87158c269a15a3c401,0.00606%,User,
0xbe240237910b015585cf53c37188720411b4cf4f,0.05113%,User,
0xcdfb97730d0ca3b85558e451bef3b5d4da198001,0.01818%,User,
0x42f1ea006a65495bf2a3174856ab98a0c6f390f7,0.00606%,User,
0xb7b5148820469ab7609a94ba5c5db150859b7c5a,0.13021%,User,
0x6cfe2de865e3a548d1162972dd42f9316e23c17c,0.01212%,User,
0x7f26d2edbe7ed3bc6e86f6981ef35fb421376dbd,0.01212%,User,
0xe46206e87e4e9befec67a2eb3e43efbb5c5d2712,0.00606%,User,
0x95eaf87cf337a17e73dbf19eaf4fb3fc44fa752c,0.04507%,User,
0x948f83297b50b7189c7458deea9e4c12f3c3f310,0.01818%,User,
0xad8a735adca665e297ccb4ac3f3630adb79c37fb,0.01818%,User,
0x829f53a8fefced3a7455619d47905a10f314c2f2,0.00606%,User,
0x04ba2f24873c5cad19b0f1a2df7bde56d1b1e2ea,0.00606%,User,
0x434cb52f3eba625504b4df6eb1cefd74d7a50979,0.00606%,User,
0xb755885151df63f2d7d3431c66f48c69b83850cb,0.01212%,User,
0xabe635a453db40eb18c26b28c6ad624127745fad,0.27812%,User,
0xcf6afb4e943823ced48529dfd57058fd6c8161c6,0.01818%,User,
0x933f96b21d14fdee2d9b07d2e97c0208f0ce15ed,0.00606%,User,
0xc958c3301963898c22a2cb730986546d8afe9813,0.01212%,User,
0x644be8a25be30a21e2dffeae4fc43937fbcf3efd,0.01818%,User,
0x72f169857286e95710187e524b37be7d45d43ec9,0.00606%,User,
0x08f3cf2d83961670fda5c15ad72094f5ae5deca7,0.01212%,User,
0x60a2e6d9613f7a6177851196eaddaba6f633062a,0.00606%,User,
0xe97c4ca7e7f67fda578536d566898f2a8d5ffee8,0.01818%,User,
0xd313ccbc1505550deed53d5e69701e84e7c963a0,0.01212%,User,
0xbc818ce9dbe442915d91e34c5c0fb4fc24dd487f,0.13525%,User,
0xef883fab6baa4ea22ae0e8602eaff3a698e8647d,0.02424%,User,
0x1097a5551c5cdcea7423ce5e4a831dea8e008ae8,0.02424%,User,
0xb2d47f0d0b9ea9756ca7694bb308696cdd3d19f5,0.00606%,User,
0x0a3b151beeb0acb8a16cdad2e186bc6685b821b0,0.00606%,User,
0x701834935a62140e7088c3ac35c5a1cf0c4e8244,0.00606%,User,
0x54f02673ab6eacd8ea489a531ce9a90c0dbd453e,0.03295%,User,
0x68c371d9d93d0616040d0b6860f41aa7ce811d1b,0.00606%,User,
0x9f145214807e7e402e362bfdc2f3448795968f8e,0.03030%,User,
0xf245775595032847b3a6b96d2620d9fb80b13f81,0.00606%,User,
0x25b3b1bc2f9f7bceb18dca63fd206d9f12525c2a,0.03030%,User,
0xc05936e6b40e47656f3a300a2650e931cbd116f2,0.01212%,User,
0xd1450635bcc75ca7cfbd07078d8882ca25e7f250,0.00606%,User,
0x8533433a8e14a2f8d48b5e4ef3b3c7f5e45acb4d,0.07246%,User,
0x8d0a4d54b5c273a85ed97c926d28ce43912ceefa,0.06981%,User,
0x43b67634b7fa59887994f78ed919e281a310f4f1,0.06060%,User,
0xa636319bafec2b5fb5410e4bd84fb03b778e29c8,0.07587%,User,
0x6c81d39520124c6b386a0ad3cae6e8b48492238d,0.00606%,User,
0x7f6e789b5ffd62382c144caa618b95fca8020e3a,0.00606%,User,
0x78ad91e6f47e7697d4b8addd73fba6a7f23a7f5b,0.01818%,User,
0x2fae74cf06a60d3940fbcf6176dca2ed200da8cd,0.04507%,User,
0xc7b78006a3659960c2f3d79e1cd6fe1abaf67c3d,0.00606%,User,
0xb56cf7f62b01b47493fe6769c5167e42f191cdae,0.00606%,User,
0x4cf232dba440329987a689aab03ce10229c4cbcd,0.21086%,User,
0x2d12db57554f0dbc18247d1caedc73dfb1d93786,0.02424%,User,
0x7b6d51d36e689519411e51c7b8672810ef43b668,0.00606%,User,
0xa249ef256feba9f6bc901e4aeffc7cb6d7f7ee61,0.00606%,User,
0x0cb22703f19de39bde202f16900978d48dccffe5,0.09090%,User,
0x0595457bf3282d2b50d7ed4c7fc5434d792329a3,0.01212%,User,
0xea5851a6f3e33d90c4d66c44738d8445135367bf,0.00606%,User,
0x10badec8706234686330a1a2698720ace53a55f5,0.00606%,User,
0xfcf8ebad8bc6dea41d95d3016ddd77480393f48e,0.00606%,User,
0xdad8789b8743769aea3c6e975283154cf9f97fe5,0.00606%,User,
0x34ea715152a09df265463495899b01a2afac0351,0.01212%,User,
0xa89511a34685d94bb8bc79937309f0e178f44ca2,0.00606%,User,
0x6b916d50869cdf9955fecb5dacb75278e31b2174,0.01212%,User,
0x92b56469ec9d775268a36847aebb8928ccc51087,0.00606%,User,
0x01fe858f2ed1ce6f81c1bc2ba93ee961981576d4,0.00606%,User,
0x5e4c90120e78a08b4491d5655e66c49d86d56525,0.00606%,User,
0xe1bd9a88603409eff8818db72ae982ecd5b560c8,0.08143%,User,
0xa34d6e43bee8f1b1f6ca0c91fb4de96e9c8a4f9e,0.11151%,User,
0x3203bcf00e64c7e5fadf1ab4e785484a985d2726,0.00606%,User,
0x1aae3c997d7bd84efb070c1fa518982330bae6a2,0.01818%,User,
