Address,Allocation %,Type,Sum
0xCf38409f93a66C1F9E1d9653E51D161Ca15eCC7D,10.0000000000000000000%,Team,100.00%
,,,
0xa0f75491720835b36edc92d06ddc468d201e9b73,5.7782707857543100000%,Users bridging to L2s,
0xca74f404e0c7bfa35b13b511097df966d5a65597,4.6989941929702000000%,Users bridging to L2s,
0xffab14b181409170378471b13ff2bff5be012c64,1.2657585329149200000%,Users bridging to L2s,
0xecc0e46f64458ae70dca30e298d20e3c993d9541,1.2361630524934100000%,Users bridging to L2s,
0x924cafec4f967be5df085ad94d8d50574f9a2bb0,0.8694286603515380000%,Users bridging to L2s,
0x171c53d55b1bcb725f660677d9e8bad7fd084282,0.8169763822669780000%,Users bridging to L2s,
0xc6160f5bc3c673ac390f11c492e8ed0d0693579a,0.6434071190586720000%,Users bridging to L2s,
0x1dc6074361a3cddee55a61c92bcf7de1667e1096,0.6334303878250500000%,Users bridging to L2s,
0x2ed38012a1a33aeae3375245259c8777e77df5ea,0.6320439566181030000%,Users bridging to L2s,
0xb9779aec32f4cbf376f325d8c393b0d2711874ed,0.5570714001791800000%,Users bridging to L2s,
0x614d98a57a5d879d717152de0690ed2b04562ade,0.5286064266318240000%,Users bridging to L2s,
0x602da2908b166dc0f897c84cc095ae2675b118c5,0.5266628441786880000%,Users bridging to L2s,
0x65395a0331b23f3fe62532cacac2b5e5d0c45e44,0.4711890218038170000%,Users bridging to L2s,
0xd76f1c2764a5f22548713cde767b5b752170d6d7,0.4562468300560970000%,Users bridging to L2s,
0x139c238d822a7132557727be6d442d4476e797f0,0.4475696000131900000%,Users bridging to L2s,
0x8be46b25d59616e594f0a9e20147fb14c1b989d9,0.4174791377142480000%,Users bridging to L2s,
0xbc0b4983f6375b25ae7d0f8f56d029cc24f78d05,0.3868893053707530000%,Users bridging to L2s,
0xd18895d84b8b18527cbbc015e2264edec3ccd61e,0.3754152415790560000%,Users bridging to L2s,
0xe7b184cc6642e6fa03b300212f6da5181a658337,0.3619246631456580000%,Users bridging to L2s,
0x5ec6abff9bb4c673f63d077a962a29945f744857,0.3550276454582120000%,Users bridging to L2s,
0xf08214cbe3527cf4fd65bfce128e32c6eedd2174,0.3485485174302440000%,Users bridging to L2s,
0x02f73f558e2f038a98072dc39848f9f693f8664d,0.3373073976785330000%,Users bridging to L2s,
0x298629982613bf36c48d0b31afd2fe7d1b4604dc,0.3361707398880680000%,Users bridging to L2s,
0x0594eed4247745248ad46812c7ff84c5a61cc20e,0.3350385883681900000%,Users bridging to L2s,
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0.3272682344609990000%,Users bridging to L2s,
0xb1311bf8de6cb3dccac85f83d440a2adb27a496c,0.3209333195623860000%,Users bridging to L2s,
0x825f23921dcff36944d8b0b0ca23ac7d05fb86cb,0.3023587509538420000%,Users bridging to L2s,
0x16900c406294eddca5fe10e5aa5d4e2b1ca55af4,0.2921595868883160000%,Users bridging to L2s,
0x7b785ca173d136a9f5bf8611a799b881a28d1499,0.2872981967971810000%,Users bridging to L2s,
0xcd4f38d5f5d71a2daac841f2c68721a96ad09916,0.2698275265729640000%,Users bridging to L2s,
0x86abfc48e5ce6dd6125f3c6606435b3e4f3a6313,0.2606286672840210000%,Users bridging to L2s,
0xcecd23553bb094bf06f4173d2991b89f2fe68b34,0.2536487130911820000%,Users bridging to L2s,
0x42b1620ef5c96183e366f0aa89f12e5e6bc3feb8,0.2458225585994140000%,Users bridging to L2s,
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,0.2417929469807780000%,Users bridging to L2s,
0xe8a280e6b5213e8ccd6de4fc4b50911de749e551,0.2406018867746660000%,Users bridging to L2s,
0x9cbf099ff424979439dfba03f00b5961784c06ce,0.2288027193641570000%,Users bridging to L2s,
0xfb4cb868727d9622258bf2b26a8cfc95f6742669,0.2267986752743010000%,Users bridging to L2s,
0x50f461f471e7dce973e27f0e319ebe868135d764,0.2242709274254310000%,Users bridging to L2s,
0xcdcf2b6f97de9fd66d0a4b47bc633f437df0d106,0.2189695029089860000%,Users bridging to L2s,
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,0.2189623580163410000%,Users bridging to L2s,
0x3bbddc00269c5f462b7e629e841faccc31812e15,0.2186267079784760000%,Users bridging to L2s,
0x3be3a8613dc18554a73773a5bfb8e9819d360dc0,0.2185007935500510000%,Users bridging to L2s,
0xf0268a2d2250a03423cbaee387f22fc38d0e0a31,0.2142106662348600000%,Users bridging to L2s,
0x13fb7f303b8a494b07edf3c8ea79d20ccc0e6cd2,0.2103513003893380000%,Users bridging to L2s,
0xbf3bf9089a9d843a3c3b2c9511613f0d8d86c090,0.2078465394353290000%,Users bridging to L2s,
0xdfa8ee9ff8798b37800f3ab18807273d7caaf1b6,0.1979906397799130000%,Users bridging to L2s,
0xaaf5feaa9e5694b2b293e67558e2da8ea4b1fb13,0.1967640370339160000%,Users bridging to L2s,
0x2fcb6898d5a0623de19c3691904927685014c4d8,0.1944833154123130000%,Users bridging to L2s,
0xd89b1b886719fb9f2168aea44d719e9b81cd78dd,0.1822930428870060000%,Users bridging to L2s,
0x43e1ccfe765f6c2a09bbe63d456bcb1e85835fe5,0.1788608374559160000%,Users bridging to L2s,
0xa955a6d71b3cc865224aca6ae3ecd6d13d4c4f47,0.1611510774103400000%,Users bridging to L2s,
0xbd9735586542bda865a3197ba5aa1325e1c8f31a,0.1526743173568510000%,Users bridging to L2s,
0x071943221c8c62b36be12d679a8b93b8eda3fdc9,0.1504936073603660000%,Users bridging to L2s,
0xb79a48cdfb85d1ac45989f40793abc7a1a15c5e3,0.1476366626174310000%,Users bridging to L2s,
0x671730450c132914662dfa6beda90f8a1a4cf84a,0.1471597740436080000%,Users bridging to L2s,
0x1bafcfb4a0cc3b753ea73f8bf9fb6c99e558acfc,0.1464100217262170000%,Users bridging to L2s,
0x3ccc596a2be298ff9e94bc583bc1de6429cd0f0a,0.1461193933147640000%,Users bridging to L2s,
0x8888892c503f24822ed71eb2de512b9742ddcee8,0.1457872753773190000%,Users bridging to L2s,
0xa7d4581d31870a9f7d5b35403dd386f0a9fc79ad,0.1305139934123390000%,Users bridging to L2s,
0x3957d9976c13ddc8b3a57d3745f79647d06009d4,0.1297589528474030000%,Users bridging to L2s,
0x044a9c43e95aa9fd28eea25131a62b602d304f1f,0.1269495084364490000%,Users bridging to L2s,
0x1914717974224765b85636159d48f46dbbdbde27,0.1199148642717090000%,Users bridging to L2s,
0x51cb87dfc5797893c0f9e4ffa18e7df35ea78545,0.1100342809928180000%,Users bridging to L2s,
0xa953199f569b65977b649c428df7883cb2378e13,0.1094108150197230000%,Users bridging to L2s,
0xd91cf067edd811bed4cc88d3f141ea0d0c8161b2,0.1093133539892380000%,Users bridging to L2s,
0xbbde9cdca243c5a628e0210cbab9042cb78c26a6,0.1038601393828500000%,Users bridging to L2s,
0x27a241d6689c93b299f641ece8fd0aff8fb0fc6f,0.1026081766693320000%,Users bridging to L2s,
0x6bf52b769ac1697e8046568dd9af25a0833301db,0.1012315385133930000%,Users bridging to L2s,
0x96e3e323966713a1f56dbb5d5bfabb28b2e4b428,0.1002526999579080000%,Users bridging to L2s,
0x731cf08ca9442b1e59080c41002f15ceb32fd8eb,0.0997644147668218000%,Users bridging to L2s,
0x2003cf7f2fe0f469ba50d647209195af69d153b6,0.0944337343357468000%,Users bridging to L2s,
0x08a56c7f13bd87d8a90d5eb7c56b1242023d98a9,0.0927605259171807000%,Users bridging to L2s,
0xd92293daca6bbed57f8cb6d498b48ea93e035e99,0.0874723649329669000%,Users bridging to L2s,
0x6fedfdb4249cd5dca3030fd09e0e1368f23cb4f8,0.0873552077661845000%,Users bridging to L2s,
0x143b5d7e1a11b5dc301d97a51264eb73dd5a37ec,0.0821139573302054000%,Users bridging to L2s,
0xaace5aeab7265d03487d007e11be7af97ec8ff38,0.0808948904653335000%,Users bridging to L2s,
0x9c2d58d35e4ba2c74193995c1d5c2847c096981c,0.0801248874388688000%,Users bridging to L2s,
0x11d67fa925877813b744abc0917900c2b1d6eb81,0.0774149719693202000%,Users bridging to L2s,
0xe86ad01212bbb97ed85e117a5ec797123957844b,0.0764706819773816000%,Users bridging to L2s,
0xd1abe5db14d073883f2084c2af105652102bdefc,0.0740897492018309000%,Users bridging to L2s,
0xbc2e07a461ef6194545c4bbad0e3f64679331ea9,0.0740582339166308000%,Users bridging to L2s,
0xe67e43b831a541c5fa40de52ab0afbe311514e64,0.0739967335562983000%,Users bridging to L2s,
0xe586496407a1f9b4b60f2c93bb34b886e41e4e1e,0.0736410888224539000%,Users bridging to L2s,
0x684566c9ffcac7f6a04c3a9997000d2d58c00824,0.0733561873285455000%,Users bridging to L2s,
0xbbced90faac4490bf5e958aa45b06c43d2aa1048,0.0733561873285455000%,Users bridging to L2s,
0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0,0.0733561873285455000%,Users bridging to L2s,
0x80795df53cd359d98acba7348db35cf301162f7d,0.0732603107917070000%,Users bridging to L2s,
0x415587788c688b92be9232bb8983f2451028a0c9,0.0730182412420178000%,Users bridging to L2s,
0x37ea7c699aee8c5e895bb65b19e80dc2c26a9497,0.0729049976278294000%,Users bridging to L2s,
0x9a68468ef8795ca712d08e7bfa7b2bf14e312c25,0.0728755693261588000%,Users bridging to L2s,
0x3010a97a4c3beca0ad059fd474d7a6cfbedf6b05,0.0728522633318826000%,Users bridging to L2s,
0x278108b227fc6890361bbd91c7416c51fb756ab2,0.0727363341476761000%,Users bridging to L2s,
0x84411e36f57516f3b359d9afbcada418f07bbccc,0.0725826118557579000%,Users bridging to L2s,
0x1aa17ba0f678fda3efcbe871011d92c5b5c800d7,0.0718890635819745000%,Users bridging to L2s,
0xf1cd7ccd052d8dedea7005a88e39fdb5205bf48b,0.0711555017086891000%,Users bridging to L2s,
0x1f10c3273b9aa47e50a9cdc3975cae8604fad50a,0.0700662158768769000%,Users bridging to L2s,
0x194772668b6d800ba24d3f910bb004da1a81cc81,0.0672322741671644000%,Users bridging to L2s,
0xc53bf13f351e2b43eaeb5b3cd03af28f6acabaeb,0.0663537281909953000%,Users bridging to L2s,
0x8d1b878509562fe8c097536e6e8da5bdeed05d1b,0.0658404806229231000%,Users bridging to L2s,
0x695fc0d7feef531c1251ff9323e7a29b680f3949,0.0630908178368323000%,Users bridging to L2s,
0x92c99e81239c8b06441bc48aaa7f75ac94844dc6,0.0617026004067233000%,Users bridging to L2s,
0xfab10aa58bf87a3499bd5b603af8c442fc48cbac,0.0588885206182918000%,Users bridging to L2s,
0x2c31c72ab2f3d4da4ee40637908e3c99de1a60b9,0.0579392402049293000%,Users bridging to L2s,
0xea9e29b5f3eaa58eea1b6a8f6f164de290905310,0.0574901609617227000%,Users bridging to L2s,
0x282742940ee0b7ed028bb48052bb4922282234da,0.0568570376465656000%,Users bridging to L2s,
0x14975679e5f87c25fa2c54958e735a79b5b93043,0.0557505116436075000%,Users bridging to L2s,
0x2829419f7cde7054237ca8610ce29e39bcb0af30,0.0554848954913477000%,Users bridging to L2s,
0x1031d16fbaa0e01be0d2c2e798fa50ecb78543ac,0.0554707619547351000%,Users bridging to L2s,
0x498a9231ad200c4d81ca39a3c383ebaf5497142d,0.0549485091811064000%,Users bridging to L2s,
0x15afccb76c8ec9c7e074daec9e8f9d64102e4191,0.0547246055576472000%,Users bridging to L2s,
0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,0.0498062895980209000%,Users bridging to L2s,
0x6d42aab8b4efd1ad0c5454a040b59ae3c99440b5,0.0485093199293297000%,Users bridging to L2s,
0x738264d3a846d52d401dda048228d9bee0ffdbef,0.0477110373590881000%,Users bridging to L2s,
0x30fd54e28c662468a732db20f3c8ecb9c6c521e1,0.0465310194598548000%,Users bridging to L2s,
0xbd8ccf3ebe4cc2d57962cdc2756b143ce0135a6b,0.0459014128403183000%,Users bridging to L2s,
0x637b935cba030aeb876eae07aa7ff637166de4d6,0.0446739180830842000%,Users bridging to L2s,
0x1e2799e0071e535468097e04ad23b9fe3ae5a6a5,0.0435723920378544000%,Users bridging to L2s,
0xf843ea92e5f0ea3d87adbf80927c799e02147c9a,0.0435179808194653000%,Users bridging to L2s,
0xa4694c0f40395aa7a1c6ce6cc4209569e762e33c,0.0414255520601828000%,Users bridging to L2s,
0x96aaad587ffeb17e82727d765f376283c6092c63,0.0411092335783653000%,Users bridging to L2s,
0x994649b6f14e340c2878885d2e9d90bfd4ee8aae,0.0409592311787065000%,Users bridging to L2s,
0xbf891e7efcc98a8239385d3172ba10ad593c7886,0.0408815726509911000%,Users bridging to L2s,
0x9eec3976435a37b0340ecbd966c226a691956b35,0.0401279999433643000%,Users bridging to L2s,
0x061d670bc7feeda42c79f124d3faad758558a5a6,0.0397389150579643000%,Users bridging to L2s,
0x32c8e4d2cb2642a29bc06115336ac96bf0160485,0.0394160400001234000%,Users bridging to L2s,
0x193db18a5ef9a0320b7374c1fe8af976235f3211,0.0387583269574119000%,Users bridging to L2s,
