Address,Allocation %,Type ,Sum
0x28720EaCF70aDc3A450AAa06b547958e90cE2774,10.0000000000%,Dev,99.9744732122%
0x1d6f1ca839fb04c85cb0328c65faf23c6d9afc8e,1.9302264594%,Launchpad $ Sum spent,
0xa7f831F60C1447C45b3057aDA697e5f72c1D28e0,1.4581468101%,Launchpad $ Sum spent,
0xae1f229ebaBDE4cC37283cdA519f13bBAdbcAB6B,1.1179018386%,Launchpad $ Sum spent,
0xb04a8edc07360c6e5dbfc6bb69cfc740d824296d,1.0361974128%,Launchpad $ Sum spent,
0x45745c9b881860de8e25b5ba7f055d007f252ca3,0.9879799125%,Launchpad $ Sum spent,
0x3678750e7d18ffa4e1014fd6EA60cf304A55e7F1,0.9506558913%,Launchpad $ Sum spent,
0x08a4A7C3F9F6eb6A9c046BF27f84fA557Db35025,0.8000328396%,Launchpad $ Sum spent,
0x1518C92328399CC257E2857e4847c4243d02eFB0,0.7807276992%,Launchpad $ Sum spent,
0x3a665d217dbd6db8d74d25814780220ad88dfaf3,0.6663813708%,Launchpad $ Sum spent,
0xebb8be69ac9e0fc0c9e3c6841d0dc0d1a5927c18,0.5702744142%,Launchpad $ Sum spent,
0xd63f6282b84332ae8f7c3ef9263100c2beab24a9,0.5297237943%,Launchpad $ Sum spent,
0x6cC646D60Ddd9017f1C02CD12215B9cF1C02dF6b,0.4506271929%,Launchpad $ Sum spent,
0xeEa1813d0815c5c0b6A1F49f8d3bb1d069df2703,0.4328873343%,Launchpad $ Sum spent,
0x21e6ece971f3f4c7d26c400fcdc0f8eb8bc249e6,0.4083182562%,Launchpad $ Sum spent,
0x294c3c5004d8ed54ca2496de08e9ecd0cad5d6aa,0.4059866004%,Launchpad $ Sum spent,
0x8EF80cf95BaD641484Dd19F20959A46EF4E5F515,0.4043644242%,Launchpad $ Sum spent,
0xea379e616be4e44371d69dc1793f9dcbcafeff95,0.3946650000%,Launchpad $ Sum spent,
0x20f5465a7ca1c9c41eddb1c8e9c049dbbbb7a394,0.2938112952%,Launchpad $ Sum spent,
0x795ce588d1Da7abF16463dA89b975d3c52dfeE96,0.2845334187%,Launchpad $ Sum spent,
0xaac462b78ce1d6c04452468c3c4f1a95217981ad,0.2788670991%,Launchpad $ Sum spent,
0x69134c60a2ff3983b8841f6aa3872a9204099771,0.2516808345%,Launchpad $ Sum spent,
0xfd69ab3e645d30a093d11606665c085ceb515748,0.2510103933%,Launchpad $ Sum spent,
0x65e15fe8cad018aba7994adaa4e21f74b3cc5b87,0.2504771121%,Launchpad $ Sum spent,
0xb93c37a045752de792c85704110883eaddd4c7a8,0.2403616923%,Launchpad $ Sum spent,
0x9e3e587699f0851f435b3caf643db109230bd58b,0.2398359315%,Launchpad $ Sum spent,
0xc5fe6cafc334343c64dd1ecf00e7f8ea74b18b2a,0.2393141712%,Launchpad $ Sum spent,
0x9C3c74aA5f4d961449C6BbEc06C0141d44E6f77F,0.2358357675%,Launchpad $ Sum spent,
0x609f44272e32a0f38360d01ce2af5866674abdc1,0.2318356728%,Launchpad $ Sum spent,
0x298239f6c1056f97d1c5d341704a94ade35dba5e,0.2298436260%,Launchpad $ Sum spent,
0xc2a0b2b8ef24bcbf199c1fbcfd1e97bd15dcb09f,0.2083803795%,Launchpad $ Sum spent,
0xa5cDC789593e7e51fF6e45Ed37EDAeee9D5877E8,0.2074867776%,Launchpad $ Sum spent,
0xca737d0d98c627ea8d2c0b46ed3b427803fdc99c,0.2026401441%,Launchpad $ Sum spent,
0x66d0c7a74b895dfd4f206302b1bc317bec060e8e,0.1996354290%,Launchpad $ Sum spent,
0x94738adc18afde9809fbd5fa4e101fd121055abe,0.1929656250%,Launchpad $ Sum spent,
0x1ec1ea892aba8867bcb2e12db1411eb5f74b6162,0.1868808189%,Launchpad $ Sum spent,
0x203e109b96a72cda275784bb5c75239a2f96cbae,0.1867347258%,Launchpad $ Sum spent,
0x1b857f394603028BB4DeE61282A36eF7dBDd2051,0.1849119381%,Launchpad $ Sum spent,
0xaDA66180Dbd17F4fcbf8b59a5CAF82aE4c1619be,0.1826509755%,Launchpad $ Sum spent,
0x2dcfcff174c3040f819bd634a218b37bd805f943,0.1811056602%,Launchpad $ Sum spent,
0x1a789EDC25cAB01d6e37DFC75593BA9dD38eE814,0.1761811449%,Launchpad $ Sum spent,
0x7493926AC3FE32F8C223601c9b89c919644fA573,0.1735723422%,Launchpad $ Sum spent,
0x9a428f366fcc9cd65f5953894d1450706e7bb9e6,0.1637736792%,Launchpad $ Sum spent,
0x49a56e979811228fe14af78a0de407f36a0f829c,0.1578878061%,Launchpad $ Sum spent,
0xC94f87db339eB41f283d5CEF702F6653FA897f02,0.1561803240%,Launchpad $ Sum spent,
0xa0C513CD741403a03d664bd708Ab36B001a54B5d,0.1556063874%,Launchpad $ Sum spent,
0xeAde121ddCc2DA766AB9Cea6f1DD60E6bBe71d77,0.1499191974%,Launchpad $ Sum spent,
0x78af4103c7f46ecb74d9c51d46e739d065b74eed,0.1468306185%,Launchpad $ Sum spent,
0x430952fe84eba92645b6d897d161369888423779,0.1351610493%,Launchpad $ Sum spent,
0x091dc7a3460B27935fa8ceDBd5e9c407E6Ba930a,0.1316575782%,Launchpad $ Sum spent,
0x0de6d5f01db6ab03c8429e81e9e94bf5d9037284,0.1288694985%,Launchpad $ Sum spent,
0xf8cd0344e6245f962b30fb045810303d023fa548,0.1273095735%,Launchpad $ Sum spent,
0xF44ff0Ee799282544dBDCd5EEefC59995075FB01,0.1235181135%,Launchpad $ Sum spent,
0xf7514969488edeac20cbd8633c5320e2bf28f2c4,0.1208959887%,Launchpad $ Sum spent,
0x80ab692b9c542fa2d34c638d2672f5d3d0eedc20,0.1197227877%,Launchpad $ Sum spent,
0xfc0D2543969094750861C28aeb41EEB811B9cB00,0.1170482829%,Launchpad $ Sum spent,
0xbb24808abc25f0afe395853dea824005f722f01c,0.1142219406%,Launchpad $ Sum spent,
0x93c34e4eec90b579093523a938d1b2ac1c3e3d8c,0.1138898922%,Launchpad $ Sum spent,
0xE4763AB17245D86E34EC06a7b2d9cfB785c8d787,0.1138829355%,Launchpad $ Sum spent,
0x0c810D7D82250b5298eE83dc3D15aAC84201a2ff,0.1133959590%,Launchpad $ Sum spent,
0xb105608d0fb6fec617afdd7d5147aa7ab7a86612,0.1078618188%,Launchpad $ Sum spent,
0x1157cbc04e1fb8ce1e82a45a2cac12666770ce13,0.1043521095%,Launchpad $ Sum spent,
0xA6DaC0E8D63D2e06eFfDe35A19ECdD27D3aAE22D,0.0980909829%,Launchpad $ Sum spent,
0x94418d1cc51f4c0489d8f881bd7b89eea9dfd480,0.0980909829%,Launchpad $ Sum spent,
0xda10ca0068a0277a44b1b0cb166ea26daf9e855b,0.0977375517%,Launchpad $ Sum spent,
0x542adac70984efd105ef41e84dfb79d538818f3f,0.0960290583%,Launchpad $ Sum spent,
